TF	target	importance
FOXL2	WT1pKTS	0.3385171446069214
DMRT1	DKK1	0.29837817784670234
DKK1	DMRT1	0.2846520534074149
WT1pKTS	FOXL2	0.2592531239258949
CBX2	UGR	0.24855309300697193
RSPO1	CTNNB1	0.23667354174762298
CTNNB1	RSPO1	0.23248923184457976
UGR	CBX2	0.2289320379825586
DHH	PGD2	0.21081821356903702
PGD2	FGF9	0.20596745658763327
RSPO1	NR5A1	0.20436057280602932
WNT4	NR0B1	0.19889248298611395
PGD2	DHH	0.19711542399867207
PGD2	AMH	0.19358682559393842
FOXL2	NR5A1	0.1927006877041691
DHH	FGF9	0.19188642655851476
CTNNB1	FOXL2	0.1866002528536345
NR5A1	CBX2	0.1819786481501374
NR5A1	RSPO1	0.1756136091853888
NR0B1	WNT4	0.17455203681027467
SRY	DKK1	0.17349766886034737
WNT4	CTNNB1	0.17247823855022942
DHH	AMH	0.17232729538058336
FGF9	DHH	0.17062359346446823
DKK1	SRY	0.16667169080976105
FGF9	PGD2	0.16613039943568164
SRY	DMRT1	0.16476784429191219
DKK1	SOX9	0.16226864830000873
GATA4	WT1mKTS	0.161770203737199
WNT4	RSPO1	0.15619255637411025
CTNNB1	WT1pKTS	0.15616740698180723
RSPO1	WNT4	0.15425716411489485
FGF9	AMH	0.15164882206883562
WT1mKTS	GATA4	0.15088480427657855
DMRT1	SRY	0.1503199480409076
UGR	GATA4	0.14786544899166645
UGR	WT1mKTS	0.1476577683185129
AMH	DHH	0.14730329320953106
SOX9	WNT4	0.14726308283154194
DMRT1	SOX9	0.14389457836717723
AMH	PGD2	0.13746934307828515
AMH	FGF9	0.1369792379172445
RSPO1	FOXL2	0.13424524016356928
WT1pKTS	NR5A1	0.12777467112969762
NR5A1	WT1pKTS	0.12361244876240696
NR5A1	FOXL2	0.11857422086934825
PGD2	SOX9	0.11692662811839981
CTNNB1	NR5A1	0.11274672824866792
AMH	NR0B1	0.11258808161234815
FOXL2	SRY	0.11117492933861652
SOX9	DMRT1	0.10954906973284152
PGD2	GATA4	0.10949709779640975
SOX9	PGD2	0.10892482873006944
NR5A1	CTNNB1	0.1086124972307643
FOXL2	CTNNB1	0.10830169367046949
PGD2	WT1mKTS	0.10567788553479923
NR5A1	UGR	0.10514535763399926
SOX9	DKK1	0.1037824191799616
DHH	SOX9	0.10248092505252047
SOX9	FGF9	0.10018435442299944
UGR	NR0B1	0.09906197495799018
SOX9	DHH	0.09779480869100193
DHH	GATA4	0.0967969996356033
RSPO1	WT1pKTS	0.09677790756272549
