Gene1	Gene2	EdgeWeight
RSPO1	UGR	360
CBX2	UGR	359
UGR	RSPO1	358
NR5A1	UGR	357
WT1pKTS	CTNNB1	356
UGR	SRY	355
NR5A1	NR0B1	354
PGD2	RSPO1	353
WNT4	RSPO1	352
CTNNB1	UGR	351
GATA4	RSPO1	350
NR0B1	SRY	349
AMH	NR0B1	348
SRY	CTNNB1	347
DHH	WNT4	346
CBX2	SOX9	345
CTNNB1	RSPO1	344
PGD2	WNT4	343
WNT4	SRY	342
WT1mKTS	RSPO1	341
WNT4	NR5A1	340
WT1pKTS	FOXL2	339
SOX9	WNT4	338
PGD2	NR0B1	337
CBX2	CBX2	336
DKK1	CTNNB1	335
FGF9	CTNNB1	334
FGF9	WNT4	333
NR5A1	RSPO1	332
SRY	FOXL2	331
WT1mKTS	FOXL2	330
FOXL2	CTNNB1	329
UGR	DMRT1	328
DMRT1	CTNNB1	327
FGF9	NR0B1	326
DHH	NR0B1	325
WT1pKTS	FGF9	324
FOXL2	FOXL2	323
DKK1	SRY	322
SOX9	AMH	321
FGF9	RSPO1	320
GATA4	DMRT1	319
PGD2	DHH	318
GATA4	FOXL2	317
DKK1	RSPO1	316
RSPO1	NR5A1	315
DHH	SOX9	314
DMRT1	RSPO1	313
SOX9	CTNNB1	312
GATA4	AMH	311
NR0B1	CTNNB1	310
SRY	SRY	309
DKK1	SOX9	308
WNT4	WNT4	307
DKK1	FOXL2	306
AMH	WNT4	305
SRY	DKK1	304
NR5A1	DHH	303
NR0B1	NR0B1	302
SOX9	UGR	301
FOXL2	RSPO1	300
AMH	DMRT1	299
UGR	WNT4	298
WT1pKTS	WNT4	297
DHH	RSPO1	296
SOX9	CBX2	295
DHH	CTNNB1	294
WT1pKTS	NR5A1	293
CTNNB1	SRY	292
DHH	UGR	291
DMRT1	FOXL2	290
FOXL2	NR0B1	289
NR5A1	WNT4	288
AMH	CTNNB1	287
RSPO1	DKK1	286
RSPO1	RSPO1	285
CTNNB1	DMRT1	284
DMRT1	DMRT1	283
WT1pKTS	AMH	282
DMRT1	WNT4	281
DMRT1	NR0B1	280
CTNNB1	WNT4	279
SRY	RSPO1	278
NR0B1	WNT4	277
CBX2	SRY	276
WT1mKTS	FGF9	275
SOX9	FGF9	274
SRY	UGR	273
AMH	RSPO1	272
GATA4	DHH	271
DKK1	UGR	270
NR5A1	CBX2	269
SRY	WNT4	268
NR0B1	GATA4	267
DHH	FGF9	266
WT1pKTS	UGR	265
WT1mKTS	CTNNB1	264
DHH	AMH	263
CTNNB1	CTNNB1	262
PGD2	DKK1	261
CBX2	FOXL2	260
FGF9	FGF9	259
DMRT1	UGR	258
FOXL2	FGF9	257
DMRT1	FGF9	256
NR0B1	RSPO1	255
FOXL2	NR5A1	254
WNT4	DKK1	253
GATA4	CTNNB1	252
AMH	UGR	251
RSPO1	CTNNB1	250
NR0B1	FGF9	249
