Gene1	Gene2	EdgeWeight
CTNNB1	UGR	360
NR0B1	SRY	360
CBX2	UGR	359
GATA4	RSPO1	359
NR5A1	NR0B1	358
DHH	WNT4	357
WNT4	SRY	357
WNT4	AMH	356
RSPO1	FOXL2	355
WT1pKTS	CTNNB1	355
NR5A1	CBX2	354
CBX2	CBX2	354
DKK1	CTNNB1	353
FOXL2	CTNNB1	353
CBX2	FOXL2	352
NR5A1	UGR	352
DMRT1	UGR	351
NR5A1	FOXL2	351
SOX9	RSPO1	350
RSPO1	CTNNB1	350
NR0B1	CTNNB1	349
RSPO1	UGR	349
AMH	WNT4	348
GATA4	CTNNB1	347
CTNNB1	RSPO1	347
FOXL2	WT1pKTS	346
WT1pKTS	FOXL2	346
UGR	FOXL2	345
WT1mKTS	FGF9	345
FGF9	NR0B1	344
SRY	RSPO1	344
WT1mKTS	FOXL2	343
DHH	FGF9	343
DHH	AMH	342
WT1pKTS	WT1pKTS	342
WT1mKTS	DHH	341
UGR	RSPO1	341
AMH	SRY	340
FOXL2	FOXL2	339
PGD2	RSPO1	338
NR0B1	NR0B1	338
PGD2	NR0B1	337
RSPO1	RSPO1	336
FGF9	WNT4	336
AMH	RSPO1	335
DMRT1	WT1pKTS	335
FOXL2	DMRT1	334
SRY	SRY	334
FGF9	RSPO1	333
GATA4	PGD2	333
GATA4	AMH	332
SOX9	AMH	332
PGD2	CTNNB1	331
WNT4	UGR	330
NR5A1	WNT4	329
SRY	DMRT1	329
GATA4	DMRT1	328
AMH	DMRT1	328
NR5A1	SRY	327
AMH	NR0B1	326
WT1mKTS	DKK1	326
CTNNB1	NR5A1	325
SRY	CTNNB1	324
GATA4	DHH	324
CTNNB1	CTNNB1	323
WT1mKTS	SOX9	323
UGR	SRY	322
UGR	NR0B1	322
SOX9	CBX2	320
SOX9	DMRT1	320
GATA4	FGF9	319
NR5A1	RSPO1	319
WT1pKTS	SRY	318
NR0B1	UGR	318
CBX2	NR0B1	317
FGF9	CTNNB1	317
FOXL2	NR0B1	316
WNT4	CTNNB1	315
SRY	WT1pKTS	315
WNT4	WNT4	314
FOXL2	CBX2	314
WT1mKTS	RSPO1	313
UGR	WNT4	313
SOX9	WNT4	312
DKK1	NR5A1	312
RSPO1	NR5A1	311
WT1pKTS	FGF9	310
WNT4	RSPO1	310
SOX9	NR5A1	309
DHH	CTNNB1	309
UGR	UGR	308
DHH	SOX9	307
WT1pKTS	UGR	307
CBX2	NR5A1	306
DMRT1	NR0B1	305
AMH	AMH	305
UGR	CBX2	304
FOXL2	RSPO1	303
NR5A1	FGF9	302
DMRT1	SRY	302
WNT4	CBX2	301
CBX2	SOX9	300
AMH	SOX9	300
PGD2	FOXL2	299
WNT4	DHH	299
WT1mKTS	PGD2	298
CTNNB1	CBX2	298
SRY	NR0B1	297
RSPO1	AMH	297
DHH	UGR	296
SRY	CBX2	295
FOXL2	FGF9	295
FOXL2	UGR	294
WT1mKTS	AMH	294
SOX9	PGD2	293
WT1mKTS	DMRT1	293
GATA4	DKK1	292
DMRT1	CTNNB1	291
GATA4	SOX9	290
UGR	CTNNB1	290
DHH	SRY	289
WNT4	NR0B1	289
FGF9	FGF9	288
CBX2	WNT4	287
NR0B1	GATA4	286
RSPO1	DMRT1	286
GATA4	FOXL2	285
RSPO1	DKK1	285
NR0B1	RSPO1	284
WT1mKTS	CTNNB1	284
DMRT1	DMRT1	283
PGD2	FGF9	282
DKK1	SRY	281
SOX9	FOXL2	281
FGF9	AMH	280
CBX2	SRY	280
NR5A1	NR5A1	279
CTNNB1	FOXL2	278
DKK1	FOXL2	278
FGF9	CBX2	277
SRY	UGR	276
GATA4	NR0B1	275
NR5A1	WT1pKTS	274
PGD2	UGR	273
CTNNB1	SRY	273
PGD2	WNT4	272
NR0B1	CBX2	271
SRY	DHH	271
AMH	CTNNB1	270
NR0B1	FOXL2	270
AMH	UGR	269
SRY	DKK1	269
WT1pKTS	DMRT1	267
FGF9	DHH	266
DMRT1	AMH	266
AMH	FGF9	265
RSPO1	DHH	264
GATA4	CBX2	263
NR0B1	DKK1	262
WT1mKTS	NR5A1	262
PGD2	DKK1	261
CTNNB1	WNT4	260
CTNNB1	DKK1	259
UGR	DKK1	259
DKK1	RSPO1	258
WT1pKTS	PGD2	257
DKK1	NR0B1	257
FGF9	DKK1	256
AMH	FOXL2	255
SOX9	SOX9	254
CTNNB1	NR0B1	254
DKK1	UGR	252
SOX9	WT1pKTS	252
DMRT1	WNT4	251
CTNNB1	WT1pKTS	251
CBX2	CTNNB1	250
PGD2	CBX2	250
SOX9	CTNNB1	249
WT1pKTS	NR5A1	248
RSPO1	FGF9	248
SRY	FOXL2	247
DHH	RSPO1	246
SOX9	UGR	246
WT1pKTS	AMH	245
GATA4	UGR	244
WNT4	FOXL2	244
WT1pKTS	CBX2	243
DHH	NR5A1	241
DHH	CBX2	241
FGF9	FOXL2	240
RSPO1	CBX2	240
DHH	PGD2	239
CBX2	GATA4	239
FOXL2	DKK1	238
AMH	PGD2	238
WT1pKTS	SOX9	237
DKK1	AMH	236
DMRT1	RSPO1	236
RSPO1	NR0B1	234
WNT4	DKK1	233
DKK1	DMRT1	233
FGF9	SOX9	232
DMRT1	DKK1	231
DMRT1	SOX9	230
SRY	WNT4	229
PGD2	PGD2	228
DKK1	FGF9	227
NR5A1	AMH	227
WT1pKTS	RSPO1	226
DHH	NR0B1	225
CBX2	FGF9	224
DMRT1	CBX2	221
FGF9	UGR	220
CBX2	RSPO1	219
DKK1	DKK1	218
WT1pKTS	NR0B1	217
DKK1	DHH	216
UGR	AMH	214
PGD2	SRY	213
RSPO1	WNT4	213
WT1mKTS	WNT4	211
DHH	DHH	211
AMH	NR5A1	209
WT1mKTS	UGR	209
UGR	NR5A1	208
FGF9	PGD2	207
WT1mKTS	GATA4	207
NR5A1	DMRT1	204
NR5A1	DKK1	204
SOX9	DKK1	203
FOXL2	SRY	202
DKK1	WNT4	202
DKK1	CBX2	201
DMRT1	FGF9	200
UGR	DMRT1	199
WT1pKTS	WT1mKTS	198
WNT4	NR5A1	197
SRY	FGF9	197
PGD2	SOX9	196
DHH	DKK1	193
DHH	DMRT1	193
NR5A1	SOX9	192
NR0B1	PGD2	191
GATA4	WT1mKTS	190
RSPO1	SRY	190
WT1pKTS	DKK1	187
PGD2	DHH	185
SOX9	FGF9	185
NR5A1	CTNNB1	182
DMRT1	FOXL2	182
NR0B1	AMH	180
CTNNB1	DMRT1	179
WT1pKTS	DHH	178
DMRT1	PGD2	178
WNT4	GATA4	177
FOXL2	PGD2	177
UGR	GATA4	176
FGF9	SRY	175
SOX9	NR0B1	175
WT1mKTS	WT1pKTS	174
RSPO1	PGD2	173
PGD2	WT1pKTS	172
CBX2	WT1pKTS	170
AMH	DHH	169
AMH	WT1pKTS	169
GATA4	WT1pKTS	167
DHH	WT1pKTS	165
DMRT1	GATA4	164
DKK1	SOX9	163
FOXL2	SOX9	159
SOX9	SRY	158
DMRT1	DHH	157
WT1pKTS	WNT4	155
DMRT1	NR5A1	154
PGD2	DMRT1	154
DKK1	PGD2	153
FOXL2	NR5A1	152
AMH	CBX2	152
SOX9	DHH	150
UGR	FGF9	149
WT1mKTS	NR0B1	149
AMH	DKK1	148
CTNNB1	SOX9	147
CTNNB1	FGF9	147
CBX2	PGD2	146
WNT4	FGF9	146
DKK1	WT1pKTS	144
CTNNB1	AMH	142
NR5A1	PGD2	139
SRY	PGD2	139
GATA4	GATA4	138
FGF9	DMRT1	138
CBX2	DKK1	137
PGD2	NR5A1	137
NR0B1	WNT4	136
NR0B1	DHH	134
GATA4	WNT4	132
UGR	DHH	131
CBX2	DMRT1	129
NR0B1	WT1pKTS	129
WT1mKTS	SRY	128
PGD2	AMH	127
WNT4	WT1pKTS	126
FOXL2	WNT4	125
WNT4	PGD2	124
NR5A1	DHH	123
SOX9	WT1mKTS	122
NR0B1	FGF9	121
DHH	FOXL2	116
NR0B1	NR5A1	115
FGF9	NR5A1	114
FGF9	WT1pKTS	112
WT1mKTS	WT1mKTS	111
WNT4	SOX9	109
FOXL2	GATA4	108
CTNNB1	GATA4	104
CTNNB1	PGD2	103
NR5A1	GATA4	99
CTNNB1	DHH	98
UGR	WT1mKTS	97
DKK1	GATA4	96
NR0B1	WT1mKTS	95
SRY	NR5A1	95
NR0B1	DMRT1	94
UGR	SOX9	92
RSPO1	SOX9	91
DHH	GATA4	87
RSPO1	WT1pKTS	87
WT1mKTS	CBX2	85
RSPO1	WT1mKTS	79
FOXL2	DHH	78
WNT4	WT1mKTS	77
FOXL2	WT1mKTS	74
UGR	PGD2	72
UGR	WT1pKTS	72
CBX2	AMH	71
FOXL2	AMH	70
CBX2	WT1mKTS	64
NR0B1	SOX9	63
DKK1	WT1mKTS	60
CTNNB1	WT1mKTS	56
GATA4	SRY	53
SRY	SOX9	52
PGD2	GATA4	52
PGD2	WT1mKTS	51
WNT4	DMRT1	51
FGF9	GATA4	50
SRY	WT1mKTS	44
SRY	AMH	40
NR5A1	WT1mKTS	36
CBX2	DHH	35
WT1pKTS	GATA4	33
GATA4	NR5A1	32
AMH	GATA4	28
FGF9	WT1mKTS	24
SOX9	GATA4	23
DMRT1	WT1mKTS	20
AMH	WT1mKTS	18
SRY	GATA4	12
DHH	WT1mKTS	9
RSPO1	GATA4	3
