Gene1,Gene2,EdgeWeight,Confidence,Stability,MeanPercentile,MeanZ,ZCILower,ZCIUpper,SelectedRuns,ObservedRuns,RunCount,BestRank
NR0B1,SRY,360.0,1.0,1.0,1.0,1.2193985245255985,0.9954279695506572,1.4640606755456578,30,30,30,1
NR0B1,GATA4,285.6,0.9981481481481481,1.0,0.9981481481481481,2.2707728538335044,1.7890536165802262,2.656489721765927,30,30,30,1
NR5A1,NR0B1,355.46666666666664,0.9925925925925926,1.0,0.9925925925925926,1.343221475034134,1.0486737324051891,1.8389444122172987,30,30,30,1
CTNNB1,UGR,359.6333333333333,0.975925925925926,1.0,0.975925925925926,1.3792607492923803,1.160208762076791,1.572889204279725,30,30,30,1
WT1pKTS,WT1pKTS,344.96666666666664,0.975925925925926,1.0,0.975925925925926,1.736085145794084,1.5080090818202079,1.9143364361247266,30,30,30,1
CBX2,CBX2,345.1666666666667,0.9703703703703703,1.0,0.9703703703703703,1.3985207004007187,1.0891322407786694,1.8287148941265943,30,30,30,1
WT1mKTS,FGF9,333.8333333333333,0.9703703703703703,1.0,0.9703703703703703,1.399334614801602,1.088336992007609,1.6859581800467671,30,30,30,1
WT1pKTS,CTNNB1,352.1666666666667,0.9685185185185186,1.0,0.9685185185185186,1.0364105060620055,0.8001770338981988,1.1827497813912575,30,30,30,1
GATA4,WT1mKTS,206.6,0.9685185185185184,1.0,0.9685185185185184,2.1744568838476903,1.5242370651247512,3.0529620859359587,30,30,30,1
DHH,WNT4,345.7,0.9555555555555556,1.0,0.9555555555555556,1.2430664052414522,0.9320744856427462,1.4608562205903346,30,30,30,1
FOXL2,WT1pKTS,340.8666666666667,0.9444444444444444,1.0,0.9444444444444444,1.690038666010918,1.464621875635373,2.033093981752999,30,30,30,1
CBX2,FOXL2,350.6,0.9407407407407408,1.0,0.9407407407407408,1.0272107295192652,0.7781662399454783,1.237536300920094,30,30,30,1
CBX2,UGR,358.56666666666666,0.9407407407407408,1.0,0.9407407407407408,1.3594251669747437,1.1239299209934843,1.5593005186449973,30,30,30,1
CTNNB1,NR5A1,327.46666666666664,0.9333333333333333,1.0,0.9333333333333333,1.3591201393010666,0.9312554495479578,1.7581185296711648,30,30,30,1
GATA4,PGD2,324.26666666666665,0.9296296296296297,1.0,0.9296296296296297,1.537639229843878,1.0258163518564982,2.096224829431972,30,30,30,1
WT1mKTS,DHH,323.4,0.9277777777777777,1.0,0.9277777777777777,1.4659151582529373,1.029289463379088,2.260788535618245,30,30,30,1
GATA4,RSPO1,351.4,0.9259259259259259,1.0,0.9259259259259259,1.067681656169411,0.6388934920208815,1.41371262480392,30,30,30,1
RSPO1,FOXL2,352.5,0.924074074074074,1.0,0.924074074074074,1.0478547738832282,0.9298015230491516,1.237297918695157,30,30,30,1
WT1mKTS,SOX9,322.8,0.9203703703703704,1.0,0.9203703703703704,1.2453195050959707,0.8980444906074957,1.6011825108659894,30,30,30,1
RSPO1,NR5A1,324.1666666666667,0.9185185185185184,1.0,0.9185185185185184,1.316282265934779,1.0461790142849163,1.6171740462587767,30,30,30,1
WNT4,SRY,353.8,0.9074074074074073,1.0,0.9074074074074073,1.1435826101331217,0.9361916864243987,1.4081151716147091,30,30,30,2
WT1mKTS,PGD2,319.56666666666666,0.9074074074074073,1.0,0.9074074074074073,1.4697882770566875,0.8238889688024051,2.234628089925598,30,30,30,1
GATA4,DMRT1,320.8,0.9037037037037037,1.0,0.9037037037037037,1.29573266791936,0.9374865317321416,1.740878327428835,30,30,30,1
WNT4,AMH,327.3333333333333,0.8981481481481481,1.0,0.8981481481481481,1.1273474246452233,0.628022993950093,1.4282853909249766,30,30,30,1
GATA4,AMH,330.8,0.8962962962962963,1.0,0.8962962962962963,1.1703788093980068,0.9411427042508629,1.5401752997362461,30,30,30,1
RSPO1,UGR,356.3666666666667,0.8870370370370371,1.0,0.8870370370370371,1.3182197479321076,1.0707974555224085,1.5010975897514092,30,30,30,1
NR5A1,FOXL2,348.3,0.8851851851851851,1.0,0.8851851851851851,0.998916788522321,0.8135329881044527,1.1745852564543575,30,30,30,1
WT1mKTS,DKK1,305.96666666666664,0.8851851851851851,1.0,0.8851851851851851,1.0995745577009255,0.3340353774972731,1.662701149205546,30,30,30,1
SOX9,AMH,327.56666666666666,0.8843209876543209,0.9666666666666667,0.9148148148148147,1.132849688921038,0.38060068104704065,1.424224257648338,29,30,30,1
NR5A1,CBX2,330.4,0.875925925925926,1.0,0.875925925925926,1.1841995282878426,0.6535076652880023,1.9247372790338266,30,30,30,1
WT1mKTS,GATA4,201.6,0.8722222222222222,1.0,0.8722222222222222,1.2233109242204705,0.5309101457068336,1.6672381337018134,30,30,30,2
SRY,WT1pKTS,314.9,0.8703703703703703,1.0,0.8703703703703703,1.4032751743620708,0.9062111180406357,1.7815588203190398,30,30,30,2
GATA4,DHH,312.26666666666665,0.8592592592592593,1.0,0.8592592592592593,1.3149625527968152,0.7365392895618338,2.04893587909966,30,30,30,1
SRY,DMRT1,314.96666666666664,0.8592592592592593,1.0,0.8592592592592593,1.2034034065825692,0.7142131860718438,1.682170774117681,30,30,30,1
UGR,RSPO1,345.73333333333335,0.8592592592592593,1.0,0.8592592592592593,0.9551831591408412,0.6394262842242789,1.3728208186304283,30,30,30,1
NR5A1,UGR,355.6,0.8574074074074074,1.0,0.8574074074074074,1.3041393961110532,1.0580536428763532,1.5019648424203353,30,30,30,3
FGF9,WNT4,332.93333333333334,0.8518518518518519,1.0,0.8518518518518519,1.0709448588564547,0.8260539968001148,1.3669612854077058,30,30,30,1
UGR,WT1mKTS,168.9,0.8485185185185186,0.9666666666666667,0.8777777777777778,1.4955222010423554,0.14312870172672826,2.39020860210565,29,30,30,1
CBX2,GATA4,196.36666666666667,0.8481481481481481,1.0,0.8481481481481481,1.1546800687713394,0.20755251457530832,1.7614363423968848,30,30,30,2
GATA4,SOX9,308.8333333333333,0.8407407407407407,1.0,0.8407407407407407,1.0789908435459752,0.819431585042022,1.4720437236872164,30,30,30,1
