Gene1	Gene2	EdgeWeight
FOXL2	WT1pKTS	206.9710660996269
UGR	CBX2	117.84200287275291
NR0B1	WNT4	116.59446789666535
DMRT1	DKK1	116.00428237628212
DKK1	DMRT1	96.52116097585545
WT1pKTS	FOXL2	94.54548898244344
CBX2	UGR	89.41525800089174
CTNNB1	NR5A1	87.14257406840258
NR5A1	FOXL2	85.9202984832506
RSPO1	NR5A1	82.29331617241651
NR5A1	WT1pKTS	79.66185211936792
CTNNB1	WT1pKTS	79.13337192378783
CTNNB1	RSPO1	75.95698287790036
FOXL2	NR5A1	72.76506933420586
NR5A1	RSPO1	72.2604517228618
GATA4	WT1mKTS	71.8587293497153
SOX9	DKK1	71.63215205383703
WNT4	NR0B1	71.48020871927788
CTNNB1	FOXL2	71.34418373937105
UGR	WT1mKTS	70.22230798360923
RSPO1	WT1pKTS	69.14733836878621
RSPO1	CTNNB1	68.59432380505818
WT1pKTS	NR5A1	67.73425257593117
SRY	DKK1	65.75139142020875
SOX9	DMRT1	63.7740572937185
UGR	NR0B1	60.61837761351833
NR0B1	NR5A1	60.55242414099863
RSPO1	WNT4	60.193569150009644
DHH	WNT4	57.658847075504596
FOXL2	SRY	57.238455734985685
CTNNB1	SRY	56.61876031566283
PGD2	FGF9	54.57693691944034
PGD2	DHH	54.48242364944648
AMH	NR0B1	54.411444855748364
DKK1	SRY	54.23342643408985
NR5A1	CBX2	54.16282202707847
PGD2	AMH	54.11213439117579
UGR	GATA4	53.9026121922599
DHH	AMH	53.66205569855778
AMH	WT1mKTS	53.52099556676775
WT1mKTS	GATA4	53.07400422001234
NR5A1	CTNNB1	53.04609579996386
WT1pKTS	CTNNB1	52.728313157894284
CTNNB1	DMRT1	52.45571061318571
FOXL2	CTNNB1	52.25619485143468
SOX9	WNT4	52.02199891581763
CTNNB1	CBX2	51.88402697761103
DMRT1	WT1mKTS	51.55282126110121
SRY	FOXL2	51.3187325957253
WNT4	RSPO1	50.60969002694842
DMRT1	SRY	50.60149225947405
RSPO1	FOXL2	50.159657971820316
FGF9	NR0B1	49.77619701617966
DKK1	WNT4	48.50485299625418
DKK1	SOX9	48.33668994744015
SOX9	NR0B1	48.21092862839584
RSPO1	SRY	48.13721139261828
NR5A1	UGR	47.99806265139496
RSPO1	CBX2	47.93317821512454
FGF9	WNT4	47.40622317784093
CBX2	NR5A1	47.271884500414885
CTNNB1	WNT4	47.00487337085777
WT1pKTS	CBX2	46.92773069615138
FOXL2	RSPO1	46.785411358115965
NR0B1	UGR	46.59672061536818
PGD2	SOX9	46.30527247321678
DMRT1	SOX9	45.8668224687164
GATA4	DHH	45.5083244198454
AMH	FGF9	45.311482950025166
PGD2	WT1mKTS	45.120728148733384
DHH	WT1mKTS	44.84639986228322
UGR	NR5A1	43.25884707318128
DKK1	UGR	43.19757397482385
UGR	WNT4	43.09936801232533
DMRT1	WNT4	42.68978963677858
WNT4	CTNNB1	42.59712672017773
WNT4	UGR	42.57250438729651
FGF9	AMH	41.96401197595003
AMH	WNT4	41.513727239792146
PGD2	WNT4	41.32992393618818
SRY	WT1pKTS	41.24244040907415
SRY	DMRT1	40.977968848681385
SRY	WT1mKTS	40.474395616754855
AMH	PGD2	40.13696873459896
AMH	DHH	40.06873181895799
SOX9	RSPO1	39.86552806842368
FOXL2	DMRT1	39.26346754217952
AMH	SOX9	38.944613274536636
NR0B1	CBX2	38.739312431572706
FOXL2	WNT4	38.40517920007368
NR5A1	DMRT1	38.37602959438277
DKK1	CBX2	38.20140549516333
DKK1	GATA4	38.142073592896864
GATA4	DMRT1	38.075134773424935
NR5A1	NR0B1	38.04046174781227
FGF9	WT1mKTS	37.927401991260794
DHH	FGF9	37.33952998731309
DHH	PGD2	37.22014954627245
NR0B1	RSPO1	37.15171724353617
GATA4	FGF9	37.077969004330576
CBX2	WT1pKTS	36.752887458385075
WT1pKTS	RSPO1	36.62635402108795
WNT4	FOXL2	36.59010676261765
WNT4	DMRT1	36.41820161004722
WT1pKTS	SRY	36.07732327771063
WNT4	CBX2	35.90068061999303
PGD2	NR0B1	35.40972050183505
WNT4	NR5A1	35.1461624580416
GATA4	NR0B1	34.3863062586122
CTNNB1	UGR	34.178269460351316
WT1pKTS	DMRT1	34.06434750221545
WNT4	DKK1	33.936372865325815
WT1pKTS	NR0B1	33.89397731171218
SOX9	PGD2	33.59505810597878
FGF9	DMRT1	33.43230439646039
WNT4	WT1pKTS	33.38076071130518
NR0B1	PGD2	33.273886991243025
SOX9	DHH	32.85416843622075
NR5A1	DKK1	32.81099218752323
DHH	SOX9	32.11607318282416
AMH	GATA4	32.0848169727297
CBX2	NR0B1	32.01181105150805
CTNNB1	DKK1	31.727447191201634
DKK1	FOXL2	31.69817485101616
WT1mKTS	DKK1	31.623951935228938
WT1mKTS	PGD2	31.445031203664275
NR5A1	SRY	31.36453243421711
WNT4	WT1mKTS	31.2860632318322
WT1pKTS	UGR	31.274493594710197
GATA4	SOX9	31.2425302391411
FGF9	DHH	31.227139743829003
RSPO1	NR0B1	31.19931594490026
SRY	SOX9	30.76968619804873
CTNNB1	NR0B1	30.693615081303548
WT1mKTS	NR0B1	30.488103699617753
CBX2	RSPO1	30.394254422788645
DHH	GATA4	29.84765228428374
SOX9	FGF9	29.774876305286497
GATA4	SRY	29.74928937656872
NR0B1	CTNNB1	29.72318444208765
WT1pKTS	DKK1	29.69661959995637
WT1pKTS	WNT4	29.505170917091398
UGR	RSPO1	29.435363686271053
SOX9	CBX2	29.37609666826414
PGD2	GATA4	29.235196413962587
AMH	DKK1	29.06599817288991
NR0B1	AMH	28.976806635810615
NR5A1	WNT4	28.969202296963672
GATA4	PGD2	28.76817884694713
DMRT1	GATA4	28.709705392604842
WNT4	AMH	28.26947340779293
GATA4	WNT4	28.174462618734328
DMRT1	WT1pKTS	27.96793070475075
FGF9	SOX9	27.85429984910917
SRY	CTNNB1	27.796613944990934
WNT4	SRY	27.72155669911242
NR0B1	WT1mKTS	27.639506931634326
FGF9	PGD2	27.45971280473797
WT1mKTS	DMRT1	27.2799698754466
SRY	UGR	27.13022180639901
DHH	RSPO1	27.04764940024305
WT1pKTS	GATA4	26.779098807757112
FGF9	CBX2	26.315319467504807
FOXL2	CBX2	26.265110112784907
CBX2	CTNNB1	26.146342487644592
FGF9	GATA4	26.04967391981951
FOXL2	WT1mKTS	25.945723958594442
CBX2	DKK1	25.89153408165223
DHH	DMRT1	25.793029866998957
DMRT1	CBX2	25.636172650349714
DHH	NR0B1	25.626965985574927
DMRT1	CTNNB1	25.48020579150494
SOX9	SRY	25.366996973439623
SRY	NR5A1	25.352903798074692
SOX9	FOXL2	25.28983753039886
NR0B1	WT1pKTS	25.27634422764184
FOXL2	UGR	25.11831960976445
RSPO1	UGR	24.989367095871163
WT1mKTS	SOX9	24.73529014414084
DKK1	RSPO1	24.67719374357409
GATA4	DKK1	24.56089134927995
DKK1	CTNNB1	24.40267069961483
WNT4	SOX9	24.396238455211112
NR0B1	SRY	24.37580600675089
UGR	DMRT1	24.373831034167253
CBX2	WT1mKTS	24.339077444136638
WT1mKTS	SRY	24.1079867387029
PGD2	DMRT1	23.916000568764744
CTNNB1	WT1mKTS	23.863309518905837
WNT4	FGF9	23.759293127588453
SOX9	WT1mKTS	23.72474109765402
NR5A1	SOX9	23.722379719695763
RSPO1	DKK1	23.435708505800605
SOX9	GATA4	23.384112364832074
DKK1	FGF9	22.233158315996924
UGR	SRY	22.214958395633786
UGR	CTNNB1	22.16225995388467
AMH	CTNNB1	22.15839908034073
RSPO1	DMRT1	21.999970799469814
FOXL2	DKK1	21.991295654555444
WNT4	PGD2	21.923017817432648
WT1mKTS	FGF9	21.898474750172614
GATA4	AMH	21.886591083148037
WT1pKTS	WT1mKTS	21.47882764009289
AMH	SRY	21.21319434136662
CBX2	FOXL2	21.170764734928397
NR5A1	WT1mKTS	21.041943612284054
NR0B1	GATA4	20.981116105287573
SRY	WNT4	20.853497912387546
WT1mKTS	UGR	20.74127102129429
NR5A1	GATA4	20.695285122512548
CBX2	DMRT1	20.562489771700413
GATA4	UGR	20.55991498180661
SRY	RSPO1	20.265723910505343
CBX2	SOX9	20.16810305243331
FOXL2	NR0B1	20.124755471450666
UGR	WT1pKTS	20.022540722447072
WNT4	DHH	19.89254492224963
SOX9	NR5A1	19.84463715473783
DKK1	NR0B1	19.754115416897207
DHH	CTNNB1	19.722676288275093
DKK1	NR5A1	19.672650769441823
SOX9	AMH	19.60601045266225
DHH	DKK1	19.57377225595618
NR0B1	FGF9	19.384182953131074
WT1mKTS	CBX2	19.368317212681244
RSPO1	SOX9	19.258167696105875
WT1mKTS	WNT4	19.132070516772387
NR0B1	DHH	18.954411006171654
CBX2	WNT4	18.9427751299425
NR5A1	FGF9	18.928273424789232
DKK1	WT1mKTS	18.877863124052688
SRY	NR0B1	18.678671143873586
UGR	DKK1	18.612847965182308
DMRT1	AMH	18.471215848537103
NR0B1	FOXL2	18.465055637091613
FGF9	RSPO1	18.147090772995707
CTNNB1	SOX9	18.061634920498896
PGD2	CBX2	17.867088776039637
FGF9	DKK1	17.766868963707008
DKK1	WT1pKTS	17.671622403112472
AMH	CBX2	17.4243926156616
DKK1	DHH	17.34065452611229
DKK1	AMH	17.290098012846393
SOX9	UGR	17.10554376861447
WT1mKTS	RSPO1	17.060323566306142
WNT4	GATA4	16.971755362534086
PGD2	RSPO1	16.810726253419922
PGD2	DKK1	16.689170520621975
SRY	GATA4	16.641845951043074
DHH	CBX2	16.63222878128804
AMH	UGR	16.591907140767717
CBX2	SRY	16.560079912559395
DMRT1	FGF9	16.555672409544837
SOX9	CTNNB1	16.5200298317454
WT1mKTS	AMH	16.426576935424645
NR5A1	AMH	16.40975926660639
GATA4	RSPO1	16.393602911190438
WT1mKTS	DHH	16.356242953047367
DMRT1	FOXL2	16.291107722709054
NR0B1	DMRT1	16.24187754205558
DMRT1	NR5A1	16.182048442970284
SRY	FGF9	16.138298933997245
RSPO1	GATA4	16.106944831601208
AMH	RSPO1	16.012825390059053
DHH	SRY	16.003069201755313
SRY	PGD2	15.987103431335758
UGR	FOXL2	15.953301685187506
DKK1	PGD2	15.9217360513289
PGD2	FOXL2	15.62018296106595
FGF9	UGR	15.536386229148956
DMRT1	RSPO1	15.499110623772221
FOXL2	GATA4	15.460008194373534
FOXL2	SOX9	15.434683265751733
RSPO1	WT1mKTS	15.279163660587132
GATA4	CBX2	15.179451839725996
WT1mKTS	FOXL2	15.132745650087195
RSPO1	DHH	15.082337780886155
SRY	AMH	15.063796634836885
FGF9	SRY	14.97677666941014
DHH	NR5A1	14.855918873174758
PGD2	UGR	14.619607904472355
CTNNB1	AMH	14.526108077931363
NR5A1	PGD2	14.296571116072304
CTNNB1	PGD2	13.874328159952741
DMRT1	UGR	13.708750644901734
DMRT1	DHH	13.302618728691462
WT1pKTS	AMH	13.232457690178625
NR0B1	DKK1	13.2287029007905
WT1mKTS	NR5A1	13.22317201198348
DMRT1	NR0B1	13.195023551782276
GATA4	NR5A1	13.101806220437277
GATA4	WT1pKTS	13.094789906898509
CTNNB1	FGF9	13.040328742137413
DHH	UGR	12.665827112122463
NR0B1	SOX9	12.608439625274475
SRY	DHH	12.591357838914973
WT1mKTS	CTNNB1	12.488896483964783
AMH	DMRT1	12.474447391245251
PGD2	SRY	12.439083835941794
SRY	CBX2	12.344662540252552
SOX9	WT1pKTS	12.169484524348023
RSPO1	FGF9	12.041855347812525
GATA4	CTNNB1	11.985642909984893
FGF9	FOXL2	11.897966096241722
RSPO1	AMH	11.781441600912464
DMRT1	PGD2	11.51858044555474
DHH	WT1pKTS	11.154471222830406
CTNNB1	GATA4	10.981453304460747
DHH	FOXL2	10.945084668894525
WT1pKTS	PGD2	10.764491554642703
WT1pKTS	FGF9	10.502251372872419
WT1pKTS	SOX9	10.460408158639877
CBX2	GATA4	9.952644967028588
PGD2	NR5A1	9.800095736300193
WT1pKTS	DHH	9.492017428391586
PGD2	CTNNB1	9.42326274682643
CBX2	AMH	9.15701107302255
PGD2	WT1pKTS	9.078414166448717
FGF9	CTNNB1	8.767761004606308
WT1mKTS	WT1pKTS	8.641062771133269
FOXL2	FGF9	8.553130617386602
FGF9	NR5A1	8.446528795938884
RSPO1	PGD2	8.392347194895606
UGR	PGD2	8.333575831798099
CTNNB1	DHH	8.272189441678384
AMH	WT1pKTS	7.214033969234087
UGR	AMH	7.187622886162039
FOXL2	AMH	6.9768283284441335
CBX2	FGF9	6.822648046582879
FOXL2	PGD2	6.613172911219662
NR5A1	DHH	6.526469155835253
FGF9	WT1pKTS	6.419588290821672
AMH	FOXL2	6.034255728878421
FOXL2	DHH	5.967468291247824
UGR	SOX9	5.718667329215128
GATA4	FOXL2	5.623054198272281
CBX2	DHH	5.522399632243394
CBX2	PGD2	4.476089252324256
AMH	NR5A1	4.355707873348127
UGR	FGF9	4.0616367915921225
UGR	DHH	3.5585002262303638
