TF	target	importance
DKK1	DMRT1	148.0990184353347
FOXL2	WT1pKTS	135.2741511717313
UGR	CBX2	113.92584318409608
DMRT1	DKK1	105.91362722883026
CTNNB1	RSPO1	90.48179076418907
RSPO1	CTNNB1	89.85556049048938
WT1pKTS	FOXL2	89.73737540202825
CBX2	UGR	89.06607202602471
NR5A1	CBX2	88.88374075196306
NR5A1	WT1pKTS	86.95262318598108
WNT4	NR0B1	74.23705950490717
CTNNB1	SRY	69.69437907498497
WNT4	CTNNB1	69.5619428038788
WT1pKTS	NR5A1	68.53931808287862
CTNNB1	NR5A1	67.84182405653864
RSPO1	FOXL2	66.90420436403632
FOXL2	NR5A1	66.7425077990068
NR5A1	FOXL2	66.02779212525779
NR5A1	UGR	64.93253169735259
CTNNB1	WT1pKTS	64.07622666089844
SRY	FOXL2	63.451272579894926
CTNNB1	WNT4	63.052051554469706
PGD2	WT1mKTS	62.864733507463455
SRY	DMRT1	62.5040420945531
UGR	WT1mKTS	61.4507055350614
RSPO1	CBX2	60.846530661350826
DKK1	SRY	59.861057196721376
NR0B1	UGR	59.86049552050682
UGR	NR0B1	59.772241476459754
WNT4	RSPO1	59.32176205756638
WT1pKTS	CBX2	58.8613489050448
FOXL2	CTNNB1	58.60731067773365
NR5A1	RSPO1	58.251614314838925
DMRT1	SRY	58.045513772100215
WT1pKTS	SRY	57.812488199134044
WT1mKTS	GATA4	56.992785152809496
FOXL2	SRY	56.63597636201147
AMH	FGF9	56.6171752737669
CTNNB1	DMRT1	55.01889734295062
SRY	DKK1	54.32332761025398
CTNNB1	CBX2	53.05963178701239
FOXL2	RSPO1	52.381029838954525
RSPO1	NR5A1	51.2761239512473
PGD2	DHH	51.136600275458456
DHH	WNT4	49.917481483257674
WNT4	DMRT1	49.911041381818876
FGF9	PGD2	49.43738737154749
DHH	AMH	49.433879128726836
NR0B1	WNT4	48.61496050216411
FGF9	WNT4	47.75079151589771
RSPO1	SRY	47.283938793785325
SOX9	RSPO1	46.71301148182035
GATA4	WT1mKTS	46.329528693171056
DKK1	CBX2	46.2370026920376
RSPO1	WT1pKTS	46.040604867057084
WT1pKTS	RSPO1	45.90502128498781
FGF9	AMH	45.78325730795301
CTNNB1	FOXL2	45.35541934180309
DHH	FGF9	44.1322680122147
DHH	PGD2	43.97012819247319
AMH	DHH	42.9670791315627
PGD2	FGF9	42.936683890888204
NR0B1	RSPO1	42.84040784465322
DHH	GATA4	42.440434141493256
AMH	NR0B1	42.373543688144466
RSPO1	WNT4	42.31367856529011
DKK1	SOX9	42.01573101719762
WNT4	UGR	41.547993954009726
AMH	WT1mKTS	41.46697342777272
DMRT1	CBX2	41.26852191740597
NR5A1	CTNNB1	40.9910748936737
NR0B1	PGD2	40.78167572471762
DHH	NR0B1	40.60160590430862
WT1pKTS	UGR	40.230308635932325
