Gene1,Gene2,EdgeWeight,Confidence,Stability,MeanPercentile,MeanZ,ZCILower,ZCIUpper,SelectedRuns,ObservedRuns,RunCount,BestRank
CBX2,UGR,88.20105455100651,1.0,1.0,1.0,3.1172034927125023,2.3608915384293447,3.5761711445988276,30,30,30,1
DKK1,DMRT1,116.06292443772718,0.9980392156862745,1.0,0.9980392156862745,3.3560646978883044,2.782207189459655,3.7939093975020324,30,30,30,1
DMRT1,DKK1,104.38812422489293,0.9980392156862745,1.0,0.9980392156862745,3.272733190918991,2.6043240617494074,3.7652474650934535,30,30,30,1
FOXL2,WT1pKTS,148.87464679952944,0.9980392156862745,1.0,0.9980392156862745,3.0957198853813823,2.170273021868033,3.5900205560465963,30,30,30,1
WT1pKTS,FOXL2,100.3807291514631,0.9901960784313726,1.0,0.9901960784313726,2.586103052695034,1.9175540094309431,3.1494482329380853,30,30,30,1
RSPO1,CTNNB1,75.5133821001995,0.9823529411764705,1.0,0.9823529411764705,2.379848649900125,1.1671501080957913,3.251145391082461,30,30,30,1
NR5A1,CBX2,89.66944584770555,0.9725490196078431,1.0,0.9725490196078431,2.2559997759867234,0.9779799638579864,3.024119913154092,30,30,30,1
UGR,CBX2,96.42324537668125,0.9686274509803922,1.0,0.9686274509803922,2.5303715790749997,1.7864392766161685,3.3398184839727136,30,30,30,1
WNT4,NR0B1,69.73979356165384,0.9686274509803922,1.0,0.9686274509803922,2.1854126039214714,1.067069850998465,3.003093932264221,30,30,30,1
CTNNB1,RSPO1,81.30504638490626,0.9666666666666667,1.0,0.9666666666666667,2.2300772572290595,1.1367001900620828,2.954171396242912,30,30,30,1
UGR,WT1mKTS,60.54654631580353,0.9627450980392157,1.0,0.9627450980392157,2.062774791082066,1.390352018157751,2.93842304726548,30,30,30,1
GATA4,WT1mKTS,59.695050681534774,0.9529411764705882,1.0,0.9529411764705882,1.98589801210226,0.8214972671199562,2.8670453903569406,30,30,30,1
WT1pKTS,NR5A1,86.03954917966502,0.9490196078431372,1.0,0.9490196078431372,1.792346744657209,1.0616326474502749,2.6140211753885634,30,30,30,1
UGR,GATA4,51.790038621188536,0.9431372549019608,1.0,0.9431372549019608,1.7997619986481042,0.4598481352211472,3.204450488817022,30,30,30,1
NR5A1,RSPO1,74.32305838256356,0.9352941176470588,1.0,0.9352941176470588,1.8674772650508997,1.0423032441932227,2.868239569885886,30,30,30,1
SRY,DKK1,66.4011783194464,0.9352941176470588,1.0,0.9352941176470588,1.5234846962950646,0.6968979533350583,2.5054560913150645,30,30,30,1
NR0B1,WNT4,73.32152037490265,0.9313725490196079,1.0,0.9313725490196079,1.996691427225261,0.5310406798724597,3.404497536802072,30,30,30,1
WT1mKTS,GATA4,51.747294883461564,0.9294117647058824,1.0,0.9294117647058824,1.8303742093632707,0.35884247462313706,3.109290825995647,30,30,30,1
AMH,FGF9,42.96727505586935,0.9274509803921569,1.0,0.9274509803921569,1.6602020464717684,0.6363932254116663,2.5694593347376053,30,30,30,1
SRY,DMRT1,66.86224488781146,0.9254901960784314,1.0,0.9254901960784314,1.3472104212338827,0.5558642281033876,2.4053827398368575,30,30,30,1
PGD2,DHH,43.674948589922714,0.9235294117647059,1.0,0.9235294117647059,1.7127367168969572,0.6229689785756956,2.7090313785978934,30,30,30,1
FGF9,AMH,45.84370468696808,0.9215686274509804,1.0,0.9215686274509804,1.7285189513317802,0.6223830703235526,2.9509789266957545,30,30,30,1
FOXL2,NR5A1,87.2016566026022,0.9215686274509804,1.0,0.9215686274509804,1.8223558838104332,0.7119265318537953,2.95398672533714,30,30,30,1
UGR,NR0B1,57.77181227004189,0.9215686274509804,1.0,0.9215686274509804,1.4657496527061276,0.7734149290662989,2.110838351786926,30,30,30,1
DHH,AMH,44.78409389362055,0.9137254901960784,1.0,0.9137254901960784,1.6810541822443812,0.17863174165350454,3.026459947985162,30,30,30,1
NR5A1,WT1pKTS,81.07281804769856,0.9117647058823529,1.0,0.9117647058823529,1.3131142424541993,0.5858462443420454,2.045185760508455,30,30,30,1
WNT4,CTNNB1,57.88552897757736,0.9117647058823529,1.0,0.9117647058823529,1.4518689299037157,0.6791005302627031,2.496776124490477,30,30,30,1
PGD2,AMH,43.82369212375748,0.9098039215686274,1.0,0.9098039215686274,1.5868133909220374,0.6515335295335596,2.5498645633841277,30,30,30,1
RSPO1,NR5A1,81.30058294921955,0.9098039215686274,1.0,0.9098039215686274,1.6137444362321882,0.8061946985552456,2.419832637976583,30,30,30,1
FGF9,PGD2,43.25773234210496,0.907843137254902,1.0,0.907843137254902,1.656533606943566,0.49020746942671256,2.686859874798433,30,30,30,1
PGD2,FGF9,40.82111337585864,0.907843137254902,1.0,0.907843137254902,1.4859098138807993,0.6258627189563633,2.3617996904348657,30,30,30,1
WNT4,RSPO1,64.45902221496748,0.9058823529411765,1.0,0.9058823529411765,1.3897182676367639,0.6812401008768033,2.422389122227268,30,30,30,1
DHH,PGD2,42.577622521551895,0.903921568627451,1.0,0.903921568627451,1.6074827921250616,0.4485289230367825,2.5751385825121584,30,30,30,1
FGF9,DHH,41.613040409482046,0.903921568627451,1.0,0.903921568627451,1.5784785041861755,0.45572189343572317,2.602299236765135,30,30,30,1
DMRT1,SRY,60.32964155799547,0.9019607843137255,1.0,0.9019607843137255,1.5347350671722644,0.7471886553327189,2.614860915289059,30,30,30,1
CTNNB1,FOXL2,70.0004258196097,0.9,1.0,0.9,1.457203716043774,0.5500612751230339,2.550714722001392,30,30,30,1
DKK1,SOX9,42.67339355697285,0.9,1.0,0.9,1.46738036688595,0.3445791077721051,2.519738037298644,30,30,30,1
DMRT1,SOX9,44.61243367137669,0.8921568627450981,1.0,0.8921568627450981,1.6326703987213131,-0.04797377082931514,2.8837123851748263,30,30,30,1
AMH,PGD2,39.63649018486985,0.888235294117647,1.0,0.888235294117647,1.406525465260004,0.42543317363213584,2.4860277924155536,30,30,30,1
CTNNB1,WT1pKTS,72.13778540153284,0.8862745098039215,1.0,0.8862745098039215,1.0596542301065892,0.2859843158561867,1.8668816464127476,30,30,30,2
AMH,DHH,38.36166299526799,0.884313725490196,1.0,0.884313725490196,1.3266616480503166,0.5708056838624059,2.4879567285110955,30,30,30,1
NR5A1,UGR,48.31116755402777,0.8823529411764706,1.0,0.8823529411764706,1.01837234695846,0.13189456360670748,1.7954736533505546,30,30,30,2
DHH,FGF9,40.80721661901726,0.8784313725490196,1.0,0.8784313725490196,1.4545776165351598,0.17436998698594788,2.8515721978621666,30,30,30,1
CTNNB1,SRY,55.857085238401666,0.8705882352941177,1.0,0.8705882352941177,1.286708828454001,0.49681747265550713,2.2283137958998127,30,30,30,1
RSPO1,WNT4,60.361075929824004,0.8705882352941177,1.0,0.8705882352941177,1.2629436120144049,0.13731268640573657,2.4667292389368294,30,30,30,1
NR0B1,UGR,45.68094448371012,0.8686274509803922,1.0,0.8686274509803922,0.8599984263580741,0.256945787429833,1.779329631741636,30,30,30,2
NR5A1,FOXL2,62.25927651593353,0.8666666666666667,1.0,0.8666666666666667,1.1522411231680498,0.4953709784232491,1.9945627956326355,30,30,30,2
SOX9,WNT4,58.78907519990957,0.8666666666666667,1.0,0.8666666666666667,1.1477616009434015,0.1228391829632932,1.9412694892580178,30,30,30,1
DKK1,SRY,61.08909883332725,0.8605228758169935,0.9666666666666667,0.8901960784313726,1.5534960997277119,-0.19086190235916503,2.86698754582872,29,30,30,1
RSPO1,FOXL2,59.88868271678764,0.8490196078431372,1.0,0.8490196078431372,1.0598237519030944,0.43382778424071894,1.7702268617216328,30,30,30,2
CTNNB1,NR5A1,69.11886698690336,0.8450980392156863,1.0,0.8450980392156863,1.2056168949307418,0.3907949899042165,1.9756417878825412,30,30,30,1
RSPO1,WT1pKTS,63.76975399937775,0.8411764705882353,1.0,0.8411764705882353,0.8282498404583675,0.25136739128273183,1.499233054850749,30,30,30,2
AMH,NR0B1,50.69067090410392,0.8392156862745098,1.0,0.8392156862745098,1.004339479780038,0.5103627406636811,1.6953538793371248,30,30,30,2
SOX9,DMRT1,48.699800391205756,0.8352941176470589,1.0,0.8352941176470589,0.5644949027180117,-0.1633978096118927,1.8174860284872576,30,30,30,2
NR5A1,CTNNB1,48.56819995177211,0.8333333333333334,1.0,0.8333333333333334,0.9723298309974885,-0.06548348823668995,1.8109160672809477,30,30,30,2
SOX9,FGF9,33.14399175639898,0.8137254901960784,1.0,0.8137254901960784,0.8973952904687185,0.005095367235559756,1.9087933850091274,30,30,30,1
CTNNB1,WNT4,55.42815808642472,0.8117647058823529,1.0,0.8117647058823529,0.9448426374484403,-0.08332073814757987,2.1514530039528097,30,30,30,1
WT1pKTS,CBX2,47.85265882612551,0.8117647058823529,1.0,0.8117647058823529,0.5343204631524792,-0.06831305666041801,1.1388533770094373,30,30,30,3
FOXL2,CTNNB1,47.33833283716924,0.8,1.0,0.8,0.8850846891516952,0.04518205089519375,2.080217216958725,30,30,30,2
SOX9,DKK1,45.494964340093,0.7998692810457517,0.9666666666666667,0.8274509803921569,0.5581538884409805,-0.1598754250544182,1.51240886304551,29,30,30,2
FOXL2,SRY,52.25338611985075,0.7922875816993464,0.9666666666666667,0.8196078431372549,1.0776527474315902,-0.19244381739612348,2.325710779457634,29,30,30,1
RSPO1,CBX2,45.42151077069942,0.792156862745098,1.0,0.792156862745098,0.4335158877115214,0.017984867044126364,1.0362482872411771,30,30,30,3
SRY,FOXL2,50.31507282356616,0.788235294117647,1.0,0.788235294117647,0.7017372692377085,-0.203180901385684,1.3299151051609626,30,30,30,2
WT1pKTS,SRY,51.5963047605315,0.777124183006536,0.9666666666666667,0.803921568627451,1.0246097664429081,-0.3449917904199541,1.9221333805972816,29,30,30,1
SOX9,PGD2,32.4705804904041,0.7733333333333334,0.9666666666666667,0.8,0.848022642154048,-0.07876967602636709,1.7535326443426014,29,30,30,1
SRY,WT1pKTS,39.26219230357392,0.7549019607843136,1.0,0.7549019607843136,0.16819603453904922,-0.16718900757716837,0.7277774354442226,30,30,30,4
PGD2,NR0B1,45.559439681806474,0.7509803921568626,1.0,0.7509803921568626,0.6855884129372112,-0.12584793386493717,1.654986298761687,30,30,30,2
RSPO1,SRY,44.720863150277616,0.7490196078431371,1.0,0.7490196078431371,0.6107703169888988,-0.11438493136203609,1.6275335165514018,30,30,30,1
CBX2,NR5A1,49.69986107532565,0.7411764705882352,1.0,0.7411764705882352,0.5100204437583601,-0.032522538101605894,1.0510446772713702,30,30,30,4
WNT4,UGR,36.62286469871494,0.7372549019607842,1.0,0.7372549019607842,0.3582305511125766,-0.10229818959911938,1.1752789802434838,30,30,30,2
RSPO1,UGR,36.84849002558473,0.7333333333333333,1.0,0.7333333333333333,0.3888680701632665,-0.23841783241756181,1.024540747502528,30,30,30,2
CTNNB1,DMRT1,38.08633235136835,0.7294117647058823,1.0,0.7294117647058823,0.11718199207541428,-0.28213172794988317,0.7791655815292372,30,30,30,3
CTNNB1,CBX2,43.599643347985015,0.7202614379084966,0.9666666666666667,0.7450980392156862,0.355259734612462,-0.2790918765455367,0.9967970836499029,29,30,30,3
WT1pKTS,CTNNB1,40.666873387491606,0.7145751633986928,0.9666666666666667,0.7392156862745097,0.5286786975301764,-0.3204221412836458,1.426899185496311,29,30,30,2
GATA4,DHH,29.511825398178505,0.7126797385620914,0.9666666666666667,0.7372549019607842,0.6344372671721603,-0.07625136247240608,1.8072953195006507,29,30,30,1
NR0B1,CTNNB1,39.15829678874181,0.7050980392156863,0.9666666666666667,0.7294117647058823,0.45287048768371885,-0.4411370267528315,1.5153878500851774,29,30,30,2
NR0B1,AMH,28.265328040255746,0.7050980392156861,0.9666666666666667,0.7294117647058822,0.4936636226189633,-0.35192285054135863,1.4701301051009663,29,30,30,3
WNT4,SOX9,32.07797169129115,0.6956209150326796,0.9666666666666667,0.7196078431372548,0.5991878402698222,-0.3187075641075411,1.673264642300763,29,30,30,1
GATA4,AMH,27.97171894490744,0.6937254901960783,0.9666666666666667,0.7176470588235293,0.4567770830249188,-0.4026535667931292,1.1378750436956095,29,30,30,3
NR0B1,RSPO1,43.58161428521226,0.691830065359477,0.9666666666666667,0.7156862745098038,0.4188155488384885,-0.4782507734721926,1.178655841017327,29,30,30,3
