Gene1	Gene2	EdgeWeight
GATA4	GATA4	1.0
NR5A1	DMRT1	1.0
CBX2	CBX2	1.0
SRY	SRY	1.0
NR0B1	AMH	1.0
CBX2	RSPO1	1.0
NR5A1	RSPO1	1.0
FOXL2	SRY	1.0
WT1mKTS	CBX2	1.0
CTNNB1	SRY	1.0
GATA4	WT1mKTS	1.0
WNT4	WNT4	1.0
NR5A1	DKK1	1.0
WT1mKTS	WT1mKTS	1.0
WT1mKTS	WT1mKTS	1.0
GATA4	WT1mKTS	1.0
CBX2	CTNNB1	1.0
NR0B1	NR0B1	1.0
WT1pKTS	SRY	1.0
GATA4	CBX2	1.0
WT1mKTS	GATA4	1.0
WT1mKTS	GATA4	1.0
FOXL2	NR5A1	1.0
WT1mKTS	WT1pKTS	1.0
WT1pKTS	WT1pKTS	1.0
FOXL2	WT1pKTS	1.0
NR5A1	FOXL2	1.0
WT1pKTS	FOXL2	1.0
WT1mKTS	WT1pKTS	1.0
WNT4	UGR	1.0
SRY	UGR	1.0
GATA4	GATA4	1.0
GATA4	WT1pKTS	1.0
WT1pKTS	WT1pKTS	1.0
UGR	CBX2	0.999999
NR0B1	DHH	0.999992
CTNNB1	CTNNB1	0.999991
FGF9	FGF9	0.9999899999999999
CBX2	DMRT1	0.999985
RSPO1	CTNNB1	0.999958
AMH	FGF9	0.9999549999999999
UGR	SRY	0.999951
NR0B1	UGR	0.999949
WT1mKTS	DKK1	0.9999370000000001
UGR	NR0B1	0.999842
WT1pKTS	PGD2	0.999816
GATA4	PGD2	0.9997790000000001
PGD2	FGF9	0.999761
UGR	WNT4	0.9997020000000001
SOX9	SOX9	0.999699
GATA4	WNT4	0.9996360000000001
CBX2	DKK1	0.999293
WT1mKTS	SRY	0.999051
WNT4	SRY	0.998417
NR0B1	DMRT1	0.9982840000000001
DHH	PGD2	0.9978040000000001
DKK1	SRY	0.9977889999999999
WT1pKTS	FGF9	0.9975229999999999
SRY	WNT4	0.995559
WT1pKTS	CBX2	0.994721
GATA4	FGF9	0.9945959999999999
CTNNB1	CBX2	0.9943629999999999
FGF9	PGD2	0.9928799999999999
NR5A1	SOX9	0.983131
FGF9	RSPO1	0.974
DMRT1	NR5A1	0.9738950000000001
DKK1	NR5A1	0.972967
WT1mKTS	AMH	0.967517
RSPO1	UGR	0.944606
WNT4	SOX9	0.940627
NR0B1	PGD2	0.9375450000000001
WT1mKTS	FGF9	0.933592
RSPO1	NR5A1	0.9293959999999999
CTNNB1	NR5A1	0.9179940000000001
SOX9	RSPO1	0.9110440000000001
PGD2	PGD2	0.8985139999999999
AMH	PGD2	0.895698
GATA4	SRY	0.8858229999999999
WT1mKTS	FOXL2	0.88403
DKK1	WNT4	0.8726520000000001
NR0B1	DKK1	0.87246
SRY	CBX2	0.8460780000000001
WT1mKTS	DHH	0.842469
WNT4	DKK1	0.814336
RSPO1	CBX2	0.7863319999999999
WT1pKTS	SOX9	0.753772
DHH	RSPO1	0.740854
WT1pKTS	CTNNB1	0.713306
DMRT1	CBX2	0.708454
PGD2	NR0B1	0.64927
RSPO1	WNT4	0.625129
NR5A1	CBX2	0.615934
WNT4	DMRT1	0.613835
FOXL2	DKK1	0.578973
FGF9	SRY	0.57789
UGR	DMRT1	0.5643090000000001
DMRT1	SOX9	0.558279
WNT4	DHH	0.553055
NR0B1	SRY	0.549821
SOX9	UGR	0.538623
DHH	FGF9	0.53795
GATA4	SOX9	0.517253
WT1mKTS	CTNNB1	0.5008670000000001
SRY	SOX9	0.47195699999999996
AMH	NR0B1	0.41738400000000003
RSPO1	DHH	0.416778
DMRT1	DHH	0.402308
WT1mKTS	PGD2	0.377201
SRY	FOXL2	0.371027
SOX9	SRY	0.356607
FGF9	NR0B1	0.32209
RSPO1	AMH	0.301691
GATA4	FOXL2	0.30125599999999997
FOXL2	DHH	0.29456
UGR	DHH	0.291522
WNT4	CBX2	0.269348
FOXL2	DMRT1	0.26910500000000004
SRY	PGD2	0.263279
DHH	NR0B1	0.255729
UGR	RSPO1	0.24969699999999997
UGR	CTNNB1	0.242353
UGR	FOXL2	0.24071900000000002
UGR	FGF9	0.23767
GATA4	DHH	0.222061
CBX2	NR0B1	0.221006
SRY	CTNNB1	0.207191
CBX2	WNT4	0.200153
CBX2	FOXL2	0.19917200000000002
UGR	DKK1	0.192445
AMH	SOX9	0.191855
PGD2	SOX9	0.18921500000000002
FOXL2	FOXL2	0.188398
CTNNB1	DHH	0.185702
DMRT1	UGR	0.177929
NR5A1	CTNNB1	0.170993
NR5A1	UGR	0.16933399999999998
NR0B1	WNT4	0.166941
DMRT1	FGF9	0.164123
NR5A1	FGF9	0.163578
FGF9	SOX9	0.160807
NR5A1	WT1pKTS	0.156943
NR0B1	NR5A1	0.156567
NR0B1	FGF9	0.15629500000000002
CBX2	SRY	0.15623299999999998
DKK1	FOXL2	0.154612
AMH	DKK1	0.154353
DKK1	CBX2	0.15345599999999998
DMRT1	NR0B1	0.153348
FOXL2	CBX2	0.149336
NR0B1	SOX9	0.148859
UGR	PGD2	0.148057
WT1pKTS	WNT4	0.14766600000000002
DKK1	SOX9	0.1467
UGR	WT1pKTS	0.139888
CBX2	SOX9	0.13988699999999998
FGF9	DHH	0.139405
NR5A1	DHH	0.13883399999999999
PGD2	WT1pKTS	0.138237
SRY	RSPO1	0.134171
AMH	DHH	0.1341
SRY	FGF9	0.131152
NR0B1	CBX2	0.13112000000000001
SOX9	FGF9	0.130522
SOX9	GATA4	0.128701
SOX9	PGD2	0.127881
WT1mKTS	SOX9	0.12712
AMH	WNT4	0.126867
FOXL2	FGF9	0.12401199999999998
RSPO1	FGF9	0.12316300000000001
WT1mKTS	WNT4	0.123003
DMRT1	SRY	0.12125
AMH	CBX2	0.12039100000000001
RSPO1	PGD2	0.11685999999999999
DKK1	WT1pKTS	0.116827
UGR	AMH	0.11571
PGD2	WNT4	0.11508900000000001
SOX9	WNT4	0.113853
DMRT1	WNT4	0.113846
GATA4	CTNNB1	0.111881
CTNNB1	FOXL2	0.10988699999999998
WNT4	WT1pKTS	0.106323
NR5A1	PGD2	0.105217
FGF9	WNT4	0.104457
CTNNB1	PGD2	0.10181699999999999
DHH	DHH	0.10177699999999999
DKK1	FGF9	0.10063899999999999
SRY	WT1pKTS	0.100524
PGD2	FOXL2	0.100138
CTNNB1	SOX9	0.098691
PGD2	DHH	0.09844800000000001
WNT4	CTNNB1	0.098053
AMH	CTNNB1	0.097836
WNT4	PGD2	0.09716699999999999
DHH	WT1pKTS	0.096718
SOX9	CBX2	0.09665399999999999
RSPO1	SOX9	0.095859
FOXL2	PGD2	0.095831
NR0B1	WT1pKTS	0.095814
SOX9	DHH	0.095195
DMRT1	PGD2	0.094427
NR0B1	RSPO1	0.094318
SOX9	FOXL2	0.0939
NR5A1	SRY	0.093861
DHH	WNT4	0.09355
CBX2	PGD2	0.09339700000000001
DHH	CTNNB1	0.092975
RSPO1	WT1pKTS	0.092558
PGD2	SRY	0.09189299999999999
DKK1	PGD2	0.091653
DMRT1	FOXL2	0.09136
AMH	GATA4	0.08959099999999999
WNT4	FOXL2	0.089477
WNT4	FGF9	0.089224
DHH	GATA4	0.08909199999999999
DKK1	CTNNB1	0.088154
FOXL2	NR0B1	0.0876
SOX9	CTNNB1	0.08748600000000001
CTNNB1	WNT4	0.087224
PGD2	WT1mKTS	0.087167
CTNNB1	WT1pKTS	0.087125
FOXL2	GATA4	0.086999
NR0B1	CTNNB1	0.08519700000000001
CTNNB1	FGF9	0.08517899999999999
FOXL2	WNT4	0.08415700000000001
CTNNB1	WT1mKTS	0.083843
FGF9	CTNNB1	0.082912
DHH	WT1mKTS	0.082387
DKK1	UGR	0.082001
