Parent	Type	Child	Weight	Probability	Score
DMRT1	+	DMRT1	0.992606	0.000000	0.000000
FGF9	+	DMRT1	0.031835	0.050191	0.001768
RSPO1	+	DMRT1	0.050292	0.045343	0.002523
DHH	-	DMRT1	-0.022441	0.094897	-0.002356
CTNNB1	+	DMRT1	0.013118	0.037630	0.000546
PGD2	+	DMRT1	0.068146	0.026864	0.002025
WT1mKTS	+	DMRT1	0.267401	0.000000	0.000000
SRY	+	DMRT1	0.025274	0.047375	0.001325
DKK1	+	DMRT1	0.842309	0.000000	0.000000
WNT4	-	DMRT1	-0.071780	0.273693	-0.021736
CBX2	-	DMRT1	-0.213039	0.999992	-0.235699
AMH	+	DMRT1	0.088791	0.013361	0.001313
NR0B1	+	DMRT1	0.029367	0.045879	0.001491
NR5A1	-	DMRT1	-0.388187	1.000000	-0.429480
WT1pKTS	+	DMRT1	1.229968	0.000000	0.000000
FOXL2	-	DMRT1	-0.044629	0.077494	-0.003826
UGR	-	DMRT1	-0.066996	0.243208	-0.018027
SOX9	+	DMRT1	0.564371	0.000000	0.000000
GATA4	+	DMRT1	0.764697	0.000000	0.000000
DMRT1	+	FGF9	0.101975	0.113838	0.012843
FGF9	+	FGF9	0.358000	0.968188	0.383482
RSPO1	-	FGF9	-0.108985	0.128605	-0.015507
DHH	+	FGF9	0.316493	0.819796	0.287060
CTNNB1	-	FGF9	-0.061141	0.084614	-0.005724
PGD2	+	FGF9	0.414528	0.999189	0.458252
WT1mKTS	+	FGF9	0.108833	0.117889	0.014195
SRY	+	FGF9	0.092920	0.106308	0.010929
DKK1	+	FGF9	0.004018	0.081346	0.000362
WNT4	+	FGF9	0.003846	0.060020	0.000255
CBX2	-	FGF9	-0.028329	0.067377	-0.002112
AMH	+	FGF9	0.413182	0.999262	0.456797
NR0B1	-	FGF9	-0.170267	0.270367	-0.050932
NR5A1	+	FGF9	0.135381	0.125930	0.018862
WT1pKTS	+	FGF9	0.472119	0.909983	0.475321
FOXL2	+	FGF9	0.028118	0.044010	0.001369
UGR	-	FGF9	-0.011375	0.043320	-0.000545
SOX9	+	FGF9	0.102232	0.111248	0.012583
GATA4	-	FGF9	-0.455410	0.932884	-0.470038
DMRT1	+	RSPO1	0.306270	0.475763	0.161212
FGF9	-	RSPO1	-0.112748	0.111135	-0.013863
RSPO1	+	RSPO1	0.548411	0.999997	0.606747
DHH	-	RSPO1	-0.220282	0.232344	-0.056626
CTNNB1	+	RSPO1	0.525311	0.999957	0.581166
PGD2	+	RSPO1	0.063862	0.082690	0.005843
WT1mKTS	+	RSPO1	0.489154	0.813097	0.440038
