Gene1,Gene2,EdgeWeight,Confidence,Stability,MeanPercentile,MeanZ,ZCILower,ZCIUpper,SelectedRuns,ObservedRuns,RunCount,BestRank
GATA4,GATA4,1.0,1.0,1.0,1.0,2.4426348460957548,2.2988665984200436,2.909706352106884,30,30,30,1
GATA4,WT1mKTS,1.0,1.0,1.0,1.0,2.5240019642182814,2.3036506987215315,2.9091678131473837,30,30,30,1
CBX2,CTNNB1,0.9999959666666667,0.9796296296296296,1.0,0.9796296296296296,2.0447166538693993,1.623437090528149,2.4429247628808706,30,30,30,1
FOXL2,NR5A1,0.9998497333333333,0.9796296296296296,1.0,0.9796296296296296,1.9010753710684332,1.4931103600055569,2.465000549946218,30,30,30,1
NR5A1,DKK1,0.9997117666666667,0.9722222222222222,1.0,0.9722222222222222,1.9681045179388101,1.5013040886194604,2.530558971634893,30,30,30,1
NR5A1,DMRT1,0.9999981333333333,0.9722222222222222,1.0,0.9722222222222222,2.1856095389512986,1.5790681437417249,2.8816722884144896,30,30,30,1
WT1pKTS,FOXL2,0.9999981333333333,0.9685185185185184,1.0,0.9685185185185184,2.219614046702645,1.741860727780685,2.7301653437170224,30,30,30,1
CBX2,RSPO1,0.9999943333333333,0.962962962962963,1.0,0.962962962962963,1.6013298397661653,1.3111797594841743,2.1300264567609077,30,30,30,1
SRY,UGR,0.9999972333333333,0.962962962962963,1.0,0.962962962962963,1.650158309700257,1.217107898349596,1.8855116334070707,30,30,30,1
FOXL2,WT1pKTS,0.9999988666666667,0.961111111111111,1.0,0.961111111111111,1.9203327354382378,1.8588711307989614,1.9349750377639192,30,30,30,1
NR0B1,AMH,0.9796091333333333,0.9592592592592593,1.0,0.9592592592592593,2.4462280220489845,1.1464153283356442,3.7294014207731623,30,30,30,1
GATA4,WT1pKTS,1.0,0.9574074074074074,1.0,0.9574074074074074,1.9203358001244726,1.858876122499539,1.9349750377639192,30,30,30,1
CTNNB1,CBX2,0.998844,0.951851851851852,1.0,0.951851851851852,1.2444893371072887,1.0684525515656824,1.4577474837853919,30,30,30,1
WT1mKTS,GATA4,1.0,0.9444444444444444,1.0,0.9444444444444444,2.4426348460957548,2.2988665984200436,2.909706352106884,30,30,30,2
WT1mKTS,WT1mKTS,1.0,0.9444444444444444,1.0,0.9444444444444444,2.5240019642182814,2.3036506987215315,2.9091678131473837,30,30,30,2
WNT4,SOX9,0.9356189666666667,0.9296296296296297,1.0,0.9296296296296297,1.9430081544635578,0.8198176411901855,3.256701077778652,30,30,30,1
NR5A1,FOXL2,0.9624050333333333,0.9277777777777777,1.0,0.9277777777777777,2.1132534380351427,0.786399925668912,2.728883961929281,30,30,30,1
NR0B1,DHH,0.8083102,0.9203703703703704,1.0,0.9203703703703704,2.0315032934690436,-0.30401210137513746,3.776805281408852,30,30,30,1
GATA4,FGF9,0.9798753333333334,0.9185185185185186,1.0,0.9185185185185186,1.9821827069234212,1.1906954593502623,3.045098579790896,30,30,30,1
WT1mKTS,WT1pKTS,1.0,0.9018518518518518,1.0,0.9018518518518518,1.9203358001244726,1.858876122499539,1.9349750377639192,30,30,30,2
DKK1,WNT4,0.8932393666666666,0.8925925925925926,1.0,0.8925925925925926,1.4605134930037569,-0.01977407910315429,2.163116817029459,30,30,30,1
NR5A1,RSPO1,0.9925909666666667,0.8851851851851852,1.0,0.8851851851851852,1.5815713046465851,1.2989878991834474,2.1300264567609077,30,30,30,1
NR0B1,PGD2,0.7593512,0.8814814814814815,1.0,0.8814814814814815,1.7030316659828941,-0.32128524235435585,3.2320498629116656,30,30,30,1
DMRT1,NR5A1,0.9003664,0.8814814814814814,1.0,0.8814814814814814,1.6121207161557511,0.6478009253327853,2.2516395787073122,30,30,30,2
CBX2,DMRT1,0.8302725333333334,0.8629629629629629,1.0,0.8629629629629629,1.7017472120752473,-0.13703749440149968,2.7049523440637375,30,30,30,1
UGR,SRY,0.9994274333333333,0.8481481481481482,1.0,0.8481481481481482,1.4119464706904237,1.1340135860152436,1.9724609948327663,30,30,30,1
WT1pKTS,WT1pKTS,1.0,0.8462962962962963,1.0,0.8462962962962963,1.9203358001244726,1.858876122499539,1.9349750377639192,30,30,30,3
NR0B1,UGR,0.8045938666666667,0.8314814814814814,1.0,0.8314814814814814,1.1059522707145193,-0.24428551221782768,1.8853107217793423,30,30,30,1
DKK1,NR5A1,0.7694376333333334,0.8240740740740741,1.0,0.8240740740740741,1.2623595830033139,-0.07531170541001385,2.1818811573877377,30,30,30,2
FOXL2,SRY,0.8945280333333333,0.8240740740740741,1.0,0.8240740740740741,1.1376909308803644,0.21925947646527433,1.9487977532242193,30,30,30,1
RSPO1,CBX2,0.9634778999999999,0.8240740740740741,1.0,0.8240740740740741,1.1557351968163456,0.2847952192238177,1.4577474837853919,30,30,30,1
WNT4,UGR,0.8483136000000001,0.8240740740740741,1.0,0.8240740740740741,1.2278360344001014,0.1405017887808387,1.8855116334070707,30,30,30,2
UGR,WNT4,0.7792791,0.8092592592592592,1.0,0.8092592592592592,1.1811784531581402,-0.28897637632629875,2.0993615086475765,30,30,30,2
CBX2,DKK1,0.8080057666666666,0.8073456790123457,0.9666666666666667,0.8351851851851851,1.4188751865763982,-0.47600358428719225,2.29276349735712,29,30,30,2
WNT4,DKK1,0.7996059333333334,0.8037654320987654,0.9666666666666667,0.8314814814814814,1.4107686116748623,-0.3774614038817906,2.317820500952408,29,30,30,2
SRY,SRY,0.9006617333333333,0.7966666666666666,0.9,0.8851851851851852,1.1559358311091483,-0.6643411649481239,1.5844687808006908,27,30,30,1
AMH,NR0B1,0.7084293,0.7796296296296297,1.0,0.7796296296296297,0.8784368185837779,-0.5972686613161511,1.8672575467549373,30,30,30,2
NR0B1,FGF9,0.6536535333333333,0.767962962962963,0.9666666666666667,0.7944444444444444,1.089440997445122,-0.6532076974111707,2.7855649677670393,29,30,30,1
UGR,CTNNB1,0.5050084333333333,0.7648148148148148,1.0,0.7648148148148148,0.5810138798677045,-0.4535416189775837,1.7554042470366067,30,30,30,2
RSPO1,NR5A1,0.6015637333333334,0.7555555555555556,1.0,0.7555555555555556,0.7890750163596608,-0.39872437788044607,1.791257894555677,30,30,30,3
GATA4,PGD2,0.6372928000000001,0.7535802469135802,0.9333333333333333,0.8074074074074074,1.1799627240183137,-0.6299965415183519,2.8150570300585827,28,30,30,1
WT1mKTS,DKK1,0.6665648,0.7446913580246913,0.9666666666666667,0.7703703703703704,0.9511423860405414,-0.5639912149729458,1.8515684913299926,29,30,30,2
SRY,FOXL2,0.4517871,0.7429012345679014,0.9666666666666667,0.7685185185185186,0.5291605990171265,-0.6819126260141792,1.9580129836225022,29,30,30,3
UGR,NR0B1,0.6653493,0.7357407407407407,0.9666666666666667,0.7611111111111111,0.8118511739317842,-0.4116831082778555,2.367467513768041,29,30,30,1
FOXL2,GATA4,0.08863396666666666,0.7339506172839506,0.9666666666666667,0.7592592592592593,-0.3582197789791926,-0.4202964648570656,-0.2570893516487213,29,30,30,3
WT1pKTS,GATA4,0.7978261999999999,0.73,0.9,0.8111111111111111,1.7420801035102413,-0.3269652289925332,2.3081170109540334,27,30,30,3
DHH,WT1mKTS,0.08377196666666667,0.7017283950617285,0.9666666666666667,0.725925925925926,-0.3532760419226023,-0.4108896954981615,-0.2572448039922118,29,30,30,3
SRY,CBX2,0.8083142999999999,0.696358024691358,0.9666666666666667,0.7203703703703703,0.7390957468085942,-0.6146937297550551,1.3688469441959312,29,30,30,1
DHH,NR0B1,0.6668120333333333,0.6827160493827161,0.9333333333333333,0.7314814814814815,0.7632616927386923,-0.6274498035803682,1.8801379433339118,28,30,30,1
WNT4,DMRT1,0.4666575666666667,0.6783333333333333,0.9,0.7537037037037037,0.5891611217882836,-0.6792200616804238,1.9458292290146744,27,30,30,3
WT1pKTS,SRY,0.8139489666666666,0.6743827160493827,0.8333333333333334,0.8092592592592592,0.9374797973695805,-0.7117598316763526,1.5128425905907987,25,30,30,2
WNT4,SRY,0.8851215,0.6733333333333333,0.9,0.7481481481481481,1.1145060144409282,-0.7670046845626022,1.5862769178857705,27,30,30,2
FGF9,NR0B1,0.6064139,0.6585185185185186,0.9333333333333333,0.7055555555555556,0.6184522984368154,-0.6353171605850695,1.9289475411862407,28,30,30,1
RSPO1,DHH,0.3813761,0.6566666666666667,0.9,0.7296296296296296,0.4262855340636431,-0.7279640213412397,2.24735938206651,27,30,30,2
WT1pKTS,WT1mKTS,0.6780592333333334,0.6564197530864198,0.8666666666666667,0.7574074074074074,1.4050468288756763,-0.3605487155568665,2.307410521528106,26,30,30,3
RSPO1,CTNNB1,0.8206708,0.6527777777777778,0.8333333333333334,0.7833333333333333,1.491514840342544,-0.7824995646920068,2.2650923757322112,25,30,30,1
UGR,PGD2,0.38061636666666665,0.6483333333333333,0.9,0.7203703703703703,0.4006377259086434,-0.74482357086915,2.238765653515112,27,30,30,2
NR5A1,CTNNB1,0.3296963666666667,0.6239506172839507,0.9333333333333333,0.6685185185185186,0.08715186306797652,-0.6983572393624873,1.3349006535019554,28,30,30,3
WT1mKTS,AMH,0.5153767,0.6146913580246913,0.8666666666666667,0.7092592592592593,0.8560904695430988,-0.6392526297616715,2.656310833007636,26,30,30,2
PGD2,NR0B1,0.6423855666666667,0.6082716049382717,0.8666666666666667,0.701851851851852,0.7045115443141088,-0.6869898605719804,1.5825614419733038,26,30,30,3
CBX2,FOXL2,0.2407215,0.5966666666666667,0.9,0.662962962962963,-0.10855472043116281,-0.7098279458802985,1.01853316065309,27,30,30,3
CTNNB1,CTNNB1,0.7797107333333333,0.5955555555555555,0.8,0.7444444444444444,1.3824616464950656,-0.7993262690006051,2.3231610423123743,24,30,30,1
UGR,AMH,0.22307276666666667,0.5922222222222222,0.8666666666666667,0.6833333333333333,-0.07547895655032771,-0.7138887214521471,0.9775636525130293,26,30,30,3
CTNNB1,NR5A1,0.5353324666666667,0.587962962962963,0.8333333333333334,0.7055555555555556,0.6142605998932532,-0.7738232207186064,1.7888191940679683,25,30,30,3
UGR,RSPO1,0.3897557666666666,0.5841975308641976,0.9333333333333333,0.625925925925926,0.016627754584265117,-0.7143682292820652,1.4873684153472708,28,30,30,3
GATA4,SOX9,0.5204852,0.58179012345679,0.8333333333333334,0.6981481481481481,0.601263318056026,-0.7218103591819017,2.1292753453974065,25,30,30,1
DMRT1,WNT4,0.5754552666666667,0.5632716049382717,0.8333333333333334,0.6759259259259259,0.5885929034356414,-0.7175068710178115,2.000669899211717,25,30,30,3
FOXL2,DHH,0.22798256666666666,0.5601851851851852,0.8333333333333334,0.6722222222222223,-0.05461882714153263,-0.6929059158730666,1.1977146951088011,25,30,30,3
SRY,CTNNB1,0.2048669,0.56,0.9,0.6222222222222222,-0.27317247908126974,-0.6698894901739756,0.7022790383476898,27,30,30,4
RSPO1,RSPO1,0.7687707333333333,0.5593827160493827,0.7666666666666667,0.7296296296296296,0.9692680256599945,-0.7549576786405862,1.680490851199627,23,30,30,1
CBX2,CBX2,0.7577599,0.5524691358024691,0.8333333333333334,0.662962962962963,0.6750719058811059,-1.0583894294284897,1.3561486726035985,25,30,30,1
CTNNB1,RSPO1,0.7605377666666667,0.5466049382716051,0.7666666666666667,0.712962962962963,0.9483094660997209,-0.7723905215907867,1.6789898766647098,23,30,30,1
GATA4,SRY,0.6518142666666666,0.5408641975308641,0.8666666666666667,0.624074074074074,0.4952711285516197,-0.8761919386899943,1.4834152329228734,26,30,30,3
PGD2,WT1mKTS,0.080972,0.5354938271604939,0.8333333333333334,0.6425925925925926,-0.3623883975046041,-0.42324057469793774,-0.2533417350907523,25,30,30,3
FGF9,PGD2,0.4314101,0.5153703703703705,0.7666666666666667,0.6722222222222223,0.38364272227372137,-0.5640107575915716,1.967062071535785,23,30,30,2
WNT4,DHH,0.23220543333333332,0.5140740740740741,0.8,0.6425925925925926,-0.0030160520349530717,-0.7838214016819791,1.47742551329665,24,30,30,1
UGR,CBX2,0.7610175666666666,0.5111111111111111,0.7666666666666667,0.6666666666666666,0.6935287839403886,-1.0583894294284897,1.4567922645414142,23,30,30,2
NR0B1,SRY,0.5629002333333334,0.5055555555555556,0.8666666666666667,0.5833333333333334,0.2698185774792166,-0.7667233093451394,1.2711846380740779,26,30,30,5
AMH,FGF9,0.5419879000000001,0.4983950617283951,0.7333333333333333,0.6796296296296297,0.5355129043950307,-0.6261822052853574,1.759917997702206,22,30,30,1
UGR,DKK1,0.2359062,0.49037037037037035,0.8,0.6129629629629629,-0.18094911854876092,-0.9703061800475429,0.7696013267166408,24,30,30,4
WNT4,WNT4,0.703688,0.48999999999999994,0.7,0.7,0.9804213277783023,-0.8511829438601761,2.0924731291236074,21,30,30,1
RSPO1,WT1mKTS,0.07706396666666666,0.48919753086419754,0.8333333333333334,0.587037037037037,-0.375198142573561,-0.4260547195877252,-0.30964682131184124,25,30,30,5
AMH,PGD2,0.4612606666666667,0.4861728395061728,0.7333333333333333,0.662962962962963,0.49204124262382576,-0.5501228829618732,2.142509678632843,22,30,30,1
WT1mKTS,PGD2,0.4320182,0.4834567901234568,0.7333333333333333,0.6592592592592593,0.5123157407903711,-0.6842595710254787,2.618940469461912,22,30,30,1
RSPO1,UGR,0.5383751666666666,0.4798765432098766,0.7666666666666667,0.625925925925926,0.39447667349500615,-0.8354954369846677,1.7708183281319623,23,30,30,4
FGF9,FGF9,0.5237274,0.47938271604938265,0.7333333333333333,0.6537037037037037,0.4798588835115019,-0.6327108779149071,1.7553952685932788,22,30,30,1
