Gene1	Gene2	Score
CTNNB1	RSPO1	0.881344199076204
RSPO1	CTNNB1	0.881344199076204
NR0B1	FOXL2	0.870952069895581
WNT4	RSPO1	0.870562699914106
UGR	FOXL2	-0.869711116070902
RSPO1	FOXL2	0.865549253079827
CTNNB1	FOXL2	0.864032276661144
UGR	CTNNB1	-0.863152777864169
WNT4	FOXL2	0.861939213936845
WNT4	CTNNB1	0.859610805346456
UGR	RSPO1	-0.85689681988848
CTNNB1	CBX2	-0.855696396136287
CBX2	FOXL2	-0.853389951373572
NR0B1	CTNNB1	0.853017161268936
NR0B1	RSPO1	0.852055059762193
NR0B1	WNT4	0.850985109423796
WNT4	NR0B1	0.850985109423796
UGR	CBX2	0.847786668950322
CBX2	CTNNB1	-0.842454270334108
CBX2	NR5A1	0.842330603682873
RSPO1	CBX2	-0.840103357461165
CTNNB1	NR5A1	-0.839082216175704
CBX2	RSPO1	-0.837281494559641
RSPO1	NR5A1	-0.831181208515121
UGR	NR5A1	0.830981375539288
CBX2	WT1pKTS	0.824022177897837
NR5A1	WT1pKTS	0.822300638679961
CTNNB1	WT1pKTS	-0.819762892373254
UGR	WT1pKTS	0.81927331185387
NR5A1	FOXL2	-0.817059821868229
RSPO1	WT1pKTS	-0.814359926987416
WNT4	UGR	-0.814250637639858
GATA4	WT1mKTS	0.811984821587926
WT1mKTS	GATA4	0.811984821587926
WNT4	CBX2	-0.811656380831623
NR0B1	CBX2	-0.810864618428479
NR0B1	UGR	-0.808913692997881
FOXL2	NR5A1	-0.802535427018521
FOXL2	WT1pKTS	-0.79442862245563
WNT4	NR5A1	-0.788613499031351
NR0B1	NR5A1	-0.78278795562957
WNT4	WT1pKTS	-0.777271243172417
NR0B1	WT1pKTS	-0.776975190215782
CTNNB1	UGR	-0.768795321967449
UGR	WNT4	-0.762448195767831
CBX2	UGR	0.747549201395389
WT1pKTS	NR5A1	0.745348891572228
UGR	NR0B1	-0.743012854184722
WT1pKTS	FOXL2	-0.742999067366034
RSPO1	UGR	-0.736011248400118
WNT4	SRY	-0.7350979771306
NR0B1	SRY	-0.730859202339884
NR5A1	CBX2	0.722366894623672
NR5A1	RSPO1	-0.718498660469148
NR5A1	CTNNB1	-0.717912176181017
UGR	SRY	0.680775376086861
CBX2	WNT4	-0.630809825718078
CTNNB1	WNT4	0.627299621387634
CTNNB1	SRY	-0.627087163032561
FOXL2	CBX2	-0.622374964165074
CBX2	SRY	0.60252862370808
FOXL2	CTNNB1	0.598950450626446
CBX2	NR0B1	-0.596579634248352
FOXL2	RSPO1	0.596473505989463
CTNNB1	NR0B1	0.588933697213463
RSPO1	WNT4	0.587522736372675
RSPO1	SRY	-0.585216578516082
WT1mKTS	NR0B1	0.579741532450991
RSPO1	NR0B1	0.55704114791488
NR5A1	UGR	0.548769638504624
WT1pKTS	CTNNB1	-0.537006025742527
GATA4	NR0B1	0.536454567450469
WT1pKTS	RSPO1	-0.535424831188805
WT1mKTS	WNT4	0.534413802364777
WT1pKTS	CBX2	0.53408438678261
GATA4	WNT4	0.516081595444785
FOXL2	SRY	-0.473797616905304
SRY	FOXL2	-0.467130344155812
NR5A1	WNT4	-0.464272841261894
WT1mKTS	RSPO1	0.463357072185684
NR5A1	SRY	0.462981651014354
NR5A1	NR0B1	-0.440194329896046
SRY	WT1pKTS	0.426420155850571
FOXL2	UGR	-0.426132133484638
NR0B1	GATA4	-0.423798075792616
WT1mKTS	CTNNB1	0.421954619626095
