Gene1	Gene2	EdgeWeight
CTNNB1	RSPO1	0.8837513158243191
RSPO1	CTNNB1	0.8837513158243191
WT1pKTS	WT1mKTS	0.8710995702257059
WT1mKTS	WT1pKTS	0.8710995702257059
NR0B1	FOXL2	0.8675898599847
CTNNB1	FOXL2	0.862880427219106
UGR	WNT4	0.8609176437677101
UGR	FOXL2	0.8603764584858249
WNT4	FOXL2	0.860263036758996
RSPO1	FOXL2	0.8581798426234759
NR0B1	WNT4	0.857968530361812
WNT4	NR0B1	0.857968530361812
NR0B1	RSPO1	0.8569696207978911
UGR	CTNNB1	0.856727930992935
WNT4	CTNNB1	0.85563090903218
WNT4	RSPO1	0.854215429346383
UGR	RSPO1	0.8539384926692629
UGR	DKK1	0.850181152610876
NR0B1	CTNNB1	0.8495820099277142
CBX2	FOXL2	0.8474838557472361
CTNNB1	CBX2	0.846959653591843
NR0B1	DMRT1	0.8462267090509421
WT1mKTS	GATA4	0.8458705002263031
GATA4	WT1mKTS	0.8458705002263031
DKK1	DMRT1	0.8423323146777671
DMRT1	DKK1	0.8423323146777671
NR0B1	DKK1	0.841671681028393
UGR	PGD2	0.841134182901758
UGR	DMRT1	0.840354669325958
UGR	FGF9	0.8403431860893391
RSPO1	CBX2	0.839281952625284
CBX2	CTNNB1	0.8377933553805821
CBX2	RSPO1	0.8355629297813679
UGR	CBX2	0.8354672670282289
GATA4	WT1pKTS	0.8337990230345641
WT1pKTS	GATA4	0.8337990230345641
DKK1	FGF9	0.832853266565325
CBX2	NR5A1	0.830188531365814
UGR	DHH	0.8300359075165391
CTNNB1	NR5A1	0.82793488649038
RSPO1	NR5A1	0.826883626277035
DMRT1	FGF9	0.821781366512482
DKK1	WNT4	0.819742898960505
DKK1	DHH	0.819441952496708
UGR	AMH	0.8187841443437069
DKK1	PGD2	0.8187221045219
DKK1	NR0B1	0.817765642539736
NR5A1	FOXL2	0.816371507998729
NR5A1	WT1pKTS	0.816213131663012
UGR	NR5A1	0.8146685199200329
DMRT1	NR0B1	0.8125871212880409
DMRT1	DHH	0.80970334399118
UGR	SOX9	0.809566047172692
DMRT1	WNT4	0.8079929340913191
CTNNB1	WT1pKTS	0.807960420735162
DMRT1	AMH	0.807064093438855
DMRT1	PGD2	0.805896510093983
CBX2	WT1pKTS	0.8055966077960519
RSPO1	WT1pKTS	0.805049269884603
SRY	WNT4	0.8050253863142259
DKK1	AMH	0.8041736585732941
NR0B1	UGR	0.799909292976047
WNT4	UGR	0.798771850281703
NR0B1	SRY	0.798749561317052
SRY	UGR	0.7974549056324219
UGR	WT1pKTS	0.7974165315039671
NR0B1	CBX2	0.7956967458597378
FOXL2	WT1pKTS	0.7945862288097629
SRY	DKK1	0.794052618335053
FOXL2	NR5A1	0.7910627847161709
WNT4	CBX2	0.790831577858818
