Gene1,Gene2,EdgeWeight,Confidence,Stability,MeanPercentile,MeanZ,ZCILower,ZCIUpper,SelectedRuns,ObservedRuns,RunCount,BestRank
CTNNB1,RSPO1,0.8784802301284493,1.0,1.0,1.0,1.430038765232042,1.4042808690704671,1.4684228340390264,30,30,30,1
RSPO1,CTNNB1,0.8784802301284493,1.0,1.0,1.0,1.4814452356364767,1.4465290269037845,1.5170738258840144,30,30,30,1
UGR,SOX9,0.8130240204925775,1.0,1.0,1.0,1.4893853564223951,1.4577980091631169,1.5329133340828136,30,30,30,1
UGR,WNT4,0.8658141638875347,1.0,1.0,1.0,1.4609104099414172,1.4031438707067991,1.5025771843104885,30,30,30,1
WNT4,NR0B1,0.8508971669732356,1.0,1.0,1.0,1.4605835725607865,1.3906048029072298,1.5158758205057783,30,30,30,1
WT1mKTS,WT1pKTS,0.8742112140718672,1.0,1.0,1.0,1.046297045712369,0.9538821718012274,1.1070808408105155,30,30,30,1
WT1pKTS,WT1mKTS,0.8742112140718672,1.0,1.0,1.0,2.0321721462855638,1.9396889992325779,2.122694184353291,30,30,30,1
NR0B1,SRY,0.7914266142032551,0.9921568627450981,1.0,0.9921568627450981,1.71353000496842,1.6206761899568665,1.7989861435908077,30,30,30,1
UGR,FGF9,0.840077231113145,0.9921568627450981,1.0,0.9921568627450981,1.4388963741556215,1.378932629926513,1.5039402650340667,30,30,30,1
UGR,PGD2,0.830364104890161,0.9901960784313726,1.0,0.9901960784313726,1.4504894552078995,1.3841944476804695,1.5110737136263024,30,30,30,1
UGR,DHH,0.8299141400898956,0.9862745098039216,1.0,0.9862745098039216,1.4295082224244486,1.358362801337733,1.5033957625436383,30,30,30,1
CBX2,NR5A1,0.8355810178317004,0.9784313725490196,1.0,0.9784313725490196,1.1343383347140366,1.0998498285813798,1.1753201046980535,30,30,30,1
UGR,DKK1,0.8507920990511825,0.9784313725490196,1.0,0.9784313725490196,1.537053969348832,1.498668729390102,1.582139682031289,30,30,30,1
NR0B1,FOXL2,0.8678193901690335,0.9705882352941176,1.0,0.9705882352941176,1.183169165922206,1.1556334634157743,1.2058841500898454,30,30,30,1
WNT4,UGR,0.8078056354647897,0.9705882352941176,1.0,0.9705882352941176,1.4324204964856893,1.366778493320283,1.4969991372301692,30,30,30,1
WT1mKTS,GATA4,0.8437734882465565,0.9705882352941176,1.0,0.9705882352941176,1.783113079514494,1.6570843628659633,1.8667412873732627,30,30,30,1
WT1pKTS,GATA4,0.8431741570067355,0.9705882352941176,1.0,0.9705882352941176,1.7802537998007115,1.6575791722304913,1.875054683355045,30,30,30,1
NR0B1,DMRT1,0.846350201320531,0.9686274509803922,1.0,0.9686274509803922,1.5260601793159765,1.4673361095577673,1.5867262472191601,30,30,30,1
UGR,AMH,0.8146427297660807,0.9666666666666667,1.0,0.9666666666666667,1.4326701582036603,1.3495803567142646,1.4943084680574978,30,30,30,1
CTNNB1,CBX2,0.8390525148508867,0.9627450980392157,1.0,0.9627450980392157,1.1764231845695308,1.1467114027033447,1.204712975988004,30,30,30,1
NR0B1,UGR,0.8081016192286341,0.9627450980392157,1.0,0.9627450980392157,1.4338719360696044,1.381930038359319,1.4986292491129072,30,30,30,1
UGR,CBX2,0.8392047794492934,0.9607843137254902,1.0,0.9607843137254902,1.1775081805369776,1.133640508712014,1.2192948119014204,30,30,30,1
UGR,SRY,0.7836950034927123,0.9490196078431372,1.0,0.9490196078431372,1.6673747917385395,1.6061637489400815,1.7486023665603065,30,30,30,1
DKK1,DMRT1,0.8419380448370648,0.9470588235294117,1.0,0.9470588235294117,1.506840249672328,1.454492915374684,1.5596292422401017,30,30,30,1
GATA4,WT1mKTS,0.8437734882465565,0.9411764705882353,1.0,0.9411764705882353,1.8777440233041898,1.7588044342468838,1.9861210042733557,30,30,30,2
NR0B1,WNT4,0.8513579722275065,0.9411764705882353,1.0,0.9411764705882353,1.3892645665151577,1.3341160992455983,1.4495819121821514,30,30,30,2
UGR,FOXL2,0.8649058358022131,0.9411764705882353,1.0,0.9411764705882353,1.1734776743131334,1.141873473068155,1.208444688469914,30,30,30,1
DKK1,AMH,0.8072175527252966,0.9372549019607843,1.0,0.9372549019607843,1.4010629141968396,1.3579001511824107,1.4757221672349232,30,30,30,1
DKK1,NR0B1,0.8188061664922225,0.9372549019607843,1.0,0.9372549019607843,1.2933337384589894,1.242777552985897,1.3482956752805129,30,30,30,2
NR0B1,DKK1,0.8442693764798239,0.9352941176470588,1.0,0.9352941176470588,1.5070852430985189,1.454029952231025,1.5721206237902345,30,30,30,1
GATA4,WT1pKTS,0.8431741570067355,0.9294117647058824,1.0,0.9294117647058824,0.9101927862105207,0.7910564502843862,0.9903296832990964,30,30,30,2
DKK1,FGF9,0.8241441928948569,0.9274509803921569,1.0,0.9274509803921569,1.3725585263021833,1.3340911436903795,1.4171304468084793,30,30,30,1
DKK1,PGD2,0.8125541953675236,0.9254901960784314,1.0,0.9254901960784314,1.375116213527787,1.3284348917443611,1.4321190384947093,30,30,30,1
DKK1,DHH,0.8155861602364946,0.9196078431372549,1.0,0.9196078431372549,1.3696760265608738,1.3131716009951624,1.4456866092848577,30,30,30,1
DKK1,SOX9,0.7631040223754326,0.9196078431372549,1.0,0.9196078431372549,1.271922806371513,1.219002390615829,1.3223953567001532,30,30,30,2
DMRT1,AMH,0.8054005642051667,0.9196078431372549,1.0,0.9196078431372549,1.393362758455844,1.3348758804571472,1.4608294887920896,30,30,30,1
CTNNB1,NR5A1,0.8298387838008701,0.9176470588235294,1.0,0.9176470588235294,1.1103729701096474,1.087614789658697,1.1254411162165427,30,30,30,1
DMRT1,DHH,0.8156906212780973,0.9176470588235294,1.0,0.9176470588235294,1.3701468195863318,1.3214313472904604,1.4368761809430035,30,30,30,1
UGR,CTNNB1,0.8558052770907028,0.9156862745098039,1.0,0.9156862745098039,1.3722817962882783,1.3359693119783496,1.4152936360692874,30,30,30,2
DMRT1,DKK1,0.8419380448370648,0.9098039215686274,1.0,0.9098039215686274,1.4970220949697512,1.4384047019718413,1.5528966764839685,30,30,30,1
DMRT1,PGD2,0.8110429672559185,0.907843137254902,1.0,0.907843137254902,1.368933638055646,1.3018853361641674,1.4451837555774194,30,30,30,1
UGR,DMRT1,0.8387888964622704,0.907843137254902,1.0,0.907843137254902,1.4928878715285205,1.4524737269025614,1.5340049991439773,30,30,30,1
DMRT1,FGF9,0.8203418131628436,0.903921568627451,1.0,0.903921568627451,1.3567241365065448,1.311757161962627,1.4093154593205737,30,30,30,2
RSPO1,CBX2,0.8336920345547345,0.9,1.0,0.9,1.151579757356132,1.1185945107779316,1.184439294750693,30,30,30,1
UGR,NR5A1,0.8280140847708046,0.8941176470588236,1.0,0.8941176470588236,1.1030130390827386,1.0564002209021666,1.1482648049771582,30,30,30,1
WNT4,RSPO1,0.8555150199450455,0.8941176470588236,1.0,0.8941176470588236,1.3162641629990612,1.2663211464804287,1.3650322612355563,30,30,30,2
SRY,UGR,0.7965785604473612,0.8901960784313725,1.0,0.8901960784313725,1.3760874550464905,1.336046241000142,1.426133387972568,30,30,30,1
WNT4,FOXL2,0.862605392760532,0.888235294117647,1.0,0.888235294117647,1.1656060032365023,1.1403941631689516,1.1943172584679662,30,30,30,1
DMRT1,NR0B1,0.8139633119052062,0.8862745098039215,1.0,0.8862745098039215,1.2680419616622487,1.2295112873820828,1.32948240631377,30,30,30,2
UGR,RSPO1,0.8536763159191424,0.884313725490196,1.0,0.884313725490196,1.3072446632769121,1.2556174911722164,1.3624963487665207,30,30,30,2
UGR,GATA4,0.6913227323652325,0.8823529411764706,1.0,0.8823529411764706,1.0309614611230298,0.9514495933343983,1.110075269939531,30,30,30,3
WNT4,CTNNB1,0.8537332879495725,0.8823529411764706,1.0,0.8823529411764706,1.3622389612088115,1.303304573561494,1.4241129698742814,30,30,30,2
WNT4,SRY,0.7367947559308184,0.8823529411764706,1.0,0.8823529411764706,1.3888900164121945,1.3318227527804631,1.4690694410319498,30,30,30,3
DMRT1,SOX9,0.7583090132605469,0.8803921568627451,1.0,0.8803921568627451,1.2510987705385712,1.2070903650711793,1.3133740400928748,30,30,30,2
UGR,WT1mKTS,0.6515437463310084,0.8803921568627451,1.0,0.8803921568627451,0.9028809854254494,0.7764231063389243,1.0291992801748862,30,30,30,3
NR5A1,WT1pKTS,0.8221625629308522,0.8725490196078431,1.0,0.8725490196078431,0.817518150802949,0.7685871345572501,0.8689033222204621,30,30,30,2
NR0B1,RSPO1,0.8517873023738042,0.8686274509803922,1.0,0.8686274509803922,1.2979185741978325,1.2512577564721972,1.3493532142587603,30,30,30,2
RSPO1,NR5A1,0.8265480361980392,0.8568627450980392,1.0,0.8568627450980392,1.0966513574146184,1.0736335321535955,1.1182451336976014,30,30,30,1
SRY,WNT4,0.8057266276831127,0.8509803921568627,1.0,0.8509803921568627,1.1632549292756484,1.094961461789522,1.2411976879179876,30,30,30,3
NR0B1,CTNNB1,0.8496581375467382,0.8490196078431372,1.0,0.8490196078431372,1.3425671379591635,1.2845587058088865,1.3854722903956072,30,30,30,2
DKK1,WNT4,0.8023035182933876,0.8470588235294118,1.0,0.8470588235294118,1.1457237039064825,1.0661853826044394,1.2237300550154038,30,30,30,3
CBX2,AMH,0.7523333121338168,0.8235294117647058,1.0,0.8235294117647058,1.1670573608404429,1.108561735427854,1.2313825137489753,30,30,30,4
CBX2,DHH,0.7621903510717903,0.8235294117647058,1.0,0.8235294117647058,1.146522001856433,1.095824592527861,1.1855392288232098,30,30,30,4
CBX2,PGD2,0.7608767897048155,0.8235294117647058,1.0,0.8235294117647058,1.155826121762842,1.1094335392259416,1.2011681745505074,30,30,30,4
SRY,DKK1,0.78947276226955,0.8235294117647058,1.0,0.8235294117647058,1.259706212562471,1.214699378723029,1.3110287905392886,30,30,30,4
SRY,DMRT1,0.7842827698527493,0.8235294117647058,1.0,0.8235294117647058,1.2510536663127083,1.2043570429370385,1.3095103433079638,30,30,30,4
DKK1,WT1mKTS,0.622605967734226,0.8196078431372549,1.0,0.8196078431372549,0.7562914783250616,0.6890163511839337,0.845003749837498,30,30,30,3
CBX2,FGF9,0.7673104367729274,0.8156862745098039,1.0,0.8156862745098039,1.1358816779297227,1.0754330635590035,1.197304138638446,30,30,30,4
CTNNB1,UGR,0.7470677273319383,0.8117647058823529,1.0,0.8117647058823529,1.1292198603108818,1.090371883954413,1.1869001038030507,30,30,30,4
CTNNB1,FOXL2,0.8561884411665017,0.807843137254902,1.0,0.807843137254902,1.1440129624171844,1.1247822637674212,1.1626523367116217,30,30,30,2
DKK1,GATA4,0.6442150983829364,0.807843137254902,1.0,0.807843137254902,0.7982027558522893,0.7167437645830769,0.909121457667694,30,30,30,4
NR0B1,SOX9,0.7444077177885571,0.8,1.0,0.8,1.190456249468013,1.0942298989414752,1.2683370317861429,30,30,30,2
RSPO1,FOXL2,0.8558185769702517,0.8,1.0,0.8,1.1428426592196104,1.1184196408395377,1.1648341360312957,30,30,30,3
WNT4,CBX2,0.8002477107871376,0.7980392156862746,1.0,0.7980392156862746,0.9965029533296577,0.957503043558974,1.0322089039847047,30,30,30,4
CBX2,SRY,0.649007212255552,0.7960784313725491,1.0,0.7960784313725491,0.8673240113530878,0.7834886570147154,0.9446383140402146,30,30,30,4
SRY,SOX9,0.7430918296882681,0.7941176470588235,1.0,0.7941176470588235,1.1849685473048683,1.1344418175832858,1.2437716946519575,30,30,30,3
