	DMRT1	FGF9	RSPO1	DHH	CTNNB1	PGD2	WT1mKTS	SRY	DKK1	WNT4	CBX2	AMH	NR0B1	NR5A1	WT1pKTS	FOXL2	UGR	SOX9	GATA4
DMRT1	1.0	0.537411406834287	-0.4584488259503558	0.5253099493468573	-0.5449862370124725	0.551932343829292	-0.4236190475209033	0.7104274967593646	0.8448839318831006	-0.6018954329385979	-0.30037494568392387	0.5197981349481252	-0.37480266855655614	0.30343593981974093	0.3963612996113218	-0.5533667746969274	-0.27463828922804884	0.7106430365130719	-0.45534332647699965
FGF9	0.537411406834287	1.0	-0.5614181355916356	0.7773969557245282	-0.4949582500080143	0.7698827109582049	-0.477071728310099	0.4317519183062754	0.5320552736959216	-0.6831822624445272	-0.26422349821991603	0.7516138764863665	-0.6227810556691195	0.33597175952190983	0.21744574150274368	-0.37143021227739054	-0.14385352076900218	0.6823091648757258	-0.48891068027179646
RSPO1	-0.4584488259503558	-0.5614181355916356	1.0	-0.5520561768748956	0.8599424407206583	-0.5495056990996434	0.2536691275431455	-0.5348691390154099	-0.4685162773995436	0.7675059792894434	-0.287039209117388	-0.5293836791396008	0.6558541070988272	-0.7400072444245167	-0.6053631238206513	0.6912222646184354	-0.3162939962907784	-0.5800785485203622	0.25775467158318277
DHH	0.5253099493468573	0.7773969557245282	-0.5520561768748956	1.0	-0.4985753225646548	0.7690650357550837	-0.46632467530889293	0.41525437673169124	0.5325589267177249	-0.6729599566073682	-0.25691798901666807	0.7585097793466397	-0.6122498923009695	0.3408430919695228	0.22143792055250372	-0.36292217055194603	-0.1465525980907785	0.682253272295499	-0.4900940099389727
CTNNB1	-0.5449862370124725	-0.4949582500080143	0.8599424407206583	-0.4985753225646548	1.0	-0.5022006898606407	0.24649107997181738	-0.5951199157044617	-0.5484185052223505	0.7418894193442507	-0.27811800771031814	-0.48517910878332277	0.6117316398487883	-0.7183691881553376	-0.6598023793614731	0.751135326842764	-0.3094574453870671	-0.5592456919474947	0.2455822707333617
PGD2	0.551932343829292	0.7698827109582049	-0.5495056990996434	0.7690650357550837	-0.5022006898606407	1.0	-0.48211365338513257	0.4439330916363269	0.5578537247296962	-0.6870478478255221	-0.28124096586618613	0.760828286363574	-0.6228717115518706	0.33851821144989647	0.238776943387412	-0.38240394188369137	-0.16688220771318238	0.6888414438107443	-0.49671279485324266
WT1mKTS	-0.4236190475209033	-0.477071728310099	0.2536691275431455	-0.46632467530889293	0.24649107997181738	-0.48211365338513257	1.0	-0.3748885917947026	-0.4328456382885374	0.3557747449885482	0.1963059841451425	-0.4701809139106492	0.31049883633452324	-0.14138570859023378	-0.08492024563298393	0.2295522992228666	0.02960477971499609	-0.46475398423639513	0.8093874351786275
SRY	0.7104274967593646	0.4317519183062754	-0.5348691390154099	0.41525437673169124	-0.5951199157044617	0.4439330916363269	-0.3748885917947026	1.0	0.7278138602852062	-0.4622077319595245	-0.060125237837594284	0.41673962409572685	-0.256607655192888	0.501568618257263	0.5612101161364385	-0.7010505845946383	-0.18237205856752736	0.5911829857277575	-0.37238080820719865
DKK1	0.8448839318831006	0.5320552736959216	-0.4685162773995436	0.5325589267177249	-0.5484185052223505	0.5578537247296962	-0.4328456382885374	0.7278138602852062	1.0	-0.5997427920488544	-0.30201297176859665	0.5271219006540533	-0.3763544586745909	0.3208340817829861	0.40570733476852117	-0.5713075670323455	-0.26052101045440934	0.7207499254154976	-0.4539464867849629
WNT4	-0.6018954329385979	-0.6831822624445272	0.7675059792894434	-0.6729599566073682	0.7418894193442507	-0.6870478478255221	0.3557747449885482	-0.4622077319595245	-0.5997427920488544	1.0	0.0009227364145869955	-0.6580977345043812	0.7717035826520046	-0.5517593519667798	-0.45119728532756564	0.5549037729470372	-0.14068672676462354	-0.7029046160881878	0.36968460577339207
