Gene1	Gene2	EdgeWeight
RSPO1	CTNNB1	0.8598354528640383
CTNNB1	RSPO1	0.8598354528640383
DMRT1	DKK1	0.8453196176489401
DKK1	DMRT1	0.8453196176489401
FOXL2	WT1pKTS	-0.8111485377486808
WT1pKTS	FOXL2	-0.8111485377486808
GATA4	WT1mKTS	0.7951365155266222
WT1mKTS	GATA4	0.7951365155266222
NR0B1	WNT4	0.7731984898660742
WNT4	NR0B1	0.7731984898660742
WNT4	RSPO1	0.7683752129222869
RSPO1	WNT4	0.7683752129222869
FOXL2	NR5A1	-0.7669664102680219
NR5A1	FOXL2	-0.7669664102680219
PGD2	FGF9	0.7648105310920461
FGF9	PGD2	0.7648105310920461
PGD2	AMH	0.7640661041649692
AMH	PGD2	0.7640661041649692
DHH	PGD2	0.7634851643992875
PGD2	DHH	0.7634851643992875
DHH	FGF9	0.7596854733470636
FGF9	DHH	0.7596854733470636
NR5A1	WT1pKTS	0.7519065800527427
WT1pKTS	NR5A1	0.7519065800527427
DHH	AMH	0.7514606220075776
AMH	DHH	0.7514606220075776
WNT4	CTNNB1	0.7504614993236265
CTNNB1	WNT4	0.7504614993236265
FOXL2	CTNNB1	0.749455032342579
CTNNB1	FOXL2	0.749455032342579
FGF9	AMH	0.7483308367276177
AMH	FGF9	0.7483308367276177
RSPO1	NR5A1	-0.7373454547989312
NR5A1	RSPO1	-0.7373454547989312
SRY	DKK1	0.7309578610291008
DKK1	SRY	0.7309578610291008
UGR	CBX2	0.7305270406130481
CBX2	UGR	0.7305270406130481
DMRT1	SRY	0.7235108614161131
SRY	DMRT1	0.7235108614161131
CTNNB1	NR5A1	-0.7177159995377889
NR5A1	CTNNB1	-0.7177159995377889
DKK1	SOX9	0.7166070791027883
SOX9	DKK1	0.7166070791027883
SOX9	DMRT1	0.7027522460657094
DMRT1	SOX9	0.7027522460657094
FOXL2	SRY	-0.7013903756821427
SRY	FOXL2	-0.7013903756821427
WNT4	SOX9	-0.6959437592108907
SOX9	WNT4	-0.6959437592108907
PGD2	SOX9	0.6939958111747131
SOX9	PGD2	0.6939958111747131
WNT4	PGD2	-0.6871262919367368
PGD2	WNT4	-0.6871262919367368
FOXL2	RSPO1	0.6860878873700542
RSPO1	FOXL2	0.6860878873700542
SOX9	FGF9	0.6842503858424552
FGF9	SOX9	0.6842503858424552
DHH	SOX9	0.6761832720381551
SOX9	DHH	0.6761832720381551
FGF9	WNT4	-0.6749484782389653
WNT4	FGF9	-0.6749484782389653
DHH	WNT4	-0.6668408700173519
WNT4	DHH	-0.6668408700173519
NR0B1	RSPO1	0.6600439421042713
RSPO1	NR0B1	0.6600439421042713
WT1pKTS	CTNNB1	-0.6541637590884705
CTNNB1	WT1pKTS	-0.6541637590884705
WNT4	AMH	-0.6456956477315545
AMH	WNT4	-0.6456956477315545
AMH	SOX9	0.6387319777429867
SOX9	AMH	0.6387319777429867
CTNNB1	NR0B1	0.6326549776053012
NR0B1	CTNNB1	0.6326549776053012
AMH	NR0B1	-0.6208125308784026
NR0B1	AMH	-0.6208125308784026
PGD2	NR0B1	-0.6156069567930311
NR0B1	PGD2	-0.6156069567930311
FGF9	NR0B1	-0.606786904090863
NR0B1	FGF9	-0.606786904090863
DHH	NR0B1	-0.6033002100147672
NR0B1	DHH	-0.6033002100147672
SOX9	SRY	0.5981080717647145
SRY	SOX9	0.5981080717647145
RSPO1	WT1pKTS	-0.596831670704526
WT1pKTS	RSPO1	-0.596831670704526
WNT4	DMRT1	-0.5915620423111531
DMRT1	WNT4	-0.5915620423111531
DKK1	WNT4	-0.587691514979125
WNT4	DKK1	-0.587691514979125
CTNNB1	SRY	-0.583443973936679
SRY	CTNNB1	-0.583443973936679
FOXL2	DKK1	-0.580416379562109
DKK1	FOXL2	-0.580416379562109
SOX9	RSPO1	-0.5729120527107064
RSPO1	SOX9	-0.5729120527107064
DMRT1	FOXL2	-0.5619925301408436
FOXL2	DMRT1	-0.5619925301408436
WT1pKTS	SRY	0.5615985673559194
SRY	WT1pKTS	0.5615985673559194
DKK1	PGD2	0.5573101972367036
PGD2	DKK1	0.5573101972367036
CTNNB1	SOX9	-0.5556182754324653
SOX9	CTNNB1	-0.5556182754324653
FOXL2	WNT4	0.5552757569274996
WNT4	FOXL2	0.5552757569274996
WNT4	NR5A1	-0.5545411066500308
NR5A1	WNT4	-0.5545411066500308
RSPO1	FGF9	-0.5538596114702237
FGF9	RSPO1	-0.5538596114702237
PGD2	DMRT1	0.5492145526764216
DMRT1	PGD2	0.5492145526764216
RSPO1	PGD2	-0.5457106417514476
PGD2	RSPO1	-0.5457106417514476
RSPO1	DHH	-0.5433076989850564
DHH	RSPO1	-0.5433076989850564
DKK1	CTNNB1	-0.5421805566570312
CTNNB1	DKK1	-0.5421805566570312
DMRT1	CTNNB1	-0.5394026853937188
CTNNB1	DMRT1	-0.5394026853937188
DKK1	DHH	0.5339518261031431
DHH	DKK1	0.5339518261031431
AMH	RSPO1	-0.5250148649769045
RSPO1	AMH	-0.5250148649769045
NR0B1	NR5A1	-0.5216323247119248
NR5A1	NR0B1	-0.5216323247119248
FGF9	DMRT1	0.5210500286939875
DMRT1	FGF9	0.5210500286939875
AMH	DKK1	0.520834816281185
DKK1	AMH	0.520834816281185
RSPO1	SRY	-0.5190069100365694
SRY	RSPO1	-0.5190069100365694
DKK1	FGF9	0.5189464288382037
FGF9	DKK1	0.5189464288382037
DHH	DMRT1	0.5188172747764539
DMRT1	DHH	0.5188172747764539
PGD2	CTNNB1	-0.5117834701671935
CTNNB1	PGD2	-0.5117834701671935
AMH	DMRT1	0.5115383800732687
DMRT1	AMH	0.5115383800732687
SOX9	GATA4	-0.501716346998663
GATA4	SOX9	-0.501716346998663
SOX9	NR0B1	-0.4960537574893935
NR0B1	SOX9	-0.4960537574893935
GATA4	PGD2	-0.4960225418848115
PGD2	GATA4	-0.4960225418848115
SRY	NR5A1	0.4951169522685574
NR5A1	SRY	0.4951169522685574
FOXL2	SOX9	-0.4936296150978151
SOX9	FOXL2	-0.4936296150978151
CTNNB1	FGF9	-0.4920573851813798
FGF9	CTNNB1	-0.4920573851813798
DHH	CTNNB1	-0.4907348464953578
CTNNB1	DHH	-0.4907348464953578
GATA4	DHH	-0.4882907841033351
DHH	GATA4	-0.4882907841033351
CTNNB1	AMH	-0.4848060462516488
AMH	CTNNB1	-0.4848060462516488
GATA4	AMH	-0.4834485342170207
AMH	GATA4	-0.4834485342170207
PGD2	WT1mKTS	-0.4819415803887763
WT1mKTS	PGD2	-0.4819415803887763
GATA4	FGF9	-0.4813132417866896
FGF9	GATA4	-0.4813132417866896
SOX9	WT1mKTS	-0.4749843537709824
WT1mKTS	SOX9	-0.4749843537709824
WT1mKTS	AMH	-0.4739260510964024
AMH	WT1mKTS	-0.4739260510964024
FGF9	WT1mKTS	-0.4720044684112709
WT1mKTS	FGF9	-0.4720044684112709
DHH	WT1mKTS	-0.4665340362953706
WT1mKTS	DHH	-0.4665340362953706
GATA4	DKK1	-0.4633431169973692
DKK1	GATA4	-0.4633431169973692
GATA4	DMRT1	-0.4622275640364836
DMRT1	GATA4	-0.4622275640364836
NR0B1	FOXL2	0.4613855157033199
FOXL2	NR0B1	0.4613855157033199
WNT4	SRY	-0.4555561501869549
SRY	WNT4	-0.4555561501869549
DKK1	RSPO1	-0.4535364375063522
RSPO1	DKK1	-0.4535364375063522
CBX2	NR5A1	0.4501922665031909
NR5A1	CBX2	0.4501922665031909
WT1pKTS	WNT4	-0.44834071331939146
WNT4	WT1pKTS	-0.44834071331939146
