Gene1	Gene2	EdgeWeight
CBX2	UGR	1.9952938447269672
UGR	CBX2	1.9952938447269672
DMRT1	DKK1	1.9636056282703047
DKK1	DMRT1	1.9636056282703047
WT1pKTS	FOXL2	1.9489761516867312
FOXL2	WT1pKTS	1.9489761516867312
RSPO1	CTNNB1	1.9148159544370835
CTNNB1	RSPO1	1.9148159544370835
WNT4	NR0B1	1.8848627745563045
NR0B1	WNT4	1.8848627745563045
SRY	DKK1	1.8729030637044417
DKK1	SRY	1.8729030637044417
RSPO1	NR5A1	1.8613939292618171
NR5A1	RSPO1	1.8613939292618171
DHH	AMH	1.8603420039171403
AMH	DHH	1.8603420039171403
FGF9	AMH	1.8599167823213067
AMH	FGF9	1.8599167823213067
FGF9	DHH	1.8571649154669767
DHH	FGF9	1.8571649154669767
DHH	PGD2	1.8540373466050304
PGD2	DHH	1.8540373466050304
PGD2	AMH	1.8528372796379209
AMH	PGD2	1.8528372796379209
FGF9	PGD2	1.8495892220351369
PGD2	FGF9	1.8495892220351369
DMRT1	SRY	1.8493565263422715
SRY	DMRT1	1.8493565263422715
NR5A1	FOXL2	1.8322451441457641
FOXL2	NR5A1	1.8322451441457641
CTNNB1	FOXL2	1.8314226838157053
FOXL2	CTNNB1	1.8314226838157053
CTNNB1	WNT4	1.8282599418761376
WNT4	CTNNB1	1.8282599418761376
RSPO1	WNT4	1.8265479712420392
WNT4	RSPO1	1.8265479712420392
NR5A1	WT1pKTS	1.820485063470465
WT1pKTS	NR5A1	1.820485063470465
CTNNB1	WT1pKTS	1.807823079589059
WT1pKTS	CTNNB1	1.807823079589059
RSPO1	FOXL2	1.8032750059749505
FOXL2	RSPO1	1.8032750059749505
CTNNB1	NR5A1	1.7681644594130652
NR5A1	CTNNB1	1.7681644594130652
RSPO1	WT1pKTS	1.762133069892354
WT1pKTS	RSPO1	1.762133069892354
DKK1	SOX9	1.737129622690492
SOX9	DKK1	1.737129622690492
DMRT1	SOX9	1.7353061355436203
SOX9	DMRT1	1.7353061355436203
RSPO1	NR0B1	1.6971334461472989
NR0B1	RSPO1	1.6971334461472989
SRY	FOXL2	1.6777054915426168
FOXL2	SRY	1.6777054915426168
PGD2	GATA4	1.6722555895573852
GATA4	PGD2	1.6722555895573852
DHH	GATA4	1.6677118903373933
GATA4	DHH	1.6677118903373933
FGF9	GATA4	1.6669765432310992
GATA4	FGF9	1.6669765432310992
FGF9	SOX9	1.6630358814794082
SOX9	FGF9	1.6630358814794082
PGD2	SOX9	1.6598718053573844
SOX9	PGD2	1.6598718053573844
AMH	GATA4	1.6594678436448396
GATA4	AMH	1.6594678436448396
CTNNB1	NR0B1	1.6551597843868049
NR0B1	CTNNB1	1.6551597843868049
DHH	SOX9	1.6485082072208133
SOX9	DHH	1.6485082072208133
AMH	SOX9	1.639434158477568
SOX9	AMH	1.639434158477568
NR0B1	NR5A1	1.6355891795735138
NR5A1	NR0B1	1.6355891795735138
DHH	WT1mKTS	1.5802380823902518
WT1mKTS	DHH	1.5802380823902518
CBX2	NR5A1	1.57026681582004
NR5A1	CBX2	1.57026681582004
PGD2	WT1mKTS	1.5626682458309964
WT1mKTS	PGD2	1.5626682458309964
SRY	WT1pKTS	1.5602786513332256
WT1pKTS	SRY	1.5602786513332256
WT1mKTS	DKK1	1.5537153111303348
DKK1	WT1mKTS	1.5537153111303348
WT1mKTS	AMH	1.5353476992258148
AMH	WT1mKTS	1.5353476992258148
FGF9	WT1mKTS	1.5255745309618942
WT1mKTS	FGF9	1.5255745309618942
SOX9	GATA4	1.5240662729038927
GATA4	SOX9	1.5240662729038927
DMRT1	WT1mKTS	1.5210629576175243
WT1mKTS	DMRT1	1.5210629576175243
RSPO1	CBX2	1.4965294931752444
CBX2	RSPO1	1.4965294931752444
CBX2	WT1pKTS	1.4894179394587597
WT1pKTS	CBX2	1.4894179394587597
WT1mKTS	SRY	1.4724088114344307
SRY	WT1mKTS	1.4724088114344307
DKK1	GATA4	1.4638049985819177
GATA4	DKK1	1.4638049985819177
WNT4	FOXL2	1.4619998266879357
FOXL2	WNT4	1.4619998266879357
WT1mKTS	SOX9	1.448995938401077
SOX9	WT1mKTS	1.448995938401077
DMRT1	GATA4	1.4476622995767905
GATA4	DMRT1	1.4476622995767905
WNT4	UGR	1.442647054523969
UGR	WNT4	1.442647054523969
NR5A1	UGR	1.43590256899115
UGR	NR5A1	1.43590256899115
CTNNB1	CBX2	1.4358759311518745
CBX2	CTNNB1	1.4358759311518745
NR0B1	UGR	1.391343106864356
UGR	NR0B1	1.391343106864356
CTNNB1	SRY	1.3804465294439998
SRY	CTNNB1	1.3804465294439998
DMRT1	DHH	1.3731790759813371
DHH	DMRT1	1.3731790759813371
DMRT1	PGD2	1.3652280931191298
PGD2	DMRT1	1.3652280931191298
DMRT1	AMH	1.3574824980019555
AMH	DMRT1	1.3574824980019555
AMH	NR0B1	1.355701855006204
NR0B1	AMH	1.355701855006204
DMRT1	FGF9	1.3506719531296407
FGF9	DMRT1	1.3506719531296407
DHH	DKK1	1.3364128668777375
DKK1	DHH	1.3364128668777375
WT1mKTS	GATA4	1.3095232906470324
GATA4	WT1mKTS	1.3095232906470324
FGF9	DKK1	1.3078426050323917
DKK1	FGF9	1.3078426050323917
PGD2	DKK1	1.3067740856827983
DKK1	PGD2	1.3067740856827983
WNT4	NR5A1	1.2824260931799372
NR5A1	WNT4	1.2824260931799372
DKK1	AMH	1.2796402512315268
AMH	DKK1	1.2796402512315268
FGF9	NR0B1	1.2716102698593672
NR0B1	FGF9	1.2716102698593672
NR0B1	FOXL2	1.2496494233957618
FOXL2	NR0B1	1.2496494233957618
SRY	SOX9	1.2462756275347395
SOX9	SRY	1.2462756275347395
PGD2	NR0B1	1.2416846441493887
NR0B1	PGD2	1.2416846441493887
SRY	GATA4	1.2332794900905184
GATA4	SRY	1.2332794900905184
DHH	NR0B1	1.2217668795911232
NR0B1	DHH	1.2217668795911232
WNT4	WT1pKTS	1.2181987714763132
WT1pKTS	WNT4	1.2181987714763132
WT1pKTS	UGR	1.1909398186911462
UGR	WT1pKTS	1.1909398186911462
WNT4	SOX9	1.1580310960941012
SOX9	WNT4	1.1580310960941012
RSPO1	SRY	1.073293484814842
SRY	RSPO1	1.073293484814842
CTNNB1	DKK1	1.0580363688020449
DKK1	CTNNB1	1.0580363688020449
NR0B1	WT1pKTS	1.0502781534720254
WT1pKTS	NR0B1	1.0502781534720254
DMRT1	CTNNB1	1.036815063437142
CTNNB1	DMRT1	1.036815063437142
CBX2	FOXL2	1.008076364206815
FOXL2	CBX2	1.008076364206815
WNT4	CBX2	1.0032175378588282
CBX2	WNT4	1.0032175378588282
RSPO1	UGR	0.9644978930902779
UGR	RSPO1	0.9644978930902779
DKK1	WT1pKTS	0.959244539755626
WT1pKTS	DKK1	0.959244539755626
DKK1	FOXL2	0.9523435372835034
FOXL2	DKK1	0.9523435372835034
SRY	UGR	0.9461318381690518
UGR	SRY	0.9461318381690518
UGR	GATA4	0.9337171768287366
GATA4	UGR	0.9337171768287366
DMRT1	WT1pKTS	0.9138075460525796
WT1pKTS	DMRT1	0.9138075460525796
DHH	WNT4	0.9030438401287364
WNT4	DHH	0.9030438401287364
FGF9	WNT4	0.8976927760411924
WNT4	FGF9	0.8976927760411924
PGD2	WNT4	0.8965398879400974
WNT4	PGD2	0.8965398879400974
DMRT1	FOXL2	0.8706988888908015
FOXL2	DMRT1	0.8706988888908015
CBX2	NR0B1	0.8600133107974773
NR0B1	CBX2	0.8600133107974773
SRY	NR5A1	0.8580540572844223
NR5A1	SRY	0.8580540572844223
RSPO1	SOX9	0.8566468471316356
SOX9	RSPO1	0.8566468471316356
WNT4	AMH	0.8297459872856179
AMH	WNT4	0.8297459872856179
CTNNB1	UGR	0.7853096844523854
UGR	CTNNB1	0.7853096844523854
DHH	SRY	0.7812937636438027
SRY	DHH	0.7812937636438027
DMRT1	WNT4	0.7468595450007749
WNT4	DMRT1	0.7468595450007749
PGD2	SRY	0.7301725130650254
SRY	PGD2	0.7301725130650254
SRY	AMH	0.7194069950377355
AMH	SRY	0.7194069950377355
NR5A1	SOX9	0.7187416702304459
SOX9	NR5A1	0.7187416702304459
FGF9	SRY	0.6955405888201124
SRY	FGF9	0.6955405888201124
DKK1	WNT4	0.694280090026193
WNT4	DKK1	0.694280090026193
NR0B1	GATA4	0.6905000812094828
GATA4	NR0B1	0.6905000812094828
CTNNB1	SOX9	0.6783776267623136
SOX9	CTNNB1	0.6783776267623136
DMRT1	RSPO1	0.6376079690824968
RSPO1	DMRT1	0.6376079690824968
FOXL2	UGR	0.6188708352726584
UGR	FOXL2	0.6188708352726584
WT1mKTS	UGR	0.6044387792846878
UGR	WT1mKTS	0.6044387792846878
DKK1	CBX2	0.5636845465452232
CBX2	DKK1	0.5636845465452232
