Gene1	Gene2	EdgeWeight
DMRT1	DMRT1	1.0
CBX2	CBX2	1.0
GATA4	GATA4	1.0
SOX9	SOX9	1.0
UGR	UGR	1.0
FOXL2	FOXL2	1.0
WT1pKTS	WT1pKTS	1.0
NR5A1	NR5A1	1.0
NR0B1	NR0B1	1.0
FGF9	FGF9	1.0
AMH	AMH	1.0
WNT4	WNT4	1.0
DKK1	DKK1	1.0
SRY	SRY	1.0
WT1mKTS	WT1mKTS	1.0
PGD2	PGD2	1.0
CTNNB1	CTNNB1	1.0
DHH	DHH	1.0
RSPO1	RSPO1	1.0
NR5A1	WT1pKTS	0.359080454186462
WT1pKTS	NR5A1	0.359080454186462
WT1pKTS	FOXL2	-0.324764276700234
FOXL2	WT1pKTS	-0.324764276700234
RSPO1	NR5A1	-0.310893487805988
NR5A1	RSPO1	-0.310893487805988
DMRT1	DKK1	0.288293025681739
DKK1	DMRT1	0.288293025681739
SRY	WT1mKTS	-0.23668772201624602
WT1mKTS	SRY	-0.23668772201624602
WNT4	NR0B1	0.2327012846483
NR0B1	WNT4	0.232701284648299
RSPO1	CTNNB1	0.21623537576673998
CTNNB1	RSPO1	0.21623537576673998
CBX2	UGR	0.20468848838355605
UGR	CBX2	0.20468848838355605
NR5A1	DMRT1	-0.19981239354031796
DMRT1	NR5A1	-0.19981239354031796
DMRT1	SRY	0.19841601272447798
SRY	DMRT1	0.19841601272447798
SRY	DKK1	0.19228376665350003
DKK1	SRY	0.19228376665350003
CTNNB1	WNT4	0.186904782235877
WNT4	CTNNB1	0.186904782235877
DKK1	NR5A1	-0.182742300138072
NR5A1	DKK1	-0.182742300138072
FOXL2	SRY	-0.179280387719608
SRY	FOXL2	-0.17928038771960697
NR5A1	CBX2	0.166410226153486
CBX2	NR5A1	0.166410226153486
CTNNB1	NR5A1	-0.16064249847531198
NR5A1	CTNNB1	-0.16064249847531198
DMRT1	WNT4	-0.15777504107340398
WNT4	DMRT1	-0.15777504107340398
SRY	RSPO1	-0.157698183885741
RSPO1	SRY	-0.157698183885741
AMH	NR0B1	-0.155687147351296
NR0B1	AMH	-0.155687147351296
GATA4	SRY	-0.15476938119790098
SRY	GATA4	-0.15476938119790098
NR5A1	FOXL2	-0.154727792562616
FOXL2	NR5A1	-0.154727792562616
SRY	NR0B1	0.149319859242093
NR0B1	SRY	0.149319859242093
DMRT1	CTNNB1	-0.146768995076958
CTNNB1	DMRT1	-0.146768995076958
UGR	SRY	-0.14496871707829997
SRY	UGR	-0.14496871707829997
FGF9	WT1pKTS	-0.14142034650469298
WT1pKTS	FGF9	-0.14142034650469298
FGF9	WNT4	-0.140975172706228
WNT4	FGF9	-0.140975172706228
SOX9	WT1pKTS	-0.13930107304280498
WT1pKTS	SOX9	-0.13930107304280498
WT1mKTS	GATA4	0.13859974996815302
GATA4	WT1mKTS	0.13859974996815302
RSPO1	WNT4	0.13717457805195699
WNT4	RSPO1	0.13717457805195699
AMH	GATA4	-0.13602713407046302
GATA4	AMH	-0.13602713407046302
PGD2	WT1mKTS	-0.13561413598462
WT1mKTS	PGD2	-0.13561413598462
FGF9	NR0B1	-0.135202368299555
NR0B1	FGF9	-0.135202368299554
DHH	GATA4	-0.134168682901224
GATA4	DHH	-0.134168682901224
DKK1	SOX9	0.13159932280026
SOX9	DKK1	0.13159932280026
NR0B1	UGR	-0.13112614588356403
UGR	NR0B1	-0.13112614588356403
NR0B1	NR5A1	-0.129661727769695
NR5A1	NR0B1	-0.12966172776969398
DKK1	WNT4	-0.127278540772166
WNT4	DKK1	-0.127278540772166
AMH	WT1mKTS	-0.126573681887386
WT1mKTS	AMH	-0.126573681887386
GATA4	DMRT1	-0.125690456273539
DMRT1	GATA4	-0.125690456273538
FGF9	DHH	0.12373248951657599
DHH	FGF9	0.12373248951657599
DHH	RSPO1	-0.121451779465004
RSPO1	DHH	-0.121451779465004
AMH	DHH	0.1196670620996
DHH	AMH	0.1196670620996
CBX2	SOX9	-0.118776406226123
SOX9	CBX2	-0.118776406226123
DKK1	FOXL2	-0.116333167289103
FOXL2	DKK1	-0.116333167289103
WT1pKTS	CTNNB1	-0.115173847341328
CTNNB1	WT1pKTS	-0.115173847341328
AMH	PGD2	0.11433136120496999
PGD2	AMH	0.11433136120496999
UGR	WT1pKTS	0.11404390326249499
WT1pKTS	UGR	0.11404390326249499
WT1pKTS	SRY	0.11366845427380498
SRY	WT1pKTS	0.11366845427380498
RSPO1	PGD2	-0.113466832089334
PGD2	RSPO1	-0.113466832089334
WT1pKTS	WT1mKTS	0.11021199969982902
WT1mKTS	WT1pKTS	0.11021199969982902
RSPO1	FGF9	-0.10958855192158999
FGF9	RSPO1	-0.10958855192158999
NR0B1	PGD2	-0.109296627329681
PGD2	NR0B1	-0.109296627329681
CBX2	FGF9	-0.10905274850205197
FGF9	CBX2	-0.10905274850205197
DHH	PGD2	0.108565231816448
PGD2	DHH	0.108565231816448
CBX2	DKK1	-0.10836873527768699
DKK1	CBX2	-0.10836873527768699
SRY	CTNNB1	-0.107366779940127
CTNNB1	SRY	-0.107366779940127
WT1mKTS	FGF9	-0.10725747583411001
FGF9	WT1mKTS	-0.10725747583411001
UGR	DMRT1	-0.105696811080133
DMRT1	UGR	-0.105696811080132
WT1mKTS	SOX9	-0.102182352360253
SOX9	WT1mKTS	-0.102182352360253
PGD2	GATA4	-0.10062087370866998
GATA4	PGD2	-0.10062087370866998
DHH	NR0B1	-0.0985601863782017
NR0B1	DHH	-0.0985601863782016
SOX9	WNT4	-0.0978968081096579
WNT4	SOX9	-0.0978968081096578
CBX2	PGD2	-0.0967080665449663
PGD2	CBX2	-0.0967080665449663
CBX2	NR0B1	-0.0957482703430518
NR0B1	CBX2	-0.0957482703430517
SOX9	GATA4	-0.0954601640523622
GATA4	SOX9	-0.0954601640523622
DHH	SRY	-0.0953751768762807
SRY	DHH	-0.0953751768762807
AMH	WT1pKTS	-0.0924421457618386
WT1pKTS	AMH	-0.0924421457618386
GATA4	WT1pKTS	0.0911617413140929
WT1pKTS	GATA4	0.0911617413140927
CBX2	RSPO1	-0.0909241999888992
RSPO1	CBX2	-0.0909241999888991
DKK1	FGF9	-0.09061690585831401
FGF9	DKK1	-0.0906169058583139
DKK1	GATA4	-0.0902988546761197
GATA4	DKK1	-0.0902988546761197
AMH	SRY	-0.0892818646800491
SRY	AMH	-0.0892818646800491
FGF9	AMH	0.0884253043259218
