Gene1	Gene2	corVal	pValue
DMRT1	DMRT1	1	0
FGF9	FGF9	1	0
RSPO1	RSPO1	1	0
DHH	DHH	1	0
CTNNB1	CTNNB1	1	0
PGD2	PGD2	1	0
WT1mKTS	WT1mKTS	1	0
SRY	SRY	1	0
DKK1	DKK1	1	0
WNT4	WNT4	1	0
CBX2	CBX2	1	0
AMH	AMH	1	0
NR0B1	NR0B1	1	0
NR5A1	NR5A1	1	0
WT1pKTS	WT1pKTS	1	0
FOXL2	FOXL2	1	0
UGR	UGR	1	0
SOX9	SOX9	1	0
GATA4	GATA4	1	0
NR5A1	WT1pKTS	0.364815359470673	5.0924021865332e-51
WT1pKTS	NR5A1	0.364815359470672	5.09240218653481e-51
DMRT1	DKK1	0.265653291881753	5.61335423032482e-27
DKK1	DMRT1	0.265653291881753	5.61335423032494e-27
CTNNB1	RSPO1	0.225292992292604	1.15221053686524e-19
RSPO1	CTNNB1	0.225292992292604	1.15221053686531e-19
WNT4	NR0B1	0.221791502111685	4.30409171985385e-19
NR0B1	WNT4	0.221791502111684	4.30409171985391e-19
DKK1	SRY	0.217899741315867	1.8141808212e-18
SRY	DKK1	0.217899741315867	1.81418082120001e-18
CTNNB1	WNT4	0.203575124043468	2.86151444184496e-16
WNT4	CTNNB1	0.203575124043468	2.86151444184524e-16
SRY	DMRT1	0.199181012685108	1.25619038089241e-15
DMRT1	SRY	0.199181012685108	1.25619038089241e-15
CBX2	UGR	0.183056938910193	2.14195551450914e-13
UGR	CBX2	0.183056938910192	2.1419555145092e-13
NR5A1	CBX2	0.181824469275136	3.11419591921734e-13
CBX2	NR5A1	0.181824469275135	3.11419591921742e-13
NR0B1	SRY	0.15888028850333	2.06022120038879e-10
SRY	NR0B1	0.15888028850333	2.06022120038885e-10
WT1mKTS	WT1pKTS	0.156952132113212	3.41499587434743e-10
WT1pKTS	WT1mKTS	0.156952132113212	3.4149958743475e-10
SRY	WT1pKTS	0.132397900368196	1.24451117206184e-07
WT1pKTS	SRY	0.132397900368196	1.24451117206188e-07
RSPO1	WNT4	0.131754646323921	1.4333507147376e-07
WNT4	RSPO1	0.13175464632392	1.43335071473771e-07
UGR	WT1pKTS	0.130510634131057	1.88010400227487e-07
WT1pKTS	UGR	0.130510634131057	1.88010400227489e-07
FGF9	DHH	0.128775457552769	2.73350497602754e-07
DHH	FGF9	0.128775457552769	2.73350497602757e-07
GATA4	WT1mKTS	0.124903049413042	6.19243889798555e-07
WT1mKTS	GATA4	0.124903049413042	6.19243889798575e-07
AMH	DHH	0.119856918515946	1.73369292760846e-06
DHH	AMH	0.119856918515946	1.73369292760848e-06
DKK1	SOX9	0.113323291716335	6.19007018229848e-06
SOX9	DKK1	0.113323291716335	6.19007018229863e-06
PGD2	AMH	0.109612661387939	1.23745350882187e-05
AMH	PGD2	0.109612661387939	1.23745350882187e-05
DMRT1	WT1pKTS	0.109448952138547	1.27521718797057e-05
WT1pKTS	DMRT1	0.109448952138547	1.2752171879706e-05
PGD2	DHH	0.104674875220527	3.00786447349145e-05
DHH	PGD2	0.104674875220527	3.00786447349146e-05
GATA4	WT1pKTS	0.101774279137043	4.97869564850066e-05
WT1pKTS	GATA4	0.101774279137043	4.97869564850071e-05
AMH	FGF9	0.101294639093145	5.40451026805776e-05
FGF9	AMH	0.101294639093145	5.40451026805785e-05
FGF9	PGD2	0.0940687022500306	0.000178206093260675
PGD2	FGF9	0.0940687022500305	0.000178206093260679
DMRT1	SOX9	0.093519966769473	0.000194463885208005
SOX9	DMRT1	0.0935199667694728	0.000194463885208011
NR0B1	CTNNB1	0.0927168460101822	0.000220785032333408
CTNNB1	NR0B1	0.092716846010182	0.000220785032333416
WT1pKTS	CBX2	0.0799732645831721	0.0014501484135046
CBX2	WT1pKTS	0.079973264583172	0.00145014841350461
FOXL2	CTNNB1	0.0778126857912368	0.00194712595212023
CTNNB1	FOXL2	0.0778126857912367	0.00194712595212024
FOXL2	UGR	0.0744419030954669	0.00304075120708305
UGR	FOXL2	0.0744419030954668	0.00304075120708307
DHH	SOX9	0.0669032647096066	0.00775034286709056
SOX9	DHH	0.0669032647096065	0.00775034286709065
NR5A1	SOX9	0.0612890506334665	0.014733266197137
SOX9	NR5A1	0.0612890506334662	0.0147332661971374
FOXL2	WT1mKTS	0.0531162710002805	0.0345874264273615
WT1mKTS	FOXL2	0.0531162710002805	0.0345874264273615
GATA4	CBX2	0.052222870404124	0.0377495143917555
CBX2	GATA4	0.0522228704041239	0.0377495143917558
SOX9	PGD2	0.0484681402466616	0.0538540728190808
PGD2	SOX9	0.0484681402466615	0.0538540728190808
NR0B1	RSPO1	0.0459355270794395	0.0676765396088052
RSPO1	NR0B1	0.0459355270794394	0.0676765396088057
