Gene1,Gene2,EdgeWeight,Confidence,Stability,MeanPercentile,MeanZ,ZCILower,ZCIUpper,SelectedRuns,ObservedRuns,RunCount,BestRank
AMH,AMH,1.0,1.0,1.0,1.0,4.117474585696479,4.0983753273917545,4.140560803367846,30,30,30,1
CBX2,CBX2,1.0,1.0,1.0,1.0,4.060556630292083,4.037898611163215,4.081517860153383,30,30,30,1
CTNNB1,CTNNB1,1.0,1.0,1.0,1.0,4.0047357281112435,3.976248082169886,4.025127937878956,30,30,30,1
DHH,DHH,1.0,1.0,1.0,1.0,4.117921330228583,4.103557124177526,4.136587567746981,30,30,30,1
DKK1,DKK1,1.0,1.0,1.0,1.0,3.9540430530106025,3.9222160838179363,3.988354367684889,30,30,30,1
DMRT1,DMRT1,1.0,1.0,1.0,1.0,3.920583884349916,3.8994441400232356,3.9472443625559546,30,30,30,1
FGF9,FGF9,1.0,1.0,1.0,1.0,4.106255381855178,4.094148374919008,4.119249719235565,30,30,30,1
FOXL2,FOXL2,1.0,1.0,1.0,1.0,3.923108764133924,3.901689018378061,3.9492625493735236,30,30,30,1
GATA4,GATA4,1.0,1.0,1.0,1.0,4.088752570673368,4.07393753995411,4.102686901941472,30,30,30,1
NR0B1,NR0B1,1.0,1.0,1.0,1.0,4.0337350691726535,4.013893437176852,4.056268319340336,30,30,30,1
NR5A1,NR5A1,1.0,1.0,1.0,1.0,3.7187693121562897,3.685213342265732,3.7590783009934823,30,30,30,1
PGD2,PGD2,1.0,1.0,1.0,1.0,4.143759287128592,4.130490584358989,4.1596404610203255,30,30,30,1
RSPO1,RSPO1,1.0,1.0,1.0,1.0,3.9437317051809697,3.9155625375656813,3.9709576577170753,30,30,30,1
SOX9,SOX9,1.0,1.0,1.0,1.0,4.130811641993741,4.115889579483826,4.149593175248237,30,30,30,1
SRY,SRY,1.0,1.0,1.0,1.0,3.980363524156684,3.9567058867205587,4.005532903913021,30,30,30,1
UGR,UGR,1.0,1.0,1.0,1.0,4.0792627616658965,4.059454267121601,4.101362512500435,30,30,30,1
WNT4,WNT4,1.0,1.0,1.0,1.0,4.010546810727204,3.9827352530938223,4.036493721042577,30,30,30,1
WT1mKTS,WT1mKTS,1.0,1.0,1.0,1.0,4.063561631119695,4.03507460330848,4.078741984702422,30,30,30,1
WT1pKTS,WT1pKTS,1.0,1.0,1.0,1.0,3.8177137787968354,3.786453757134007,3.845380979462343,30,30,30,1
CBX2,UGR,0.19968865257612384,0.9444444444444444,1.0,0.9444444444444444,0.41789126385406733,0.32173394988062193,0.49539396305577843,30,30,30,2
DKK1,DMRT1,0.2733803142399239,0.9444444444444444,1.0,0.9444444444444444,0.6526582882332771,0.5763760888466292,0.752531142783486,30,30,30,2
DMRT1,DKK1,0.27338031423992387,0.9444444444444444,1.0,0.9444444444444444,0.6509343606537655,0.5641889289919634,0.7619688602329758,30,30,30,2
