Gene1	Gene2	EdgeWeight
WNT4	UGR	15.725482711705899
SRY	UGR	12.722327845064699
WNT4	GATA4	12.4409028793135
WNT4	WT1pKTS	11.7037372400802
WNT4	WT1mKTS	11.652222403045402
RSPO1	RSPO1	11.0269653408967
WNT4	DKK1	10.3554553359569
NR0B1	UGR	9.1818000383515
SRY	GATA4	8.33999910601439
CTNNB1	UGR	8.075266752115281
SRY	WT1pKTS	7.943885318766
SRY	WT1mKTS	7.66111039465047
FGF9	UGR	7.49812904854846
WNT4	CTNNB1	7.415119058376889
WNT4	NR0B1	7.213527040886951
SRY	DKK1	7.11208948695462
WNT4	RSPO1	6.85349551999192
CBX2	UGR	6.70744314421129
AMH	UGR	6.67907970142395
CTNNB1	WT1mKTS	6.43717605179173
CTNNB1	WT1pKTS	6.42040494353501
CTNNB1	GATA4	6.36943895564967
RSPO1	WNT4	6.24220107767457
NR0B1	GATA4	6.176067499920309
RSPO1	NR5A1	6.021654001041419
DHH	UGR	5.9524413605299005
WT1mKTS	UGR	5.90645067670089
NR0B1	CTNNB1	5.73974655072868
CTNNB1	RSPO1	5.641069233775821
PGD2	UGR	5.640706664897849
WT1pKTS	UGR	5.621333812507861
CTNNB1	DKK1	5.4973515781684394
SRY	CTNNB1	5.41445257816311
GATA4	UGR	5.40606371309453
NR0B1	DKK1	5.35302302359303
NR0B1	WT1pKTS	5.33296726063385
RSPO1	DMRT1	5.2536542158373605
NR0B1	WT1mKTS	5.008295113786031
CTNNB1	CTNNB1	4.95141080170287
RSPO1	SRY	4.89586854937083
UGR	UGR	4.798002959454299
UGR	GATA4	4.701211579180731
WNT4	DHH	4.685990039391861
RSPO1	WT1mKTS	4.68320278594827
RSPO1	FOXL2	4.66576502607496
UGR	WT1pKTS	4.58654367417479
UGR	RSPO1	4.52978534045422
RSPO1	WT1pKTS	4.49677787669291
RSPO1	NR0B1	4.41657754474541
UGR	WT1mKTS	4.41149172777978
SRY	RSPO1	4.40005606913686
WNT4	FOXL2	4.2071614201358
CTNNB1	NR0B1	3.94074086112337
RSPO1	UGR	3.9135073528890403
SOX9	UGR	3.89738940259678
FGF9	FOXL2	3.86118089914948
