Gene1	Gene2	EdgeWeight
SRY	GATA4	13.315141268873699
WNT4	FOXL2	12.7747637756038
WNT4	UGR	11.341435872951699
WNT4	AMH	11.1111200310923
NR0B1	FOXL2	10.822839787971196
FOXL2	WT1pKTS	10.7976699519065
SRY	FOXL2	10.589264373294599
SRY	WT1mKTS	10.503260487505301
WT1pKTS	FGF9	10.4256111109591
SRY	AMH	10.197163818763
WNT4	WT1pKTS	10.035412067071698
FOXL2	GATA4	9.64065154564145
WT1pKTS	WT1pKTS	9.35527019125865
WNT4	WT1mKTS	9.249663456255599
SRY	UGR	9.187290198903028
NR0B1	UGR	8.34876247058844
WNT4	FGF9	8.28754058255552
NR0B1	FGF9	8.25653332270246
CTNNB1	CTNNB1	8.09079240407902
FOXL2	SRY	7.93729234134727
SRY	WT1pKTS	7.63650467551344
WT1pKTS	SRY	7.44801248374024
WT1pKTS	DMRT1	7.360486284495732
WNT4	CTNNB1	7.33288474085713
RSPO1	WNT4	7.21208553722993
SRY	SOX9	7.19702630568269
NR5A1	WT1pKTS	6.85697132875512
NR5A1	GATA4	6.817122582393969
FOXL2	FGF9	6.6372718332712495
SRY	DHH	6.37740042711559
SRY	DKK1	6.374076990007862
UGR	AMH	6.32848628105209
WNT4	GATA4	6.25188494854827
WNT4	DHH	6.23670675906883
FOXL2	WNT4	6.1873084340460895
CBX2	UGR	6.11008501018329
CTNNB1	UGR	6.05466597190353
SRY	FGF9	6.01169219220679
WNT4	NR0B1	5.8887670662473885
CTNNB1	AMH	5.85209404671564
WT1mKTS	UGR	5.82528167747879
SRY	WNT4	5.77558097835557
GATA4	UGR	5.77023263094828
SRY	CTNNB1	5.76582017372556
SRY	NR5A1	5.715007958731941
RSPO1	CTNNB1	5.6362385555794505
WT1pKTS	UGR	5.6315277923013305
NR0B1	WT1mKTS	5.58764219957502
CBX2	FOXL2	5.569878167174782
WNT4	SOX9	5.5055193235475315
WT1mKTS	FOXL2	5.470104835880999
NR0B1	GATA4	5.4402635531640495
FOXL2	WT1mKTS	5.44025441403369
NR0B1	WT1pKTS	5.4006467008037005
NR5A1	SRY	5.374523250075001
FGF9	FOXL2	5.3029633339213404
GATA4	FOXL2	5.24757084810452
FOXL2	CTNNB1	5.157190860955058
NR0B1	SOX9	5.141169559590121
WT1pKTS	FOXL2	5.12370267261023
CTNNB1	WT1pKTS	5.10870622403791
CTNNB1	WT1mKTS	5.0466405270499815
NR0B1	AMH	5.0459604322668
WT1pKTS	CTNNB1	5.02557722374846
UGR	FOXL2	5.02497837603637
WT1pKTS	RSPO1	5.0114579890235005
CTNNB1	FOXL2	5.00708234651291
AMH	AMH	4.943257841934732
WT1pKTS	GATA4	4.92588368080864
NR0B1	DKK1	4.80460395134968
FOXL2	FOXL2	4.756699055414631
NR5A1	FGF9	4.7533684205936915
FOXL2	DMRT1	4.73568858432774
WNT4	DKK1	4.69450970958842
FGF9	FGF9	4.55121465676314
NR0B1	DHH	4.52805359514845
RSPO1	SRY	4.51536490434295
FOXL2	RSPO1	4.48290721419232
NR0B1	CBX2	4.48091777252021
UGR	CTNNB1	4.430874053225732
CBX2	NR0B1	4.42866882788318
GATA4	FGF9	4.42014212089167
RSPO1	RSPO1	4.37950608198612
NR0B1	DMRT1	4.33964740968191
RSPO1	NR0B1	4.33270625679817
NR0B1	NR5A1	4.31849020470595
CTNNB1	NR0B1	4.28208279079965
NR5A1	WNT4	4.22881975708151
WNT4	NR5A1	4.1707161945488105
CTNNB1	WNT4	4.165401892500009
AMH	FOXL2	4.0889180974029715
WNT4	DMRT1	4.0689493606245
UGR	WT1pKTS	4.06097262381129
FOXL2	AMH	4.04805216838655
WT1mKTS	FGF9	4.01485880948533
FGF9	DHH	4.007645478260851
WNT4	RSPO1	4.0034032187820205
DKK1	DKK1	3.93246685913124
NR5A1	WT1mKTS	3.89129190424532
WT1mKTS	WT1mKTS	3.87877461422113
UGR	WT1mKTS	3.8371112245204095
WT1mKTS	WT1pKTS	3.82462507538318
CBX2	CTNNB1	3.79999743597586
UGR	SRY	3.7505746802041102
FOXL2	NR0B1	3.74444634111934
SRY	PGD2	3.72294443711154
GATA4	WT1pKTS	3.7127507043801
GATA4	WT1mKTS	3.63951386237804
RSPO1	AMH	3.62499246092712
NR5A1	NR0B1	3.6139888730968
WT1pKTS	WT1mKTS	3.6078573637450497
FGF9	AMH	3.59635641950788
WT1mKTS	CTNNB1	3.58949751259734
WT1pKTS	WNT4	3.5161444561098
RSPO1	DMRT1	3.50086077931131
FGF9	WT1pKTS	3.45989476277751
PGD2	FOXL2	3.4484140181133105
DMRT1	WNT4	3.44779487787565
FGF9	WT1mKTS	3.4408740083366096
DKK1	WNT4	3.4125035688296497
NR5A1	RSPO1	3.40666264380546
NR5A1	CTNNB1	3.39975614177459
CBX2	AMH	3.3736676503898995
AMH	WT1pKTS	3.36888072469783
AMH	WT1mKTS	3.34222377962186
SOX9	SOX9	3.3278448736092003
UGR	UGR	3.28797201239224
FGF9	UGR	3.2624045055018
WNT4	CBX2	3.23644084991551
SRY	CBX2	3.17979161061878
WT1mKTS	AMH	3.16541577499492
CTNNB1	GATA4	3.14944483896716
GATA4	CTNNB1	3.1406829956937403
UGR	GATA4	3.14045732092734
RSPO1	FGF9	3.1042922155180097
NR5A1	UGR	3.0885604821401698
UGR	WNT4	3.0840828657244903
CBX2	CBX2	3.06916084959347
AMH	DHH	3.04813313233128
CBX2	WT1mKTS	3.04502166533409
AMH	FGF9	3.02562478564681
SRY	DMRT1	3.0081308904798
RSPO1	SOX9	2.9700396050582896
CTNNB1	RSPO1	2.9133165830236503
GATA4	AMH	2.90169835009542
UGR	PGD2	2.8566596586977298
WT1pKTS	AMH	2.8228753061276297
CBX2	WT1pKTS	2.7836808013364
FOXL2	PGD2	2.77746041596478
NR5A1	DMRT1	2.7518407703071404
PGD2	DHH	2.7513642591871803
UGR	DMRT1	2.74195017092475
AMH	UGR	2.73339210121152
DMRT1	GATA4	2.72934549694499
FOXL2	UGR	2.7042725637922103
UGR	NR0B1	2.69974894838317
RSPO1	GATA4	2.69452243126375
DHH	FOXL2	2.67237274667293
GATA4	GATA4	2.6694056781300297
NR5A1	NR5A1	2.66839050265902
WNT4	WNT4	2.65046537954392
NR0B1	WNT4	2.64357692016869
UGR	DHH	2.64193953053558
SOX9	NR0B1	2.61882798913037
PGD2	AMH	2.59852192689528
PGD2	WT1pKTS	2.58537531653135
CTNNB1	SOX9	2.57868293665963
RSPO1	UGR	2.54148472008792
SRY	NR0B1	2.53615138449693
PGD2	WT1mKTS	2.5337534863494704
WT1mKTS	GATA4	2.53163781514354
WT1mKTS	SOX9	2.51938049353825
RSPO1	WT1mKTS	2.5093922439296
GATA4	SOX9	2.48267816561536
NR0B1	CTNNB1	2.4499259756674103
NR5A1	AMH	2.44426413471705
WT1pKTS	NR0B1	2.3941910699078
DHH	CBX2	2.3752013021671496
CBX2	DHH	2.2906147176705
WT1mKTS	DHH	2.28568898822368
WT1pKTS	SOX9	2.27687349746914
CTNNB1	DKK1	2.2630584532892204
DMRT1	FOXL2	2.23645647765959
CBX2	PGD2	2.23502899820267
NR0B1	RSPO1	2.2333135753654103
DHH	FGF9	2.23143142531378
SRY	RSPO1	2.22130653395008
DKK1	GATA4	2.21627602403131
DKK1	UGR	2.21251313897355
DMRT1	WT1mKTS	2.2071765537725403
FGF9	GATA4	2.19705765851158
GATA4	DMRT1	2.19584834856466
DKK1	SRY	2.18670988282916
NR5A1	FOXL2	2.1789674432171
DHH	DHH	2.14631196853334
WT1pKTS	PGD2	2.1358400502031003
DKK1	PGD2	2.12844618669217
DMRT1	SRY	2.12832715357865
WT1pKTS	DHH	2.12669564577418
PGD2	UGR	2.11012497559781
CBX2	DMRT1	2.1068623733665
DKK1	WT1mKTS	2.09786447709231
DMRT1	WT1pKTS	2.08237184654563
NR0B1	PGD2	2.07071870066103
FGF9	CTNNB1	2.07058842608659
SOX9	FGF9	2.06432099280026
WT1mKTS	DKK1	2.05741207787352
WT1mKTS	DMRT1	2.05244284678684
GATA4	DHH	2.04126728918605
DHH	WT1mKTS	2.0355014714555
DMRT1	AMH	2.0345327729227702
DMRT1	DHH	2.031178637947
CTNNB1	SRY	2.03086091147476
UGR	DKK1	2.02145003069151
WNT4	PGD2	1.99621968060474
DHH	WT1pKTS	1.9941643493994297
UGR	RSPO1	1.99035727511697
DMRT1	DKK1	1.96387122678409
DMRT1	SOX9	1.95286359348817
AMH	CBX2	1.95270630970049
RSPO1	NR5A1	1.94226213198829
GATA4	DKK1	1.93539403996036
SOX9	WNT4	1.93352852720896
CTNNB1	DHH	1.86808427482556
SOX9	FOXL2	1.86280220310121
CBX2	WNT4	1.8624312882751
UGR	FGF9	1.84136617799703
DKK1	FOXL2	1.82431416809337
DMRT1	PGD2	1.82312187924031
CTNNB1	PGD2	1.8221569487663505
SOX9	UGR	1.8125243505151296
DKK1	CBX2	1.80451884560556
DHH	AMH	1.79741413198356
AMH	GATA4	1.79112294573142
FOXL2	DKK1	1.78970933564237
DMRT1	DMRT1	1.77831985732178
DKK1	SOX9	1.7739433566324898
RSPO1	WT1pKTS	1.76460175485721
AMH	CTNNB1	1.7569352347279
DMRT1	CBX2	1.74933150576633
PGD2	FGF9	1.7442604965407602
RSPO1	DHH	1.7435584486551698
WT1mKTS	NR5A1	1.73626843354949
SOX9	WT1mKTS	1.7254225919402502
RSPO1	FOXL2	1.72495329121777
SOX9	GATA4	1.7247321812506595
CTNNB1	DMRT1	1.7066674919394895
GATA4	NR5A1	1.7036323366006398
RSPO1	CBX2	1.70320016530534
DKK1	FGF9	1.69239097154991
DMRT1	FGF9	1.68796651615117
RSPO1	PGD2	1.67949592759054
