Gene1,Gene2,EdgeWeight,Confidence,Stability,MeanPercentile,MeanZ,ZCILower,ZCIUpper,SelectedRuns,ObservedRuns,RunCount,BestRank
WNT4,UGR,12.26273137095715,1.0,1.0,1.0,2.6644297587015964,2.264252076258514,2.9104860416075153,30,30,30,1
SRY,GATA4,12.888824347594108,0.9962962962962963,1.0,0.9962962962962963,3.0842982788987165,2.3507122164854515,3.4512205835075607,30,30,30,1
SRY,AMH,8.811314371338646,0.9944444444444444,1.0,0.9944444444444444,2.8845597711357573,1.9839991568103286,3.396465995441065,30,30,30,1
SRY,WT1mKTS,10.267927212926017,0.9851851851851853,1.0,0.9851851851851853,2.700787746836235,1.5871204024775878,3.297568649142228,30,30,30,1
WNT4,FOXL2,8.013582301171919,0.975925925925926,1.0,0.975925925925926,2.3744997291666174,0.6388492522619301,2.989807245581821,30,30,30,1
WNT4,WT1pKTS,8.42685788471127,0.9666666666666667,1.0,0.9666666666666667,2.1895368650333964,1.1346528789884607,3.0280619590335505,30,30,30,1
WNT4,NR5A1,5.057835997526155,0.9648148148148148,1.0,0.9648148148148148,2.1628288342507997,0.42147952875138006,2.921629777830039,30,30,30,1
SRY,PGD2,5.834965599896338,0.961111111111111,1.0,0.961111111111111,2.443686144720543,0.2965564787326124,3.4391738248081776,30,30,30,1
WNT4,DKK1,6.110715414033428,0.961111111111111,1.0,0.961111111111111,2.000672418145587,1.1291257350053487,2.977453329986016,30,30,30,1
SRY,SOX9,5.906522079025689,0.9555555555555556,1.0,0.9555555555555556,2.1549186255576287,0.5841177192347065,2.9475903580183247,30,30,30,1
WNT4,WT1mKTS,9.100476699532214,0.9555555555555555,1.0,0.9555555555555555,2.204266989056633,1.4463599005241012,3.1304286873579157,30,30,30,1
SRY,DKK1,6.245873482970317,0.951851851851852,1.0,0.951851851851852,2.0750557832024503,0.7531241530420942,3.2954317310525933,30,30,30,1
WNT4,CTNNB1,6.737367935871315,0.9481481481481481,1.0,0.9481481481481481,1.9910417230320356,0.8731034794227112,2.952972303929974,30,30,30,1
WNT4,SOX9,5.629571395425962,0.9481481481481481,1.0,0.9481481481481481,1.942310901369124,0.9150960933334267,3.020542852349937,30,30,30,1
SRY,UGR,9.78677089798329,0.9444444444444444,1.0,0.9444444444444444,1.787038160767402,1.468839541676204,2.1165695965539975,30,30,30,2
CTNNB1,CTNNB1,6.494244977729207,0.9407407407407408,1.0,0.9407407407407408,1.9178700873271368,1.0334760347188932,2.6172312505318187,30,30,30,1
SRY,CBX2,3.7273192978156264,0.9388888888888889,1.0,0.9388888888888889,1.9508381058861286,0.4058431521083114,3.1757569183186742,30,30,30,1
WNT4,GATA4,8.175785053381102,0.9203703703703704,1.0,0.9203703703703704,1.481048356136209,0.7040275532830419,2.7008381940128032,30,30,30,1
SRY,FOXL2,6.267172764392211,0.9166666666666666,1.0,0.9166666666666666,1.5438353637612952,0.4097592370023796,2.0778528003608296,30,30,30,1
WNT4,AMH,5.735907104992194,0.912962962962963,1.0,0.912962962962963,1.451424987721198,0.3023932190115588,2.317048066560151,30,30,30,1
RSPO1,WNT4,4.777001550575091,0.9074074074074073,1.0,0.9074074074074073,1.7528694828343692,0.41085340100288736,3.0430574411859057,30,30,30,1
WNT4,FGF9,5.402099620436548,0.9074074074074073,1.0,0.9074074074074073,1.6996407841854229,-0.010163043209581765,2.724109562757784,30,30,30,1
SRY,CTNNB1,5.840506879187553,0.9018518518518518,1.0,0.9018518518518518,1.6033569584835494,0.602420251652411,2.7946228543647385,30,30,30,1
SRY,NR5A1,4.138919657380485,0.888888888888889,1.0,0.888888888888889,1.4788271745257469,0.2936767554518343,2.8630801732823516,30,30,30,1
WNT4,DHH,3.993320112879973,0.8888888888888888,1.0,0.8888888888888888,1.3568596494626222,0.10098568125810728,2.414174202869638,30,30,30,1
FOXL2,WT1pKTS,6.658958275151892,0.8870370370370371,1.0,0.8870370370370371,1.3263144686101507,-0.08405847054709358,2.2613629964207096,30,30,30,1
FOXL2,GATA4,7.335500714840662,0.8851851851851851,1.0,0.8851851851851851,1.0847672291471564,0.3433664942629901,1.855920833710405,30,30,30,2
