Gene1	Gene2	EdgeWeight
NR0B1	SRY	0.11601305815399698
WNT4	SRY	0.0997656548058745
UGR	WNT4	0.0952062201880139
DMRT1	SRY	0.0936173198222997
PGD2	WT1pKTS	0.0871667130379506
SOX9	CBX2	0.0864490587288726
UGR	WT1mKTS	0.0863889355648823
DHH	NR5A1	0.0843436801754016
AMH	WT1pKTS	0.08231281806164199
SOX9	NR5A1	0.0819114580225016
UGR	SRY	0.0817647989733175
FGF9	WNT4	0.08133667369037499
NR0B1	DMRT1	0.0811181104959471
SRY	WT1mKTS	0.0809408226730749
DKK1	WT1mKTS	0.0809214046366379
WNT4	CBX2	0.0801237010742535
FGF9	DKK1	0.079937232547082
DHH	SRY	0.0794844386692752
DMRT1	CBX2	0.0789060295347075
RSPO1	CBX2	0.0784310685631724
FGF9	WT1pKTS	0.0783525747488704
NR0B1	DKK1	0.0779805199658471
RSPO1	DKK1	0.0774437166380425
AMH	DKK1	0.0771830472334267
DMRT1	WT1mKTS	0.0770286303813072
CTNNB1	CBX2	0.0762464951245297
NR0B1	WT1pKTS	0.0752951045248513
DKK1	CBX2	0.0752639239694348
CTNNB1	UGR	0.0741561794290526
FGF9	SRY	0.073777507910846
CBX2	GATA4	0.0723574082434926
UGR	NR0B1	0.0722121087193804
FGF9	DMRT1	0.0718009668733823
NR0B1	WT1mKTS	0.07102466542218598
DHH	DMRT1	0.071004945756634
CBX2	WT1mKTS	0.0709252698173106
WNT4	DKK1	0.0704904696187131
RSPO1	CTNNB1	0.0703042515351281
SRY	GATA4	0.0702731964936531
PGD2	NR5A1	0.0702487525592852
WNT4	UGR	0.0701176270031653
SRY	NR0B1	0.0697622402768016
FOXL2	RSPO1	0.0682992647781029
SOX9	CTNNB1	0.0678360365835094
WNT4	WT1pKTS	0.0673402764691515
UGR	GATA4	0.0673101848109576
RSPO1	NR5A1	0.0672073574045679
RSPO1	WT1pKTS	0.0669084261922163
SOX9	WT1pKTS	0.0661498646928183
NR0B1	NR5A1	0.0658470349302602
DKK1	CTNNB1	0.0657034451652674
CTNNB1	FGF9	0.0650903380117337
PGD2	CTNNB1	0.0650891429830007
RSPO1	GATA4	0.0649457692860317
UGR	CBX2	0.0646110638444714
DMRT1	DKK1	0.0642954719332307
AMH	CBX2	0.06388264761628899
RSPO1	UGR	0.0632760604138741
SRY	CBX2	0.0632407361343717
FOXL2	WT1pKTS	0.0620572327575183
DKK1	GATA4	0.0617303662354162
CTNNB1	DKK1	0.0616632401328854
WT1pKTS	WT1mKTS	0.0614813057558561
SRY	UGR	0.0612690937145402
DHH	WT1pKTS	0.0604697222287634
WT1pKTS	NR5A1	0.0593744256969373
SRY	NR5A1	0.0593330978746607
NR5A1	GATA4	0.0591642155268235
NR0B1	GATA4	0.0586924426298619
CBX2	NR0B1	0.0586471455510781
PGD2	CBX2	0.0583257078164449
WT1pKTS	SRY	0.0581912637241251
AMH	NR5A1	0.0577936808873012
AMH	SRY	0.0577573326586769
NR0B1	SOX9	0.0577443153758753
WT1pKTS	DKK1	0.0577218170804408
WT1pKTS	RSPO1	0.0570957816989108
FGF9	NR5A1	0.0568912648622714
FOXL2	NR5A1	0.05654742404413599
WNT4	RSPO1	0.0564156171622905
FOXL2	SRY	0.0562516923676166
RSPO1	SRY	0.055921494820671
WNT4	GATA4	0.0557968762906292
FOXL2	WNT4	0.0554711021332479
CBX2	UGR	0.0554694548031695
NR0B1	WNT4	0.0554441580217016
DMRT1	UGR	0.0552376719788194
WT1mKTS	WT1pKTS	0.0544178685524146
AMH	CTNNB1	0.0542864274829484
WNT4	SOX9	0.054197530600245
