Gene1,Gene2,EdgeWeight,Confidence,Stability,MeanPercentile,MeanZ,ZCILower,ZCIUpper,SelectedRuns,ObservedRuns,RunCount,BestRank
WNT4,CBX2,0.09539711732846216,0.9803921568627451,1.0,0.9803921568627451,2.1461859091336533,1.1079874320883492,2.8879812574605777,30,30,30,1
UGR,NR0B1,0.06409148649028817,0.9313725490196079,1.0,0.9313725490196079,1.7085069819296417,0.11451145500683257,2.974683765203741,30,30,30,1
CBX2,UGR,0.07362951857402918,0.9274509803921569,1.0,0.9274509803921569,1.7172439991846027,0.5119613579209826,2.9635381374061653,30,30,30,1
SRY,NR0B1,0.05986638323532847,0.9176470588235294,1.0,0.9176470588235294,1.4279791323027735,0.5227571702200802,2.164906189791238,30,30,30,1
UGR,WNT4,0.07028534959714053,0.907843137254902,1.0,0.907843137254902,1.4326783377932315,0.42783599214073714,2.6254010179557765,30,30,30,1
RSPO1,NR5A1,0.08131983781765895,0.8927450980392158,0.9666666666666667,0.9235294117647059,1.6410409081757327,0.3999201007077351,2.578938101521417,29,30,30,1
NR0B1,DMRT1,0.06822782515328328,0.8686274509803922,1.0,0.8686274509803922,1.3400946537590765,0.3329050275964478,2.706603091961839,30,30,30,1
SOX9,NR5A1,0.07472810469933587,0.8627450980392157,1.0,0.8627450980392157,1.2038293718772086,0.11603518756690334,2.25226353717248,30,30,30,1
NR0B1,SRY,0.09495896463350896,0.8470588235294118,1.0,0.8470588235294118,1.3061730612128821,0.23904714702967333,2.7623097828445564,30,30,30,1
NR0B1,DKK1,0.07153912092578989,0.8381699346405229,0.9333333333333333,0.8980392156862745,1.3317175084175152,-0.23878988350633923,2.3273680455590453,28,30,30,1
UGR,PGD2,0.05095746938779803,0.8339869281045752,0.9666666666666667,0.8627450980392157,1.3153953710755846,0.1558584668065854,2.5206349051678805,29,30,30,1
DMRT1,WT1mKTS,0.07439070366771634,0.8333333333333334,1.0,0.8333333333333334,1.076883101495146,0.2849848786452176,2.0528365406658304,30,30,30,1
DHH,SRY,0.08533544996442081,0.7941176470588236,1.0,0.7941176470588236,0.8827788934027995,0.2243968591595975,1.7699369506527292,30,30,30,1
NR0B1,WT1mKTS,0.0721860147507256,0.7901960784313725,1.0,0.7901960784313725,0.9423002599995619,0.17395393074773602,2.3454612202455762,30,30,30,1
AMH,SRY,0.08494093772596394,0.7843137254901961,1.0,0.7843137254901961,0.8816542582337166,-0.14973744347354867,1.7365604236695378,30,30,30,1
NR0B1,GATA4,0.07712724366995705,0.7803921568627451,1.0,0.7803921568627451,1.0022038131892197,0.06515215524978374,2.241710964671498,30,30,30,1
PGD2,SRY,0.0875962454643644,0.7752287581699346,0.9666666666666667,0.8019607843137255,0.9866702517198933,-0.06308688082407507,1.9032602986590108,29,30,30,1
NR5A1,RSPO1,0.060398562469186956,0.7741176470588236,0.9333333333333333,0.8294117647058824,1.1446365683728488,-0.36275212335381984,2.1728763152785335,28,30,30,1
