Gene1	Gene2	EdgeWeight
SOX9	SRY	1.0
FOXL2	UGR	1.0
PGD2	WT1mKTS	0.863441729888467
DMRT1	SRY	0.8186934472213809
WT1mKTS	SRY	0.656300950155446
WT1mKTS	UGR	0.6338096173734731
SOX9	NR5A1	0.5754576485096871
FGF9	WT1mKTS	0.552655092594342
WT1mKTS	CTNNB1	0.49283029601665507
AMH	WT1mKTS	0.48545733041149
WT1mKTS	CBX2	0.4680862979197539
GATA4	SRY	0.44760015726576396
PGD2	SRY	0.404576508377339
WT1pKTS	SRY	0.37725898542096503
DHH	WT1mKTS	0.363549810131377
DHH	SRY	0.362257278170615
DKK1	WT1mKTS	0.3521569386657511
CBX2	RSPO1	0.350240277885807
WT1mKTS	WT1mKTS	0.345669613882748
WT1pKTS	UGR	0.331305613706378
NR5A1	FOXL2	0.32914947931836197
CBX2	NR5A1	0.32589978541683
AMH	SRY	0.319125913301924
CBX2	CTNNB1	0.317736830611021
RSPO1	DKK1	0.316391290809973
FOXL2	SRY	0.30760964368862
UGR	SRY	0.274530050316537
CTNNB1	FOXL2	0.269830603155118
RSPO1	DMRT1	0.266994486102911
GATA4	WT1mKTS	0.264379297817161
WNT4	RSPO1	0.263956936491139
WT1pKTS	WT1mKTS	0.263349067905281
FOXL2	CBX2	0.25828219556399395
NR0B1	UGR	0.252979009183011
NR0B1	SRY	0.250218113247421
WNT4	WT1mKTS	0.24841907846376396
UGR	UGR	0.24542294613888
RSPO1	FOXL2	0.238847209082754
RSPO1	NR5A1	0.23511049404487502
FGF9	SRY	0.231714314897804
GATA4	DMRT1	0.23042764790339604
CBX2	SRY	0.229440149892946
WNT4	CTNNB1	0.21870297292009303
CTNNB1	DKK1	0.214054459519292
CBX2	DKK1	0.21313302702436
DKK1	SRY	0.213069312048987
NR0B1	CBX2	0.211851781900572
SRY	UGR	0.20851222061991698
PGD2	AMH	0.20448477770517604
WT1mKTS	FOXL2	0.19610669410935302
NR5A1	DKK1	0.185991784418399
DMRT1	WT1mKTS	0.176689606561774
NR0B1	WT1mKTS	0.17597545813421897
WNT4	CBX2	0.16728786814029
DMRT1	NR5A1	0.167026150110482
CTNNB1	NR5A1	0.165599034727195
UGR	CBX2	0.165416673042299
WT1mKTS	DMRT1	0.16376107309922303
UGR	CTNNB1	0.162990848074081
GATA4	DKK1	0.162822237523856
CTNNB1	DMRT1	0.162506250329436
CBX2	DMRT1	0.16214953062301699
FGF9	WT1pKTS	0.15808176431393
CTNNB1	CTNNB1	0.155536192183518
PGD2	WT1pKTS	0.15320372972364998
UGR	NR5A1	0.149856475342422
RSPO1	CTNNB1	0.149747042098596
CTNNB1	RSPO1	0.148769746005667
WT1mKTS	AMH	0.146090727234164
AMH	AMH	0.14503958777569198
DHH	WT1pKTS	0.14377499382567901
AMH	WT1pKTS	0.14369190485943803
FOXL2	WT1mKTS	0.142607696857357
WT1mKTS	WT1pKTS	0.14208735760800598
UGR	RSPO1	0.141427618921588
NR5A1	DMRT1	0.139528667400828
WT1pKTS	CBX2	0.137243085621392
WT1mKTS	DKK1	0.127509383463441
WT1pKTS	AMH	0.12599195353304402
WNT4	UGR	0.125567943689125
FGF9	AMH	0.125037767246725
GATA4	CTNNB1	0.121720156374011
NR0B1	CTNNB1	0.11929770693428399
CBX2	CBX2	0.118488364827296
PGD2	GATA4	0.11579199612856698
SOX9	FOXL2	0.11460761856298801
FOXL2	FOXL2	0.10877090336342699
GATA4	CBX2	0.10727694261205198
SOX9	GATA4	0.10506676938878698
CBX2	UGR	0.10261472369741499
GATA4	AMH	0.0989392364229105
PGD2	DHH	0.0962298511378589
SRY	NR5A1	0.09607893172702199
FOXL2	AMH	0.0951253749176342
SRY	CBX2	0.0945314292377227
DHH	AMH	0.093807765364945
GATA4	FOXL2	0.0920878566637256
DKK1	AMH	0.0853341777522132
NR0B1	RSPO1	0.0851839061156435
WT1mKTS	RSPO1	0.0819458787987949
FGF9	GATA4	0.0787494069345623
WNT4	AMH	0.0756247495541963
DMRT1	FOXL2	0.0741997230956333
WT1pKTS	FOXL2	0.0739796720175236
SOX9	WT1pKTS	0.0724462787124548
AMH	UGR	0.06987891143727001
DHH	FOXL2	0.0690547796604296
SRY	RSPO1	0.0681468224673246
FGF9	FOXL2	0.0657726945238929
CTNNB1	WT1mKTS	0.0632754598093058
AMH	GATA4	0.0625470604503269
NR0B1	DMRT1	0.0623361528910073
DMRT1	GATA4	0.06093091442223201
PGD2	UGR	0.0595562828893424
WNT4	DMRT1	0.0578894051931491
PGD2	DMRT1	0.0577297537466132
WNT4	DKK1	0.053516658356782
WT1pKTS	DHH	0.048938136298913
DHH	GATA4	0.0464197630729635
SRY	SRY	0.0455479058785282
SRY	FOXL2	0.0438662625655883
SOX9	DKK1	0.0415018283354903
CTNNB1	AMH	0.0408692304355972
AMH	FOXL2	0.0385606191006055
DMRT1	DMRT1	0.0384798038430811
UGR	DKK1	0.0374800391478994
SRY	CTNNB1	0.0372783754651142
AMH	DHH	0.0364675791966375
SOX9	WT1mKTS	0.0353467772464915
PGD2	FOXL2	0.0345589965162052
WNT4	DHH	0.0323945773383602
FGF9	DHH	0.0321048150258782
SOX9	FGF9	0.0320244471246503
NR0B1	AMH	0.0311451152826719
DKK1	GATA4	0.0309364154410278
WNT4	NR5A1	0.0300699429028878
WNT4	GATA4	0.0295454025438436
PGD2	FGF9	0.0286729814554682
DMRT1	DKK1	0.0285708355551252
CBX2	FOXL2	0.0265292428470388
PGD2	CBX2	0.0252698658350389
SOX9	NR0B1	0.024831750827062
UGR	WT1mKTS	0.0248171668709145
FGF9	FGF9	0.0241236175315417
WT1pKTS	GATA4	0.023979974927227997
DKK1	FOXL2	0.0236806160259183
DMRT1	CTNNB1	0.0225148398531332
PGD2	NR0B1	0.0216636309059069
WT1mKTS	DHH	0.0206589016436475
NR0B1	WT1pKTS	0.0190238572734765
DHH	FGF9	0.0189173977018722
AMH	FGF9	0.0183583305231438
UGR	DMRT1	0.0177096542277575
DMRT1	NR0B1	0.0171504678235507
FOXL2	DHH	0.0158498287705957
DHH	NR0B1	0.015596754586086
WT1mKTS	GATA4	0.0151137119395029
FOXL2	WNT4	0.014743562523562
GATA4	DHH	0.0146342984834859
FGF9	NR0B1	0.014506330667636999
AMH	NR0B1	0.0141901348279027
SOX9	DMRT1	0.0138466428140416
NR0B1	DHH	0.0124059568203879
SOX9	AMH	0.0110555389201455
RSPO1	SRY	0.0100679369110677
NR0B1	FOXL2	0.00998223894766998
NR5A1	NR5A1	0.0099707500158736
GATA4	GATA4	0.00875444540675583
NR0B1	GATA4	0.00862197848735073
NR5A1	FGF9	0.00820613202516023
CTNNB1	GATA4	0.00816468639430145
UGR	FOXL2	0.00656645795941787
NR5A1	AMH	0.00640643220528723
SRY	WT1mKTS	0.0058943645557534
NR5A1	WT1pKTS	0.0054969385195664106
DKK1	NR0B1	0.00526393320243676
WT1mKTS	WNT4	0.0050124007023325
GATA4	RSPO1	0.00476145613265343
DKK1	RSPO1	0.0046629099746930205
SOX9	PGD2	0.004654754442522589
DHH	DHH	0.00386118182960949
DKK1	CTNNB1	0.00349661300635608
SOX9	DHH	0.00330857728592894
PGD2	PGD2	0.0030471123166780603
RSPO1	WT1pKTS	0.0030294228812506
UGR	WNT4	0.003026763463513
WNT4	NR0B1	0.0028869551071226897
CTNNB1	WT1pKTS	0.0028197492606906
NR5A1	PGD2	0.0025524897804075
DKK1	WNT4	0.00245562170334036
WT1pKTS	WNT4	0.00244607518988154
FOXL2	WT1pKTS	0.00240818092093681
AMH	PGD2	0.00237686853071486
NR0B1	FGF9	0.00234511468049274
CBX2	WNT4	0.00230904788943511
RSPO1	GATA4	0.0022116275383147897
WT1pKTS	NR0B1	0.00218139479708278
DHH	PGD2	0.00177043196119573
SRY	WT1pKTS	0.00175005747643595
UGR	NR0B1	0.00137500045617618
FGF9	PGD2	0.0012563106497510401
WNT4	WNT4	0.00117998699264435
WT1pKTS	PGD2	0.0011792634996689699
PGD2	RSPO1	0.0011299112181813
GATA4	WT1pKTS	0.0009364886360898891
NR0B1	WNT4	0.000921724916514024
DHH	RSPO1	0.0006955129554701321
WNT4	PGD2	0.000626882284625004
