SourceGENES,TargetGENES,Interaction,Edges
WT1mKTS,PGD2,3.24947850642409,repression
WT1mKTS,DMRT1,3.06649806653761,repression
WT1mKTS,SOX9,2.7228196077037,repression
WT1mKTS,DKK1,1.62554521505347,repression
WT1mKTS,WNT4,1.42459671887913,repression
WT1mKTS,GATA4,1.29300821361489,repression
RSPO1,UGR,1.28058652401366,repression
WT1mKTS,NR0B1,1.05525848773221,repression
NR5A1,CBX2,1,activation
WT1mKTS,FGF9,0.957728034869241,repression
WT1mKTS,WT1pKTS,0.947561048432733,repression
WT1mKTS,DHH,0.817735267710664,repression
NR5A1,RSPO1,0.78919375484745,repression
RSPO1,DMRT1,0.778794046739446,activation
RSPO1,WT1mKTS,0.752487394231393,repression
WT1mKTS,WT1mKTS,0.679437295625735,activation
RSPO1,CBX2,0.577392578170371,repression
NR5A1,CTNNB1,0.566964364417617,repression
RSPO1,NR0B1,0.555810992231929,repression
RSPO1,WNT4,0.555075127975358,repression
NR5A1,UGR,0.464506697907941,repression
RSPO1,GATA4,0.415764401888789,repression
WT1mKTS,AMH,0.382540057882212,repression
RSPO1,SRY,0.324822697041632,repression
NR5A1,SRY,0.283607079781267,repression
AMH,DMRT1,0.242228029713692,activation
AMH,DKK1,0.209934929751152,activation
NR5A1,NR5A1,0.208068024538613,activation
AMH,SOX9,0.180830854738043,repression
DHH,PGD2,0.142755365981553,activation
AMH,PGD2,0.138662341357253,activation
DHH,WT1pKTS,0.126440615420665,repression
AMH,FGF9,0.126191356889024,repression
AMH,DHH,0.125504321286672,activation
RSPO1,DKK1,0.118082025508183,repression
WT1mKTS,FOXL2,0.115318051958525,repression
AMH,GATA4,0.107981005608691,repression
AMH,WT1pKTS,0.0994808587038573,repression
DHH,DMRT1,0.0893320666733763,repression
AMH,WT1mKTS,0.086729419925446,repression
DHH,WNT4,0.0712118530010397,repression
DHH,FOXL2,0.0663319270360171,activation
AMH,FOXL2,0.0561516658747693,repression
AMH,WNT4,0.0553052111436784,repression
DHH,GATA4,0.0524071278112831,repression
AMH,CTNNB1,0.0520924064574618,repression
AMH,NR0B1,0.0450092993105751,repression
WT1pKTS,NR5A1,0.0449661896421102,activation
AMH,AMH,0.038673660941492,activation
DHH,SOX9,0.0367418913875346,activation
DHH,NR0B1,0.0359271931516318,repression
WT1mKTS,CTNNB1,0.0354659306474727,repression
SRY,FGF9,0.0353081497067957,activation
WNT4,AMH,0.0336154195629335,repression
SRY,SOX9,0.0312368313633908,activation
AMH,RSPO1,0.0305041942008813,repression
WNT4,DHH,0.0298152068406855,repression
SRY,DKK1,0.0274517377620124,activation
WNT4,PGD2,0.0271460634282796,repression
SRY,AMH,0.0250799100238453,repression
SRY,DHH,0.024574359211338,repression
SRY,UGR,0.021239115024102,repression
WT1pKTS,RSPO1,0.0198346417297156,repression
WT1pKTS,CTNNB1,0.0196260814552911,repression
DMRT1,PGD2,0.0194291840087224,activation
CTNNB1,UGR,0.0186084243827979,repression
SRY,CBX2,0.0184429335573911,repression
WNT4,WT1pKTS,0.0164075674241938,repression
CTNNB1,CBX2,0.0163648873941799,repression
PGD2,DHH,0.0137654479880448,activation
PGD2,PGD2,0.0135341578726128,activation
WT1pKTS,FOXL2,0.012350130465052,repression
DKK1,PGD2,0.0123427519910645,repression
PGD2,AMH,0.010761313743048,activation
PGD2,WT1pKTS,0.0105674458464122,repression
DMRT1,SOX9,0.00951119913307198,activation
DKK1,WNT4,0.00940837167690016,repression
