Gene1	Gene2	EdgeWeight
RSPO1	WT1pKTS	6.0
WT1pKTS	NR0B1	6.0
WT1mKTS	DMRT1	1.5
RSPO1	FOXL2	0.66666
WT1mKTS	DKK1	0.66666
WT1mKTS	SRY	0.375
WT1pKTS	CBX2	0.375
WT1mKTS	UGR	0.24
NR0B1	FOXL2	0.24
RSPO1	SRY	0.16666
GATA4	SRY	0.16666
GATA4	RSPO1	0.12244000000000001
RSPO1	CBX2	0.09375
WT1mKTS	CBX2	0.09375
GATA4	SOX9	0.07407000000000001
WT1pKTS	FGF9	0.06
CTNNB1	UGR	0.04958
WT1mKTS	PGD2	0.04958
WT1mKTS	NR5A1	0.04166
WT1pKTS	DHH	0.04166
WT1mKTS	FOXL2	0.0355
WT1pKTS	AMH	0.0355
GATA4	FGF9	0.030610000000000002
GATA4	NR5A1	0.030610000000000002
WT1pKTS	PGD2	0.026660000000000003
RSPO1	UGR	0.02343
GATA4	DHH	0.02343
WT1mKTS	NR0B1	0.02076
GATA4	DKK1	0.01851
NR0B1	WT1pKTS	0.01851
FGF9	CBX2	0.01662
WT1mKTS	DHH	0.01662
GATA4	CTNNB1	0.015
CTNNB1	SRY	0.015
WT1mKTS	SOX9	0.0136
NR0B1	NR5A1	0.0136
GATA4	CBX2	0.01239
WNT4	CTNNB1	0.01239
RSPO1	CTNNB1	0.011340000000000001
GATA4	PGD2	0.011340000000000001
WT1pKTS	DMRT1	0.010409999999999999
NR5A1	WT1pKTS	0.010409999999999999
GATA4	AMH	0.0096
WT1pKTS	WNT4	0.008870000000000001
WT1pKTS	UGR	0.00823
SRY	WNT4	0.00823
WNT4	PGD2	0.00765
WT1pKTS	CTNNB1	0.00765
WT1pKTS	FOXL2	0.00713
GATA4	FOXL2	0.00713
GATA4	UGR	0.006659999999999999
WT1mKTS	WNT4	0.00624
WT1mKTS	CTNNB1	0.00624
WT1pKTS	NR5A1	0.00585
WT1pKTS	SOX9	0.00585
AMH	WT1pKTS	0.0055
RSPO1	NR5A1	0.00519
GATA4	WNT4	0.00519
SRY	RSPO1	0.00489
FGF9	RSPO1	0.00489
SRY	SOX9	0.00462
WT1mKTS	FGF9	0.004379999999999999
WT1pKTS	DKK1	0.00415
PGD2	NR5A1	0.00415
GATA4	DMRT1	0.00375
CTNNB1	WT1pKTS	0.00375
WT1mKTS	WT1pKTS	0.0035600000000000002
NR0B1	DMRT1	0.0035600000000000002
GATA4	NR0B1	0.0034
NR0B1	CBX2	0.0034
DMRT1	WNT4	0.00324
DKK1	NR5A1	0.00309
WNT4	NR0B1	0.00296
AMH	NR5A1	0.00296
NR0B1	UGR	0.00283
DMRT1	CBX2	0.00271
PGD2	WT1pKTS	0.00271
CBX2	FOXL2	0.0026
CTNNB1	DMRT1	0.00249
SRY	PGD2	0.0024
WNT4	DHH	0.0023
UGR	DMRT1	0.0023
DHH	UGR	0.00221
FGF9	CTNNB1	0.00221
SRY	CTNNB1	0.00213
NR5A1	WNT4	0.00205
PGD2	FOXL2	0.00205
AMH	CBX2	0.00198
SRY	CBX2	0.00198
SRY	FGF9	0.0019100000000000002
AMH	FOXL2	0.0018399999999999998
NR5A1	DMRT1	0.0018399999999999998
NR0B1	CTNNB1	0.0017800000000000001
PGD2	UGR	0.0017800000000000001
PGD2	SRY	0.0016600000000000002
WT1pKTS	RSPO1	0.0016600000000000002
CTNNB1	RSPO1	0.00161
SRY	NR5A1	0.00156
PGD2	CBX2	0.00151
AMH	PGD2	0.00151
CTNNB1	CBX2	0.0014199999999999998
WT1pKTS	SRY	0.00137
CTNNB1	FGF9	0.00133
CTNNB1	SOX9	0.0012900000000000001
FOXL2	DMRT1	0.00126
FOXL2	CBX2	0.00126
RSPO1	DMRT1	0.00122
NR5A1	FOXL2	0.00119
NR5A1	NR0B1	0.00119
CTNNB1	WNT4	0.00115
FOXL2	WNT4	0.00115
NR0B1	PGD2	0.00112
PGD2	NR0B1	0.00106
GATA4	WT1pKTS	0.00106
DHH	FOXL2	0.00103
DKK1	SOX9	0.00103
DKK1	SRY	0.00101
SRY	FOXL2	0.00101
FOXL2	SOX9	0.00098
SRY	UGR	0.0009599999999999999
PGD2	CTNNB1	0.00093
FGF9	NR0B1	0.00093
UGR	WNT4	0.00091
DKK1	CBX2	0.00091
PGD2	WNT4	0.0008900000000000001
WT1mKTS	AMH	0.0008900000000000001
FGF9	DHH	0.0008699999999999999
FOXL2	WT1pKTS	0.0008699999999999999
DMRT1	NR0B1	0.00085
CBX2	FGF9	0.0008300000000000001
CTNNB1	PGD2	0.0008300000000000001
AMH	SOX9	0.00081
NR5A1	DHH	0.00081
WT1mKTS	RSPO1	0.00079
FOXL2	NR0B1	0.0007700000000000001
CBX2	RSPO1	0.0007700000000000001
DHH	CTNNB1	0.00075
AMH	CTNNB1	0.00074
UGR	SOX9	0.00074
DKK1	RSPO1	0.00072
DHH	RSPO1	0.00072
UGR	CBX2	0.0007
NR5A1	FGF9	0.0007
CTNNB1	NR0B1	0.0006900000000000001
DHH	CBX2	0.0006900000000000001
FGF9	NR5A1	0.00067
DMRT1	UGR	0.00066
SOX9	WNT4	0.00066
NR0B1	AMH	0.00063
NR0B1	DKK1	0.00062
AMH	NR0B1	0.00061
FOXL2	AMH	0.0006
SOX9	FOXL2	0.00058
AMH	DKK1	0.00058
SOX9	CBX2	0.00057
DMRT1	RSPO1	0.00057
AMH	DHH	0.00055
PGD2	RSPO1	0.00054
FGF9	UGR	0.00054
