Gene1,Gene2,Type
UGR,WT1mKTS,+
UGR,WT1pKTS,+
UGR,GATA4,+
UGR,NR5A1,+
UGR,CBX2,+
UGR,NR0B1,+
WT1mKTS,SRY,+
WT1mKTS,NR5A1,+
WT1pKTS,NR0B1,+
WT1pKTS,WNT4,+
CBX2,SRY,+
CBX2,NR5A1,+
CBX2,NR0B1,-
GATA4,SRY,+
GATA4,SOX9,+
GATA4,AMH,+
GATA4,NR5A1,+
NR5A1,SRY,+
NR5A1,SOX9,+
NR5A1,AMH,+
NR5A1,NR0B1,+
NR0B1,SRY,-
NR0B1,SOX9,-
NR0B1,NR5A1,-
NR0B1,AMH,-
SRY,SOX9,+
SRY,NR0B1,-
SOX9,AMH,+
SOX9,FGF9,+
SOX9,PGD2,+
SOX9,DHH,+
SOX9,WNT4,-
SOX9,FOXL2,-
SOX9,CTNNB1,-
FGF9,SOX9,+
FGF9,DHH,+
FGF9,WNT4,-
PGD2,SOX9,+
PGD2,DHH,+
DHH,AMH,+
WNT4,CTNNB1,+
WNT4,RSPO1,+
WNT4,FOXL2,+
WNT4,DKK1,+
WNT4,SOX9,-
WNT4,FGF9,-
RSPO1,CTNNB1,+
RSPO1,WNT4,+
RSPO1,FOXL2,+
CTNNB1,FOXL2,+
CTNNB1,WNT4,+
CTNNB1,RSPO1,+
CTNNB1,SOX9,-
CTNNB1,DHH,-
FOXL2,WNT4,+
FOXL2,RSPO1,+
FOXL2,AMH,+
FOXL2,SOX9,-
FOXL2,DMRT1,-
DKK1,CTNNB1,-
DKK1,WNT4,-
DMRT1,SOX9,+
DMRT1,FOXL2,-
DMRT1,DKK1,-
