Gene1	Gene2	EdgeWeight
WT1pKTS	FOXL2	0.3306395771707308
DKK1	DMRT1	0.3250375931842683
DMRT1	DKK1	0.3206651043881713
FOXL2	WT1pKTS	0.279999776111839
UGR	CBX2	0.2732448584409908
CTNNB1	RSPO1	0.2689080901839608
CBX2	UGR	0.2571945685502329
PGD2	FGF9	0.2503551346096788
FGF9	DHH	0.2446770161646438
PGD2	DHH	0.2446622025343331
RSPO1	WNT4	0.2427865274932849
RSPO1	CTNNB1	0.239153085262166
DHH	AMH	0.2354547626004165
FGF9	PGD2	0.2336200707626014
DHH	FGF9	0.2314449656370043
DKK1	SRY	0.2304967229824518
DMRT1	SRY	0.2266006670731823
DHH	PGD2	0.2249601548577343
RSPO1	NR5A1	0.2248318038677097
SRY	DKK1	0.2165652851076017
PGD2	AMH	0.1982037015785039
SRY	DMRT1	0.1953037961623656
FOXL2	CTNNB1	0.1941359716985359
AMH	PGD2	0.1851833711882591
FGF9	AMH	0.1811128075917824
CTNNB1	FOXL2	0.1800886404290218
AMH	DHH	0.1798309785130379
FGF9	SOX9	0.1769419988022363
PGD2	SOX9	0.1766108391585132
GATA4	WT1mKTS	0.1743234289985448
AMH	FGF9	0.173302330306756
WNT4	NR0B1	0.169019999468411
DHH	SOX9	0.1647054556155661
WNT4	RSPO1	0.1642985788296913
WT1mKTS	GATA4	0.1632861388098624
CTNNB1	WNT4	0.1624695477085163
RSPO1	NR0B1	0.1591048312454275
NR5A1	RSPO1	0.1521239458184039
NR0B1	WNT4	0.1451123670551366
SRY	UGR	0.1418434703760163
SOX9	DMRT1	0.1368410544293446
CTNNB1	WT1pKTS	0.135332693084028
NR5A1	FOXL2	0.1334393444344737
FOXL2	NR5A1	0.1318093817376197
NR5A1	WT1pKTS	0.1303316640236893
SRY	WT1pKTS	0.1292954228496112
SOX9	AMH	0.1257103306775533
FOXL2	RSPO1	0.1239621630291428
SOX9	DKK1	0.1238710772072408
CTNNB1	NR5A1	0.1231180272743067
SOX9	FGF9	0.1162257077467063
SOX9	PGD2	0.1156648898885143
AMH	SOX9	0.1098697901824169
NR5A1	CTNNB1	0.1042176431268927
SOX9	SRY	0.102672959607153
SOX9	DHH	0.1017936178372208
UGR	GATA4	0.1005005549161334
WT1pKTS	WT1mKTS	0.0983706800427284
RSPO1	FOXL2	0.0970199435994169
DKK1	CBX2	0.0966269883735237
WNT4	CTNNB1	0.0962728010016699
WT1pKTS	CTNNB1	0.0945770803452422
UGR	WT1mKTS	0.0942319511084811
NR0B1	UGR	0.093225688123328
DKK1	SOX9	0.0929899065612291
CTNNB1	NR0B1	0.091214623399378
WT1pKTS	NR5A1	0.0889454989141512
NR5A1	CBX2	0.0858349965247837
WT1pKTS	GATA4	0.0846463187496402
WT1pKTS	SRY	0.0832285805998261
NR5A1	GATA4	0.0781338239144654
DMRT1	CBX2	0.0774833686377347
NR5A1	WT1mKTS	0.0747472852622735
