TF	target	importance
WT1pKTS	FOXL2	0.3306395771707308
DKK1	DMRT1	0.32503759318426834
DMRT1	DKK1	0.3206651043881713
FOXL2	WT1pKTS	0.279999776111839
UGR	CBX2	0.27324485844099083
CTNNB1	RSPO1	0.2689080901839608
CBX2	UGR	0.2571945685502329
PGD2	FGF9	0.2503551346096788
FGF9	DHH	0.24467701616464385
PGD2	DHH	0.24466220253433313
RSPO1	WNT4	0.24278652749328497
RSPO1	CTNNB1	0.23915308526216603
DHH	AMH	0.23545476260041653
FGF9	PGD2	0.2336200707626014
DHH	FGF9	0.23144496563700434
DKK1	SRY	0.23049672298245188
DMRT1	SRY	0.2266006670731823
DHH	PGD2	0.22496015485773438
RSPO1	NR5A1	0.22483180386770976
SRY	DKK1	0.21656528510760173
PGD2	AMH	0.19820370157850398
SRY	DMRT1	0.19530379616236562
FOXL2	CTNNB1	0.1941359716985359
AMH	PGD2	0.1851833711882591
FGF9	AMH	0.18111280759178244
CTNNB1	FOXL2	0.18008864042902184
AMH	DHH	0.17983097851303795
FGF9	SOX9	0.1769419988022363
PGD2	SOX9	0.17661083915851325
GATA4	WT1mKTS	0.17432342899854486
AMH	FGF9	0.17330233030675604
WNT4	NR0B1	0.169019999468411
DHH	SOX9	0.16470545561556615
WNT4	RSPO1	0.16429857882969134
WT1mKTS	GATA4	0.16328613880986242
CTNNB1	WNT4	0.16246954770851638
RSPO1	NR0B1	0.15910483124542754
NR5A1	RSPO1	0.1521239458184039
NR0B1	WNT4	0.14511236705513667
SRY	UGR	0.14184347037601636
SOX9	DMRT1	0.13684105442934463
CTNNB1	WT1pKTS	0.13533269308402804
NR5A1	FOXL2	0.13343934443447375
FOXL2	NR5A1	0.13180938173761977
NR5A1	WT1pKTS	0.13033166402368934
SRY	WT1pKTS	0.1292954228496112
SOX9	AMH	0.12571033067755338
FOXL2	RSPO1	0.12396216302914281
SOX9	DKK1	0.12387107720724087
CTNNB1	NR5A1	0.12311802727430679
SOX9	FGF9	0.11622570774670632
SOX9	PGD2	0.11566488988851434
AMH	SOX9	0.10986979018241697
NR5A1	CTNNB1	0.10421764312689279
SOX9	SRY	0.10267295960715307
SOX9	DHH	0.10179361783722088
UGR	GATA4	0.10050055491613348
WT1pKTS	WT1mKTS	0.0983706800427284
RSPO1	FOXL2	0.09701994359941692
DKK1	CBX2	0.09662698837352374
WNT4	CTNNB1	0.09627280100166993
WT1pKTS	CTNNB1	0.09457708034524226
UGR	WT1mKTS	0.09423195110848115
NR0B1	UGR	0.09322568812332804
DKK1	SOX9	0.09298990656122916
CTNNB1	NR0B1	0.09121462339937807
WT1pKTS	NR5A1	0.08894549891415124
NR5A1	CBX2	0.08583499652478374
WT1pKTS	GATA4	0.08464631874964024
WT1pKTS	SRY	0.08322858059982612
NR5A1	GATA4	0.07813382391446548
DMRT1	CBX2	0.0774833686377347
NR5A1	WT1mKTS	0.07474728526227357
RSPO1	CBX2	0.07464803626720683
UGR	NR0B1	0.0745631907120105
NR0B1	GATA4	0.0737805844867523
AMH	NR0B1	0.07335782836487596
WNT4	UGR	0.07068441357530174
CBX2	WT1mKTS	0.07059963674189047
DMRT1	SOX9	0.06708921933449356
FGF9	DMRT1	0.065684058830249
NR0B1	RSPO1	0.06546661272338992
NR0B1	WT1mKTS	0.06536252550604336
FOXL2	WNT4	0.06519915973221196
SRY	FOXL2	0.06501753752593575
CBX2	GATA4	0.06454259136614836
NR0B1	AMH	0.06446321449833967
FGF9	DKK1	0.06320836692179738
RSPO1	WT1pKTS	0.06313418763261966
DHH	DKK1	0.06054991385005417
SOX9	WNT4	0.06011364410378829
DKK1	PGD2	0.06003543541554077
CTNNB1	CBX2	0.0593635340137962
SRY	CTNNB1	0.057128420823347466
DKK1	AMH	0.05712668117442366
PGD2	NR0B1	0.05701129702277653
SRY	NR0B1	0.05692179477111981
RSPO1	UGR	0.05667787343565853
NR5A1	WNT4	0.05662337236251896
DKK1	FGF9	0.056608051759837796
DHH	DMRT1	0.05651414764506841
SOX9	NR5A1	0.05587940203332514
DKK1	UGR	0.05561160548957485
NR5A1	NR0B1	0.054394328722985316
WNT4	FOXL2	0.053770529101811196
DKK1	DHH	0.05317710209580276
DMRT1	UGR	0.0528018130822964
WNT4	GATA4	0.05228521951295831
DMRT1	AMH	0.05219932364702602
DMRT1	PGD2	0.04952260833135049
DMRT1	DHH	0.049393044933148514
PGD2	DMRT1	0.048943149993196454
DMRT1	FGF9	0.04879248431957391
SRY	GATA4	0.04822677085634231
DKK1	CTNNB1	0.048128191438749336
CTNNB1	UGR	0.047966371220654336
PGD2	DKK1	0.047474288657321034
DHH	NR0B1	0.04736642789230487
WT1pKTS	RSPO1	0.04715912984567635
NR0B1	CTNNB1	0.046890500040021675
WNT4	WT1mKTS	0.046872078726852846
WNT4	SOX9	0.04624152646937281
NR5A1	SOX9	0.04601938699888922
NR0B1	PGD2	0.045862415252879665
SRY	WT1mKTS	0.04570836296186216
NR0B1	NR5A1	0.04544674650181153
SRY	SOX9	0.045419402448153935
CBX2	NR5A1	0.04484808097317658
SOX9	CBX2	0.04484265564411658
WNT4	NR5A1	0.044671260768948035
CTNNB1	SRY	0.04377541575188141
SRY	NR5A1	0.04280039661106712
FGF9	NR0B1	0.04221210472329036
WT1pKTS	CBX2	0.04102602719187273
NR0B1	DHH	0.040654020355728335
FGF9	SRY	0.04010987555319446
DMRT1	CTNNB1	0.03999856043938887
DMRT1	WT1mKTS	0.039895763075515504
DHH	SRY	0.03971031381770668
DKK1	WT1pKTS	0.03969894121120089
UGR	WNT4	0.03924842773532977
SRY	CBX2	0.03910731749245797
DMRT1	GATA4	0.038708942096548314
DKK1	WNT4	0.03868146582296393
RSPO1	GATA4	0.038617239119550895
CTNNB1	GATA4	0.038595149699227047
NR0B1	FGF9	0.038240174247383185
DMRT1	WNT4	0.0381467682829967
DMRT1	WT1pKTS	0.03801129051540017
RSPO1	WT1mKTS	0.037874509802975014
WT1mKTS	UGR	0.037818267767143456
PGD2	SRY	0.03776464816455254
DKK1	WT1mKTS	0.0376594132029012
WT1mKTS	WT1pKTS	0.036604919504872116
AMH	DMRT1	0.03604895879920385
CTNNB1	WT1mKTS	0.03545760592152956
DKK1	GATA4	0.034977070403445706
GATA4	UGR	0.03435519040246795
CBX2	NR0B1	0.034127013473134744
SOX9	WT1mKTS	0.03325264788209956
SOX9	GATA4	0.03283332936376355
FOXL2	WT1mKTS	0.032290228347023386
WT1mKTS	CBX2	0.031992148030878326
DHH	GATA4	0.030861941534416272
DKK1	NR5A1	0.030844344469996825
UGR	SRY	0.030668985369712447
FOXL2	GATA4	0.030664937580173125
PGD2	GATA4	0.03049213528113122
DHH	WT1mKTS	0.029744660637252635
AMH	GATA4	0.029687815201994264
AMH	WT1mKTS	0.029204109974288076
FGF9	GATA4	0.02915943710744669
NR0B1	FOXL2	0.028943530197804768
DMRT1	NR5A1	0.02886488612332643
FOXL2	CBX2	0.02826460971497346
PGD2	WT1mKTS	0.027882372585626244
AMH	DKK1	0.02755527148895628
CBX2	RSPO1	0.02744665921046482
SOX9	RSPO1	0.027412977614411912
FGF9	WT1mKTS	0.026522739222112006
SRY	RSPO1	0.02621288623609915
SOX9	UGR	0.025982164748960757
DMRT1	FOXL2	0.025728477792900703
GATA4	WT1pKTS	0.02555797331699827
GATA4	CBX2	0.025155579078220778
WNT4	CBX2	0.024750399822200606
NR0B1	SRY	0.02472054037758427
CBX2	DKK1	0.024615294523277636
CBX2	SRY	0.024602867422839424
DHH	CBX2	0.02416715126905322
FGF9	WNT4	0.024122543676577773
NR5A1	UGR	0.024074355505248342
FGF9	NR5A1	0.023975991473882192
FOXL2	SRY	0.02394652496352621
CTNNB1	DKK1	0.023865740429246902
AMH	SRY	0.023418931349666498
NR0B1	CBX2	0.023397067985665522
WT1mKTS	NR0B1	0.02333903952016765
WNT4	WT1pKTS	0.023284089546800165
DHH	UGR	0.023172472532254927
GATA4	NR5A1	0.023162315219414743
WNT4	AMH	0.022901074453589597
WNT4	DKK1	0.022807017205421422
DKK1	FOXL2	0.02270798456304391
SRY	WNT4	0.02270439035829847
GATA4	NR0B1	0.022470726358572325
CTNNB1	DMRT1	0.022069802190129835
SRY	DHH	0.02206635294036541
SOX9	NR0B1	0.022040670865530125
WNT4	PGD2	0.02131821279769143
SRY	FGF9	0.0211823265214064
CBX2	DMRT1	0.021164492369863078
WT1pKTS	DMRT1	0.021069964868826743
CBX2	CTNNB1	0.021052946929288444
DMRT1	NR0B1	0.021032499091082842
SRY	PGD2	0.020621527046348606
NR5A1	SRY	0.020568427370270443
WNT4	DMRT1	0.020439559294036014
WT1mKTS	NR5A1	0.020280723604969318
RSPO1	SOX9	0.020232447089865355
DKK1	NR0B1	0.020197695547441614
WNT4	DHH	0.019973087586390444
PGD2	WNT4	0.019930367346481872
PGD2	UGR	0.019351167003505976
WT1pKTS	DKK1	0.019345365294904215
SRY	AMH	0.01888379690722589
PGD2	NR5A1	0.018753125632801442
FGF9	CBX2	0.018666808232814375
WNT4	FGF9	0.01836251353642775
PGD2	CBX2	0.01833799981878453
CBX2	WT1pKTS	0.018317354109622645
DHH	NR5A1	0.01826577848224941
FGF9	UGR	0.017873707736623487
CBX2	WNT4	0.017680530779260274
DHH	WNT4	0.017476134339110605
AMH	NR5A1	0.017347513747731774
SOX9	WT1pKTS	0.01710923813221104
UGR	RSPO1	0.016829708325514676
UGR	CTNNB1	0.016422951483274186
WNT4	SRY	0.016364325866197457
UGR	NR5A1	0.016154722563511963
DMRT1	RSPO1	0.016102359132658877
RSPO1	SRY	0.016101041098074986
WT1pKTS	NR0B1	0.016041761989986626
DKK1	RSPO1	0.015997425076527513
FOXL2	NR0B1	0.015584166831503906
WT1pKTS	UGR	0.015566964446956563
NR0B1	WT1pKTS	0.015354343195035447
NR5A1	FGF9	0.015103408907887354
WT1pKTS	WNT4	0.014493059472261557
AMH	UGR	0.01443758782468506
UGR	WT1pKTS	0.014119480771123469
CBX2	FOXL2	0.013629827916353893
NR5A1	DHH	0.013512021874877985
NR5A1	AMH	0.013330233599912785
AMH	CBX2	0.013090453460925848
NR5A1	DMRT1	0.013004105123542477
NR5A1	PGD2	0.012766565846395055
WT1mKTS	WNT4	0.012650350904364822
AMH	WNT4	0.012493668156034168
FGF9	RSPO1	0.01210758588876259
NR0B1	SOX9	0.012078524574601544
NR5A1	DKK1	0.011372993639430076
FOXL2	UGR	0.011362318179090293
UGR	SOX9	0.011087041814070275
GATA4	WNT4	0.010067674670862784
FGF9	WT1pKTS	0.010002410225861838
UGR	FOXL2	0.009930892054103546
SOX9	CTNNB1	0.009928675020751818
CTNNB1	SOX9	0.009611968065447554
PGD2	WT1pKTS	0.009151713093363061
UGR	DKK1	0.009141620759983548
FOXL2	DKK1	0.00887045590197419
UGR	DMRT1	0.008842071507057514
FOXL2	DMRT1	0.008751897080741172
RSPO1	DMRT1	0.008626700231333382
RSPO1	DKK1	0.008536892487900035
DHH	WT1pKTS	0.008527751109702345
SOX9	FOXL2	0.008393987063726335
PGD2	RSPO1	0.008388923072732455
WT1mKTS	FOXL2	0.008185633750609284
RSPO1	PGD2	0.008112957770452527
GATA4	SRY	0.007643778598286264
WT1mKTS	SRY	0.007605394033893663
RSPO1	AMH	0.007547295940343063
RSPO1	DHH	0.007425760018650532
WT1mKTS	CTNNB1	0.0071374209641448935
WT1mKTS	RSPO1	0.007119973685463099
DHH	RSPO1	0.006953068886099248
RSPO1	FGF9	0.006931490524219093
GATA4	RSPO1	0.006811267547549707
AMH	RSPO1	0.006698644893450736
GATA4	FOXL2	0.006496131531786983
GATA4	CTNNB1	0.006261038711474928
AMH	WT1pKTS	0.006166751566021406
FGF9	CTNNB1	0.005614529959545227
CBX2	PGD2	0.005588374009177877
CBX2	SOX9	0.005558853681515512
NR0B1	DKK1	0.005211250637419325
NR0B1	DMRT1	0.0049067268761598904
CTNNB1	FGF9	0.004893417398224574
WT1pKTS	SOX9	0.004850846107223376
DHH	CTNNB1	0.004568864367348948
CTNNB1	DHH	0.004556191658578411
CBX2	AMH	0.004550449387392438
CTNNB1	AMH	0.004544686182464356
PGD2	CTNNB1	0.004516864038144072
AMH	FOXL2	0.004480050367020062
CBX2	DHH	0.004402154030041936
CTNNB1	PGD2	0.004260293297036882
CBX2	FGF9	0.004237665381522014
PGD2	FOXL2	0.00403854584946048
AMH	CTNNB1	0.003994454350013185
FOXL2	SOX9	0.003954252120224344
UGR	PGD2	0.0038839810473996596
DHH	FOXL2	0.0038344870687101306
UGR	DHH	0.0036628032457965893
WT1pKTS	FGF9	0.003660601977361968
FGF9	FOXL2	0.003654879583089783
GATA4	SOX9	0.0035008841446413593
WT1mKTS	DMRT1	0.003457747068208542
GATA4	DMRT1	0.0032941743464051662
WT1mKTS	DKK1	0.0032637194119338503
UGR	AMH	0.0032515025313550076
WT1mKTS	SOX9	0.0032376568315391676
WT1pKTS	DHH	0.003118422808914539
WT1mKTS	AMH	0.0030906033047736156
GATA4	DKK1	0.003080342087366058
UGR	FGF9	0.0030082711898359554
FOXL2	FGF9	0.0027601734162980866
FOXL2	DHH	0.002731171048964846
FOXL2	AMH	0.0027107225361504253
GATA4	FGF9	0.002683169273938731
WT1pKTS	AMH	0.0026378844306585306
WT1mKTS	PGD2	0.0024076510622351947
GATA4	AMH	0.002280928958088515
WT1pKTS	PGD2	0.002271636203905508
WT1mKTS	DHH	0.0022599990111072847
WT1mKTS	FGF9	0.0022081132459376464
GATA4	DHH	0.0021040533423966053
