Gene1	Gene2	EdgeWeight
DMRT1	DKK1	195.87068020802428
DKK1	DMRT1	187.29983787553144
FOXL2	WT1pKTS	175.03172041264895
WT1pKTS	FOXL2	166.96444431318534
CBX2	UGR	158.69851126428583
CTNNB1	FOXL2	156.01179355888007
DKK1	SRY	151.8464115475596
UGR	CBX2	140.57678248153118
RSPO1	NR5A1	137.5609703909212
SOX9	DMRT1	136.1596931523546
SRY	DMRT1	133.38005280959388
SRY	WT1pKTS	126.6470438511396
SRY	DKK1	125.83249155423152
DMRT1	SRY	123.15310677762352
AMH	PGD2	111.24150248376915
DHH	PGD2	109.21088498131256
RSPO1	WNT4	108.41562025534726
CTNNB1	RSPO1	107.70939043059018
FGF9	DHH	107.57492993607688
DHH	FGF9	107.03472644321032
AMH	SOX9	105.08243944905436
NR5A1	FOXL2	102.22285513999694
CTNNB1	NR5A1	100.21553118570544
CTNNB1	WNT4	99.60113134278808
PGD2	AMH	99.5147740679172
PGD2	FGF9	94.2062550245726
DHH	AMH	93.11506391335824
GATA4	WT1mKTS	92.25139748673338
FGF9	AMH	88.75431733761717
PGD2	DHH	87.72760166221784
FOXL2	NR5A1	86.37025041206594
FGF9	PGD2	85.84475772383824
WNT4	RSPO1	84.06916550932306
WT1pKTS	NR5A1	82.24799465825289
CBX2	NR5A1	81.77426659114558
NR5A1	RSPO1	81.42727430746363
WT1mKTS	GATA4	79.06322755229894
WNT4	DMRT1	75.47393005930076
WNT4	NR0B1	75.41203769200088
UGR	NR0B1	75.37730169234095
FOXL2	RSPO1	75.16752702919739
NR0B1	UGR	74.92599308226075
NR5A1	CTNNB1	73.94087915195614
RSPO1	CTNNB1	73.64485658750432
PGD2	SOX9	73.26188038474402
FOXL2	CTNNB1	72.56553099956601
CBX2	RSPO1	71.55333612437668
NR5A1	CBX2	71.46555639198341
NR0B1	WNT4	70.16915209602512
WT1pKTS	SRY	69.32817392528769
RSPO1	WT1pKTS	68.96261058516406
DMRT1	WT1pKTS	67.79967759082695
WNT4	CTNNB1	67.69112695022612
NR5A1	WT1pKTS	67.4587036752493
WNT4	UGR	65.40784613410833
SOX9	SRY	64.76081494517719
PGD2	DKK1	64.68754064180052
FGF9	NR0B1	63.25771336834504
CTNNB1	WT1pKTS	61.90751349016186
SOX9	PGD2	61.541467590382574
RSPO1	CBX2	61.28239475394643
WNT4	NR5A1	60.65919974724138
SRY	NR5A1	60.556615227365555
AMH	FGF9	60.19683025675334
CTNNB1	CBX2	59.857899393774375
RSPO1	FOXL2	59.36337000120801
NR0B1	WT1mKTS	58.893673208061415
AMH	DMRT1	58.62801379878523
PGD2	NR0B1	58.54417235526551
RSPO1	NR0B1	56.38124726448566
DKK1	CBX2	56.27534754686432
SRY	SOX9	56.0732620968758
UGR	GATA4	55.943653600800275
UGR	WT1mKTS	55.38831875381173
DMRT1	CBX2	55.090796514376706
WT1pKTS	RSPO1	54.73197203270271
SOX9	NR5A1	54.46048065014664
AMH	DHH	54.27296642720384
SOX9	AMH	53.68820319876431
SRY	FOXL2	52.59905891545128
UGR	RSPO1	52.56601466560777
NR0B1	NR5A1	52.454377665005545
CTNNB1	DMRT1	52.24316471675984
SOX9	DKK1	52.12536200433229
SRY	UGR	52.10657873256586
FOXL2	WNT4	52.014295995831816
NR0B1	GATA4	51.48151459291722
FGF9	DMRT1	50.85580681746252
AMH	DKK1	50.43094131834528
AMH	NR0B1	50.062751742619255
DMRT1	SOX9	49.48931862722795
NR0B1	RSPO1	49.25120412945981
DHH	NR0B1	48.56934540037608
SOX9	DHH	48.301036085214385
DKK1	CTNNB1	47.773157776184995
DMRT1	WNT4	47.581967837050186
WT1pKTS	CBX2	47.29237617216975
PGD2	DMRT1	47.01173301933936
FGF9	WNT4	46.94432306281592
WNT4	SOX9	46.715177003615715
DKK1	DHH	46.33944055521991
WNT4	DKK1	45.94105202224887
SOX9	FGF9	45.6675162563545
NR0B1	PGD2	45.64055036479335
DHH	SOX9	45.241831398819734
SOX9	WNT4	45.205288317906536
FOXL2	SRY	44.7455036529734
CTNNB1	NR0B1	44.16932694216539
CTNNB1	DKK1	44.07836613272348
DHH	DKK1	43.98411776175289
NR0B1	CTNNB1	43.93625604848048
CTNNB1	SRY	43.80568922089227
WNT4	AMH	43.744556234119145
DMRT1	FOXL2	43.69743966191542
SOX9	RSPO1	43.119139982944574
WNT4	GATA4	42.99694590085715
CBX2	CTNNB1	42.972768812733314
SRY	CTNNB1	42.95832284412627
UGR	WNT4	42.9530301181167
FGF9	NR5A1	42.662122162914066
UGR	NR5A1	42.36180432913018
NR0B1	AMH	42.329614988538765
NR5A1	WNT4	42.114069001896134
FGF9	SOX9	42.01859590828779
AMH	NR5A1	41.75868890185913
CBX2	DMRT1	41.599951515463374
DKK1	WNT4	41.584328216651066
SRY	RSPO1	41.173219089048075
SOX9	WT1pKTS	40.77463691842139
DKK1	WT1pKTS	40.59928590808668
CBX2	DKK1	40.48467118556787
PGD2	NR5A1	39.83003036647233
NR5A1	PGD2	39.357803612299655
AMH	SRY	39.31976308439043
NR5A1	NR0B1	39.173399520392806
WT1pKTS	DMRT1	38.87157410734208
DKK1	PGD2	38.86373095643157
UGR	DMRT1	38.86213043433344
DHH	NR5A1	38.66210334804527
DKK1	NR5A1	38.44779279705576
FOXL2	NR0B1	38.40803849873247
DHH	DMRT1	38.096196430071785
CTNNB1	UGR	37.97536792688326
RSPO1	DMRT1	37.97439407119607
WNT4	WT1pKTS	37.88436553674808
DMRT1	CTNNB1	37.6655897320825
WNT4	WT1mKTS	37.664146166308875
FOXL2	CBX2	37.603531573624025
DMRT1	PGD2	37.599588511056176
WT1pKTS	GATA4	37.32887924377057
FGF9	SRY	36.98083609848099
SRY	FGF9	36.73379853506722
DMRT1	UGR	36.43835243867517
WT1pKTS	WT1mKTS	36.199274589879565
SOX9	NR0B1	36.041787743613405
NR5A1	AMH	35.905770719226204
RSPO1	UGR	35.61910203908858
CTNNB1	WT1mKTS	35.15957894473854
WNT4	PGD2	35.06507272950953
WT1pKTS	WNT4	34.839027894348064
RSPO1	SRY	34.114200373898306
CBX2	FOXL2	34.00766908016458
WT1pKTS	CTNNB1	33.8680061698046
WNT4	FGF9	33.76368334098271
SRY	CBX2	33.73949110103617
DHH	SRY	33.71844493967147
UGR	SRY	32.973278288815905
NR5A1	UGR	32.924970635334596
WNT4	SRY	32.779699569376206
DKK1	RSPO1	32.63064933725444
NR0B1	CBX2	32.46757658459844
NR0B1	DHH	32.45369895732911
UGR	CTNNB1	32.33283679142917
DHH	WNT4	31.961980739991
