Gene1	Gene2	EdgeWeight
UGR	UGR	47.1411744301325
CBX2	UGR	44.5105235610233
WNT4	UGR	44.1768846901357
WT1mKTS	UGR	36.6958783139765
GATA4	UGR	33.7473011266024
WT1pKTS	UGR	31.2545350972796
SRY	UGR	30.4855994282025
NR0B1	UGR	23.7437921926965
WNT4	SRY	23.3918309322057
WNT4	WNT4	22.4390738870164
UGR	WNT4	21.6721105312737
UGR	SRY	21.60711430444
UGR	CBX2	21.3557834396144
SRY	SRY	21.1359266827854
CBX2	CBX2	21.0083300154389
WNT4	CBX2	20.5291588105782
CBX2	WNT4	18.5116685180421
CBX2	SRY	18.1026585824551
DMRT1	UGR	17.3633870564457
NR5A1	UGR	16.7518996692494
SRY	WNT4	16.2792235324151
DKK1	UGR	16.1657021671267
CTNNB1	UGR	15.9265258034226
WT1mKTS	WNT4	15.2355531818218
WNT4	GATA4	14.9517124808874
RSPO1	UGR	14.87522753757
WT1mKTS	SRY	14.8222788183199
NR0B1	CBX2	14.2918202539677
SRY	GATA4	14.0989493631805
SRY	CBX2	14.0384183923106
CTNNB1	WNT4	13.9638863511645
GATA4	WNT4	13.7463474088724
NR0B1	SRY	13.3895801634045
GATA4	SRY	13.0993792812949
WT1mKTS	CBX2	13.0052521472981
CTNNB1	GATA4	12.845517352481
WT1pKTS	WNT4	12.5685998490662
UGR	GATA4	12.4488443206968
RSPO1	SRY	12.1153457268601
GATA4	CBX2	11.9564889980483
WNT4	RSPO1	11.9429128489976
UGR	RSPO1	11.8462426399707
WT1pKTS	SRY	11.6314161609233
CTNNB1	SRY	11.4791090308711
CBX2	GATA4	11.4580821408403
UGR	WT1mKTS	11.2991123560279
NR0B1	WNT4	10.9117362579248
WNT4	WT1mKTS	10.8751528038916
RSPO1	WNT4	10.6300056306009
WT1pKTS	CBX2	10.6245364813863
RSPO1	GATA4	10.5955547917903
FOXL2	UGR	10.1953168167621
CBX2	RSPO1	9.99533357804385
NR0B1	GATA4	9.87350754549245
NR5A1	WNT4	9.75358715985892
DMRT1	SRY	9.49210298730658
NR5A1	GATA4	9.2799563798788
WT1mKTS	WT1mKTS	8.96281502385345
DKK1	SRY	8.72106857175088
FGF9	UGR	8.36043611904527
DMRT1	WNT4	8.26659145557524
AMH	UGR	8.23865074353198
PGD2	UGR	8.18484487360867
NR5A1	NR0B1	8.18173840932967
WNT4	PGD2	8.03014954694721
WNT4	DHH	7.96141897602831
UGR	PGD2	7.87684360897188
GATA4	GATA4	7.85674059292824
WT1mKTS	RSPO1	7.70048469601507
UGR	DHH	7.69407830661387
DHH	UGR	7.6881466863027
DKK1	WNT4	7.68634623269325
CBX2	WT1mKTS	7.67685568476625
CBX2	PGD2	7.49232261371418
WT1mKTS	GATA4	7.45864343028419
CBX2	DHH	7.39507586647677
UGR	SOX9	7.35138778545693
DMRT1	CBX2	7.31526838609646
NR5A1	CBX2	7.22254065902573
WNT4	SOX9	7.21952171338298
GATA4	RSPO1	7.09731312622156
UGR	CTNNB1	6.99714652152639
FOXL2	WNT4	6.95572510514982
DKK1	CBX2	6.83358941911338
GATA4	WT1mKTS	6.67519997435572
UGR	FOXL2	6.49907402946975
WT1pKTS	RSPO1	6.44486135244649
NR5A1	SRY	6.32964447040404
GATA4	FOXL2	6.32152844529689
CBX2	FOXL2	6.29589963996946
WT1pKTS	WT1mKTS	6.2463963249568
RSPO1	NR0B1	6.17658242099415
DMRT1	NR0B1	6.16491497668254
CBX2	DMRT1	5.97994682352157
DKK1	NR0B1	5.93146022717331
NR5A1	WT1mKTS	5.73417274099434
FOXL2	CBX2	5.65003449312647
WT1pKTS	GATA4	5.50178279090238
NR5A1	WT1pKTS	5.45595795639852
UGR	DMRT1	5.35711222439964
NR5A1	PGD2	5.35596381207514
DMRT1	WT1mKTS	5.32906945556443
NR5A1	FOXL2	5.20318364302839
NR0B1	RSPO1	5.08648271533541
CTNNB1	CTNNB1	5.07536700838684
SRY	NR5A1	5.06407847379572
NR0B1	CTNNB1	5.06218223485277
WT1pKTS	CTNNB1	5.04218863070018
WNT4	AMH	5.00762933895437
GATA4	CTNNB1	4.97542278576892
NR0B1	NR5A1	4.94483141881555
CBX2	SOX9	4.92906341164714
UGR	WT1pKTS	4.91878492977363
UGR	NR5A1	4.89520579908093
UGR	AMH	4.86608598942384
DKK1	WT1mKTS	4.84046486974922
AMH	WNT4	4.83429714422402
NR0B1	FOXL2	4.79851068120237
NR5A1	RSPO1	4.77148094477112
WNT4	CTNNB1	4.7598658911849
WT1mKTS	DHH	4.72467994316933
SRY	CTNNB1	4.68698527519975
FGF9	WNT4	4.65474208286981
WT1mKTS	PGD2	4.58333998966934
RSPO1	CTNNB1	4.52540375008897
