Gene1	Gene2	EdgeWeight
UGR	UGR	47.1411744301325
CBX2	UGR	44.5105235610233
WNT4	UGR	44.1768846901357
WT1mKTS	UGR	36.6958783139765
GATA4	UGR	33.7473011266024
WT1pKTS	UGR	31.2545350972796
WNT4	SRY	23.3918309322057
WNT4	WNT4	22.4390738870164
UGR	WNT4	21.6721105312737
UGR	SRY	21.60711430444
WNT4	CBX2	20.5291588105782
UGR	CBX2	19.4012621471271
CBX2	WNT4	18.5116685180421
CBX2	CBX2	18.2631843515641
CBX2	SRY	18.1026585824551
DMRT1	UGR	17.3633870564457
NR0B1	UGR	17.3488281301754
NR5A1	UGR	16.7518996692494
DKK1	UGR	16.1657021671267
WT1mKTS	WNT4	15.2355531818218
WNT4	GATA4	14.9517124808874
WT1mKTS	SRY	14.8222788183199
GATA4	WNT4	13.7463474088724
SRY	UGR	13.2563440244433
GATA4	SRY	13.0993792812949
WT1mKTS	CBX2	12.6326289618755
WT1pKTS	WNT4	12.5685998490662
UGR	GATA4	12.4488443206968
WNT4	RSPO1	11.9429128489976
UGR	RSPO1	11.8462426399707
GATA4	CBX2	11.815482568261
WT1pKTS	SRY	11.6314161609233
CBX2	GATA4	11.4580821408403
UGR	WT1mKTS	11.2991123560279
WNT4	WT1mKTS	10.8751528038916
WT1pKTS	CBX2	10.6245364813863
CBX2	RSPO1	9.99533357804385
DMRT1	SRY	9.49210298730658
NR0B1	SRY	9.09422486616252
WT1mKTS	WT1mKTS	8.96281502385345
CTNNB1	UGR	8.92732515263474
DKK1	SRY	8.72106857175088
FGF9	UGR	8.36043611904527
DMRT1	WNT4	8.26659145557524
AMH	UGR	8.23865074353198
PGD2	UGR	8.18484487360867
NR5A1	NR0B1	8.18173840932967
NR0B1	CBX2	8.084229297176
WNT4	PGD2	8.03014954694721
WNT4	DHH	7.96141897602831
UGR	PGD2	7.87684360897188
GATA4	GATA4	7.85674059292824
WT1mKTS	RSPO1	7.70048469601507
UGR	DHH	7.69407830661387
DHH	UGR	7.6881466863027
DKK1	WNT4	7.68634623269325
CBX2	WT1mKTS	7.67685568476625
CBX2	PGD2	7.49232261371418
WT1mKTS	GATA4	7.45864343028419
SRY	SRY	7.40006993579546
CBX2	DHH	7.39507586647677
UGR	SOX9	7.35138778545693
DMRT1	CBX2	7.31526838609646
NR0B1	WNT4	7.24934643598966
NR5A1	CBX2	7.22254065902573
WNT4	SOX9	7.21952171338298
GATA4	RSPO1	7.09731312622156
DKK1	CBX2	6.83358941911338
GATA4	WT1mKTS	6.67519997435572
WT1pKTS	RSPO1	6.44486135244649
NR5A1	SRY	6.32964447040404
WT1pKTS	WT1mKTS	6.2463963249568
RSPO1	NR0B1	6.17658242099415
DMRT1	NR0B1	6.16491497668254
SRY	CBX2	6.03079716513773
RSPO1	UGR	5.96284210323871
DKK1	NR0B1	5.93146022717331
NR5A1	WNT4	5.53367735392699
NR5A1	GATA4	5.5295989522008
WT1pKTS	GATA4	5.50178279090238
CTNNB1	SRY	5.40195695786077
NR5A1	PGD2	5.35596381207514
DMRT1	WT1mKTS	5.32906945556443
SRY	WNT4	5.27111281309645
RSPO1	GATA4	5.20540755309816
NR0B1	GATA4	5.11753240182624
RSPO1	SRY	5.11065235163902
NR0B1	RSPO1	5.08648271533541
WNT4	AMH	5.00762933895437
CBX2	SOX9	4.92906341164714
UGR	WT1pKTS	4.91878492977363
DKK1	WT1mKTS	4.84046486974922
AMH	WNT4	4.83429714422402
NR5A1	RSPO1	4.77148094477112
WT1mKTS	DHH	4.72467994316933
FGF9	WNT4	4.65474208286981
WT1mKTS	PGD2	4.58333998966934
NR5A1	DHH	4.50505558956271
SRY	GATA4	4.47077457485555
NR0B1	DHH	4.44182834176304
RSPO1	AMH	4.43904885680621
WT1pKTS	WT1pKTS	4.42038182595662
DMRT1	SOX9	4.41139155084348
WT1mKTS	SOX9	4.32299681699223
DHH	WNT4	4.32051467766588
DMRT1	RSPO1	4.31148661699513
NR5A1	WT1pKTS	4.30866040422962
GATA4	SOX9	4.27395836720499
DKK1	RSPO1	4.19582839408006
PGD2	WNT4	4.19180585132687
CTNNB1	CBX2	4.15321672092297
WT1pKTS	SOX9	4.13739950793707
AMH	SRY	4.12094578232886
GATA4	DHH	4.09269011348775
RSPO1	CBX2	4.08243360314504
DMRT1	GATA4	3.96874056979166
PGD2	SRY	3.9478174767296
NR5A1	AMH	3.93857860933005
GATA4	PGD2	3.93857822527263
DKK1	SOX9	3.92280094382574
WT1mKTS	WT1pKTS	3.90462626031678
DMRT1	WT1pKTS	3.84911873035894
DKK1	GATA4	3.83795652693063
AMH	CBX2	3.83031894961973
DKK1	DKK1	3.77524785302955
NR0B1	WT1mKTS	3.75755964645243
