Gene1	Gene2	EdgeWeight
DMRT1	FGF9	0.1994771475915318
DMRT1	RSPO1	-0.18128661998412163
DMRT1	DHH	0.1994982417048845
DMRT1	CTNNB1	-0.3509744784104606
DMRT1	PGD2	0.2016855478282219
DMRT1	WT1mKTS	0.04768001335803668
DMRT1	SRY	0.3647601864426889
DMRT1	DKK1	0.4216267934213321
DMRT1	WNT4	-0.3421653625860043
DMRT1	CBX2	-0.30217737052219906
DMRT1	AMH	0.19746627539718437
DMRT1	NR5A1	0.052695807099333976
DMRT1	WT1pKTS	0.20248584412604376
DMRT1	FOXL2	-0.28848263708181826
DMRT1	UGR	-0.20639639978514165
DMRT1	SOX9	0.27179207358135127
DMRT1	GATA4	0.02411573461770926
FGF9	DMRT1	0.1994771475915318
FGF9	RSPO1	-0.21684773606194616
FGF9	DHH	0.3940659258389013
FGF9	CTNNB1	-0.11938179837151956
FGF9	PGD2	0.394459896423195
FGF9	WT1mKTS	-0.024116600515259795
FGF9	SRY	0.14679841356307244
FGF9	DKK1	0.2020361778418071
FGF9	WNT4	-0.35480185430986466
FGF9	CBX2	-0.18068784890001763
FGF9	AMH	0.39480742278217257
FGF9	NR0B1	-0.5373051798516157
FGF9	NR5A1	0.13395478905002903
FGF9	WT1pKTS	0.043172643098399854
FGF9	FOXL2	-0.05018436740361184
FGF9	UGR	-0.06182387661560892
FGF9	SOX9	0.3103691075936281
FGF9	GATA4	-0.07315678053930812
RSPO1	DMRT1	-0.18128661998412163
RSPO1	FGF9	-0.21684773606194616
RSPO1	DHH	-0.21724002518376315
RSPO1	CTNNB1	0.49933385168861816
RSPO1	PGD2	-0.21872399141360702
RSPO1	WT1mKTS	0.13957799337482293
RSPO1	SRY	-0.28434402584544943
RSPO1	DKK1	-0.18880446610753807
RSPO1	WNT4	0.4501291333377073
RSPO1	AMH	-0.212057331102072
RSPO1	NR0B1	0.3791351644710777
RSPO1	NR5A1	-0.6020859045480622
RSPO1	WT1pKTS	-0.4316441050986022
RSPO1	FOXL2	0.44865022322334536
RSPO1	SOX9	-0.2955442297129307
RSPO1	GATA4	0.14381726167849232
DHH	DMRT1	0.1994982417048845
DHH	FGF9	0.3940659258389013
DHH	RSPO1	-0.21724002518376315
DHH	CTNNB1	-0.12053441026451499
DHH	PGD2	0.39282995585948105
DHH	WT1mKTS	-0.020914036984946954
DHH	SRY	0.1480296086907138
DHH	DKK1	0.20213192380075679
DHH	WNT4	-0.3548852991358323
DHH	CBX2	-0.18435744151094005
DHH	AMH	0.3949924471981413
DHH	NR0B1	-0.5365023028802591
DHH	NR5A1	0.13365296281045935
DHH	WT1pKTS	0.04366888941258214
DHH	FOXL2	-0.05154650581179895
DHH	UGR	-0.06639626915526707
DHH	SOX9	0.3097879266628352
DHH	GATA4	-0.06073117802052271
CTNNB1	DMRT1	-0.3509744784104606
CTNNB1	FGF9	-0.11938179837151956
CTNNB1	RSPO1	0.49933385168861816
CTNNB1	DHH	-0.12053441026451499
CTNNB1	PGD2	-0.12305581369329414
CTNNB1	WT1mKTS	0.1339395200397253
CTNNB1	SRY	-0.45082700440029594
CTNNB1	DKK1	-0.3484439854448838
CTNNB1	WNT4	0.41421500630112407
CTNNB1	AMH	-0.11619571699817847
CTNNB1	NR0B1	0.33850641491878136
CTNNB1	NR5A1	-0.49228816186594554
CTNNB1	WT1pKTS	-0.5661154943340757
CTNNB1	FOXL2	0.5198766189606399
CTNNB1	SOX9	-0.2035639238352421
CTNNB1	GATA4	0.13511276175433734
PGD2	DMRT1	0.2016855478282219
PGD2	FGF9	0.394459896423195
PGD2	RSPO1	-0.21872399141360702
PGD2	DHH	0.39282995585948105
PGD2	CTNNB1	-0.12305581369329414
PGD2	WT1mKTS	-0.0150699289832458
PGD2	SRY	0.148217715471348
PGD2	DKK1	0.20205705874784355
PGD2	WNT4	-0.35652041534884454
PGD2	CBX2	-0.18471918384511873
PGD2	AMH	0.3939556397020978
PGD2	NR0B1	-0.5412415646562051
PGD2	NR5A1	0.13264509166561678
