Gene1	Gene2	EdgeWeight
PGD2	CTNNB1	6.0
FGF9	NR5A1	6.0
FGF9	CTNNB1	1.5
FOXL2	DKK1	1.5
PGD2	WNT4	0.66666
PGD2	WNT4	0.66666
PGD2	NR0B1	0.375
FOXL2	NR5A1	0.375
PGD2	CBX2	0.24
PGD2	SOX9	0.16666
PGD2	RSPO1	0.16666
FOXL2	SOX9	0.12244
AMH	NR0B1	0.12244
FGF9	RSPO1	0.09375
FGF9	NR0B1	0.07407
FOXL2	DMRT1	0.07407
FOXL2	NR0B1	0.06
AMH	RSPO1	0.06
DHH	RSPO1	0.04958
FOXL2	DHH	0.04958
AMH	SRY	0.04166
FOXL2	FGF9	0.04166
DHH	CTNNB1	0.0355
PGD2	NR5A1	0.0355
FGF9	DHH	0.03061
DHH	FOXL2	0.03061
FOXL2	PGD2	0.02666
PGD2	WT1pKTS	0.02666
AMH	CTNNB1	0.02343
FGF9	WT1pKTS	0.02343
FGF9	PGD2	0.02076
FGF9	SRY	0.02076
DHH	WT1pKTS	0.01851
AMH	WT1mKTS	0.01851
FGF9	AMH	0.01662
FOXL2	UGR	0.015
PGD2	UGR	0.015
DHH	NR0B1	0.0136
PGD2	FGF9	0.01239
AMH	CBX2	0.01239
PGD2	GATA4	0.01134
FGF9	DKK1	0.01041
AMH	WT1pKTS	0.01041
FOXL2	GATA4	0.0096
SOX9	WT1pKTS	0.0096
SOX9	FOXL2	0.00887
FGF9	WNT4	0.00823
AMH	UGR	0.00765
AMH	PGD2	0.00765
PGD2	WT1mKTS	0.00713
DHH	NR5A1	0.00666
FOXL2	AMH	0.00585
FGF9	FOXL2	0.00585
AMH	WNT4	0.0055
PGD2	AMH	0.0055
DHH	WNT4	0.00519
AMH	FGF9	0.00519
DHH	UGR	0.00489
FOXL2	WNT4	0.00489
DMRT1	WNT4	0.00462
PGD2	DKK1	0.00462
AMH	FOXL2	0.00438
FOXL2	CTNNB1	0.00438
DHH	SRY	0.00415
FOXL2	WT1pKTS	0.00394
DHH	GATA4	0.00394
AMH	NR5A1	0.00375
FOXL2	SRY	0.00375
AMH	GATA4	0.00356
UGR	SOX9	0.00356
FGF9	CBX2	0.0034
FGF9	UGR	0.0034
FGF9	SOX9	0.00324
DKK1	RSPO1	0.00324
DMRT1	NR0B1	0.00309
PGD2	DMRT1	0.00296
FGF9	WT1mKTS	0.00296
FOXL2	CBX2	0.00283
DKK1	FOXL2	0.00283
SOX9	GATA4	0.00271
DKK1	CTNNB1	0.0026
DHH	DMRT1	0.00249
SOX9	WT1mKTS	0.00249
SOX9	NR5A1	0.0023
FGF9	GATA4	0.0023
SOX9	DKK1	0.00221
SOX9	NR0B1	0.00221
SOX9	FGF9	0.00205
DKK1	NR5A1	0.00205
PGD2	FOXL2	0.00198
DKK1	CBX2	0.00191
SOX9	DHH	0.00191
PGD2	SRY	0.00184
DHH	WT1mKTS	0.00184
UGR	DMRT1	0.00172
SOX9	RSPO1	0.00161
DMRT1	WT1mKTS	0.00161
SOX9	AMH	0.00156
DMRT1	RSPO1	0.00156
SOX9	WNT4	0.00146
SOX9	SRY	0.00146
NR0B1	CTNNB1	0.00142
NR0B1	FOXL2	0.00137
DMRT1	WT1pKTS	0.00133
SOX9	PGD2	0.00129
DMRT1	FOXL2	0.00129
WNT4	RSPO1	0.00126
CBX2	DHH	0.00126
CBX2	AMH	0.00119
WNT4	CTNNB1	0.00119
SRY	NR5A1	0.00115
NR0B1	RSPO1	0.00112
WT1mKTS	WT1pKTS	0.00109
GATA4	UGR	0.00109
CBX2	NR0B1	0.00106
FOXL2	WT1mKTS	0.00103
WT1pKTS	SOX9	0.00101
NR0B1	CBX2	0.00101
AMH	DKK1	0.00098
WT1mKTS	NR0B1	0.00098
UGR	RSPO1	0.00096
SOX9	UGR	0.00093
CBX2	PGD2	0.00091
UGR	AMH	0.00089
DMRT1	UGR	0.00089
UGR	SRY	0.00087
SOX9	CTNNB1	0.00087
CBX2	FGF9	0.00085
GATA4	WT1pKTS	0.00085
CBX2	SOX9	0.00079
NR5A1	DMRT1	0.00077
SRY	NR0B1	0.00077
UGR	GATA4	0.00075
DMRT1	CTNNB1	0.00075
UGR	PGD2	0.00074
WT1mKTS	WNT4	0.00072
WT1pKTS	DMRT1	0.0007
GATA4	NR0B1	0.00069
WNT4	NR0B1	0.00067
NR5A1	DHH	0.00067
GATA4	NR5A1	0.00066
UGR	DHH	0.00065
UGR	DKK1	0.00063
UGR	FGF9	0.00062
GATA4	WT1mKTS	0.00062
DKK1	UGR	0.00061
FOXL2	RSPO1	0.00061
SOX9	DMRT1	0.0006
SRY	FOXL2	0.0006
SRY	DMRT1	0.00058
CBX2	SRY	0.00057
DKK1	SRY	0.00057
WT1pKTS	AMH	0.00056
NR5A1	FGF9	0.00054
DMRT1	GATA4	0.00054
DMRT1	CBX2	0.00053
GATA4	DHH	0.00053
NR0B1	WT1pKTS	0.00052
NR0B1	NR5A1	0.00051
NR5A1	SOX9	0.00051
CBX2	WNT4	0.0005
CBX2	FOXL2	0.00049
GATA4	AMH	0.00049
SRY	WT1pKTS	0.00047
WT1mKTS	DMRT1	0.00047
NR5A1	AMH	0.00046
AMH	DMRT1	0.00046
GATA4	RSPO1	0.00046
WNT4	FOXL2	0.00045
SOX9	CBX2	0.00045
WT1mKTS	RSPO1	0.00044
GATA4	FGF9	0.00043
WT1mKTS	DKK1	0.00043
CBX2	RSPO1	0.00043
WNT4	SOX9	0.00042
GATA4	WNT4	0.00042
WT1pKTS	CBX2	0.00041
WT1mKTS	NR5A1	0.00041
GATA4	CTNNB1	0.0004
GATA4	FOXL2	0.0004
WT1mKTS	CBX2	0.00039
SRY	CBX2	0.00039
NR5A1	DKK1	0.00038
NR5A1	WNT4	0.00037
WT1pKTS	DKK1	0.00037
WT1mKTS	FOXL2	0.00037
CTNNB1	DKK1	0.00036
NR5A1	PGD2	0.00036
WNT4	CBX2	0.00036
SRY	UGR	0.00036
WT1pKTS	DHH	0.00035
DHH	CBX2	0.00034
WT1mKTS	CTNNB1	0.00034
NR0B1	SOX9	0.00034
GATA4	DMRT1	0.00034
WT1pKTS	WT1mKTS	0.00033
AMH	DHH	0.00032
WT1pKTS	WNT4	0.00032
UGR	WT1pKTS	0.00032
GATA4	SOX9	0.00032
WT1pKTS	RSPO1	0.00031
CTNNB1	FOXL2	0.00031
WT1mKTS	FGF9	0.00031
CBX2	GATA4	0.00031
NR0B1	DHH	0.00031
AMH	SOX9	0.0003
GATA4	SRY	0.0003
WNT4	WT1mKTS	0.0003
DKK1	WT1pKTS	0.0003
