gene_symbol,reference_gene_id
ada-2,WBGene00017967
aha-1,WBGene00000095
alr-1,WBGene00044330
aptf-1,WBGene00019424
aptf-2,WBGene00013383
aptf-3,WBGene00009203
aptf-4,WBGene00009202
arid-1,WBGene00044689
ast-1,WBGene00020368
atf-2,WBGene00000220
atf-5,WBGene00000221
atf-6,WBGene00000222
atf-7,WBGene00000223
atf-8,WBGene00017535
atfs-1,WBGene00013878
B0310.2,WBGene00015138
B0336.7,WBGene00015147
B0348.1,WBGene00015151
B0348.2,WBGene00015152
baz-2,WBGene00001470
bcl-11,WBGene00017430
bed-1,WBGene00012674
bed-2,WBGene00012943
bed-3,WBGene00009133
blmp-1,WBGene00003847
bnc-1,WBGene00044791
bro-1,WBGene00000272
C01F6.9,WBGene00007223
C04F5.9,WBGene00015451
C08E8.1,WBGene00007437
C09F5.3,WBGene00015649
C16A3.4,WBGene00015809
C17G10.13,WBGene00270322
C27A12.2,WBGene00016154
C27A2.7,WBGene00044386
C30G4.4,WBGene00016269
C34B4.2,WBGene00007907
C41D11.3,WBGene00016562
C46E10.8,WBGene00016712
camt-1,WBGene00020251
ccch-1,WBGene00009532
ccch-2,WBGene00009537
ccch-5,WBGene00013319
cdc-5L,WBGene00008386
cebp-2,WBGene00016754
ceh-1,WBGene00000428
ceh-10,WBGene00000435
ceh-100,WBGene00012584
ceh-12,WBGene00000436
ceh-13,WBGene00000437
ceh-14,WBGene00000438
ceh-16,WBGene00000439
ceh-17,WBGene00000440
ceh-18,WBGene00000441
ceh-19,WBGene00000442
ceh-2,WBGene00000429
ceh-20,WBGene00000443
ceh-21,WBGene00000444
ceh-22,WBGene00000445
ceh-23,WBGene00000446
ceh-24,WBGene00000447
ceh-27,WBGene00000449
ceh-28,WBGene00000450
ceh-30,WBGene00000451
ceh-31,WBGene00000452
ceh-32,WBGene00000453
ceh-33,WBGene00000454
ceh-34,WBGene00000455
ceh-36,WBGene00000457
ceh-37,WBGene00000458
ceh-38,WBGene00000459
ceh-39,WBGene00000460
ceh-40,WBGene00000461
ceh-41,WBGene00000462
ceh-43,WBGene00000463
ceh-44,WBGene00000464
ceh-45,WBGene00022837
ceh-48,WBGene00015934
ceh-49,WBGene00017538
ceh-5,WBGene00000430
ceh-51,WBGene00013583
ceh-53,WBGene00015651
ceh-54,WBGene00020485
ceh-57,WBGene00007416
ceh-58,WBGene00007417
ceh-6,WBGene00000431
ceh-60,WBGene00017690
ceh-62,WBGene00011069
ceh-63,WBGene00045215
ceh-7,WBGene00000432
ceh-74,WBGene00013876
ceh-75,WBGene00008242
ceh-76,WBGene00022395
ceh-79,WBGene00007749
ceh-8,WBGene00000433
ceh-81,WBGene00018434
ceh-83,WBGene00018446
ceh-84,WBGene00016557
ceh-86,WBGene00018355
ceh-87,WBGene00018022
ceh-88,WBGene00008195
ceh-89,WBGene00009231
ceh-9,WBGene00000434
ceh-90,WBGene00010995
ceh-91,WBGene00013425
ceh-92,WBGene00013431
ceh-93,WBGene00019864
ceh-99,WBGene00044032
cep-1,WBGene00000467
ces-1,WBGene00000468
ces-2,WBGene00000469
cey-1,WBGene00000472
cey-2,WBGene00000473
cey-3,WBGene00000474
cey-4,WBGene00000475
cfi-1,WBGene00000476
che-1,WBGene00000483
cky-1,WBGene00000521
cnd-1,WBGene00000561
cog-1,WBGene00000584
crh-1,WBGene00000793
crh-2,WBGene00016162
ctbp-1,WBGene00006424
daf-12,WBGene00000908
daf-16,WBGene00000912
daf-19,WBGene00000914
daf-3,WBGene00000899
daf-8,WBGene00000904
die-1,WBGene00000995
dmd-10,WBGene00007929
dmd-3,WBGene00012832
dmd-4,WBGene00007776
dmd-5,WBGene00017326
dmd-6,WBGene00007058
dmd-7,WBGene00019521
dmd-8,WBGene00020708
dmd-9,WBGene00022060
dnj-11,WBGene00001029
dpl-1,WBGene00001061
dpy-20,WBGene00001079
dsc-1,WBGene00001096
duxl-1,WBGene00022554
dve-1,WBGene00022861
efl-1,WBGene00001161
efl-2,WBGene00001162
efl-3,WBGene00009899
egl-13,WBGene00001182
egl-18,WBGene00001186
egl-27,WBGene00001194
egl-38,WBGene00001204
egl-43,WBGene00001207
egl-44,WBGene00001208
egl-46,WBGene00001210
egl-5,WBGene00001174
egrh-1,WBGene00007772
egrh-2,WBGene00043705
egrh-3,WBGene00044651
ehn-3,WBGene00001223
elf-1,WBGene00016029
elt-1,WBGene00001249
elt-2,WBGene00001250
elt-3,WBGene00001251
elt-4,WBGene00001252
elt-6,WBGene00001253
elt-7,WBGene00015981
end-1,WBGene00001310
end-3,WBGene00001311
eor-1,WBGene00001324
ets-4,WBGene00017687
ets-5,WBGene00016600
ets-7,WBGene00017601
ets-8,WBGene00016798
ets-9,WBGene00016865
eyg-1,WBGene00013147
F16F9.1,WBGene00017513
F19F10.1,WBGene00017598
F23B12.7,WBGene00009084
F26A10.2,WBGene00017814
F26F4.8,WBGene00005011
F33H1.4,WBGene00009365
F36G3.3,WBGene00009484
F40G9.17,WBGene00185078
F41B5.1,WBGene00023284
F43G9.12,WBGene00009672
F47E1.3,WBGene00018567
F54F2.9,WBGene00018836
F56B3.9,WBGene00018933
F56D1.1,WBGene00018959
F57C9.4,WBGene00019011
F58G1.2,WBGene00010264
fax-1,WBGene00001400
fezf-1,WBGene00012639
fkh-10,WBGene00001442
fkh-2,WBGene00001434
fkh-3,WBGene00001435
fkh-4,WBGene00001436
fkh-5,WBGene00001437
fkh-6,WBGene00001438
fkh-7,WBGene00001439
fkh-8,WBGene00001440
fkh-9,WBGene00001441
flap-1,WBGene00018998
fos-1,WBGene00001345
fubl-4,WBGene00019692
gei-13,WBGene00001570
gei-17,WBGene00001574
gei-3,WBGene00001560
gfl-1,WBGene00001585
gmeb-1,WBGene00015285
gmeb-2,WBGene00010010
gmeb-3,WBGene00008092
grh-1,WBGene00001707
ham-2,WBGene00001821
hbl-1,WBGene00001824
him-17,WBGene00001874
hinf-1,WBGene00009553
hizr-1,WBGene00013976
hlh-1,WBGene00001948
hlh-10,WBGene00001954
hlh-11,WBGene00001955
hlh-12,WBGene00001956
hlh-13,WBGene00001957
hlh-14,WBGene00001958
hlh-15,WBGene00001959
hlh-16,WBGene00001960
hlh-17,WBGene00001961
hlh-19,WBGene00001962
hlh-2,WBGene00001949
hlh-25,WBGene00001964
hlh-26,WBGene00001965
hlh-27,WBGene00001966
hlh-28,WBGene00001967
hlh-29,WBGene00001968
hlh-3,WBGene00001950
hlh-30,WBGene00020930
hlh-31,WBGene00009540
hlh-32,WBGene00013665
hlh-33,WBGene00021446
hlh-4,WBGene00001951
hlh-6,WBGene00001952
hlh-8,WBGene00001953
hmbx-1,WBGene00018786
hmg-1.1,WBGene00001971
hmg-1.2,WBGene00001972
hmg-20,WBGene00012209
hmg-3,WBGene00001973
hmg-4,WBGene00001974
hmg-5,WBGene00001975
hmg-6,WBGene00009827
hnd-1,WBGene00001981
hsf-1,WBGene00002004
irx-1,WBGene00007984
jun-1,WBGene00012005
K07A12.1,WBGene00010620
K08D12.3,WBGene00019537
K09A11.1,WBGene00010704
K11D12.12,WBGene00019651
K11D2.4,WBGene00010770
klf-1,WBGene00018990
klf-2,WBGene00009998
klf-3,WBGene00003480
klu-1,WBGene00013970
klu-2,WBGene00022592
lag-1,WBGene00002245
let-381,WBGene00002601
let-391,WBGene00006492
let-526,WBGene00002717
let-607,WBGene00002783
lim-4,WBGene00002987
lim-6,WBGene00002988
lim-7,WBGene00002989
lin-1,WBGene00002990
lin-11,WBGene00003000
lin-15B,WBGene00023497
lin-22,WBGene00003008
lin-28,WBGene00003014
lin-29,WBGene00003015
lin-31,WBGene00003017
lin-32,WBGene00003018
lin-39,WBGene00003024
lin-40,WBGene00003025
lin-48,WBGene00003033
lsl-1,WBGene00009937
lst-5,WBGene00016890
lsy-2,WBGene00003087
lsy-27,WBGene00009834
M03D4.4,WBGene00019751
mab-23,WBGene00003114
mab-3,WBGene00003100
mab-5,WBGene00003102
mab-9,WBGene00003106
maf-1,WBGene00077521
mafr-1,WBGene00016622
mbr-1,WBGene00011315
mdl-1,WBGene00003163
mec-3,WBGene00003167
med-1,WBGene00003180
med-2,WBGene00003181
mef-2,WBGene00003182
met-2,WBGene00019883
mls-1,WBGene00003376
mls-2,WBGene00003377
mml-1,WBGene00003378
mnm-2,WBGene00003380
mxl-1,WBGene00003509
mxl-2,WBGene00003510
mxl-3,WBGene00003511
myrf-1,WBGene00004134
myrf-2,WBGene00008999
ndk-1,WBGene00009119
nfi-1,WBGene00003592
nfx-1,WBGene00007048
nfya-1,WBGene00011614
nfya-2,WBGene00043056
nfyb-1,WBGene00021132
ngn-1,WBGene00003595
nhr-1,WBGene00003600
nhr-10,WBGene00003609
nhr-100,WBGene00003690
nhr-101,WBGene00003691
nhr-105,WBGene00003695
nhr-11,WBGene00003610
nhr-111,WBGene00003701
nhr-114,WBGene00003704
nhr-116,WBGene00003706
nhr-118,WBGene00003708
nhr-119,WBGene00003709
nhr-121,WBGene00003711
nhr-124,WBGene00003714
nhr-129,WBGene00003719
nhr-13,WBGene00003612
nhr-136,WBGene00003726
nhr-138,WBGene00003728
nhr-14,WBGene00003613
nhr-141,WBGene00017787
nhr-147,WBGene00015395
nhr-148,WBGene00015396
nhr-149,WBGene00015397
nhr-15,WBGene00003614
nhr-152,WBGene00015705
nhr-153,WBGene00007546
nhr-154,WBGene00007547
nhr-157,WBGene00015900
nhr-158,WBGene00015901
nhr-159,WBGene00015902
nhr-166,WBGene00016772
nhr-167,WBGene00008208
nhr-168,WBGene00008221
nhr-17,WBGene00003616
nhr-171,WBGene00016926
nhr-172,WBGene00016927
nhr-173,WBGene00016975
nhr-175,WBGene00008630
nhr-181,WBGene00018189
nhr-185,WBGene00018539
nhr-186,WBGene00018541
nhr-188,WBGene00018544
nhr-189,WBGene00018545
nhr-19,WBGene00003618
nhr-196,WBGene00010600
nhr-197,WBGene00010602
nhr-198,WBGene00010603
nhr-204,WBGene00019816
nhr-206,WBGene00011097
nhr-207,WBGene00011098
nhr-208,WBGene00011099
nhr-209,WBGene00011100
nhr-22,WBGene00003621
nhr-221,WBGene00020748
nhr-223,WBGene00012050
nhr-23,WBGene00003622
nhr-233,WBGene00006471
nhr-238,WBGene00021611
nhr-242,WBGene00022097
nhr-247,WBGene00014193
nhr-248,WBGene00013940
nhr-25,WBGene00003623
nhr-252,WBGene00022637
nhr-253,WBGene00022639
nhr-254,WBGene00022640
nhr-255,WBGene00014068
nhr-258,WBGene00016126
nhr-260,WBGene00016517
nhr-262,WBGene00008619
nhr-268,WBGene00010601
nhr-269,WBGene00011150
nhr-27,WBGene00008901
nhr-270,WBGene00020062
nhr-274,WBGene00021522
nhr-276,WBGene00013512
nhr-277,WBGene00022374
nhr-28,WBGene00003624
nhr-282,WBGene00010017
nhr-283,WBGene00010186
nhr-285,WBGene00012056
nhr-3,WBGene00003602
nhr-31,WBGene00003625
nhr-34,WBGene00003627
nhr-35,WBGene00003628
nhr-36,WBGene00017198
nhr-39,WBGene00018404
nhr-4,WBGene00003603
nhr-41,WBGene00022423
nhr-46,WBGene00003636
nhr-47,WBGene00003637
nhr-49,WBGene00003639
nhr-5,WBGene00003604
nhr-51,WBGene00003641
nhr-52,WBGene00003642
nhr-6,WBGene00003605
nhr-60,WBGene00003650
nhr-64,WBGene00003654
nhr-67,WBGene00003657
nhr-68,WBGene00003658
nhr-69,WBGene00003659
nhr-70,WBGene00003660
nhr-78,WBGene00003668
nhr-8,WBGene00003607
nhr-80,WBGene00003670
nhr-88,WBGene00003678
nhr-91,WBGene00003681
nhr-92,WBGene00003682
nhr-93,WBGene00003683
nhr-97,WBGene00003687
nmr-1,WBGene00003774
nob-1,WBGene00003779
npax-1,WBGene00017664
npax-2,WBGene00018591
npax-3,WBGene00011257
npax-4,WBGene00007496
odd-1,WBGene00003845
odd-2,WBGene00003846
pag-3,WBGene00003909
pal-1,WBGene00003912
pat-9,WBGene00003933
pax-1,WBGene00003937
pax-2,WBGene00003938
pax-3,WBGene00003939
pbrm-1,WBGene00007042
pes-1,WBGene00003976
pha-2,WBGene00004011
pha-4,WBGene00004013
phb-1,WBGene00004014
php-3,WBGene00004024
pop-1,WBGene00004077
pros-1,WBGene00000448
R07E5.5,WBGene00011113
R10E4.11,WBGene00011206
rcor-1,WBGene00022278
ref-1,WBGene00004334
ref-2,WBGene00004335
rnt-1,WBGene00004393
saeg-1,WBGene00010012
sbp-1,WBGene00004735
scrm-1,WBGene00011935
scrt-1,WBGene00016948
sdc-1,WBGene00004745
sdz-12,WBGene00017406
sea-1,WBGene00004750
sea-2,WBGene00004751
sec-12,WBGene00010496
sem-2,WBGene00004771
sem-4,WBGene00004773
sex-1,WBGene00004786
skn-1,WBGene00004804
slr-2,WBGene00013350
sma-2,WBGene00004856
sma-3,WBGene00004857
sma-4,WBGene00004858
sma-9,WBGene00004862
snai-1,WBGene00019299
snpc-4,WBGene00001568
sox-2,WBGene00004949
sox-3,WBGene00004950
sox-4,WBGene00015716
