gene_symbol,reference_gene_id
ADNP,ENSGALG00000007989
ADNP2,ENSGALG00000035669
AEBP2,ENSGALG00000038026
AFF1,ENSGALG00000043935
AFF2,ENSGALG00000009168
AFF3,ENSGALG00000016767
AFF4,ENSGALG00000030147
AHCTF1,ENSGALG00000010630
AHR,ENSGALG00000010836
AHR2,ENSGALG00000023742
AHRR,ENSGALG00000013402
ALX1,ENSGALG00000027213
ALX3,ENSGALG00000025867
ALX4,ENSGALG00000032584
AR,ENSGALG00000030879
ARID1B,ENSGALG00000013683
ARID2,ENSGALG00000033074
ARID3A,ENSGALG00000026231
ARID3B,ENSGALG00000001376
ARID3C,ENSGALG00000005839
ARID4A,ENSGALG00000012037
ARID4B,ENSGALG00000034003
ARID5A,ENSGALG00000039206
ARID5B,ENSGALG00000031534
ARNT,ENSGALG00000000751
ARNT2,ENSGALG00000006445
ARNTL,ENSGALG00000005378
ARNTL2,ENSGALG00000014096
ARX,ENSGALG00000042604
ASCL1,ENSGALG00000037082
ASCL2,ENSGALG00000030492
ASCL3,ENSGALG00000036725
ATF1,ENSGALG00000033614
ATF2,ENSGALG00000009287
ATF3,ENSGALG00000049422
ATF4,ENSGALG00000012135
ATF6,ENSGALG00000032278
ATMIN,ENSGALG00000040475
ATOH7,ENSGALG00000052760
ATOH8,ENSGALG00000033083
BACH1,ENSGALG00000015828
BACH2,ENSGALG00000015605
BARHL1,ENSGALG00000043217
BARHL2,ENSGALG00000040069
BARX1,ENSGALG00000035557
BARX2,ENSGALG00000029382
BATF,ENSGALG00000010323
BATF3,ENSGALG00000052425
BAZ2B,ENSGALG00000012579
BBX,ENSGALG00000015353
BCL11A,ENSGALG00000034048
BCL11B,ENSGALG00000031862
BCL6,ENSGALG00000007357
BCLAF1,ENSGALG00000013935
BHLHA15,ENSGALG00000031306
BHLHE22,ENSGALG00000040249
BHLHE23,ENSGALG00000005718
BHLHE40,ENSGALG00000008308
BHLHE41,ENSGALG00000048539
BLZF1,ENSGALG00000015225
BNC1,ENSGALG00000006041
BNC2,ENSGALG00000015101
BSX,ENSGALG00000006515
BZFP1,ENSGALG00000027546
CAPN15,ENSGALG00000002018
CARF,ENSGALG00000008474
CARHSP1,ENSGALG00000053043
CASZ1,ENSGALG00000002888
CBFB,ENSGALG00000003169
CC2D1B,ENSGALG00000010619
CDC5L,ENSGALG00000016704
CDIP1,ENSGALG00000036502
CDX1,ENSGALG00000005679
CDX4,ENSGALG00000007657
CEBPB,ENSGALG00000008014
CEBPD,ENSGALG00000040180
CEBPG,ENSGALG00000032365
CEBPZ,ENSGALG00000040335
CLOCK,ENSGALG00000013793
CNBP,ENSGALG00000005001
CPEB1,ENSGALG00000002150
CPSF4,ENSGALG00000004714
CREB1,ENSGALG00000008494
CREB3,ENSGALG00000002523
CREB3L1,ENSGALG00000008393
CREB3L2,ENSGALG00000012877
CREB3L3,ENSGALG00000001252
CREB5,ENSGALG00000038265
CREBL2,ENSGALG00000037030
CREBRF,ENSGALG00000002878
CREM,ENSGALG00000007082
CSDC2,ENSGALG00000030101
CSDE1,ENSGALG00000002139
CSRNP1,ENSGALG00000027905
CSRNP2,ENSGALG00000032004
CSRNP3,ENSGALG00000010971
CTCF,ENSGALG00000001817
CUX2,ENSGALG00000004598
DACH1,ENSGALG00000037015
DACH2,ENSGALG00000006886
DBX2,ENSGALG00000009604
DEAF1,ENSGALG00000034225
DLX1,ENSGALG00000018439
DLX2,ENSGALG00000039436
DLX3,ENSGALG00000040529
DLX5,ENSGALG00000009129
DLX6,ENSGALG00000023195
DMBX1,ENSGALG00000010436
DMRT1,ENSGALG00000010160
DMRT2,ENSGALG00000026790
DMRT3,ENSGALG00000010161
DMRTB1,ENSGALG00000029023
DMTF1,ENSGALG00000030844
DNAJC1,ENSGALG00000007914
DNAJC2,ENSGALG00000008249
DRGX,ENSGALG00000030822
E2F1,ENSGALG00000003045
E2F3,ENSGALG00000012680
E2F4,ENSGALG00000001722
E2F5,ENSGALG00000038915
E2F6,ENSGALG00000016454
E2F7,ENSGALG00000031340
E2F8,ENSGALG00000041299
E4F1,ENSGALG00000005900
EBF1,ENSGALG00000003699
EBF2,ENSGALG00000000242
EBF3,ENSGALG00000010461
EBF4,ENSGALG00000047979
EGR1,ENSGALG00000007669
EGR2,ENSGALG00000040971
EGR3,ENSGALG00000037437
EGR4,ENSGALG00000016086
EHF,ENSGALG00000007817
ELF1,ENSGALG00000016947
ELF2,ENSGALG00000009774
ELF3,ENSGALG00000000616
ELF5,ENSGALG00000035867
ELK3,ENSGALG00000043701
ELK4,ENSGALG00000042137
EMX1,ENSGALG00000030516
EMX2,ENSGALG00000009302
EN1,ENSGALG00000042389
EN2,ENSGALG00000041295
EOMES,ENSGALG00000027247
EPAS1,ENSGALG00000010005
ERG,ENSGALG00000016058
ESR1,ENSGALG00000012973
ESR2,ENSGALG00000011801
ESRRB,ENSGALG00000041775
ESRRG,ENSGALG00000009645
ETS1,ENSGALG00000001143
ETS2,ENSGALG00000016059
ETV1,ENSGALG00000035504
ETV3,ENSGALG00000000669
ETV4,ENSGALG00000036678
ETV5,ENSGALG00000005768
ETV6,ENSGALG00000012921
ETV7,ENSGALG00000000504
EVX1,ENSGALG00000037310
EVX2,ENSGALG00000020768
FERD3L,ENSGALG00000010862
FEV,ENSGALG00000026698
FEZF1,ENSGALG00000008941
FEZF2,ENSGALG00000007184
FLI1,ENSGALG00000001161
FOS,ENSGALG00000028037
FOSB,ENSGALG00000041280
FOSL2,ENSGALG00000010036
FOXA1,ENSGALG00000032713
FOXA2,ENSGALG00000030889
FOXF1,ENSGALG00000034111
FOXF2,ENSGALG00000031920
FOXG1,ENSGALG00000036364
FOXI1,ENSGALG00000002105
FOXI2,ENSGALG00000044849
FOXJ1,ENSGALG00000041025
FOXJ2,ENSGALG00000014329
FOXK1,ENSGALG00000004460
FOXK2,ENSGALG00000001577
FOXL2,ENSGALG00000029282
FOXL3,ENSGALG00000052931
FOXM1,ENSGALG00000013420
FOXN1,ENSGALG00000043868
FOXN2,ENSGALG00000008942
FOXN3,ENSGALG00000010665
FOXN4,ENSGALG00000005062
FOXO1,ENSGALG00000017034
FOXO6,ENSGALG00000026153
FOXP1,ENSGALG00000007769
FOXP2,ENSGALG00000009424
FOXP4,ENSGALG00000033497
FOXS1,ENSGALG00000043015
FUBP1,ENSGALG00000008939
GABPA,ENSGALG00000015763
GABPB1,ENSGALG00000023440
GATA2,ENSGALG00000005909
GATA3,ENSGALG00000029270
GATA4,ENSGALG00000016662
GATA5,ENSGALG00000005352
GATA6,ENSGALG00000014976
GATAD1,ENSGALG00000009399
GATAD2A,ENSGALG00000042900
GATAD2B,ENSGALG00000051276
GBX1,ENSGALG00000042241
GBX2,ENSGALG00000013342
GCM1,ENSGALG00000016316
GCM2,ENSGALG00000012768
GFI1,ENSGALG00000043650
GFI1B,ENSGALG00000003478
GLI1,ENSGALG00000042422
GLI2,ENSGALG00000011630
GLI3,ENSGALG00000040266
GLIS1,ENSGALG00000010721
GLIS3,ENSGALG00000010180
GMEB1,ENSGALG00000038488
GMEB2,ENSGALG00000039685
GNOT2,ENSGALG00000010588
GPBP1L1,ENSGALG00000010276
GRHL3,ENSGALG00000004249
GSC,ENSGALG00000010974
GSC2,ENSGALG00000044245
GSX1,ENSGALG00000029779
GSX2,ENSGALG00000035943
GTF2IRD1,ENSGALG00000001263
GTF3A,ENSGALG00000017098
GZF1,ENSGALG00000053640
HAND1,ENSGALG00000035104
HAND2,ENSGALG00000030530
HBP1,ENSGALG00000008050
HDX,ENSGALG00000007041
HELT,ENSGALG00000046793
HES1,ENSGALG00000028015
HES2,ENSGALG00000047204
HES4,ENSGALG00000002055
HES5,ENSGALG00000001141
HES6,ENSGALG00000048261
HESX1,ENSGALG00000005506
HEY1,ENSGALG00000035031
HEY2,ENSGALG00000034716
HEYL,ENSGALG00000034986
HHEX,ENSGALG00000030008
HIC1,ENSGALG00000042077
HIC2,ENSGALG00000033416
HIF1A,ENSGALG00000011870
HIF3A,ENSGALG00000052546
HINFP,ENSGALG00000006806
HIVEP1,ENSGALG00000012739
HIVEP2,ENSGALG00000013795
HIVEP3,ENSGALG00000027365
HLF,ENSGALG00000003059
HLX,ENSGALG00000037257
HMBOX1,ENSGALG00000016633
HMCN1,ENSGALG00000031129
HMG20A,ENSGALG00000041641
HMG20B,ENSGALG00000027838
HMGA1,ENSGALG00000030396
HMGA2,ENSGALG00000009875
HMGB1,ENSGALG00000042875
HMGB2,ENSGALG00000010745
HMGB3,ENSGALG00000009071
HMGXB3,ENSGALG00000005770
HMX2,ENSGALG00000030875
HMX3,ENSGALG00000023415
HNF1A,ENSGALG00000006968
HNF1B,ENSGALG00000005504
HNF4A,ENSGALG00000004285
HNF4beta,ENSGALG00000005708
HNF4G,ENSGALG00000042621
HOOK2,ENSGALG00000031824
HOPX,ENSGALG00000011404
HOXA1,ENSGALG00000028095
HOXA10,ENSGALG00000026631
HOXA11,ENSGALG00000040021
HOXA13,ENSGALG00000027234
HOXA2,ENSGALG00000040521
HOXA3,ENSGALG00000027925
HOXA4,ENSGALG00000022622
HOXA5,ENSGALG00000025929
HOXA6,ENSGALG00000028908
HOXA7,ENSGALG00000026989
HOXA9,ENSGALG00000028983
HOXB13,ENSGALG00000033154
HOXB2,ENSGALG00000025774
HOXB3,ENSGALG00000043219
HOXB4,ENSGALG00000000284
HOXB5,ENSGALG00000034907
HOXB6,ENSGALG00000037619
HOXB7,ENSGALG00000032740
HOXB8,ENSGALG00000040320
HOXB9,ENSGALG00000001276
HOXC10,ENSGALG00000029393
HOXC11,ENSGALG00000050755
HOXC12,ENSGALG00000033272
HOXC13,ENSGALG00000036082
HOXC4,ENSGALG00000035539
HOXC6,ENSGALG00000039051
HOXC8,ENSGALG00000037262
HOXC9,ENSGALG00000029439
HOXD10,ENSGALG00000009270
HOXD11,ENSGALG00000039629
HOXD12,ENSGALG00000009274
HOXD13,ENSGALG00000032039
HOXD3,ENSGALG00000023420
HOXD4,ENSGALG00000023419
HOXD8,ENSGALG00000037272
HOXD9,ENSGALG00000027513
HSF1,ENSGALG00000036821
HSF2,ENSGALG00000038420
HSF3,ENSGALG00000040662
HSF4,ENSGALG00000003224
ID1,ENSGALG00000034661
ID2,ENSGALG00000035016
ID3,ENSGALG00000035317
ID4,ENSGALG00000039474
IKZF1,ENSGALG00000013086
IKZF2,ENSGALG00000003136
IKZF3,ENSGALG00000013481
IKZF4,ENSGALG00000035734
IKZF5,ENSGALG00000032289
INSM2,ENSGALG00000053937
IRF1,ENSGALG00000006785
IRF2,ENSGALG00000010642
IRF4,ENSGALG00000012830
IRF5,ENSGALG00000039982
IRF6,ENSGALG00000001405
IRF7,ENSGALG00000014297
IRF8,ENSGALG00000005757
IRF9,ENSGALG00000030291
IRX1,ENSGALG00000030991
IRX2,ENSGALG00000013193
IRX3,ENSGALG00000042045
IRX4,ENSGALG00000022896
IRX5,ENSGALG00000003588
IRX6,ENSGALG00000048295
ISL1,ENSGALG00000014884
ISL2,ENSGALG00000033391
JARID2,ENSGALG00000012702
JAZF1,ENSGALG00000030455
JDP2,ENSGALG00000010322
JUN,ENSGALG00000010870
JUND,ENSGALG00000043641
KIAA1549,ENSGALG00000012796
KLF10,ENSGALG00000037913
KLF11,ENSGALG00000016440
KLF12,ENSGALG00000016926
KLF13,ENSGALG00000026590
KLF15,ENSGALG00000036133
KLF2,ENSGALG00000003939
KLF3,ENSGALG00000041717
KLF5,ENSGALG00000016927
KLF6,ENSGALG00000033178
KLF7,ENSGALG00000008501
KLF8,ENSGALG00000037361
KLF9,ENSGALG00000027374
KMT2C,ENSGALG00000049653
L3MBTL3,ENSGALG00000034030
LBX1,ENSGALG00000034189
LBX2,ENSGALG00000031211
LCOR,ENSGALG00000028512
LCORL,ENSGALG00000014421
LEF1,ENSGALG00000031960
LEUTX,ENSGALG00000003965
LHX1,ENSGALG00000005409
LHX2,ENSGALG00000001124
LHX3,ENSGALG00000003928
LHX4,ENSGALG00000036587
LHX5,ENSGALG00000008303
LHX6,ENSGALG00000001347
LHX8,ENSGALG00000011369
LHX9,ENSGALG00000002223
LIN28A,ENSGALG00000036022
LIN28B,ENSGALG00000026761
LITAF,ENSGALG00000003217
LMX1A,ENSGALG00000003424
LMX1B,ENSGALG00000040582
LRRFIP1,ENSGALG00000003862
LRRFIP2,ENSGALG00000033102
LYAR,ENSGALG00000015000
MAF,ENSGALG00000026258
MAF1,ENSGALG00000047359
MAFA,ENSGALG00000026264
MAFB,ENSGALG00000003670
MAFF,ENSGALG00000012277
MAFG,ENSGALG00000031475
MAFK,ENSGALG00000004189
MAX,ENSGALG00000032249
MBD3,ENSGALG00000001101
MECOM,ENSGALG00000032577
MECP2,ENSGALG00000047963
MEF2A,ENSGALG00000032366
MEF2C,ENSGALG00000014645
MEF2D,ENSGALG00000037787
MEIS1,ENSGALG00000041626
MEIS2,ENSGALG00000039118
MEOX1,ENSGALG00000001191
MEOX2,ENSGALG00000010794
MESP1,ENSGALG00000026467
MGA,ENSGALG00000008653
MIDEAS,ENSGALG00000009282
MIER1,ENSGALG00000011118
MIER2,ENSGALG00000001108
MIS18BP1,ENSGALG00000012452
MITF,ENSGALG00000039583
MKRN2,ENSGALG00000004991
MKX,ENSGALG00000007426
MLLT10,ENSGALG00000007928
MLX,ENSGALG00000003199
MLXIP,ENSGALG00000004397
MLXIPL,ENSGALG00000034960
MNT,ENSGALG00000005830
MNX1,ENSGALG00000041154
MSANTD4,ENSGALG00000017177
MSC,ENSGALG00000037777
MSGN1,ENSGALG00000016469
