gene_symbol,reference_gene_id
2010315B03Rik,ENSMUSG00000074829
2210418O10Rik,ENSMUSG00000078894
2610008E11Rik,ENSMUSG00000060301
2610021A01Rik,ENSMUSG00000091474
2610044O15Rik8,ENSMUSG00000071302
2810021J22Rik,ENSMUSG00000020491
4930522L14Rik,ENSMUSG00000072762
4932411N23Rik,ENSMUSG00000058670
5430403G16Rik,ENSMUSG00000072763
5730507C01Rik,ENSMUSG00000073197
9130019O22Rik,ENSMUSG00000030823
9130023H24Rik,ENSMUSG00000062944
A430033K04Rik,ENSMUSG00000056014
A630089N07Rik,ENSMUSG00000116673
Adnp,ENSMUSG00000051149
Adnp2,ENSMUSG00000053950
Aebp2,ENSMUSG00000030232
Aff1,ENSMUSG00000029313
Aff2,ENSMUSG00000031189
Aff3,ENSMUSG00000037138
Aff4,ENSMUSG00000049470
Ahctf1,ENSMUSG00000026491
Ahr,ENSMUSG00000019256
Ahrr,ENSMUSG00000021575
AI854703,ENSMUSG00000053297
AI987944,ENSMUSG00000056383
Aire,ENSMUSG00000000731
Akna,ENSMUSG00000039158
Alx1,ENSMUSG00000036602
Alx3,ENSMUSG00000014603
Alx4,ENSMUSG00000040310
Ar,ENSMUSG00000046532
Arid1a,ENSMUSG00000007880
Arid1b,ENSMUSG00000069729
Arid2,ENSMUSG00000033237
Arid3a,ENSMUSG00000019564
Arid3b,ENSMUSG00000004661
Arid3c,ENSMUSG00000066224
Arid4a,ENSMUSG00000048118
Arid4b,ENSMUSG00000039219
Arid5a,ENSMUSG00000037447
Arid5b,ENSMUSG00000019947
Arnt,ENSMUSG00000015522
Arnt2,ENSMUSG00000015709
Arntl,ENSMUSG00000055116
Arntl2,ENSMUSG00000040187
Arx,ENSMUSG00000035277
Ascl1,ENSMUSG00000020052
Ascl2,ENSMUSG00000009248
Ascl3,ENSMUSG00000035951
Ascl4,ENSMUSG00000085111
Ascl5,ENSMUSG00000097918
Atf1,ENSMUSG00000023027
Atf2,ENSMUSG00000027104
Atf3,ENSMUSG00000026628
Atf4,ENSMUSG00000042406
Atf5,ENSMUSG00000038539
Atf6,ENSMUSG00000026663
Atf6b,ENSMUSG00000015461
Atf7,ENSMUSG00000099083
Atoh1,ENSMUSG00000073043
Atoh7,ENSMUSG00000036816
Atoh8,ENSMUSG00000037621
AU041133,ENSMUSG00000078435
AW146154,ENSMUSG00000074166
AW822073,ENSMUSG00000058537
B020011L13Rik,ENSMUSG00000101303
Bach1,ENSMUSG00000025612
Bach2,ENSMUSG00000040270
Barhl1,ENSMUSG00000026805
Barhl2,ENSMUSG00000034384
Barx1,ENSMUSG00000021381
Barx2,ENSMUSG00000032033
Batf,ENSMUSG00000034266
Batf2,ENSMUSG00000039699
Batf3,ENSMUSG00000026630
Baz2a,ENSMUSG00000040054
Baz2b,ENSMUSG00000026987
Bbx,ENSMUSG00000022641
BC024063,ENSMUSG00000112160
BC025920,ENSMUSG00000074862
Bcl11a,ENSMUSG00000000861
Bcl11b,ENSMUSG00000048251
Bcl6,ENSMUSG00000022508
Bcl6b,ENSMUSG00000000317
Bclaf1,ENSMUSG00000037608
Bhlha15,ENSMUSG00000052271
Bhlha9,ENSMUSG00000044243
Bhlhe22,ENSMUSG00000025128
Bhlhe23,ENSMUSG00000045493
Bhlhe40,ENSMUSG00000030103
Bhlhe41,ENSMUSG00000030256
Blzf1,ENSMUSG00000026577
Bnc1,ENSMUSG00000025105
Bnc2,ENSMUSG00000028487
Bsx,ENSMUSG00000054360
Camta1,ENSMUSG00000014592
Camta2,ENSMUSG00000040712
Capn15,ENSMUSG00000037326
Carf,ENSMUSG00000026017
Carhsp1,ENSMUSG00000008393
Casz1,ENSMUSG00000028977
Cbfb,ENSMUSG00000031885
Cc2d1a,ENSMUSG00000036686
Cdc5l,ENSMUSG00000023932
Cdip1,ENSMUSG00000004071
Cdx1,ENSMUSG00000024619
Cdx2,ENSMUSG00000029646
Cdx4,ENSMUSG00000031326
Cebpa,ENSMUSG00000034957
Cebpb,ENSMUSG00000056501
Cebpd,ENSMUSG00000071637
Cebpe,ENSMUSG00000052435
Cebpg,ENSMUSG00000056216
Cebpz,ENSMUSG00000024081
Cic,ENSMUSG00000005442
Ciz1,ENSMUSG00000039205
Clock,ENSMUSG00000029238
Cnbp,ENSMUSG00000030057
Cpeb1,ENSMUSG00000025586
Cphx1,ENSMUSG00000095975
Creb1,ENSMUSG00000025958
Creb3,ENSMUSG00000028466
Creb3l1,ENSMUSG00000027230
Creb3l2,ENSMUSG00000038648
Creb3l3,ENSMUSG00000035041
Creb3l4,ENSMUSG00000027938
Creb5,ENSMUSG00000053007
Crebl2,ENSMUSG00000032652
Crebrf,ENSMUSG00000048249
Crebzf,ENSMUSG00000051451
Crem,ENSMUSG00000063889
Crx,ENSMUSG00000041578
Crxos,ENSMUSG00000074365
Csdc2,ENSMUSG00000042109
Csde1,ENSMUSG00000068823
Csrnp1,ENSMUSG00000032515
Csrnp2,ENSMUSG00000044636
Csrnp3,ENSMUSG00000044647
Ctcf,ENSMUSG00000005698
