gene_symbol,reference_gene_id
ABCG4,ENSSSCG00000015113
ADNP,ENSSSCG00000007473
ADNP2,ENSSSCG00000038632
AEBP2,ENSSSCG00000000587
AFF1,ENSSSCG00000023593
AFF2,ENSSSCG00000012730
AFF4,ENSSSCG00000014291
AHCTF1,ENSSSCG00000010863
AHR,ENSSSCG00000030484
AHRR,ENSSSCG00000032843
AIRE,ENSSSCG00000025294
AKNA,ENSSSCG00000023894
ALX1,ENSSSCG00000036744
ALX3,ENSSSCG00000006812
ALX4,ENSSSCG00000040329
AR,ENSSSCG00000012371
ARID1A,ENSSSCG00000003559
ARID1B,ENSSSCG00000004064
ARID2,ENSSSCG00000030685
ARID3A,ENSSSCG00000037642
ARID3B,ENSSSCG00000001905
ARID3C,ENSSSCG00000010971
ARID4A,ENSSSCG00000005073
ARID4B,ENSSSCG00000010156
ARID5A,ENSSSCG00000008123
ARID5B,ENSSSCG00000010219
ARNT,ENSSSCG00000006646
ARNT2,ENSSSCG00000040288
ARNTL,ENSSSCG00000013397
ARNTL2,ENSSSCG00000000551
ARX,ENSSSCG00000020801
ASCL2,ENSSSCG00000033507
ASCL4,ENSSSCG00000000159
ASCL5,ENSSSCG00000050131
ATF1,ENSSSCG00000016138
ATF2,ENSSSCG00000038076
ATF3,ENSSSCG00000015595
ATF4,ENSSSCG00000000084
ATF5,ENSSSCG00000003201
ATF6,ENSSSCG00000006346
ATF6B,ENSSSCG00000001430
ATOH1,ENSSSCG00000009196
ATOH7,ENSSSCG00000021995
ATOH8,ENSSSCG00000008230
ATP9A,ENSSSCG00000007478
BACH1,ENSSSCG00000012029
BACH2,ENSSSCG00000004332
BARHL1,ENSSSCG00000005730
BARHL2,ENSSSCG00000006914
BARX1,ENSSSCG00000008081
BARX2,ENSSSCG00000036157
BATF2,ENSSSCG00000023178
BATF3,ENSSSCG00000026587
BAZ2A,ENSSSCG00000000403
BAZ2B,ENSSSCG00000015882
BBX,ENSSSCG00000011943
BCL11A,ENSSSCG00000008392
BCL11B,ENSSSCG00000002507
BCL6,ENSSSCG00000011810
BCL6B,ENSSSCG00000017927
BCLAF1,ENSSSCG00000004163
BHLHA15,ENSSSCG00000038489
BHLHA9,ENSSSCG00000017802
BHLHE40,ENSSSCG00000036136
BHLHE41,ENSSSCG00000028552
BLZF1,ENSSSCG00000022396
BNC1,ENSSSCG00000001798
BNC2,ENSSSCG00000005180
BSX,ENSSSCG00000015139
CAMTA1,ENSSSCG00000036772
CAMTA2,ENSSSCG00000017902
CAPN15,ENSSSCG00000007993
CARF,ENSSSCG00000016117
CARHSP1,ENSSSCG00000026710
CASZ1,ENSSSCG00000003407
CBFB,ENSSSCG00000033811
CC2D1A,ENSSSCG00000013761
CDC5L,ENSSSCG00000001708
CDIP1,ENSSSCG00000007941
CDX1,ENSSSCG00000014445
CDX2,ENSSSCG00000009317
CDX4,ENSSSCG00000021225
CEBPA,ENSSSCG00000002866
CEBPB,ENSSSCG00000034207
CEBPD,ENSSSCG00000032367
CEBPE,ENSSSCG00000002033
CEBPG,ENSSSCG00000002867
CEBPZ,ENSSSCG00000008493
CFP,ENSSSCG00000012278
CHFR,ENSSSCG00000009732
CIC,ENSSSCG00000003030
CIZ1,ENSSSCG00000005640
CLOCK,ENSSSCG00000008909
CPEB1,ENSSSCG00000001808
CREB1,ENSSSCG00000034395
CREB3,ENSSSCG00000005318
CREB3L1,ENSSSCG00000013263
CREB3L2,ENSSSCG00000016520
CREB3L3,ENSSSCG00000013501
CREB3L4,ENSSSCG00000006560
CREB5,ENSSSCG00000016690
CREBL2,ENSSSCG00000034418
CREBRF,ENSSSCG00000016986
CREBZF,ENSSSCG00000014907
CREM,ENSSSCG00000011106
CRX,ENSSSCG00000003124
CSDC2,ENSSSCG00000000062
CSDE1,ENSSSCG00000006752
CSRNP1,ENSSSCG00000011264
CSRNP2,ENSSSCG00000037029
CSRNP3,ENSSSCG00000015906
CTCF,ENSSSCG00000024253
CTCFL,ENSSSCG00000007505
CUX1,ENSSSCG00000007681
CUX2,ENSSSCG00000009831
DACH1,ENSSSCG00000009457
DACH2,ENSSSCG00000036515
DBP,ENSSSCG00000003148
DBX1,ENSSSCG00000013350
DBX2,ENSSSCG00000035938
DDIT3,ENSSSCG00000044553
DEAF1,ENSSSCG00000012850
DLX1,ENSSSCG00000015953
DLX2,ENSSSCG00000015954
DLX3,ENSSSCG00000017589
DLX4,ENSSSCG00000034653
DLX5,ENSSSCG00000038838
DLX6,ENSSSCG00000033314
DMBX1,ENSSSCG00000003900
DMRT1,ENSSSCG00000005236
DMRT2,ENSSSCG00000005233
DMRT3,ENSSSCG00000040481
DMRTA1,ENSSSCG00000005131
DMRTA2,ENSSSCG00000030552
DMRTC2,ENSSSCG00000003043
DMTF1,ENSSSCG00000015393
DNAJC1,ENSSSCG00000026001
DNAJC2,ENSSSCG00000015423
DPRX,ENSSSCG00000046881
DRGX,ENSSSCG00000037404
E2F1,ENSSSCG00000007268
E2F2,ENSSSCG00000032710
E2F3,ENSSSCG00000040178
E2F4,ENSSSCG00000002787
E2F5,ENSSSCG00000006145
E2F6,ENSSSCG00000026161
E2F7,ENSSSCG00000000950
E2F8,ENSSSCG00000013352
E4F1,ENSSSCG00000008047
EBF1,ENSSSCG00000017046
EBF2,ENSSSCG00000009655
EBF3,ENSSSCG00000010757
EBF4,ENSSSCG00000007171
EGR1,ENSSSCG00000014336
EGR2,ENSSSCG00000010224
EGR3,ENSSSCG00000009630
EGR4,ENSSSCG00000036364
EHF,ENSSSCG00000013300
ELF1,ENSSSCG00000009440
ELF2,ENSSSCG00000029920
ELF3,ENSSSCG00000010922
ELF4,ENSSSCG00000012656
ELF5,ENSSSCG00000013301
ELK3,ENSSSCG00000023803
ELK4,ENSSSCG00000025182
EMX1,ENSSSCG00000008308
EMX2,ENSSSCG00000032558
EN1,ENSSSCG00000015715
EN2,ENSSSCG00000035324
EOMES,ENSSSCG00000040057
EPAS1,ENSSSCG00000008443
ERF,ENSSSCG00000032154
ERFL,ENSSSCG00000003049
ERG,ENSSSCG00000022318
ESR1,ENSSSCG00000025777
ESR2,ENSSSCG00000005109
ESRRA,ENSSSCG00000013028
ESRRB,ENSSSCG00000002388
ESRRG,ENSSSCG00000010814
ETS1,ENSSSCG00000015235
ETS2,ENSSSCG00000038948
ETV1,ENSSSCG00000024591
ETV2,ENSSSCG00000002906
ETV3,ENSSSCG00000024970
ETV4,ENSSSCG00000017379
ETV5,ENSSSCG00000023229
ETV6,ENSSSCG00000024152
ETV7,ENSSSCG00000001561
EVX1,ENSSSCG00000016696
EVX2,ENSSSCG00000023146
FAM170A,ENSSSCG00000014228
FERD3L,ENSSSCG00000015371
FEV,ENSSSCG00000035988
FEZF1,ENSSSCG00000031221
FEZF2,ENSSSCG00000011487
FIGLA,ENSSSCG00000008321
FIZ1,ENSSSCG00000033985
FLI1,ENSSSCG00000015237
FOS,ENSSSCG00000002383
FOSB,ENSSSCG00000031616
FOSL1,ENSSSCG00000012967
FOSL2,ENSSSCG00000032527
FOXA1,ENSSSCG00000037634
FOXA2,ENSSSCG00000007114
FOXA3,ENSSSCG00000003092
FOXB1,ENSSSCG00000035244
FOXC1,ENSSSCG00000039756
FOXC2,ENSSSCG00000029296
FOXD1,ENSSSCG00000035878
FOXD2,ENSSSCG00000034880
FOXD3,ENSSSCG00000032215
FOXE1,ENSSSCG00000005369
FOXE3,ENSSSCG00000003884
FOXF1,ENSSSCG00000038460
FOXF2,ENSSSCG00000037195
FOXG1,ENSSSCG00000033761
FOXH1,ENSSSCG00000005902
FOXI1,ENSSSCG00000017009
FOXI2,ENSSSCG00000010752
FOXI3,ENSSSCG00000036354
FOXJ1,ENSSSCG00000017187
FOXJ2,ENSSSCG00000039580
FOXJ3,ENSSSCG00000023266
FOXK1,ENSSSCG00000007576
FOXK2,ENSSSCG00000017125
FOXL1,ENSSSCG00000002658
FOXL2,ENSSSCG00000028562
FOXL3,ENSSSCG00000050310
FOXM1,ENSSSCG00000000739
FOXN1,ENSSSCG00000017762
FOXN2,ENSSSCG00000029593
FOXN3,ENSSSCG00000002429
FOXO1,ENSSSCG00000009370
FOXO3,ENSSSCG00000004387
FOXO4,ENSSSCG00000012399
FOXO6,ENSSSCG00000035074
FOXP2,ENSSSCG00000016639
FOXP3,ENSSSCG00000012300
FOXP4,ENSSSCG00000001619
FOXQ1,ENSSSCG00000000991
FOXR1,ENSSSCG00000015101
FOXR2,ENSSSCG00000020805
FOXS1,ENSSSCG00000033613
GABPA,ENSSSCG00000037655
GABPB1,ENSSSCG00000004645
GABPB2,ENSSSCG00000006636
GATA1,ENSSSCG00000027237
GATA2,ENSSSCG00000011618
GATA3,ENSSSCG00000011125
GATA4,ENSSSCG00000022383
GATA5,ENSSSCG00000007538
GATA6,ENSSSCG00000003702
GATAD1,ENSSSCG00000031835
GATAD2A,ENSSSCG00000013938
GATAD2B,ENSSSCG00000006562
GBX1,ENSSSCG00000032249
GBX2,ENSSSCG00000016319
GCFC2,ENSSSCG00000021287
GCM1,ENSSSCG00000032538
GCM2,ENSSSCG00000035562
GFI1,ENSSSCG00000006902
GFI1B,ENSSSCG00000005737
GLI1,ENSSSCG00000000443
GLI2,ENSSSCG00000015733
GLI3,ENSSSCG00000016763
GLI4,ENSSSCG00000039881
GLIS2,ENSSSCG00000023653
GLIS3,ENSSSCG00000005224
GLMP,ENSSSCG00000006488
GMEB1,ENSSSCG00000038872
GMEB2,ENSSSCG00000040107
GPBP1,ENSSSCG00000016922
GPBP1L1,ENSSSCG00000028097
GRHL1,ENSSSCG00000026068
GRHL2,ENSSSCG00000006060
GRHL3,ENSSSCG00000003539
GSC,ENSSSCG00000002490
GSC2,ENSSSCG00000010115
GSX1,ENSSSCG00000009313
GSX2,ENSSSCG00000008840
GTF2I,ENSSSCG00000007721
GTF2IRD1,ENSSSCG00000007720
GTF3A,ENSSSCG00000009305
HAND1,ENSSSCG00000031080
HAND2,ENSSSCG00000031537
HBP1,ENSSSCG00000035673
HDX,ENSSSCG00000038744
HELT,ENSSSCG00000038390
HES1,ENSSSCG00000031356
HES2,ENSSSCG00000034297
HES3,ENSSSCG00000003370
HES4,ENSSSCG00000035420
HES5,ENSSSCG00000037304
HES6,ENSSSCG00000016342
HES7,ENSSSCG00000017982
HESX1,ENSSSCG00000021207
HEY1,ENSSSCG00000006159
HEY2,ENSSSCG00000004223
HEYL,ENSSSCG00000038956
HHEX,ENSSSCG00000036314
HIC1,ENSSSCG00000025717
HIC2,ENSSSCG00000036472
HIF1A,ENSSSCG00000005096
HIVEP1,ENSSSCG00000001049
HIVEP2,ENSSSCG00000004138
HLF,ENSSSCG00000017604
HLX,ENSSSCG00000032644
HMBOX1,ENSSSCG00000009682
HMG20A,ENSSSCG00000001871
HMG20B,ENSSSCG00000040421
HMGB2,ENSSSCG00000009704
HMGB4,ENSSSCG00000021247
HMGXB3,ENSSSCG00000014440
HMGXB4,ENSSSCG00000025780
HMX1,ENSSSCG00000008720
HMX2,ENSSSCG00000010725
HMX3,ENSSSCG00000010724
HNF1A,ENSSSCG00000009919
HNF1B,ENSSSCG00000022417
HNF4A,ENSSSCG00000007371
HNF4G,ENSSSCG00000034242
HOMEZ,ENSSSCG00000028190
HOXA1,ENSSSCG00000016707
HOXA10,ENSSSCG00000021204
HOXA11,ENSSSCG00000016698
HOXA13,ENSSSCG00000029666
HOXA2,ENSSSCG00000016706
HOXA3,ENSSSCG00000016705
HOXA5,ENSSSCG00000016703
