gene_symbol,reference_gene_id
2610008E11Rik,ENSRNOG00000022871
2810021J22Rik,ENSRNOG00000023431
AABR07001910.1,ENSRNOG00000051570
AABR07001926.1,ENSRNOG00000028767
AABR07001926.3,ENSRNOG00000061533
AABR07002065.2,ENSRNOG00000060429
AABR07002623.1,ENSRNOG00000038251
AABR07002774.1,ENSRNOG00000018928
AABR07002774.4,ENSRNOG00000050995
AABR07002784.1,ENSRNOG00000053366
AABR07002868.1,ENSRNOG00000055519
AABR07002870.2,ENSRNOG00000056062
AABR07003176.1,ENSRNOG00000014380
AABR07006627.1,ENSRNOG00000030351
AABR07009105.1,ENSRNOG00000053325
AABR07015743.1,ENSRNOG00000029107
AABR07025074.1,ENSRNOG00000032550
AABR07027925.1,ENSRNOG00000013237
AABR07027925.2,ENSRNOG00000030925
AABR07028349.1,ENSRNOG00000021584
AABR07029613.1,ENSRNOG00000038478
AABR07030823.1,ENSRNOG00000046001
AABR07031674.2,ENSRNOG00000046154
AABR07035218.1,ENSRNOG00000029813
AABR07035839.1,ENSRNOG00000046171
AABR07040266.1,ENSRNOG00000034183
AABR07040695.1,ENSRNOG00000048011
AABR07045373.1,ENSRNOG00000016336
AABR07048473.1,ENSRNOG00000051164
AABR07049728.1,ENSRNOG00000033231
AABR07049821.2,ENSRNOG00000028662
AABR07050391.1,ENSRNOG00000055061
AABR07054367.1,ENSRNOG00000017086
AABR07054578.1,ENSRNOG00000019099
AABR07055919.1,ENSRNOG00000007076
AABR07056503.1,ENSRNOG00000053843
AABR07068728.1,ENSRNOG00000025273
AABR07069454.1,ENSRNOG00000059163
AC097784.1,ENSRNOG00000056374
AC108595.1,ENSRNOG00000032420
AC109942.1,ENSRNOG00000029416
AC118165.1,ENSRNOG00000032625
AC126572.1,ENSRNOG00000006958
AC129395.1,ENSRNOG00000055413
AC130232.2,ENSRNOG00000060701
AC131483.1,ENSRNOG00000007816
Adnp,ENSRNOG00000010975
Adnp2,ENSRNOG00000053370
Aebp2,ENSRNOG00000008929
Aff1,ENSRNOG00000002232
Aff2,ENSRNOG00000052572
Aff3,ENSRNOG00000018830
Aff4,ENSRNOG00000006965
Ahctf1,ENSRNOG00000023541
Ahr,ENSRNOG00000004342
Ahrr,ENSRNOG00000014721
Akna,ENSRNOG00000008005
Alx1,ENSRNOG00000004390
Alx3,ENSRNOG00000018290
Alx4,ENSRNOG00000000008
Ar,ENSRNOG00000005639
Arid1a,ENSRNOG00000006137
Arid1b,ENSRNOG00000017030
Arid2,ENSRNOG00000004831
Arid3a,ENSRNOG00000026435
Arid3b,ENSRNOG00000019677
Arid3c,ENSRNOG00000013416
Arid4a,ENSRNOG00000026239
Arid4b,ENSRNOG00000016391
Arid5a,ENSRNOG00000015382
Arid5b,ENSRNOG00000000635
Arnt,ENSRNOG00000031174
Arnt2,ENSRNOG00000013017
Arntl,ENSRNOG00000014448
Arntl2,ENSRNOG00000001830
Arx,ENSRNOG00000053562
Ascl1,ENSRNOG00000004294
Ascl2,ENSRNOG00000020434
Ascl3,ENSRNOG00000013591
Ascl4,ENSRNOG00000031493
Ascl5,ENSRNOG00000033391
Atf1,ENSRNOG00000061088
Atf2,ENSRNOG00000001597
Atf3,ENSRNOG00000003745
Atf4,ENSRNOG00000017801
Atf5,ENSRNOG00000020060
Atf6,ENSRNOG00000024632
Atf6b,ENSRNOG00000000431
Atf7,ENSRNOG00000015269
Atoh1,ENSRNOG00000006383
Atoh7,ENSRNOG00000000384
Atoh8,ENSRNOG00000010716
Bach1,ENSRNOG00000001582
Bach2,ENSRNOG00000006170
Barhl1,ENSRNOG00000013209
Barhl2,ENSRNOG00000002117
Barx1,ENSRNOG00000016915
Barx2,ENSRNOG00000008592
Batf,ENSRNOG00000008588
Batf2,ENSRNOG00000021018
Batf3,ENSRNOG00000003716
Baz2a,ENSRNOG00000053881
Baz2b,ENSRNOG00000056984
Bbx,ENSRNOG00000001971
BC024063,ENSRNOG00000069034
Bcl11a,ENSRNOG00000007049
Bcl11b,ENSRNOG00000005776
Bcl6,ENSRNOG00000001843
Bcl6b,ENSRNOG00000059956
Bhlha15,ENSRNOG00000025164
Bhlha9,ENSRNOG00000022232
Bhlhe22,ENSRNOG00000021745
Bhlhe23,ENSRNOG00000010312
Bhlhe40,ENSRNOG00000007152
Bhlhe41,ENSRNOG00000048961
Blzf1,ENSRNOG00000002884
Bnc1,ENSRNOG00000019770
Bnc2,ENSRNOG00000006553
Bsx,ENSRNOG00000024438
Camta1,ENSRNOG00000018602
Camta2,ENSRNOG00000004283
Capn15,ENSRNOG00000020239
Carf,ENSRNOG00000017491
Carhsp1,ENSRNOG00000002610
Casz1,ENSRNOG00000013474
Cbfb,ENSRNOG00000014647
Cc2d1a,ENSRNOG00000006747
Cdc5l,ENSRNOG00000019975
Cdip1,ENSRNOG00000003328
Cdx1,ENSRNOG00000060334
Cdx2,ENSRNOG00000032759
Cdx4,ENSRNOG00000002974
Cebpb,ENSRNOG00000057347
Cebpd,ENSRNOG00000050869
Cebpe,ENSRNOG00000014282
Cebpz,ENSRNOG00000005087
Cic,ENSRNOG00000056118
Ciz1,ENSRNOG00000013442
Clock,ENSRNOG00000002175
Cnbp,ENSRNOG00000010239
Cpeb1,ENSRNOG00000019161
Creb1,ENSRNOG00000013412
Creb3l1,ENSRNOG00000005413
Creb3l2,ENSRNOG00000012826
Creb3l3,ENSRNOG00000032202
Creb3l4,ENSRNOG00000023493
Creb5,ENSRNOG00000008622
Crebl2,ENSRNOG00000067300
Crebrf,ENSRNOG00000020769
Crebzf,ENSRNOG00000018987
Crem,ENSRNOG00000014900
Crx,ENSRNOG00000013890
Csdc2,ENSRNOG00000005332
Csde1,ENSRNOG00000061058
Csrnp1,ENSRNOG00000033433
Csrnp2,ENSRNOG00000019653
Csrnp3,ENSRNOG00000005359
Ctcf,ENSRNOG00000017674
Ctcfl,ENSRNOG00000028661
Cux1,ENSRNOG00000001424
Cux2,ENSRNOG00000001259
Dach1,ENSRNOG00000008834
Dach2,ENSRNOG00000004869
Dbp,ENSRNOG00000021027
Dbx1,ENSRNOG00000014706
Dbx2,ENSRNOG00000006885
Ddit3,ENSRNOG00000006789
Deaf1,ENSRNOG00000017960
Dlx1,ENSRNOG00000001520
Dlx2,ENSRNOG00000001519
Dlx3,ENSRNOG00000004278
Dlx4,ENSRNOG00000004399
Dlx5,ENSRNOG00000010905
Dlx6,ENSRNOG00000063630
Dmbx1,ENSRNOG00000010835
