gene_symbol,reference_gene_id
ABF1,YKL112W
ACA1,YER045C
ACE2,YLR131C
ADR1,YDR216W
AFT1,YGL071W
AFT2,YPL202C
ARG80,YMR042W
ARG81,YML099C
ARR1,YPR199C
ASH1,YKL185W
AZF1,YOR113W
BAS1,YKR099W
CAD1,YDR423C
CAT8,YMR280C
CBF1,YJR060W
CHA4,YLR098C
CIN5,YOR028C
COM2,YER130C
CRZ1,YNL027W
CST6,YIL036W
CUP2,YGL166W
DAL80,YKR034W
DAL81,YIR023W
DAL82,YNL314W
ECM22,YLR228C
ERT1,YBR239C
FKH1,YIL131C
FKH2,YNL068C
FLO8,YER109C
FZF1,YGL254W
GAL4,YPL248C
GAT1,YFL021W
GCN4,YEL009C
GCR1,YPL075W
GCR2,YNL199C
GIS1,YDR096W
GLN3,YER040W
GSM1,YJL103C
GZF3,YJL110C
HAA1,YPR008W
HAC1,YFL031W
HAP1,YLR256W
HAP2,YGL237C
HAP3,YBL021C
HAP4,YKL109W
HAP5,YOR358W
HCM1,YCR065W
HOT1,YMR172W
HSF1,YGL073W
IME1,YJR094C
INO2,YDR123C
INO4,YOL108C
IXR1,YKL032C
KAR4,YCL055W
LEU3,YLR451W
LYS14,YDR034C
MAC1,YMR021C
MBP1,YDL056W
MCM1,YMR043W
MET31,YPL038W
MET32,YDR253C
MET4,YNL103W
MIG1,YGL035C
MIG2,YGL209W
MIG3,YER028C
MOT2,YER068W
MOT3,YMR070W
MSN2,YMR037C
MSN4,YKL062W
MSS11,YMR164C
NDT80,YHR124W
NRG1,YDR043C
NRG2,YBR066C
OAF1,YAL051W
PDR1,YGL013C
PDR3,YBL005W
PDR8,YLR266C
PHO2,YDL106C
PHO4,YFR034C
PIP2,YOR363C
PPR1,YLR014C
PUT3,YKL015W
RAP1,YNL216W
RDS1,YCR106W
RDS2,YPL133C
REB1,YBR049C
RFX1,YLR176C
RGT1,YKL038W
RIM101,YHL027W
RLM1,YPL089C
RME1,YGR044C
ROF1,YHR177W
ROX1,YPR065W
RPH1,YER169W
RPN4,YDL020C
RTG1,YOL067C
RTG3,YBL103C
SFL1,YOR140W
SIP4,YJL089W
SKN7,YHR206W
SKO1,YNL167C
SMP1,YBR182C
STB4,YMR019W
STB5,YHR178W
STE12,YHR084W
STP1,YDR463W
STP2,YHR006W
SUM1,YDR310C
SUT1,YGL162W
SWI4,YER111C
SWI5,YDR146C
TDA9,YML081W
TEA1,YOR337W
TEC1,YBR083W
TYE7,YOR344C
UGA3,YDL170W
UME6,YDR207C
UPC2,YDR213W
USV1,YPL230W
WAR1,YML076C
XBP1,YIL101C
YAP1,YML007W
YAP3,YHL009C
YAP5,YIR018W
YRR1,YOR162C
ZAP1,YJL056C
ZNF1,YFL052W
MAL63,YSC0015
