gene_symbol,reference_gene_id
42Sp43,ENSXETG00000023710
abraxas1,ENSXETG00000036839
ache,ENSXETG00000038514
acsm3,ENSXETG00000039836
adal,ENSXETG00000038003
adcy6,ENSXETG00000035048
adnp,ENSXETG00000012300
adnp2,ENSXETG00000014810
ado,ENSXETG00000033198
adra1d,ENSXETG00000034723
aff1,ENSXETG00000019955
aff2,ENSXETG00000019630
AFF3,ENSXETG00000030016
aff4,ENSXETG00000004169
agtr1,ENSXETG00000035800
ahdc1,ENSXETG00000035621
ahr,ENSXETG00000022784
ahrr,ENSXETG00000006186
ajap1,ENSXETG00000036575
akna,ENSXETG00000036617
aktip,ENSXETG00000034769
alx1,ENSXETG00000021397
alx4,ENSXETG00000007545
ankrd49,ENSXETG00000037124
apip,ENSXETG00000039719
apoa4,ENSXETG00000024399
aqp7,ENSXETG00000035457
ar,ENSXETG00000005089
arhgap27,ENSXETG00000040431
arhgap30,ENSXETG00000040218
arid1a,ENSXETG00000020695
arid1b,ENSXETG00000011226
arid2,ENSXETG00000014656
arid3a,ENSXETG00000021613
arid3b,ENSXETG00000010647
arid4a,ENSXETG00000011968
arid4b,ENSXETG00000024651
arid5b,ENSXETG00000014055
arnt,ENSXETG00000008942
arnt2,ENSXETG00000012988
arx,ENSXETG00000039981
ASCL1,ENSXETG00000041303
ascl2,ENSXETG00000002872
astn1,ENSXETG00000036134
atf1,ENSXETG00000007299
atf2,ENSXETG00000007566
atf3,ENSXETG00000014375
atf4,ENSXETG00000024806
atf5,ENSXETG00000008803
atf5.2,ENSXETG00000008804
atf5.2,ENSXETG00000032997
atf6,ENSXETG00000004747
atf6b,ENSXETG00000005164
atf7,ENSXETG00000012641
atoh1,ENSXETG00000023279
atoh7,ENSXETG00000023575
atoh8,ENSXETG00000041181
atp1a2,ENSXETG00000035017
atp1b3,ENSXETG00000036348
b4galt2,ENSXETG00000041218
bach1,ENSXETG00000020266
BACH2,ENSXETG00000036812
barhl2,ENSXETG00000023986
barx1,ENSXETG00000038412
barx2,ENSXETG00000038280
BATF,ENSXETG00000040618
baz2a,ENSXETG00000021782
baz2b,ENSXETG00000007584
bcl11a,ENSXETG00000002206
bcl6,ENSXETG00000019779
bclaf1,ENSXETG00000033794
bdh1,ENSXETG00000033641
best3,ENSXETG00000040373
bhlhe22,ENSXETG00000039790
BHLHE40,ENSXETG00000035212
bhlhe41,ENSXETG00000023482
bix1.2,ENSXETG00000022633
blzf1,ENSXETG00000002419
bnc1,ENSXETG00000016084
bnc2,ENSXETG00000018036
bsx,ENSXETG00000016950
btbd1,ENSXETG00000040989
c1orf109,ENSXETG00000007426
c4a,ENSXETG00000011624
c4a,ENSXETG00000039706
c9orf64,ENSXETG00000030274
cacng3,ENSXETG00000030768
calm2,ENSXETG00000038778
camta2,ENSXETG00000017389
capn15,ENSXETG00000010331
carf,ENSXETG00000031604
carhsp1,ENSXETG00000008696
castor2,ENSXETG00000037804
casz1,ENSXETG00000006312
cbfb,ENSXETG00000020027
cc2d1a,ENSXETG00000005556
ccnt2,ENSXETG00000037363
cd63,ENSXETG00000033789
cdc5l,ENSXETG00000007885
cdip1,ENSXETG00000037174
cdx1,ENSXETG00000010282
cdx2,ENSXETG00000040504
cdx4,ENSXETG00000004589
cebpa,ENSXETG00000018291
cebpb,ENSXETG00000041079
cebpd,ENSXETG00000039828
cebpg,ENSXETG00000040897
cebpz,ENSXETG00000000654
cep170b,ENSXETG00000002232
cep78,ENSXETG00000031331
cldn7,ENSXETG00000040574
clock,ENSXETG00000021064
clybl,ENSXETG00000036404
cmtm4,ENSXETG00000035719
col9a3,ENSXETG00000033139
coro7,ENSXETG00000034547
cpeb1,ENSXETG00000010660
cpsf4l,ENSXETG00000004641
creb1,ENSXETG00000016392
creb3l1,ENSXETG00000031075
CREB3L2,ENSXETG00000033093
creb3l4,ENSXETG00000002133
creb5,ENSXETG00000012041
crebl2,ENSXETG00000027934
crebrf,ENSXETG00000012727
CREM,ENSXETG00000038842
crx,ENSXETG00000018775
crygn,ENSXETG00000036529
csdc2,ENSXETG00000033238
csde1,ENSXETG00000021448
csrnp1,ENSXETG00000004234
csrnp2,ENSXETG00000009634
CSRNP3,ENSXETG00000034847
ctcf,ENSXETG00000015615
cux1,ENSXETG00000005476
cux2,ENSXETG00000011684
cuzd1.2,ENSXETG00000039354
dach1,ENSXETG00000012355
dach2,ENSXETG00000015905
dbx1,ENSXETG00000014193
dbx2,ENSXETG00000030548
dclre1b,ENSXETG00000039574
ddit3,ENSXETG00000006245
deaf1,ENSXETG00000033517
dhrs7,ENSXETG00000036794
dlx2,ENSXETG00000007532
dlx3,ENSXETG00000021919
dlx5,ENSXETG00000016572
dlx6,ENSXETG00000016573
dmbx1,ENSXETG00000004360
dmp1,ENSXETG00000033932
dmrt2,ENSXETG00000033983
dmrt3,ENSXETG00000015285
dmrta1,ENSXETG00000005462
dmrta2,ENSXETG00000002846
dmtf1,ENSXETG00000005412
dnajc1,ENSXETG00000007390
dnajc2,ENSXETG00000023108
drc3,ENSXETG00000039058
dthd1,ENSXETG00000040596
dusp23,ENSXETG00000040174
e2f1,ENSXETG00000021428
e2f3,ENSXETG00000000021
e2f4,ENSXETG00000003083
e2f5,ENSXETG00000013780
e2f6,ENSXETG00000040751
e2f7,ENSXETG00000014320
e2f8,ENSXETG00000004436
e4f1,ENSXETG00000016091
ebf2,ENSXETG00000010153
ebf3,ENSXETG00000011309
ebf4,ENSXETG00000034650
ece2,ENSXETG00000037796
ecpas,ENSXETG00000035960
ecsit,ENSXETG00000032531
efcab5,ENSXETG00000024374
efcc1,ENSXETG00000039330
efl1,ENSXETG00000006231
egr1,ENSXETG00000006697
EGR2,ENSXETG00000040372
ehf,ENSXETG00000007559
elavl2,ENSXETG00000034813
elf1,ENSXETG00000018893
elf2,ENSXETG00000016896
elf5,ENSXETG00000007560
elk1,ENSXETG00000024193
elk3,ENSXETG00000001891
elk4,ENSXETG00000000987
elk4,ENSXETG00000036816
EMX1,ENSXETG00000035785
emx2,ENSXETG00000022080
eno1,ENSXETG00000038808
eomes,ENSXETG00000019924
epas1,ENSXETG00000026167
eppk1,ENSXETG00000038929
erf,ENSXETG00000012067
erf,ENSXETG00000038442
erg,ENSXETG00000023717
eri2,ENSXETG00000040326
esr1,ENSXETG00000012364
esr10,ENSXETG00000035809
esr2,ENSXETG00000007257
esrra,ENSXETG00000007211
esrrb,ENSXETG00000013217
esrrg,ENSXETG00000020932
esrrgr,ENSXETG00000016948
etfa,ENSXETG00000038094
ets1,ENSXETG00000022781
ets2,ENSXETG00000023724
etv1,ENSXETG00000005062
etv2,ENSXETG00000027926
etv3,ENSXETG00000018076
etv3l,ENSXETG00000033809
etv6,ENSXETG00000008919
evx1,ENSXETG00000000736
evx2,ENSXETG00000040812
extl2,ENSXETG00000031959
fam221a,ENSXETG00000034580
far1,ENSXETG00000035302
fastkd1,ENSXETG00000035695
fbxl13,ENSXETG00000035854
fbxl21p,ENSXETG00000040519
ferd3l,ENSXETG00000031751
fev,ENSXETG00000033826
fezf1,ENSXETG00000022748
fezf2,ENSXETG00000022248
figla,ENSXETG00000024917
fli1,ENSXETG00000022780
fos,ENSXETG00000013238
FOSB,ENSXETG00000035471
fosl1,ENSXETG00000020606
fosl2,ENSXETG00000010208
foxa1,ENSXETG00000025867
foxa2,ENSXETG00000026998
foxa4,ENSXETG00000026171
foxb1,ENSXETG00000017708
foxb2,ENSXETG00000036375
foxc1,ENSXETG00000000594
foxc2,ENSXETG00000016387
foxd1,ENSXETG00000035456
foxd2,ENSXETG00000016337
foxd3,ENSXETG00000010836
foxd4l1.1,ENSXETG00000001667
foxd4l1.2,ENSXETG00000001668
foxe1,ENSXETG00000024889
foxe3,ENSXETG00000016339
foxf1,ENSXETG00000003565
foxf2,ENSXETG00000040019
foxg1,ENSXETG00000010247
foxh1,ENSXETG00000020879
foxh1.2,ENSXETG00000005286
foxi1,ENSXETG00000025404
foxi2,ENSXETG00000005199
foxi4.2,ENSXETG00000001934
foxj1,ENSXETG00000019549
foxj1.2,ENSXETG00000024431
foxj2,ENSXETG00000027639
foxj3,ENSXETG00000013466
foxk2,ENSXETG00000022803
foxl1,ENSXETG00000016388
foxl2,ENSXETG00000008253
foxn1,ENSXETG00000019351
foxn2,ENSXETG00000022651
foxn3,ENSXETG00000016645
foxn4,ENSXETG00000018573
foxo1,ENSXETG00000036259
foxo3,ENSXETG00000014847
foxo4,ENSXETG00000020899
foxo6,ENSXETG00000012944
foxp1,ENSXETG00000008510
foxp2,ENSXETG00000011560
FOXP3,ENSXETG00000031498
foxp4,ENSXETG00000011856
foxq1,ENSXETG00000040929
foxr1,ENSXETG00000021565
fstl1,ENSXETG00000034397
fzd3,ENSXETG00000037264
gabpa,ENSXETG00000013611
gabpb1,ENSXETG00000016116
gas2,ENSXETG00000037211
gata1,ENSXETG00000018547
gata2,ENSXETG00000016171
gata3,ENSXETG00000025398
gata4,ENSXETG00000000673
gata5,ENSXETG00000005127
gata6,ENSXETG00000003144
gatad1,ENSXETG00000018528
gatad2a,ENSXETG00000013053
gatad2b,ENSXETG00000019921
gbx2.1,ENSXETG00000003290
gbx2.2,ENSXETG00000003293
gcfc2,ENSXETG00000007803
gcm1,ENSXETG00000027375
gcm2,ENSXETG00000001068
gem,ENSXETG00000035312
gfi1,ENSXETG00000023006
gfi1b,ENSXETG00000006263
gja10,ENSXETG00000037186
gk,ENSXETG00000036431
gli1,ENSXETG00000036606
gli2,ENSXETG00000011189
gli3,ENSXETG00000001856
glis1,ENSXETG00000011693
glis2,ENSXETG00000036796
glis3,ENSXETG00000011692
glmp,ENSXETG00000034121
glp2r,ENSXETG00000034425
gmeb1,ENSXETG00000020625
gon4l,ENSXETG00000021434
gp1bb,ENSXETG00000036241
gpbp1,ENSXETG00000015527
gpbp1l1,ENSXETG00000003496
gpbp1l1,ENSXETG00000039972
grhl1,ENSXETG00000007012
grhl2,ENSXETG00000006632
grhl3,ENSXETG00000003899
gsc,ENSXETG00000023328
gsx1,ENSXETG00000035623
gsx2,ENSXETG00000021030
gtf2i,ENSXETG00000018435
gtf2ird1,ENSXETG00000033663
gtf3a,ENSXETG00000032930
gzf1,ENSXETG00000004510
hand1,ENSXETG00000008479
hand2,ENSXETG00000016908
hbox10,ENSXETG00000017356
hbp1,ENSXETG00000005922
hcfc2,ENSXETG00000035171
hdx,ENSXETG00000014523
heg1,ENSXETG00000041059
helt,ENSXETG00000030981
hes1,ENSXETG00000016852
hes2,ENSXETG00000001163
hes4,ENSXETG00000001769
hes5.10,ENSXETG00000011111
hes5.3,ENSXETG00000011110
hes5.5,ENSXETG00000025522
hes5.9,ENSXETG00000011112
hes6.1,ENSXETG00000005911
hes6.2,ENSXETG00000031348
hes7.1,ENSXETG00000009079
hes7.1,ENSXETG00000034517
hes7.2,ENSXETG00000009083
hes8,ENSXETG00000032670
hesx1,ENSXETG00000008710
hey1,ENSXETG00000007864
hhex,ENSXETG00000012215
hic1,ENSXETG00000023803
hic2,ENSXETG00000022419
hif1a,ENSXETG00000014449
hinfp,ENSXETG00000024631
hivep1,ENSXETG00000015441
hivep2,ENSXETG00000023284
HIVEP3,ENSXETG00000035857
hlf,ENSXETG00000004316
hlx,ENSXETG00000002734
hmg20a,ENSXETG00000015269
hmg20b,ENSXETG00000022092
hmga2,ENSXETG00000038155
hmgb1,ENSXETG00000019166
hmgb2,ENSXETG00000016916
hmgb3,ENSXETG00000007740
hmgxb3,ENSXETG00000015798
