gene_symbol,reference_gene_id
adnp2a,ENSDARG00000060937
adnp2b,ENSDARG00000028431
adnpa,ENSDARG00000062002
adnpa,ENSDARG00000115617
adnpb,ENSDARG00000074293
adnpb,ENSDARG00000115866
aebp2,ENSDARG00000006038
aff2,ENSDARG00000052242
aff3,ENSDARG00000079575
aff4,ENSDARG00000001857
ahctf1,ENSDARG00000077530
ahr1a,ENSDARG00000020046
ahr1b,ENSDARG00000023537
ahr2,ENSDARG00000021833
ahrrb,ENSDARG00000052618
ahrrb,ENSDARG00000111273
ahrrb,ENSDARG00000116560
AL627305.1,ENSDARG00000100324
AL645691.1,ENSDARG00000102561
AL807792.2,ENSDARG00000110597
AL807792.3,ENSDARG00000111472
AL844172.2,ENSDARG00000113841
AL935044.1,ENSDARG00000088051
AL935300.3,ENSDARG00000098661
AL954741.2,ENSDARG00000115737
alx1,ENSDARG00000062824
alx1,ENSDARG00000110530
alx1,ENSDARG00000115230
alx4a,ENSDARG00000088332
alx4b,ENSDARG00000074442
ar,ENSDARG00000067976
ar,ENSDARG00000114287
arid1aa,ENSDARG00000101710
arid1ab,ENSDARG00000101891
arid1b,ENSDARG00000092503
arid2,ENSDARG00000007413
arid3a,ENSDARG00000070843
arid3b,ENSDARG00000104034
arid3c,ENSDARG00000067729
arid3c,ENSDARG00000114447
arid4a,ENSDARG00000043873
arid5a,ENSDARG00000077120
arid5b,ENSDARG00000037196
arid6,ENSDARG00000069988
arl14ep,ENSDARG00000001210
arnt,ENSDARG00000021855
arnt,ENSDARG00000115999
arnt2,ENSDARG00000103697
arntl1a,ENSDARG00000006791
arntl1b,ENSDARG00000035732
arntl1b,ENSDARG00000114562
arntl2,ENSDARG00000041381
arntl2,ENSDARG00000109690
arntl2,ENSDARG00000116327
arxa,ENSDARG00000058011
arxb,ENSDARG00000101523
ascl1a,ENSDARG00000038386
ascl1b,ENSDARG00000101628
atf1,ENSDARG00000044301
atf1,ENSDARG00000109865
atf2,ENSDARG00000023903
atf3,ENSDARG00000007823
