Gene1	Gene2	EdgeWeight
FOXL2	WT1pKTS	0.3220755765881558
DKK1	DMRT1	0.3217267181696129
DMRT1	DKK1	0.3037086130058913
WT1pKTS	FOXL2	0.2778658309521145
CBX2	UGR	0.2631143641124351
RSPO1	CTNNB1	0.2471575587385074
CTNNB1	RSPO1	0.230049503839574
UGR	CBX2	0.2231316906438804
RSPO1	NR5A1	0.2056304237597653
PGD2	DHH	0.20550029529112
DHH	FGF9	0.2050483098249488
PGD2	FGF9	0.1973394664477915
NR5A1	RSPO1	0.193739220155901
DHH	PGD2	0.1937317035664855
PGD2	AMH	0.1885357771207673
FOXL2	NR5A1	0.1880373246582821
WNT4	NR0B1	0.1849736956091623
FGF9	PGD2	0.1797442575207594
NR5A1	CBX2	0.1790091280265904
DHH	AMH	0.1773553562577075
SOX9	WNT4	0.1743005888153199
SRY	DKK1	0.1716152006051765
DKK1	SRY	0.1680515801767133
CTNNB1	FOXL2	0.1659086466151461
UGR	GATA4	0.1623172424707681
FGF9	DHH	0.1618217278117444
UGR	WT1mKTS	0.1594943014635814
NR0B1	WNT4	0.1587257768719717
DMRT1	SOX9	0.1565032413447382
SRY	DMRT1	0.1561186045045458
WNT4	CTNNB1	0.1558431032845983
GATA4	WT1mKTS	0.1508984837924359
DKK1	SOX9	0.1505555060949178
FGF9	AMH	0.1499992908067887
AMH	DHH	0.1499125615484226
DMRT1	SRY	0.146788413942962
CTNNB1	WT1pKTS	0.1454110379826833
AMH	PGD2	0.1432707749520007
RSPO1	WNT4	0.1419855309611443
WNT4	RSPO1	0.1409190105306535
WT1pKTS	NR5A1	0.1397643229856232
RSPO1	FOXL2	0.1390807639125627
AMH	FGF9	0.1310634492851146
WT1mKTS	GATA4	0.1304944720782094
RSPO1	WT1pKTS	0.1230563059366115
NR5A1	WT1pKTS	0.1197003588740525
CTNNB1	NR5A1	0.117888938407308
SOX9	DKK1	0.1155180979875676
FOXL2	CTNNB1	0.1147617571146073
DHH	GATA4	0.1120554967448863
DHH	SOX9	0.1104074136095882
NR5A1	UGR	0.1090108780273745
AMH	NR0B1	0.1086668373784842
SOX9	DMRT1	0.108395853078658
NR5A1	FOXL2	0.1076195434997991
FOXL2	SRY	0.1052777849930799
CTNNB1	SRY	0.1047261916878685
DHH	WT1mKTS	0.1007997223318338
PGD2	WT1mKTS	0.1007457220591018
SOX9	PGD2	0.0997942057725759
UGR	NR0B1	0.099361614755168
NR5A1	CTNNB1	0.0983214005304991
SOX9	FGF9	0.098167393336002
SOX9	DHH	0.0970166938035884
PGD2	NR0B1	0.0963569001954406
SOX9	AMH	0.0957246323293097
PGD2	SOX9	0.0909626745241565
FGF9	SOX9	0.0881481833078034
FGF9	GATA4	0.0857313626099459
PGD2	GATA4	0.0853669656056896
WT1pKTS	CBX2	0.0831939521691049
FGF9	WT1mKTS	0.0783392337536291
SRY	FOXL2	0.0773767925174196
NR0B1	RSPO1	0.076763265981013
FGF9	NR0B1	0.0755978323759816
UGR	SRY	0.0732109502185349
FOXL2	RSPO1	0.0730839428525918
CTNNB1	CBX2	0.0723479316301633
GATA4	PGD2	0.0717153280024614
GATA4	DHH	0.0697473535880904
NR0B1	UGR	0.0669441918575211
WT1pKTS	SRY	0.0669145211299992
AMH	WT1mKTS	0.0663285877411221
GATA4	AMH	0.0662984698672983
NR0B1	CTNNB1	0.0654622603014622
WT1pKTS	UGR	0.064231467353041
AMH	SOX9	0.0635701613269713
