TF	target	importance
FOXL2	WT1pKTS	0.3502445335461649
DKK1	DMRT1	0.3004501942517214
DMRT1	DKK1	0.2980244108908508
WT1pKTS	FOXL2	0.26510824116177617
RSPO1	CTNNB1	0.2606440648928465
CBX2	UGR	0.2598708641592051
UGR	CBX2	0.232371934532279
CTNNB1	RSPO1	0.22974008883032868
DHH	PGD2	0.20158844515264923
PGD2	FGF9	0.19916581553789223
FOXL2	NR5A1	0.19621439390179807
NR5A1	RSPO1	0.19486218926866053
WNT4	NR0B1	0.1938778045690297
PGD2	DHH	0.19062138661402633
FGF9	PGD2	0.19024365931411572
RSPO1	NR5A1	0.18931236591066214
FGF9	DHH	0.18293274098306248
PGD2	AMH	0.18275962164408363
CTNNB1	FOXL2	0.18194644255245557
DHH	FGF9	0.1796670246071988
NR5A1	CBX2	0.177961707398165
NR0B1	WNT4	0.1759845559293039
UGR	GATA4	0.17423460920868672
UGR	WT1mKTS	0.17394673892410178
SRY	DMRT1	0.1730684455782019
SRY	DKK1	0.17226019681635057
FGF9	AMH	0.17022031115511385
GATA4	WT1mKTS	0.1701896980343925
DHH	AMH	0.16831211996828552
DKK1	SRY	0.16667300375374253
DMRT1	SRY	0.16219516619096846
WNT4	CTNNB1	0.1550991291639339
WT1mKTS	GATA4	0.15226210055412095
DKK1	SOX9	0.1510201179981962
RSPO1	WNT4	0.15092824343553188
DMRT1	SOX9	0.14944373572877648
AMH	DHH	0.14521579182568614
SOX9	WNT4	0.1447020335733756
AMH	FGF9	0.14156548135190627
WNT4	RSPO1	0.1405741080034274
CTNNB1	WT1pKTS	0.1319171598281054
NR5A1	FOXL2	0.13104857584018006
WT1pKTS	NR5A1	0.13056196315197974
NR5A1	WT1pKTS	0.1299019460735199
RSPO1	FOXL2	0.129360227681335
CTNNB1	NR5A1	0.1276247858946257
AMH	PGD2	0.12690382353410473
NR5A1	UGR	0.11899835831604144
DHH	SOX9	0.118327173812337
SOX9	DKK1	0.11529368842078984
NR5A1	CTNNB1	0.11356663355618153
AMH	NR0B1	0.11258549927859493
FOXL2	SRY	0.1099101083394622
SOX9	DMRT1	0.10938859974389221
FOXL2	CTNNB1	0.10865260184348545
RSPO1	WT1pKTS	0.10101944792950344
SOX9	PGD2	0.10082954969165388
SOX9	FGF9	0.09837861100378513
UGR	NR0B1	0.09821270184855502
PGD2	WT1mKTS	0.09741864844517288
PGD2	GATA4	0.09326839306288916
PGD2	SOX9	0.09312168975385544
SOX9	DHH	0.09261351830842614
CTNNB1	SRY	0.08927529125764987
PGD2	NR0B1	0.08590774247654362
FGF9	WT1mKTS	0.08581871164579308
DHH	GATA4	0.08545958453298959
NR0B1	RSPO1	0.08529554258505344
SOX9	AMH	0.08365827591260531
FGF9	GATA4	0.08170437691995318
CTNNB1	WNT4	0.08004887912219918
FGF9	SOX9	0.07846897830213308
WT1pKTS	CBX2	0.07810085964700778
DHH	WT1mKTS	0.07599458070705147
RSPO1	NR0B1	0.07347955998882216
AMH	GATA4	0.07239253070405396
AMH	WT1mKTS	0.07161019410021133
SRY	FOXL2	0.07060046092850146
WT1pKTS	SRY	0.06999762053927003
GATA4	PGD2	0.06978378780501236
GATA4	FGF9	0.06961612923609942
RSPO1	CBX2	0.06748372828761837
UGR	SRY	0.06706856582275884
NR0B1	UGR	0.06636527453258523
CTNNB1	CBX2	0.06466097013893109
FGF9	NR0B1	0.06418040958106784
AMH	SOX9	0.06339406799680997
WNT4	UGR	0.06306842014799866
NR0B1	CTNNB1	0.06236394623421369
FOXL2	RSPO1	0.06176789905178669
GATA4	AMH	0.06148478920864586
GATA4	DHH	0.061040412101586713
WT1pKTS	CTNNB1	0.060296238085197955
SRY	UGR	0.060247177582232136
FGF9	WNT4	0.05943384779336297
DHH	NR0B1	0.05901695243831645
DKK1	CBX2	0.05846229548794891
WT1mKTS	PGD2	0.05828912117311457
WNT4	SOX9	0.05590609563542048
WT1mKTS	AMH	0.05520912719044074
PGD2	WNT4	0.055014818319924275
UGR	WNT4	0.054975067078265764
DMRT1	CBX2	0.05448896195384365
RSPO1	UGR	0.054083600934441596
WT1mKTS	DHH	0.05392760615877297
SRY	WT1pKTS	0.05350286226553102
WNT4	NR5A1	0.053262011192154575
DKK1	UGR	0.05307242935066982
SOX9	GATA4	0.052619162315268385
RSPO1	SRY	0.051955382312651524
CBX2	NR0B1	0.051730303363566515
WNT4	DHH	0.051595630319624025
WT1pKTS	UGR	0.05104370076564636
WT1mKTS	FGF9	0.05058951328495624
NR0B1	NR5A1	0.04982766166279905
PGD2	DKK1	0.049549837698966565
WT1pKTS	RSPO1	0.04667559183330686
DMRT1	UGR	0.046601510263187026
SRY	NR0B1	0.04652559894171121
CTNNB1	NR0B1	0.04595206592068095
WNT4	PGD2	0.045807692268944024
NR0B1	AMH	0.045496884583996255
DHH	DMRT1	0.0446832533703275
DKK1	WNT4	0.04381416671841541
DHH	DKK1	0.04333772320301013
PGD2	DMRT1	0.043249342955752855
WNT4	AMH	0.04322011027320252
DHH	WNT4	0.04317590510333804
SOX9	RSPO1	0.04253499161933014
CTNNB1	UGR	0.042470630057356455
NR5A1	SOX9	0.042307053256149724
AMH	WNT4	0.041897692797034945
SOX9	WT1mKTS	0.04170595309367113
WNT4	FOXL2	0.04110341627011556
WNT4	FGF9	0.04096150387010921
DMRT1	CTNNB1	0.03954904039220078
CBX2	NR5A1	0.03953625492730306
NR0B1	DHH	0.039514375224508506
CBX2	SRY	0.03947942476616121
NR0B1	FGF9	0.039029086416626835
WNT4	WT1pKTS	0.03898954616476156
RSPO1	SOX9	0.03890725925055619
SRY	SOX9	0.03823311141312127
SOX9	SRY	0.03811636259855602
SRY	CTNNB1	0.03771844639388183
DMRT1	GATA4	0.037702848101174316
DKK1	CTNNB1	0.03735347526744529
GATA4	DMRT1	0.03733320614447805
SOX9	CBX2	0.03716438382035037
NR5A1	NR0B1	0.0370737234885803
GATA4	DKK1	0.03697333136478255
FGF9	DKK1	0.03638914749579212
DKK1	WT1mKTS	0.03636041546917534
WT1pKTS	WT1mKTS	0.03621932644279223
GATA4	SOX9	0.03584677878559815
WT1mKTS	UGR	0.03488814319725791
DMRT1	WNT4	0.03419428912486561
NR0B1	PGD2	0.03419153619821805
FGF9	DMRT1	0.034028714356933755
SRY	WT1mKTS	0.033817026514613484
GATA4	UGR	0.03373351920612786
NR0B1	SRY	0.03329046027425205
DKK1	GATA4	0.03325914881778967
WNT4	CBX2	0.03319943784505534
WT1pKTS	GATA4	0.03284249569875852
NR5A1	SRY	0.03235934725080467
WT1mKTS	DMRT1	0.032012809910944934
SRY	GATA4	0.03197856151021529
SRY	NR5A1	0.03194408212260862
NR5A1	DMRT1	0.031822976236015245
CBX2	RSPO1	0.03147959153747907
WNT4	SRY	0.031285444742397216
WT1mKTS	SRY	0.031213176213350905
CTNNB1	DMRT1	0.030219341797274875
DKK1	PGD2	0.02992034645985857
NR5A1	DKK1	0.02990125637271721
NR0B1	WT1pKTS	0.02979764885715473
SOX9	NR5A1	0.029442378500664813
DMRT1	WT1mKTS	0.029303955023615456
NR0B1	CBX2	0.029296593744737243
WT1mKTS	DKK1	0.029012198584996488
DKK1	FGF9	0.028725707032761783
CBX2	DMRT1	0.028297369520759546
GATA4	SRY	0.028122035529285515
