Gene1,Gene2,EdgeWeight,Confidence,Stability,MeanPercentile,MeanZ,ZCILower,ZCIUpper,SelectedRuns,ObservedRuns,RunCount,BestRank
CBX2,UGR,0.2538271864853711,1.0,1.0,1.0,3.679190089650957,3.5567199240804896,3.7552297106183374,30,30,30,1
CTNNB1,RSPO1,0.244395677090208,1.0,1.0,1.0,2.9075093345866163,2.705661023747245,3.0998124409551027,30,30,30,1
DKK1,DMRT1,0.3078658691699669,1.0,1.0,1.0,3.5398791823922116,3.395526498635718,3.6448849478302496,30,30,30,1
DMRT1,DKK1,0.30467175273819197,1.0,1.0,1.0,3.490688469496229,3.4031424370572254,3.558090870740651,30,30,30,1
FOXL2,WT1pKTS,0.3363313616400288,1.0,1.0,1.0,3.524847347889121,3.414167801180513,3.6194282636964545,30,30,30,1
RSPO1,CTNNB1,0.25720615425310633,1.0,1.0,1.0,3.1377926841958526,2.957900959665157,3.2996356929492467,30,30,30,1
UGR,CBX2,0.22093124406465028,1.0,1.0,1.0,2.965519513671722,2.763908192861165,3.115705322836639,30,30,30,1
WNT4,NR0B1,0.18684589744929908,1.0,1.0,1.0,2.9841897939925612,2.7386447076316838,3.1778991901002343,30,30,30,1
WT1pKTS,FOXL2,0.26791874909606544,1.0,1.0,1.0,3.001216238145066,2.8230506538887328,3.1414398141220796,30,30,30,1
DHH,PGD2,0.2085182098303674,0.9980392156862745,1.0,0.9980392156862745,2.5811858328220922,2.3344064666694484,2.821661448004269,30,30,30,1
PGD2,DHH,0.20092714496455433,0.996078431372549,1.0,0.996078431372549,2.5311148999439648,2.2882962065689147,2.7563001509489915,30,30,30,1
FOXL2,NR5A1,0.1999072173869341,0.9921568627450981,1.0,0.9921568627450981,2.4256452234910983,2.197349213323237,2.737311654208378,30,30,30,1
PGD2,FGF9,0.1996751211893479,0.9921568627450981,1.0,0.9921568627450981,2.454937971138342,2.2580193947022877,2.6792767296514284,30,30,30,1
DKK1,SOX9,0.15810491302259275,0.9882352941176471,1.0,0.9882352941176471,2.3052762778633413,1.7961070796985754,2.7111591633484453,30,30,30,1
NR0B1,WNT4,0.17172439972096282,0.9843137254901961,1.0,0.9843137254901961,2.3259536016885276,1.9803566021572618,2.674283605226746,30,30,30,1
