TF	target	importance
FOXL2	WT1pKTS	154.14168232817144
WT1pKTS	FOXL2	114.65898178548315
UGR	CBX2	106.87851190019876
DKK1	DMRT1	106.82760116140841
DMRT1	DKK1	105.29925189613891
SRY	DMRT1	92.91664959805433
CBX2	UGR	87.32215541358731
SRY	DKK1	87.00309814024061
FOXL2	NR5A1	86.76596301593487
WNT4	NR0B1	86.65014697970595
RSPO1	CTNNB1	84.3432793592289
NR5A1	CBX2	83.60769667409464
NR0B1	WNT4	80.24838323830072
WT1pKTS	NR5A1	74.82349966067765
NR5A1	WT1pKTS	74.38790763351933
DKK1	SRY	69.28337258723941
GATA4	WT1mKTS	69.13841518262772
CTNNB1	RSPO1	67.23673016035129
RSPO1	NR5A1	66.52255106734044
NR5A1	RSPO1	66.20967795441396
RSPO1	WT1pKTS	65.8305943853766
NR5A1	FOXL2	65.5551655302363
CTNNB1	NR5A1	63.81668456736471
WT1pKTS	CBX2	63.55926756944626
UGR	WT1mKTS	63.361993468137555
WNT4	RSPO1	62.05369180278728
DKK1	SOX9	60.59615616351965
CTNNB1	SRY	59.89983215072499
CBX2	NR5A1	59.893500443103754
NR5A1	UGR	58.88151192208904
CTNNB1	WT1pKTS	58.139552702461195
RSPO1	FOXL2	58.069064108114674
UGR	NR0B1	57.17908513626429
CTNNB1	WNT4	56.32739860828171
SOX9	WNT4	56.07238823009924
FOXL2	CTNNB1	55.62986600824099
NR5A1	CTNNB1	55.23413199235585
CTNNB1	FOXL2	54.68906147754107
FGF9	NR0B1	54.548907626160364
DKK1	CBX2	54.13160392790537
FOXL2	SRY	54.12816414611426
SOX9	DMRT1	53.8689629945283
RSPO1	WNT4	52.215846984981326
PGD2	DHH	51.848364370114254
DHH	NR0B1	51.543015961649864
WT1pKTS	SRY	50.144310153080255
AMH	DHH	49.88458360012943
GATA4	DMRT1	49.81119998452391
DMRT1	SRY	48.34901935934709
FGF9	PGD2	46.963711827518345
RSPO1	CBX2	46.940176327667245
NR0B1	UGR	46.621295706191205
DMRT1	WT1mKTS	46.369248456029894
SRY	FOXL2	45.81329587224767
WT1mKTS	GATA4	45.68223954080911
PGD2	WNT4	45.615614695853765
DKK1	CTNNB1	45.09313905778884
FOXL2	CBX2	44.44040128563716
WNT4	UGR	44.19536103160162
FOXL2	DMRT1	43.503870247671784
PGD2	NR0B1	43.39451241061851
WNT4	CTNNB1	43.348696046074416
DMRT1	CTNNB1	43.014294801881924
DHH	WT1mKTS	42.850785246384916
FGF9	WT1mKTS	42.765713934818486
SRY	WT1pKTS	42.3940313059155
PGD2	SOX9	42.3844923617978
WNT4	PGD2	41.640845526880575
FGF9	AMH	41.63671148089695
RSPO1	UGR	41.3519373336456
NR0B1	CBX2	41.10201562502537
CTNNB1	CBX2	40.872056922256796
DHH	PGD2	40.86119306159684
FGF9	SOX9	40.533082014496365
NR5A1	WNT4	40.34180452356278
WNT4	DMRT1	39.600143285157884
CBX2	CTNNB1	38.57494409794749
DMRT1	WNT4	38.01079634216475
DHH	FGF9	37.937283319751984
CTNNB1	DMRT1	37.91319793074543
NR0B1	CTNNB1	37.8950017939187
NR5A1	SRY	37.76322426906485
DMRT1	SOX9	37.75425197318142
PGD2	AMH	37.67090412864314
WT1mKTS	FGF9	37.66613385082714
AMH	WT1mKTS	37.4974009690912
