Gene1	Gene2	EdgeWeight
FOXL2	WT1pKTS	178.8330062397714
DMRT1	DKK1	132.3332166600959
WT1pKTS	FOXL2	106.6683295668779
NR5A1	CBX2	94.42925112298332
NR0B1	WNT4	91.3779692414852
CBX2	UGR	90.80828285712808
SRY	DKK1	82.99430039975157
RSPO1	CTNNB1	81.68177008196882
DKK1	DMRT1	80.75953456477463
UGR	CBX2	80.75765731826881
WNT4	NR0B1	75.78696480938628
CTNNB1	WT1pKTS	75.23299985859627
CTNNB1	NR5A1	75.10484628993837
CTNNB1	RSPO1	71.95399430904435
SOX9	DKK1	69.56998955871649
NR5A1	WT1pKTS	68.55032913333346
NR5A1	FOXL2	68.10822480073114
WT1pKTS	NR5A1	67.08645363661036
CTNNB1	FOXL2	66.91634177269654
AMH	NR0B1	66.73581567123422
WNT4	RSPO1	66.5325172290226
UGR	NR0B1	66.21984926528098
FOXL2	NR5A1	65.44876122023828
WNT4	CTNNB1	63.936323444310155
RSPO1	WNT4	63.81117994734296
FOXL2	SRY	63.14836491847756
UGR	WT1mKTS	62.06853133813458
SOX9	DMRT1	61.85396007901213
UGR	GATA4	61.47009446911855
DMRT1	SRY	61.46802688586122
SOX9	WNT4	59.74264296744762
GATA4	WT1mKTS	58.96264919814855
WT1pKTS	UGR	58.90756912805968
CTNNB1	SRY	58.83095822465963
FGF9	DHH	58.285368955929
RSPO1	CBX2	57.37692670680048
DHH	NR0B1	56.47080323743268
NR0B1	RSPO1	56.10882644408244
PGD2	NR0B1	55.998182042030486
WT1pKTS	SRY	55.57955007504496
DHH	PGD2	52.48523183113695
RSPO1	WT1pKTS	52.04826050147066
WT1pKTS	RSPO1	51.90350185716324
SRY	WT1pKTS	51.68543380942273
DKK1	SRY	51.40862705395555
AMH	DHH	51.24929717551462
RSPO1	FOXL2	51.20271688580144
FOXL2	RSPO1	51.19342063381078
FGF9	NR0B1	51.180749611133926
DKK1	SOX9	50.95326671359251
DHH	FGF9	50.629182071416295
AMH	PGD2	49.772924271586184
WT1pKTS	CBX2	49.69491472611756
PGD2	FGF9	48.35097843533306
RSPO1	NR5A1	48.11920921356445
NR5A1	RSPO1	47.15571065555315
SRY	DMRT1	47.01483121607648
FGF9	WNT4	46.58779263985332
FOXL2	CTNNB1	46.410608897850494
CBX2	RSPO1	45.694186396407616
NR5A1	UGR	45.62709560119583
GATA4	NR0B1	44.46719701279594
UGR	NR5A1	44.38755518928682
PGD2	AMH	43.86081686821581
NR5A1	CTNNB1	43.31260291631792
SOX9	AMH	41.839555636622194
CTNNB1	WNT4	41.66405928449692
DKK1	WNT4	41.300993656952855
RSPO1	NR0B1	41.17376828441967
WNT4	SOX9	41.00876124211728
NR5A1	NR0B1	40.84276033656635
CBX2	NR5A1	40.74396102868291
WT1pKTS	CTNNB1	40.73136929845597
CTNNB1	CBX2	40.69581236798873
DKK1	CTNNB1	40.548948310724676
AMH	FGF9	40.17262427312112
UGR	WNT4	39.976509333767254
DKK1	GATA4	39.88168258581292
WT1mKTS	GATA4	39.769195288537325
FOXL2	DKK1	39.13066115822581
RSPO1	SRY	38.873882774544235
FGF9	PGD2	38.37615015967466
NR5A1	SRY	38.26252543635288
DHH	AMH	38.200889705287246
WNT4	WT1pKTS	38.01065054760462
PGD2	DHH	37.87734187998842
DHH	WNT4	37.8628938519935
UGR	WT1pKTS	37.72054756708215
SRY	FOXL2	37.58439738453177
DMRT1	FOXL2	37.48769361716261
RSPO1	UGR	37.25517944002464
NR0B1	UGR	37.14993833349687
SOX9	SRY	36.767773163826654
PGD2	GATA4	36.762457250230995
CTNNB1	NR0B1	36.5409909876997
WT1mKTS	FGF9	35.787534372858175
FOXL2	DMRT1	35.6799185514277
DKK1	UGR	35.67185217448697
SOX9	GATA4	35.5892723161469
SRY	CTNNB1	35.55468232153168
NR0B1	SRY	35.35947495722993
FGF9	AMH	35.132600656134095
PGD2	SOX9	35.118745796449964
CTNNB1	DKK1	35.109359783843146
UGR	SRY	34.51286066205246
NR0B1	NR5A1	33.79548799847345
WT1mKTS	SOX9	33.03744302256628
UGR	CTNNB1	32.98611907549518
FOXL2	NR0B1	32.92852211487916
AMH	SOX9	32.894521161846434
FGF9	GATA4	32.70434174001092
DMRT1	CBX2	32.6590457347852
GATA4	WNT4	32.11895892971124
DMRT1	UGR	31.73268448069737
WNT4	DKK1	31.561290700475208
CBX2	WT1pKTS	31.552771721371553
PGD2	WT1mKTS	31.500949395182655
AMH	GATA4	31.492940801074813
GATA4	DKK1	31.394765546299084
WNT4	AMH	31.32119799894027
WT1mKTS	PGD2	31.294633854933664
DMRT1	WT1mKTS	31.261622330125096
FOXL2	CBX2	31.216954299571352
WNT4	SRY	31.05827235725059
PGD2	DKK1	31.045753297504532
DKK1	FOXL2	30.747687443907367
CBX2	NR0B1	30.655405777502825
SRY	WT1mKTS	30.594725321417204
SOX9	DHH	30.239384395028733
CBX2	CTNNB1	30.214469019437452
WNT4	FOXL2	30.104425495068824
DHH	SRY	30.093729063956676
AMH	SRY	29.91201420882744
WNT4	UGR	29.642160183666512
WT1mKTS	DMRT1	29.556753236776807
SOX9	WT1mKTS	29.21567398511892
DMRT1	SOX9	29.10000646766572
GATA4	SRY	28.464847899943347
SOX9	NR0B1	28.439364874556578
WT1pKTS	GATA4	28.10623692003791
FGF9	SOX9	27.705957072474995
WT1mKTS	DKK1	27.618962515105952
SOX9	CBX2	27.46676291002513
WNT4	DMRT1	27.36787940499806
SOX9	PGD2	27.28346380258348
DMRT1	CTNNB1	27.142812217722955
CTNNB1	UGR	27.11399905873773
PGD2	WNT4	27.07622043799098
FGF9	WT1mKTS	27.065718361790232
FGF9	RSPO1	27.017392621447694
SOX9	NR5A1	26.864858184695052
DHH	GATA4	26.77137859613622
WT1mKTS	SRY	26.708628565744633
WT1pKTS	NR0B1	26.669758023960963
SOX9	RSPO1	26.518159121395016
GATA4	DHH	26.24616486210608
WT1mKTS	NR0B1	26.1476901661395
WT1pKTS	WT1mKTS	26.11538637928699
CTNNB1	DMRT1	26.064664595100854
PGD2	DMRT1	26.06291657432261
FOXL2	WNT4	25.639131371396783
AMH	WNT4	25.583649028771937
GATA4	DMRT1	25.491051038097247
SRY	GATA4	25.357473776339077
DMRT1	GATA4	24.928361997760145
FGF9	DMRT1	24.76542097985802
WNT4	PGD2	24.611319492758597
DMRT1	WNT4	24.365986957750167
WNT4	WT1mKTS	24.357316169879677
NR0B1	FGF9	24.35398839114746
GATA4	AMH	24.284997881572515
NR0B1	AMH	24.224876154131024
NR5A1	WNT4	24.075688754566144
DKK1	WT1mKTS	24.00694202098809
AMH	DKK1	23.74570923850711
DKK1	RSPO1	23.697733543416167
RSPO1	GATA4	23.69250524739991
DKK1	CBX2	23.599880173150694
AMH	WT1mKTS	23.43536881596909
RSPO1	DKK1	23.419326085382195
DHH	SOX9	23.35257188757168
NR5A1	DMRT1	23.243932770968087
GATA4	FGF9	23.159640025726812
NR0B1	FOXL2	23.139658759086007
NR0B1	WT1pKTS	23.139092503164655
NR5A1	SOX9	23.042097458732783
CBX2	DKK1	22.935384020236935
CBX2	SRY	22.87819690572928
SRY	UGR	22.873057761363533
WNT4	NR5A1	22.775585579729285
NR0B1	WT1mKTS	22.753164117464557
FGF9	DKK1	22.708000481225717
NR5A1	WT1mKTS	22.482053816911588
WNT4	FGF9	22.401291348900937
DHH	DKK1	22.35105813296358
PGD2	RSPO1	22.249518750353445
SRY	NR0B1	22.08915916692582
NR0B1	CTNNB1	22.062883512546257
UGR	RSPO1	21.8457129251714
DMRT1	WT1pKTS	21.748504942775327
DKK1	AMH	21.72020186501173
GATA4	UGR	21.536635823852144
NR0B1	GATA4	21.43296330464538
WNT4	CBX2	21.358702450942797
WT1mKTS	AMH	21.16593302489185
DHH	WT1mKTS	21.11642021341763
WT1pKTS	DMRT1	21.094260485679357
CBX2	WNT4	20.906927670795262
DKK1	NR0B1	20.86438850494657
DKK1	WT1pKTS	20.83883985368951
SRY	WNT4	20.743176711805337
SRY	SOX9	20.66216351323902
WT1mKTS	DHH	20.641873814502645
DHH	DMRT1	20.64164386892424
SOX9	UGR	20.564714977148213
FOXL2	WT1mKTS	20.359280165364535
CBX2	FOXL2	20.32368001261928
FOXL2	GATA4	20.27611040485111
SRY	NR5A1	20.1670846765071
NR5A1	GATA4	20.032790486799875
WT1pKTS	DKK1	19.838545529380763
FGF9	CTNNB1	19.78558836513485
NR5A1	DKK1	19.584342899787224
PGD2	CBX2	19.442356980992233
WNT4	DHH	19.095728310787063
NR5A1	FGF9	19.00857604027798
AMH	DMRT1	19.00479010582983
FOXL2	UGR	18.863990148159072
FGF9	CBX2	18.811556812229497
WT1mKTS	UGR	18.70093232818895
WT1pKTS	DHH	18.667942954971224
NR0B1	DHH	18.66567355288061
DKK1	FGF9	18.616065769916005
DHH	RSPO1	18.56373982810085
GATA4	CTNNB1	18.40454504178531
WT1mKTS	RSPO1	18.366911008108843
NR0B1	SOX9	18.32559675593701
PGD2	UGR	18.276541382554967
CBX2	DMRT1	18.092149477912766
AMH	RSPO1	17.99634489322941
DMRT1	NR0B1	17.788630113108457
GATA4	SOX9	17.618276778536853
DMRT1	DHH	17.54632577294717
NR0B1	CBX2	17.508591064033705
SRY	CBX2	17.492191236151037
CBX2	SOX9	17.464262203568147
RSPO1	SOX9	17.30457925721983
PGD2	SRY	17.224886662699433
AMH	CBX2	17.153210620558465
GATA4	PGD2	17.114309561601193
WT1pKTS	FGF9	16.95888617903568
SRY	FGF9	16.950192298453995
WNT4	GATA4	16.772425106242856
DKK1	PGD2	16.427964160119625
WT1mKTS	CTNNB1	16.287300401773177
DMRT1	RSPO1	16.247165294534682
RSPO1	DMRT1	16.22919148422742
PGD2	CTNNB1	16.19300142268854
UGR	DKK1	15.848687210504051
NR0B1	DKK1	15.810646781994754
DHH	UGR	15.785962072314597
RSPO1	DHH	15.680176888832484
CTNNB1	GATA4	15.385451510854327
NR5A1	AMH	15.289147274562144
WT1pKTS	PGD2	15.114818204023113
SRY	DHH	15.053031714739634
DKK1	DHH	14.90795357544846
WT1mKTS	WNT4	14.859711557626882
DMRT1	FGF9	14.816739020804343
SOX9	CTNNB1	14.737602407189664
UGR	DMRT1	14.598012361543876
CBX2	WT1mKTS	14.281881176483507
DMRT1	AMH	14.265875952902592
GATA4	CBX2	14.242105598568711
SOX9	FOXL2	13.971245047182403
DKK1	NR5A1	13.963593068652246
UGR	SOX9	13.878442472069343
NR5A1	DHH	13.878317245892484
RSPO1	PGD2	13.83442735164926
WT1pKTS	SOX9	13.63463339544518
UGR	FOXL2	13.631025939616787
CBX2	GATA4	13.574318198000755
DMRT1	NR5A1	13.514867675104869
SRY	RSPO1	13.473578685992448
NR0B1	PGD2	13.399437017812923
WT1pKTS	WNT4	13.306507656245598
DHH	CBX2	12.881647037467562
CTNNB1	PGD2	12.798781231805584
