Gene1,Gene2,EdgeWeight,Confidence,Stability,MeanPercentile,MeanZ,ZCILower,ZCIUpper,SelectedRuns,ObservedRuns,RunCount,BestRank
FOXL2,WT1pKTS,155.09972073755173,1.0,1.0,1.0,3.19287725658284,2.6027087719409314,3.586808765974995,30,30,30,1
CBX2,UGR,90.15484266485969,0.9980392156862745,1.0,0.9980392156862745,3.1187786749899415,2.355493751375211,3.7221383457265,30,30,30,1
DMRT1,DKK1,103.31517803272398,0.9921568627450981,1.0,0.9921568627450981,3.0480074415844407,2.2792861942390523,3.712882148597079,30,30,30,1
DKK1,DMRT1,110.91609525480288,0.9901960784313726,1.0,0.9901960784313726,3.1754750251847903,2.1040884592682048,3.8137248630632303,30,30,30,1
RSPO1,CTNNB1,80.10458305596268,0.9901960784313726,1.0,0.9901960784313726,2.522576239104933,1.5539465295322696,3.3093051973687126,30,30,30,1
WT1pKTS,FOXL2,99.07922674843832,0.9823529411764705,1.0,0.9823529411764705,2.479079728129361,1.612097269662713,3.200466861226743,30,30,30,1
UGR,CBX2,94.25847994471752,0.9784313725490196,1.0,0.9784313725490196,2.5756010785734853,1.6686383730054688,3.398244882570882,30,30,30,1
CTNNB1,RSPO1,81.45474948024257,0.9705882352941176,1.0,0.9705882352941176,2.2501044230150273,1.035311641726746,3.09821727458683,30,30,30,1
WNT4,NR0B1,65.98091342897726,0.9647058823529412,1.0,0.9647058823529412,2.1168813871494527,1.1664756395157727,3.2396241184926895,30,30,30,1
NR5A1,CBX2,85.08063692645321,0.9607843137254902,1.0,0.9607843137254902,2.1965657468230093,1.236074246563987,3.0566356658977405,30,30,30,1
GATA4,WT1mKTS,62.55386967683466,0.9568627450980393,1.0,0.9568627450980393,2.1309984403870077,1.0267932962006225,3.2929487102079387,30,30,30,1
WT1mKTS,GATA4,51.15909847562018,0.9549019607843138,1.0,0.9549019607843138,1.922823625530369,0.7416905857411734,3.0607105961019565,30,30,30,1
FOXL2,NR5A1,89.45590765074911,0.9490196078431372,1.0,0.9490196078431372,1.9504679991349425,1.2232356738004464,2.7464771317937062,30,30,30,1
NR0B1,WNT4,70.59251759622204,0.9470588235294117,1.0,0.9470588235294117,1.9990396580734182,0.7507216767849905,2.933286660694529,30,30,30,1
SRY,DKK1,75.29009656541635,0.9450980392156862,1.0,0.9450980392156862,1.8328479916455565,0.8130455768458937,2.8504962706005,30,30,30,1
UGR,WT1mKTS,60.544932646551054,0.9411764705882353,1.0,0.9411764705882353,2.038272532398975,0.36271277200303953,3.07977574231418,30,30,30,1
SRY,DMRT1,73.06404252012393,0.9352941176470588,1.0,0.9352941176470588,1.6053950786462774,0.5419485498833827,2.7408947470609286,30,30,30,1
NR5A1,RSPO1,73.16484227262039,0.9333333333333333,1.0,0.9333333333333333,1.8187013500733955,0.763962801892619,2.7554617872020666,30,30,30,1
UGR,GATA4,50.37798526189069,0.9333333333333333,1.0,0.9333333333333333,1.7970654870533467,0.4537174501169857,2.9934731955313394,30,30,30,1
UGR,NR0B1,57.53126261403492,0.9333333333333333,1.0,0.9333333333333333,1.61262427406512,0.804304086921344,2.4673819572140916,30,30,30,1
PGD2,AMH,45.932989439722746,0.9254901960784314,1.0,0.9254901960784314,1.7651834091103498,0.6719577854959166,2.6836426535141658,30,30,30,1
DHH,AMH,43.821844633942106,0.9215686274509804,1.0,0.9215686274509804,1.6212612777422717,0.6823691210451255,2.5094031672195127,30,30,30,1
DHH,PGD2,43.01325784519061,0.9215686274509804,1.0,0.9215686274509804,1.6706935892621215,0.3235249873106777,2.781397494107685,30,30,30,1
PGD2,DHH,44.00676982976918,0.9215686274509804,1.0,0.9215686274509804,1.685745591253389,0.6600330988971732,2.8432432007125,30,30,30,1
AMH,PGD2,42.25439429966638,0.9196078431372549,1.0,0.9196078431372549,1.6201981869886595,0.4651953934167853,2.77141860609155,30,30,30,1
WT1pKTS,NR5A1,82.69975627045946,0.9176470588235294,1.0,0.9176470588235294,1.7129231148219406,0.8291484445986685,2.5030631777661356,30,30,30,1
CTNNB1,FOXL2,74.18125946337224,0.9156862745098039,1.0,0.9156862745098039,1.54177025240223,0.7642567115746556,2.554344085224484,30,30,30,1
FGF9,DHH,42.61623852088296,0.9156862745098039,1.0,0.9156862745098039,1.5923110396132307,0.4438597869805522,2.766363961029037,30,30,30,1
DKK1,SRY,65.01977927814293,0.9137254901960784,1.0,0.9137254901960784,1.7089234972495997,0.6475842401261777,2.823361042722014,30,30,30,1
DKK1,SOX9,44.07255594187289,0.9117647058823529,1.0,0.9117647058823529,1.6212504390532894,-0.13179335907284356,2.7616538490783094,30,30,30,1
NR5A1,WT1pKTS,80.73964356198245,0.9117647058823529,1.0,0.9117647058823529,1.2470887652154503,0.5441590227574293,1.8975985248566927,30,30,30,2
RSPO1,NR5A1,79.72957858029535,0.9117647058823529,1.0,0.9117647058823529,1.606061967495435,0.6106754138643237,2.3938116375860705,30,30,30,1
DHH,FGF9,43.585927851036864,0.907843137254902,1.0,0.907843137254902,1.644661865917167,0.18760266444212037,3.0088351747638846,30,30,30,1
PGD2,FGF9,42.96711967453843,0.9019607843137255,1.0,0.9019607843137255,1.6059889359420743,0.3622504962682689,2.7912272035245924,30,30,30,1
FGF9,AMH,42.18854764518072,0.9,1.0,0.9,1.5087168203351629,0.5395926605574393,2.6262295840312477,30,30,30,1
NR5A1,UGR,50.75837548161717,0.8941176470588236,1.0,0.8941176470588236,1.0928075668677582,0.25502206236422403,2.2117342944436853,30,30,30,1
WNT4,CTNNB1,56.424937909431016,0.8921568627450981,1.0,0.8921568627450981,1.3265680543021043,0.2604022670458079,2.4652697869263815,30,30,30,1
WNT4,RSPO1,63.333073494906,0.8921568627450981,1.0,0.8921568627450981,1.3568003825360406,0.2718768121984493,2.38146800373461,30,30,30,1
FOXL2,SRY,60.35596518934279,0.888235294117647,1.0,0.888235294117647,1.4354197501739427,0.3103083244313592,2.2700827059234543,30,30,30,1
RSPO1,WNT4,61.64048892842701,0.888235294117647,1.0,0.888235294117647,1.4339738180000892,0.2821513888963239,2.9571336579200116,30,30,30,1
AMH,DHH,41.091725065979496,0.8784313725490196,1.0,0.8784313725490196,1.480242407718293,-0.026113152828920135,2.4835089778830595,30,30,30,1
CTNNB1,WT1pKTS,71.47287241484716,0.8784313725490196,1.0,0.8784313725490196,0.9742238080349932,0.228953126216045,1.4183513192148252,30,30,30,2
RSPO1,FOXL2,65.40000199164135,0.8725490196078431,1.0,0.8725490196078431,1.2232049936865215,0.41855085206236053,2.206997660765327,30,30,30,1
FGF9,PGD2,41.562490429401315,0.8662091503267975,0.9666666666666667,0.8960784313725491,1.5369532449727161,0.18088509484692575,2.707801886433511,29,30,30,1
DMRT1,SRY,58.67857364730326,0.8647058823529412,1.0,0.8647058823529412,1.348545690276027,0.3194024784859815,2.522718523723999,30,30,30,1
NR0B1,UGR,46.43263918669877,0.8647058823529412,1.0,0.8647058823529412,0.8785155972442397,0.03671743849825389,1.6819336685566353,30,30,30,2
AMH,FGF9,38.12325469651341,0.8607843137254902,1.0,0.8607843137254902,1.249461678735518,-0.00023939076002015003,2.5018637462217637,30,30,30,1
NR5A1,FOXL2,63.979167800163864,0.8607843137254902,1.0,0.8607843137254902,1.1724616176619906,0.41715344080206845,2.01693123215211,30,30,30,1
CTNNB1,NR5A1,68.98836813091351,0.8529411764705882,1.0,0.8529411764705882,1.235852916702522,0.4613273243604003,1.993179959757523,30,30,30,1
CTNNB1,SRY,55.34834521312383,0.8529411764705882,1.0,0.8529411764705882,1.1748079289965347,0.3299823405604643,2.05916497390652,30,30,30,1
SOX9,WNT4,57.73089179924802,0.8470588235294118,1.0,0.8470588235294118,1.2047940567285953,-0.10038759518854763,2.351899318573899,30,30,30,1
RSPO1,WT1pKTS,64.38361456465627,0.8450980392156863,1.0,0.8450980392156863,0.8049028425443272,0.07965310045732933,1.4447496525960817,30,30,30,2
SOX9,DKK1,49.413909472501004,0.8431372549019608,1.0,0.8431372549019608,0.6836198879334179,-0.273223651490499,1.7291833874267084,30,30,30,2
FOXL2,CTNNB1,49.464023248290935,0.8372549019607843,1.0,0.8372549019607843,0.9434045893815277,-0.04281276825360283,1.8663275676775415,30,30,30,2
SOX9,DMRT1,51.300208272932316,0.8283006535947712,0.9666666666666667,0.8568627450980392,0.73195517942697,-0.09542913985123183,1.895543624630307,29,30,30,2
