Gene1	Gene2	EdgeWeight
CTNNB1	RSPO1	0.8511857329287703
RSPO1	CTNNB1	0.8511857329287703
DKK1	DMRT1	0.8445323958492997
DMRT1	DKK1	0.8445323958492997
FOXL2	WT1pKTS	-0.816134078965306
WT1pKTS	FOXL2	-0.816134078965306
WT1mKTS	GATA4	0.8053583015029055
GATA4	WT1mKTS	0.8053583015029055
NR5A1	FOXL2	-0.7642314225201735
FOXL2	NR5A1	-0.7642314225201735
DHH	FGF9	0.7593538535422278
FGF9	DHH	0.7593538535422278
FGF9	PGD2	0.7591858672742311
PGD2	FGF9	0.7591858672742311
WNT4	RSPO1	0.7588676005728842
RSPO1	WNT4	0.7588676005728842
AMH	PGD2	0.755825078377903
PGD2	AMH	0.755825078377903
WNT4	NR0B1	0.7542060161662417
NR0B1	WNT4	0.7542060161662417
NR5A1	WT1pKTS	0.751360296089144
WT1pKTS	NR5A1	0.751360296089144
PGD2	DHH	0.7509390676064501
DHH	PGD2	0.7509390676064501
FGF9	AMH	0.7460860230414187
AMH	FGF9	0.7460860230414187
AMH	DHH	0.7450450859234076
DHH	AMH	0.7450450859234076
FOXL2	CTNNB1	0.7426200367704316
CTNNB1	FOXL2	0.7426200367704316
RSPO1	NR5A1	-0.738772015360482
NR5A1	RSPO1	-0.738772015360482
CTNNB1	WNT4	0.7369647029355504
WNT4	CTNNB1	0.7369647029355504
SRY	DKK1	0.7196292898841792
DKK1	SRY	0.7196292898841792
DKK1	SOX9	0.7159047832350525
SOX9	DKK1	0.7159047832350525
CBX2	UGR	0.7108509711190794
UGR	CBX2	0.7108509711190794
DMRT1	SRY	0.7091807254547581
SRY	DMRT1	0.7091807254547581
CTNNB1	NR5A1	-0.7086673713715986
NR5A1	CTNNB1	-0.7086673713715986
SOX9	DMRT1	0.7072423077134479
DMRT1	SOX9	0.7072423077134479
SRY	FOXL2	-0.7017100491152649
FOXL2	SRY	-0.7017100491152649
WNT4	SOX9	-0.696940476932465
SOX9	WNT4	-0.696940476932465
RSPO1	FOXL2	0.6791028216170946
FOXL2	RSPO1	0.6791028216170946
PGD2	WNT4	-0.6752110941106775
WNT4	PGD2	-0.6752110941106775
FGF9	SOX9	0.6739192030169437
SOX9	FGF9	0.6739192030169437
SOX9	PGD2	0.6696766355271224
PGD2	SOX9	0.6696766355271224
WNT4	FGF9	-0.6681408122506961
FGF9	WNT4	-0.6681408122506961
DHH	SOX9	0.6639473924353955
SOX9	DHH	0.6639473924353955
CTNNB1	WT1pKTS	-0.6609640598054008
WT1pKTS	CTNNB1	-0.6609640598054008
DHH	WNT4	-0.6505943705609979
WNT4	DHH	-0.6505943705609979
RSPO1	NR0B1	0.6458238538972101
NR0B1	RSPO1	0.6458238538972101
WNT4	AMH	-0.6414727297417847
AMH	WNT4	-0.6414727297417847
AMH	SOX9	0.6313742210157708
SOX9	AMH	0.6313742210157708
AMH	NR0B1	-0.6183724902969244
NR0B1	AMH	-0.6183724902969244
PGD2	NR0B1	-0.6052880995001558
NR0B1	PGD2	-0.6052880995001558
CTNNB1	NR0B1	0.6034708894451235
NR0B1	CTNNB1	0.6034708894451235
WT1pKTS	RSPO1	-0.60001274589125
RSPO1	WT1pKTS	-0.60001274589125
FGF9	NR0B1	-0.5971376758083957
NR0B1	FGF9	-0.5971376758083957
NR0B1	DHH	-0.5880214330588279
DHH	NR0B1	-0.5880214330588279
WNT4	DMRT1	-0.585861658739065
DMRT1	WNT4	-0.585861658739065
SRY	CTNNB1	-0.5807405911817468
CTNNB1	SRY	-0.5807405911817468
SRY	SOX9	0.5792567441962014
SOX9	SRY	0.5792567441962014
WNT4	DKK1	-0.5780696015125991
DKK1	WNT4	-0.5780696015125991
WT1pKTS	SRY	0.5730597319484464
SRY	WT1pKTS	0.5730597319484464
DKK1	FOXL2	-0.5717362719242806
FOXL2	DKK1	-0.5717362719242806
DMRT1	FOXL2	-0.5634179000389288
FOXL2	DMRT1	-0.5634179000389288
SOX9	RSPO1	-0.5621613976776455
RSPO1	SOX9	-0.5621613976776455
FOXL2	WNT4	0.5493508274621112
WNT4	FOXL2	0.5493508274621112
WNT4	NR5A1	-0.5465664263274765
NR5A1	WNT4	-0.5465664263274765
SOX9	CTNNB1	-0.5435847852612793
CTNNB1	SOX9	-0.5435847852612793
FGF9	RSPO1	-0.5429426203974523
RSPO1	FGF9	-0.5429426203974523
CTNNB1	DKK1	-0.5398497721846728
DKK1	CTNNB1	-0.5398497721846728
CTNNB1	DMRT1	-0.5387520691156692
DMRT1	CTNNB1	-0.5387520691156692
RSPO1	PGD2	-0.5359198842953581
PGD2	RSPO1	-0.5359198842953581
RSPO1	DHH	-0.5353111827006162
DHH	RSPO1	-0.5353111827006162
DKK1	PGD2	0.5297752793495548
PGD2	DKK1	0.5297752793495548
RSPO1	AMH	-0.5271830596029197
AMH	RSPO1	-0.5271830596029197
DMRT1	PGD2	0.5249957484762106
