	DMRT1	FGF9	RSPO1	DHH	CTNNB1	PGD2	WT1mKTS	SRY	DKK1	WNT4	CBX2	AMH	NR0B1	NR5A1	WT1pKTS	FOXL2	UGR	SOX9	GATA4
DMRT1	1.0	0.5301466196656833	-0.44523509198855243	0.5103529499112549	-0.5514744148623977	0.5498123078512696	-0.41442630593181073	0.7059133393341827	0.845728320442783	-0.6075068074978276	-0.28267186685774076	0.5069499207788492	-0.3717492722762994	0.293917524330271	0.40359827371749346	-0.5569975547286125	-0.27124108136197184	0.701094033429818	-0.4469496977645504
FGF9	0.5301466196656833	1.0	-0.5382778614223781	0.7559366106488462	-0.48482861346127115	0.7609597848473356	-0.46749519466902056	0.4223271829434062	0.5276626196884089	-0.6744906347793119	-0.25513011060632623	0.74131473691817	-0.6110831073388	0.3300385565646981	0.203598662827961	-0.36719125163920197	-0.14627652375378752	0.6802800051423616	-0.47487449104226265
RSPO1	-0.44523509198855243	-0.5382778614223781	1.0	-0.5295818397042015	0.8530689913439637	-0.5279801106673124	0.24122748831835855	-0.5265908500644161	-0.44811904803698654	0.7619569249054152	-0.3189675410222231	-0.5070717787142547	0.651423025943934	-0.7398744647014187	-0.5995190613255947	0.6929847708986426	-0.332761297615881	-0.5695231959269434	0.23903282913855692
DHH	0.5103529499112549	0.7559366106488462	-0.5295818397042015	1.0	-0.48668176241240463	0.7626346454448535	-0.45449663110617144	0.39671814964225494	0.5242410980574066	-0.6647664838634738	-0.23996010190291162	0.7464700612770747	-0.6043637304344365	0.3294753780984061	0.20612873518630734	-0.35211279271998247	-0.13868671912224692	0.6670688184019037	-0.4786621873244856
CTNNB1	-0.5514744148623977	-0.48482861346127115	0.8530689913439637	-0.48668176241240463	1.0	-0.48988097937360137	0.2345708889356441	-0.5950183882786273	-0.539523325182418	0.7400490656622298	-0.30710064727774106	-0.4734383299283	0.6146154014934778	-0.717337575485836	-0.6582044775566344	0.7525160446342394	-0.3151627092121037	-0.5567601278760291	0.23340242036597528
PGD2	0.5498123078512696	0.7609597848473356	-0.5279801106673124	0.7626346454448535	-0.48988097937360137	1.0	-0.47477446418715263	0.4379669073276699	0.5520097821399098	-0.6819853981691872	-0.2705247279859015	0.7526422213012085	-0.6081951476255113	0.3335848825046482	0.23361408021493413	-0.38213359586679946	-0.17173881942664973	0.6874573466208274	-0.4848785679957837
WT1mKTS	-0.41442630593181073	-0.46749519466902056	0.24122748831835855	-0.45449663110617144	0.2345708889356441	-0.47477446418715263	1.0	-0.37254161757150916	-0.42955528804640414	0.3460689271049285	0.18893552133172495	-0.4592180567077105	0.292213556915206	-0.13755976564634265	-0.08287928874108273	0.22576017723053915	0.026514981663630727	-0.4575296438913862	0.798382691651522
SRY	0.7059133393341827	0.4223271829434062	-0.5265908500644161	0.39671814964225494	-0.5950183882786273	0.4379669073276699	-0.37254161757150916	1.0	0.7185396670652009	-0.4577711208308671	-0.053041265268407634	0.40057528377586027	-0.2415770444722274	0.49016451619536155	0.5622705150398323	-0.701756793688432	-0.17819902322088246	0.5880969431978175	-0.36434351070287496
DKK1	0.845728320442783	0.5276626196884089	-0.44811904803698654	0.5242410980574066	-0.539523325182418	0.5520097821399098	-0.42955528804640414	0.7185396670652009	1.0	-0.5983295661407632	-0.29881922538599526	0.5140709106356067	-0.3681541931726517	0.30024695339807805	0.39346972892924714	-0.5617575673506102	-0.2728681134999757	0.7144592194943501	-0.44202851409753313
WNT4	-0.6075068074978276	-0.6744906347793119	0.7619569249054152	-0.6647664838634738	0.7400490656622298	-0.6819853981691872	0.3460689271049285	-0.4577711208308671	-0.5983295661407632	1.0	-0.02381599185986849	-0.6455570325950925	0.761766684360426	-0.5490584958583368	-0.44617973602918387	0.5571941630590175	-0.14204749061549232	-0.7062685669850587	0.36083417608352175
CBX2	-0.28267186685774076	-0.25513011060632623	-0.3189675410222231	-0.23996010190291162	-0.30710064727774106	-0.2705247279859015	0.18893552133172495	-0.053041265268407634	-0.29881922538599526	-0.02381599185986849	1.0	-0.2350662322969329	-0.17558389018485449	0.45784426643351867	0.3696429338730596	-0.28751782358048156	0.724370640191392	-0.28338028353581973	0.21833607728453797
AMH	0.5069499207788492	0.74131473691817	-0.5070717787142547	0.7464700612770747	-0.4734383299283	0.7526422213012085	-0.4592180567077105	0.40057528377586027	0.5140709106356067	-0.6455570325950925	-0.2350662322969329	1.0	-0.628668947233274	0.31106761418588913	0.20524754210317486	-0.365525528492973	-0.1344428428826004	0.6303318107845145	-0.47404632402831226
NR0B1	-0.3717492722762994	-0.6110831073388	0.651423025943934	-0.6043637304344365	0.6146154014934778	-0.6081951476255113	0.292213556915206	-0.2415770444722274	-0.3681541931726517	0.761766684360426	-0.17558389018485449	-0.628668947233274	1.0	-0.5198898242606176	-0.38659488755777044	0.4685650731224462	-0.3173543995830374	-0.49522841195840717	0.29794277889259296
NR5A1	0.293917524330271	0.3300385565646981	-0.7398744647014187	0.3294753780984061	-0.717337575485836	0.3335848825046482	-0.13755976564634265	0.49016451619536155	0.30024695339807805	-0.5490584958583368	0.45784426643351867	0.31106761418588913	-0.5198898242606176	1.0	0.7439958966933238	-0.7622549849163865	0.3792943580009598	0.406863033069082	-0.11408151740529414
WT1pKTS	0.40359827371749346	0.203598662827961	-0.5995190613255947	0.20612873518630734	-0.6582044775566344	0.23361408021493413	-0.08287928874108273	0.5622705150398323	0.39346972892924714	-0.44617973602918387	0.3696429338730596	0.20524754210317486	-0.38659488755777044	0.7439958966933238	1.0	-0.8069113185277613	0.2907448584751517	0.3099954662517232	-0.0683972178996713
FOXL2	-0.5569975547286125	-0.36719125163920197	0.6929847708986426	-0.35211279271998247	0.7525160446342394	-0.38213359586679946	0.22576017723053915	-0.701756793688432	-0.5617575673506102	0.5571941630590175	-0.28751782358048156	-0.365525528492973	0.4685650731224462	-0.7622549849163865	-0.8069113185277613	1.0	-0.20522624613786344	-0.4904050626895501	0.2096707824212841
