Gene1,Gene2,EdgeWeight,Confidence,Stability,MeanPercentile,MeanZ,ZCILower,ZCIUpper,SelectedRuns,ObservedRuns,RunCount,BestRank
CBX2,UGR,0.7201982610245085,1.0,1.0,1.0,3.3127947271014295,3.193534131692476,3.483573130257822,30,30,30,1
CTNNB1,RSPO1,0.8533653592495758,1.0,1.0,1.0,1.8896921954826627,1.8496100282217027,1.9227567492894062,30,30,30,1
DKK1,DMRT1,0.8449096584112515,1.0,1.0,1.0,2.31597241527942,2.2637126176595475,2.350199212406765,30,30,30,1
DKK1,SRY,0.7308556742423515,1.0,1.0,1.0,1.5502687873450547,1.4914394202308443,1.6194734020570936,30,30,30,1
DMRT1,DKK1,0.8449096584112515,1.0,1.0,1.0,2.2726686136674017,2.2273131135338478,2.3217982979798784,30,30,30,1
FOXL2,NR5A1,-0.7661304380466775,1.0,1.0,1.0,1.680487034137397,1.644794265752534,1.7147943262348728,30,30,30,1
FOXL2,WT1pKTS,-0.8128084145720983,1.0,1.0,1.0,2.0253400268977626,1.9975420738676002,2.0505727762134294,30,30,30,1
GATA4,WT1mKTS,0.7930458190623217,1.0,1.0,1.0,2.547265615353589,2.4143682850652315,2.6387464551767805,30,30,30,1
RSPO1,CTNNB1,0.8533653592495758,1.0,1.0,1.0,1.8439879092037994,1.8114343757167966,1.8763635517701247,30,30,30,1
UGR,CBX2,0.7201982610245085,1.0,1.0,1.0,3.079442382101914,3.0101367595026796,3.13965294116701,30,30,30,1
WNT4,NR0B1,0.7617680988519446,1.0,1.0,1.0,1.788386765464017,1.720635236251719,1.8510849973482433,30,30,30,1
WT1mKTS,GATA4,0.7930458190623217,1.0,1.0,1.0,2.4330216667449656,2.2730835461082943,2.5409701437009673,30,30,30,1
WT1pKTS,FOXL2,-0.8128084145720983,1.0,1.0,1.0,1.6845726163614283,1.6390567148363322,1.721911334687834,30,30,30,1
PGD2,AMH,0.7611011066068722,0.996078431372549,1.0,0.996078431372549,1.4890743203558527,1.4505517855929557,1.53375866746675,30,30,30,1
DKK1,SOX9,0.7172113547517208,0.9941176470588236,1.0,0.9941176470588236,1.1834613953875186,1.107272732463054,1.241733374125495,30,30,30,1
RSPO1,WNT4,0.7652680229310375,0.9803921568627451,1.0,0.9803921568627451,1.0849623368946006,1.039985210763121,1.1266478096837278,30,30,30,1
PGD2,FGF9,0.7663663201828214,0.9784313725490196,1.0,0.9784313725490196,1.4413364832865836,1.4118022973321587,1.487407832685623,30,30,30,1
FGF9,DHH,0.7650257897431293,0.9745098039215686,1.0,0.9745098039215686,1.473841928215356,1.4356557923064424,1.5270406474007248,30,30,30,1
FGF9,PGD2,0.7663663201828214,0.9745098039215686,1.0,0.9745098039215686,1.4188828824682482,1.3740183430354815,1.4617527437571423,30,30,30,1
PGD2,DHH,0.7641145120529178,0.9666666666666667,1.0,0.9666666666666667,1.468845495443161,1.4264757196810578,1.500441358315783,30,30,30,1
DHH,FGF9,0.7650257897431293,0.9627450980392157,1.0,0.9627450980392157,1.434029630289724,1.3987646688584894,1.4874841877306226,30,30,30,1
NR0B1,WNT4,0.7617680988519446,0.9588235294117647,1.0,0.9588235294117647,1.0680035251299356,1.023395042009689,1.1354029656759677,30,30,30,1
DHH,PGD2,0.7641145120529178,0.9529411764705882,1.0,0.9529411764705882,1.406224892751548,1.3669756694787845,1.4381085121926611,30,30,30,1
NR5A1,CBX2,0.44733922529379877,0.9411764705882353,1.0,0.9411764705882353,1.1870107937185828,1.0774109251185557,1.2718992572957768,30,30,30,2
NR5A1,FOXL2,-0.7661304380466775,0.9411764705882353,1.0,0.9411764705882353,1.4443040589671376,1.4098390306364768,1.5041504209889074,30,30,30,2
NR5A1,UGR,0.3692094629874408,0.9411764705882353,1.0,0.9411764705882353,0.887977123840247,0.8219592556887312,0.9387715302870663,30,30,30,2
NR5A1,WT1pKTS,0.7490896888056294,0.9411764705882353,1.0,0.9411764705882353,1.7178453575498032,1.6958352914871475,1.7463481893789983,30,30,30,2
PGD2,WT1mKTS,-0.4860295383029109,0.9411764705882353,1.0,0.9411764705882353,0.776845974803657,0.734577745288394,0.8216348178748824,30,30,30,2
RSPO1,NR0B1,0.6560174058408521,0.9411764705882353,1.0,0.9411764705882353,1.1474746219790255,1.0911611284411762,1.2088965705376293,30,30,30,2
WNT4,RSPO1,0.7652680229310375,0.9411764705882353,1.0,0.9411764705882353,1.3708401677171056,1.3459325515319582,1.3925338909791256,30,30,30,2
DMRT1,SRY,0.7176749080430977,0.9392156862745098,1.0,0.9392156862745098,1.4745759359864186,1.4100159646068078,1.5341597815206232,30,30,30,2
SRY,DKK1,0.7308556742423515,0.9392156862745098,1.0,0.9392156862745098,1.506304337957321,1.428578512181272,1.5705805276958895,30,30,30,2
DHH,AMH,0.7511020261409397,0.9372549019607843,1.0,0.9372549019607843,1.4335031895069987,1.3991694986773742,1.467368888585363,30,30,30,1
WT1pKTS,NR5A1,0.7490896888056294,0.9372549019607843,1.0,0.9372549019607843,1.5914008507782467,1.5531783840692612,1.624555174202961,30,30,30,2
SRY,DMRT1,0.7176749080430977,0.9352941176470588,1.0,0.9352941176470588,1.4573572999152382,1.3637578440033926,1.530978238289615,30,30,30,2
FOXL2,CTNNB1,0.7491607623747317,0.9313725490196079,1.0,0.9313725490196079,1.2409854609849158,1.196888446143899,1.282528303909237,30,30,30,2
WNT4,SOX9,-0.7080306053025216,0.9274509803921569,1.0,0.9274509803921569,1.1216845969923395,1.07677302634694,1.1579141618400026,30,30,30,1
PGD2,GATA4,-0.4959189260263542,0.9215686274509804,1.0,0.9215686274509804,0.7728475513638776,0.7207157451427493,0.8197931294011478,30,30,30,2
DMRT1,SOX9,0.7058108693755879,0.9019607843137255,1.0,0.9019607843137255,1.107055749129915,1.0461237878520497,1.1631008056044414,30,30,30,2
AMH,PGD2,0.7611011066068722,0.8960784313725491,1.0,0.8960784313725491,1.3893796731354422,1.3507816024398387,1.4248616854320915,30,30,30,1
WNT4,CTNNB1,0.7443365152176554,0.8921568627450981,1.0,0.8921568627450981,1.2131377852900649,1.18547707296772,1.2397980984678667,30,30,30,2
FGF9,AMH,0.7465133908759808,0.8901960784313725,1.0,0.8901960784313725,1.4080833619637156,1.3669591285373517,1.442284352931831,30,30,30,2
SOX9,DMRT1,0.7058108693755879,0.888235294117647,1.0,0.888235294117647,1.377327383787182,1.3324113677512528,1.420926440107594,30,30,30,2
RSPO1,NR5A1,-0.7419781264333654,0.8862745098039215,1.0,0.8862745098039215,1.5542777038153075,1.5309945514673053,1.5777280808323684,30,30,30,2
CTNNB1,WNT4,0.7443365152176554,0.884313725490196,1.0,0.884313725490196,0.9834737890357274,0.9390953245117744,1.034718732142058,30,30,30,2
FOXL2,SRY,-0.7016116457899565,0.884313725490196,1.0,0.884313725490196,1.3820429574757602,1.333011035114372,1.423118128366526,30,30,30,2
SOX9,DKK1,0.7172113547517208,0.884313725490196,1.0,0.884313725490196,1.414663501985817,1.3604498906359646,1.4564832739874516,30,30,30,2
AMH,DHH,0.7511020261409397,0.8823529411764706,1.0,0.8823529411764706,1.3977639761211826,1.3658087430034882,1.4347925383031424,30,30,30,3
AMH,FGF9,0.7465133908759808,0.8823529411764706,1.0,0.8823529411764706,1.3329748701104895,1.2930714803391878,1.3886916781317753,30,30,30,3
CTNNB1,FOXL2,0.7491607623747317,0.8823529411764706,1.0,0.8823529411764706,1.3570029941302324,1.3336113654329176,1.3858455861893961,30,30,30,3
CTNNB1,WT1pKTS,-0.6590160005490638,0.8823529411764706,1.0,0.8823529411764706,1.2832837240855008,1.258689370882325,1.3030033487069261,30,30,30,3
NR5A1,RSPO1,-0.7419781264333654,0.8823529411764706,1.0,0.8823529411764706,1.2336430120374076,1.194535560206797,1.2683663136391994,30,30,30,3
WT1pKTS,CBX2,0.366230262858619,0.8823529411764706,1.0,0.8823529411764706,0.6245498181613428,0.5570653911400645,0.6843049711851465,30,30,30,3
AMH,NR0B1,-0.62997134615877,0.8803921568627451,1.0,0.8803921568627451,0.9892976616233468,0.9284029661501096,1.0435305091659266,30,30,30,3
FGF9,WT1mKTS,-0.4772313808716918,0.8725490196078431,1.0,0.8725490196078431,0.7259602786576395,0.6762806947500427,0.7780476036119466,30,30,30,3
RSPO1,UGR,-0.31827526704968906,0.8725490196078431,1.0,0.8725490196078431,0.5355194988851176,0.41842637364797164,0.630198542649557,30,30,30,3
SOX9,GATA4,-0.49222094114270365,0.8705882352941177,1.0,0.8705882352941177,0.7522913827986585,0.6902367401091304,0.7972951535308688,30,30,30,2
CTNNB1,NR5A1,-0.7158348349642587,0.8235294117647058,1.0,0.8235294117647058,1.41759697389933,1.3947447115227494,1.4504523812173251,30,30,30,4
FOXL2,RSPO1,0.6860876405005432,0.8235294117647058,1.0,0.8235294117647058,0.9044416829893809,0.857575095790201,0.961916518303437,30,30,30,4
NR5A1,CTNNB1,-0.7158348349642587,0.8235294117647058,1.0,0.8235294117647058,1.0481102283598134,1.003980200760696,1.0906571566001337,30,30,30,4
RSPO1,WT1pKTS,-0.5987453879829173,0.8235294117647058,1.0,0.8235294117647058,0.992460819870511,0.9727561936922173,1.0152921021993926,30,30,30,4
SRY,FOXL2,-0.7016116457899565,0.8235294117647058,1.0,0.8235294117647058,1.1122309926472362,1.0721801963730928,1.1558653199754212,30,30,30,4
WNT4,AMH,-0.6542921333567226,0.8235294117647058,1.0,0.8235294117647058,0.896517134642598,0.8571410216516389,0.9565274084840898,30,30,30,4
