Gene1	Gene2	EdgeWeight
CBX2	UGR	1.991138010168136
UGR	CBX2	1.991138010168136
DMRT1	DKK1	1.980018895769326
DKK1	DMRT1	1.980018895769326
WT1pKTS	FOXL2	1.9488731714452048
FOXL2	WT1pKTS	1.9488731714452048
RSPO1	CTNNB1	1.9118518201234391
CTNNB1	RSPO1	1.9118518201234391
SRY	DKK1	1.9027960004599516
DKK1	SRY	1.9027960004599516
WNT4	NR0B1	1.9027508710461345
NR0B1	WNT4	1.9027508710461345
DMRT1	SRY	1.890926029572097
SRY	DMRT1	1.890926029572097
RSPO1	NR5A1	1.8691251772184665
NR5A1	RSPO1	1.8691251772184665
PGD2	AMH	1.8488018064114669
AMH	PGD2	1.8488018064114669
FGF9	AMH	1.8412723128453925
AMH	FGF9	1.8412723128453925
CTNNB1	FOXL2	1.8378456184027745
FOXL2	CTNNB1	1.8378456184027745
FGF9	PGD2	1.836471440017709
PGD2	FGF9	1.836471440017709
RSPO1	WNT4	1.8350956745325888
WNT4	RSPO1	1.8350956745325888
CTNNB1	WNT4	1.833691138014477
WNT4	CTNNB1	1.833691138014477
DHH	PGD2	1.8335216443449052
PGD2	DHH	1.8335216443449052
DHH	AMH	1.8334698420641784
AMH	DHH	1.8334698420641784
FGF9	DHH	1.8251639628308736
DHH	FGF9	1.8251639628308736
NR5A1	FOXL2	1.8200245631443717
FOXL2	NR5A1	1.8200245631443717
NR5A1	WT1pKTS	1.8147674641051756
WT1pKTS	NR5A1	1.8147674641051756
CTNNB1	WT1pKTS	1.8125857219924637
WT1pKTS	CTNNB1	1.8125857219924637
RSPO1	FOXL2	1.8028006989191372
FOXL2	RSPO1	1.8028006989191372
CTNNB1	NR5A1	1.7701762332213675
NR5A1	CTNNB1	1.7701762332213675
RSPO1	WT1pKTS	1.7691675447356272
WT1pKTS	RSPO1	1.7691675447356272
DMRT1	SOX9	1.759216792387773
SOX9	DMRT1	1.759216792387773
DKK1	SOX9	1.7502532424378694
SOX9	DKK1	1.7502532424378694
RSPO1	NR0B1	1.7314986256297344
NR0B1	RSPO1	1.7314986256297344
NR0B1	NR5A1	1.6945440379148229
NR5A1	NR0B1	1.6945440379148229
SRY	FOXL2	1.6840647093304613
FOXL2	SRY	1.6840647093304613
PGD2	SOX9	1.6772727048027387
SOX9	PGD2	1.6772727048027387
FGF9	GATA4	1.6718012801430322
GATA4	FGF9	1.6718012801430322
DHH	GATA4	1.6656318617628298
GATA4	DHH	1.6656318617628298
PGD2	GATA4	1.6630769935037608
GATA4	PGD2	1.6630769935037608
AMH	GATA4	1.6593308065613817
GATA4	AMH	1.6593308065613817
FGF9	SOX9	1.6563664010570804
SOX9	FGF9	1.6563664010570804
CTNNB1	NR0B1	1.6487023366170883
NR0B1	CTNNB1	1.6487023366170883
AMH	SOX9	1.6433257770063143
SOX9	AMH	1.6433257770063143
DHH	SOX9	1.6418917020184822
SOX9	DHH	1.6418917020184822
CBX2	NR5A1	1.6372570181277624
NR5A1	CBX2	1.6372570181277624
PGD2	WT1mKTS	1.61729529494394
WT1mKTS	PGD2	1.61729529494394
DHH	WT1mKTS	1.6143188098167311
WT1mKTS	DHH	1.6143188098167311
WT1mKTS	AMH	1.6024327815586763
AMH	WT1mKTS	1.6024327815586763
FGF9	WT1mKTS	1.5891048194389588
WT1mKTS	FGF9	1.5891048194389588
SRY	WT1pKTS	1.5745429421797894
WT1pKTS	SRY	1.5745429421797894
WNT4	FOXL2	1.538047244937511
FOXL2	WNT4	1.538047244937511
WT1mKTS	DKK1	1.498762868786413
DKK1	WT1mKTS	1.498762868786413
NR5A1	UGR	1.4716398879116808
UGR	NR5A1	1.4716398879116808
SOX9	GATA4	1.4588740700552665
GATA4	SOX9	1.4588740700552665
DMRT1	GATA4	1.4353790424970327
GATA4	DMRT1	1.4353790424970327
WT1mKTS	GATA4	1.4300198062837426
GATA4	WT1mKTS	1.4300198062837426
RSPO1	CBX2	1.4279216748535102
CBX2	RSPO1	1.4279216748535102
CTNNB1	SRY	1.4239497744059797
SRY	CTNNB1	1.4239497744059797
WT1mKTS	SOX9	1.417043665956022
SOX9	WT1mKTS	1.417043665956022
DMRT1	WT1mKTS	1.4112200524557328
WT1mKTS	DMRT1	1.4112200524557328
WNT4	UGR	1.4073528511351003
UGR	WNT4	1.4073528511351003
CBX2	WT1pKTS	1.3885171023576186
WT1pKTS	CBX2	1.3885171023576186
DKK1	GATA4	1.3664949604208645
GATA4	DKK1	1.3664949604208645
NR0B1	UGR	1.3523209774562868
UGR	NR0B1	1.3523209774562868
AMH	NR0B1	1.3403066184730337
NR0B1	AMH	1.3403066184730337
CTNNB1	CBX2	1.3362548447141636
CBX2	CTNNB1	1.3362548447141636
DMRT1	DHH	1.33582653685582
DHH	DMRT1	1.33582653685582
WT1mKTS	SRY	1.3276895579828878
SRY	WT1mKTS	1.3276895579828878
DMRT1	AMH	1.325616465677974
AMH	DMRT1	1.325616465677974
NR0B1	FOXL2	1.3159733508076867
FOXL2	NR0B1	1.3159733508076867
DMRT1	PGD2	1.299634969520854
PGD2	DMRT1	1.299634969520854
DMRT1	FGF9	1.2992559322427115
FGF9	DMRT1	1.2992559322427115
WNT4	WT1pKTS	1.2896871591721175
WT1pKTS	WNT4	1.2896871591721175
SRY	SOX9	1.2860251378394678
SOX9	SRY	1.2860251378394678
DHH	DKK1	1.2854027092429892
DKK1	DHH	1.2854027092429892
PGD2	DKK1	1.2822382345092591
DKK1	PGD2	1.2822382345092591
FGF9	NR0B1	1.2624682774458065
NR0B1	FGF9	1.2624682774458065
DKK1	AMH	1.2408072234241918
AMH	DKK1	1.2408072234241918
PGD2	NR0B1	1.2316214181216143
NR0B1	PGD2	1.2316214181216143
FGF9	DKK1	1.2229171166412691
DKK1	FGF9	1.2229171166412691
WNT4	NR5A1	1.2182345970337047
NR5A1	WNT4	1.2182345970337047
WNT4	SOX9	1.168366390546895
SOX9	WNT4	1.168366390546895
DHH	NR0B1	1.1622145896121872
NR0B1	DHH	1.1622145896121872
SRY	GATA4	1.1531223501590069
GATA4	SRY	1.1531223501590069
WT1pKTS	UGR	1.1368219195416458
UGR	WT1pKTS	1.1368219195416458
UGR	GATA4	1.115156679120675
GATA4	UGR	1.115156679120675
RSPO1	SRY	1.0851294728873817
SRY	RSPO1	1.0851294728873817
NR0B1	WT1pKTS	1.0784766503929948
WT1pKTS	NR0B1	1.0784766503929948
WNT4	CBX2	1.037225614834257
CBX2	WNT4	1.037225614834257
DKK1	FOXL2	1.0189456352778472
FOXL2	DKK1	1.0189456352778472
RSPO1	UGR	0.9934154055548564
UGR	RSPO1	0.9934154055548564
CBX2	FOXL2	0.991492467499554
FOXL2	CBX2	0.991492467499554
CTNNB1	DKK1	0.982113870656664
DKK1	CTNNB1	0.982113870656664
DKK1	WT1pKTS	0.9662429852788822
