Gene1,Gene2,EdgeWeight,Confidence,Stability,MeanPercentile,MeanZ,ZCILower,ZCIUpper,SelectedRuns,ObservedRuns,RunCount,BestRank
CBX2,UGR,1.9930497918995047,1.0,1.0,1.0,2.2875414402439174,2.0656137595647017,2.463302569446713,30,30,30,1
CTNNB1,RSPO1,1.9173040504151884,1.0,1.0,1.0,1.4070914429568298,1.3795799560476967,1.4329617528337992,30,30,30,1
DKK1,DMRT1,1.974799254626003,1.0,1.0,1.0,1.6786250376327483,1.6011351085741818,1.8077039711336236,30,30,30,1
DKK1,SRY,1.8931509366431514,1.0,1.0,1.0,1.6403262450467293,1.5741159208286684,1.6978375515910442,30,30,30,1
DMRT1,DKK1,1.974799254626003,1.0,1.0,1.0,1.6960258279606384,1.6132653665686194,1.8198419899007887,30,30,30,1
FOXL2,WT1pKTS,1.9510138377497523,1.0,1.0,1.0,1.6756733407706506,1.5983715817881827,1.7912225465253209,30,30,30,1
NR0B1,WNT4,1.8960001523170935,1.0,1.0,1.0,1.7080394803078964,1.6274403572952476,1.777122686582488,30,30,30,1
RSPO1,CTNNB1,1.9173040504151884,1.0,1.0,1.0,1.3707226488607676,1.3417593506842485,1.3974843410419266,30,30,30,1
UGR,CBX2,1.9930497918995047,1.0,1.0,1.0,2.1528838485824178,1.9870450758237546,2.3149840470022394,30,30,30,1
WNT4,NR0B1,1.8960001523170935,1.0,1.0,1.0,1.5506239250271805,1.480258211705697,1.6288410472734305,30,30,30,1
WT1pKTS,FOXL2,1.9510138377497523,1.0,1.0,1.0,1.5127540337526673,1.467024421416278,1.5466303354455513,30,30,30,1
RSPO1,NR5A1,1.8672846369899305,0.9901960784313726,1.0,0.9901960784313726,1.3909945291277814,1.3607076885947123,1.4317282343203053,30,30,30,1
DKK1,SOX9,1.7483490459640392,0.9823529411764705,1.0,0.9823529411764705,1.2073893556434263,1.149542909745093,1.2766677948751068,30,30,30,1
FGF9,GATA4,1.66203267013136,0.9764705882352941,1.0,0.9764705882352941,1.20828427747415,1.1127349693214517,1.280289239723453,30,30,30,1
FGF9,DHH,1.8509900589779233,0.9725490196078431,1.0,0.9725490196078431,1.3487951381526524,1.3134240554234837,1.3951186476927884,30,30,30,1
FGF9,PGD2,1.8518452417504514,0.9725490196078431,1.0,0.9725490196078431,1.3468479583361592,1.3134121249968982,1.4084077333538783,30,30,30,1
PGD2,WT1mKTS,1.599403998679594,0.9725490196078431,1.0,0.9725490196078431,1.1417103284740775,1.096424684941303,1.1724819338126329,30,30,30,1
FGF9,AMH,1.8497129409580042,0.9666666666666667,1.0,0.9666666666666667,1.3638483495668607,1.3226599486030692,1.42782769293474,30,30,30,1
DHH,WT1mKTS,1.5959901223383146,0.9627450980392157,1.0,0.9627450980392157,1.1357133814208002,1.0897297836026374,1.1850257867166336,30,30,30,1
DMRT1,SOX9,1.7414940456442614,0.9588235294117647,1.0,0.9588235294117647,1.1947981615194734,1.1267895351207722,1.2557727940775638,30,30,30,1
DHH,FGF9,1.8509900589779233,0.9450980392156862,1.0,0.9450980392156862,1.3638056591664864,1.320001805601314,1.403211187895331,30,30,30,1
PGD2,FGF9,1.8518452417504514,0.9450980392156862,1.0,0.9450980392156862,1.3652398409643272,1.3323475754428737,1.421794805910484,30,30,30,1
DMRT1,SRY,1.8782437216730403,0.9411764705882353,1.0,0.9411764705882353,1.6121873192077143,1.545168774984821,1.6742264620845762,30,30,30,2
SRY,DKK1,1.8931509366431514,0.9411764705882353,1.0,0.9411764705882353,1.544973583618382,1.4718607258216831,1.6611939010745869,30,30,30,2
SRY,DMRT1,1.8782437216730403,0.9411764705882353,1.0,0.9411764705882353,1.4997154765731142,1.417447727385838,1.615154939470499,30,30,30,2
DHH,AMH,1.845339355344116,0.9392156862745098,1.0,0.9392156862745098,1.3567574132697897,1.3180727061188477,1.4075243818263323,30,30,30,1
NR5A1,RSPO1,1.8672846369899305,0.9392156862745098,1.0,0.9392156862745098,1.3277672968241832,1.283659470764012,1.357770910782653,30,30,30,2
AMH,FGF9,1.8497129409580042,0.9333333333333333,1.0,0.9333333333333333,1.3617730238736752,1.3186651007036088,1.4276879898628414,30,30,30,1
FOXL2,CTNNB1,1.8411628358782566,0.9333333333333333,1.0,0.9333333333333333,1.2543578916913267,1.2214678738064657,1.2818928176742947,30,30,30,2
CTNNB1,FOXL2,1.8411628358782566,0.9313725490196079,1.0,0.9313725490196079,1.3470525997958418,1.3170051590077334,1.3765266973822365,30,30,30,2
PGD2,GATA4,1.648111168104417,0.9313725490196079,1.0,0.9313725490196079,1.1839731256514663,1.0758959443884215,1.251968482923968,30,30,30,1
DHH,PGD2,1.8454299202087587,0.9294117647058824,1.0,0.9294117647058824,1.3365150775212113,1.294557883626969,1.3813003607752756,30,30,30,1
RSPO1,NR0B1,1.7232798440922397,0.9294117647058824,1.0,0.9294117647058824,1.2485623085491355,1.1889827132827726,1.3329267261974453,30,30,30,2
AMH,DHH,1.845339355344116,0.9254901960784314,1.0,0.9254901960784314,1.3397466733629833,1.3026050632415058,1.3949336807924668,30,30,30,1
PGD2,DHH,1.8454299202087587,0.9254901960784314,1.0,0.9254901960784314,1.3399300103903256,1.3023186225918122,1.393585884991883,30,30,30,1
FOXL2,NR5A1,1.827627533010473,0.9235294117647059,1.0,0.9235294117647059,1.328449478898683,1.2328501415423274,1.377783342361161,30,30,30,2
NR5A1,CBX2,1.5895852393484582,0.9235294117647059,1.0,0.9235294117647059,1.4234893161421418,1.190710876486062,1.9047830856753196,30,30,30,2
AMH,PGD2,1.844645149547489,0.9215686274509804,1.0,0.9215686274509804,1.335292414153824,1.294407824851978,1.3910541618564558,30,30,30,1
NR5A1,WT1pKTS,1.7959523679142526,0.9215686274509804,1.0,0.9215686274509804,1.3711733297568383,1.2599720094145097,1.4613712367373723,30,30,30,2
RSPO1,WNT4,1.835408611525852,0.9215686274509804,1.0,0.9215686274509804,1.583833184998269,1.5344465887999879,1.6299438539047564,30,30,30,2
PGD2,AMH,1.844645149547489,0.9176470588235294,1.0,0.9176470588235294,1.3557002932269764,1.3145568648048314,1.4090813108725073,30,30,30,1
WNT4,UGR,1.4146545317219552,0.903921568627451,1.0,0.903921568627451,1.1952845440218738,0.905222653610863,1.4137264718461635,30,30,30,2
CTNNB1,WNT4,1.8309381614120588,0.9019607843137255,1.0,0.9019607843137255,1.5747590189731377,1.5205414697555755,1.624411199589432,30,30,30,2
CTNNB1,WT1pKTS,1.7893375314382147,0.9,1.0,0.9,1.3586791950655932,1.2451506140697588,1.428807932463224,30,30,30,2
DHH,GATA4,1.641261966301059,0.8901960784313725,1.0,0.8901960784313725,1.1718694416857283,1.0737393153788408,1.236482199096256,30,30,30,1
WNT4,CTNNB1,1.8309381614120588,0.8901960784313725,1.0,0.8901960784313725,1.238752527061764,1.1961079738988583,1.2877708479092573,30,30,30,2
NR5A1,FOXL2,1.827627533010473,0.8862745098039215,1.0,0.8862745098039215,1.3267031503112174,1.2547729305128827,1.365536009276151,30,30,30,2
NR5A1,NR0B1,1.6737471006557112,0.884313725490196,1.0,0.884313725490196,1.1609846967281026,0.7429497487304262,1.2838847379235074,30,30,30,2
WNT4,RSPO1,1.835408611525852,0.884313725490196,1.0,0.884313725490196,1.2771296574325604,1.241491115654997,1.3149262160037871,30,30,30,2
FOXL2,SRY,1.6528274251738273,0.8823529411764706,1.0,0.8823529411764706,1.1871224172310402,1.0949241545786208,1.2474095391482871,30,30,30,3
NR5A1,UGR,1.4175044911015844,0.8823529411764706,1.0,0.8823529411764706,1.1957555929473034,0.9450255788861346,1.821770726568785,30,30,30,2
SOX9,DKK1,1.7483490459640392,0.8823529411764706,1.0,0.8823529411764706,1.2768864965635507,1.2110948926819516,1.38436815156901,30,30,30,3
SOX9,DMRT1,1.7414940456442614,0.8823529411764706,1.0,0.8823529411764706,1.2459604748706503,1.171477136035437,1.3420754982058059,30,30,30,3
WT1pKTS,CBX2,1.4931750503981873,0.8725490196078431,1.0,0.8725490196078431,1.2520738983432256,1.0258686072505558,1.5379892036495992,30,30,30,2
AMH,WT1mKTS,1.5684406659944368,0.8647058823529412,1.0,0.8647058823529412,1.0887188371861287,1.023554403544893,1.14361431185872,30,30,30,2
PGD2,SOX9,1.6702422403659747,0.8588235294117648,1.0,0.8588235294117648,1.0644850090362885,0.9913435310832917,1.1235388586504895,30,30,30,3
WT1pKTS,NR5A1,1.7959523679142526,0.8588235294117648,1.0,0.8588235294117648,1.28104469787038,1.2074795456345453,1.3408217670430345,30,30,30,2
AMH,GATA4,1.6366472201676028,0.8490196078431372,1.0,0.8490196078431372,1.1638634542352746,1.043531783873858,1.243476978429082,30,30,30,2
FGF9,SOX9,1.6644717059812721,0.8431372549019608,1.0,0.8431372549019608,1.0538604712602997,0.9919689947244191,1.139307027818216,30,30,30,3
RSPO1,CBX2,1.4334609202766926,0.8431372549019608,1.0,0.8431372549019608,1.1475329760467412,0.9486123756502374,1.2760838694061176,30,30,30,2
FGF9,WT1mKTS,1.5629931028852477,0.8352941176470589,1.0,0.8352941176470589,1.0794480648256406,0.9884607314763998,1.1344710581139685,30,30,30,2
CTNNB1,NR0B1,1.6640111914964673,0.8313725490196079,1.0,0.8313725490196079,1.144941702455447,1.0825855219345115,1.2364718644295285,30,30,30,3
CTNNB1,NR5A1,1.7721712160773142,0.8294117647058824,1.0,0.8294117647058824,1.24049276143415,1.0216943672858592,1.3039019104653353,30,30,30,3
RSPO1,FOXL2,1.8105014529436319,0.8294117647058824,1.0,0.8294117647058824,1.3008079937994934,1.264141531184353,1.3304690546252744,30,30,30,3
FOXL2,RSPO1,1.8105014529436319,0.8235294117647058,1.0,0.8235294117647058,1.2375979782328876,1.2133863819138744,1.2640319690914035,30,30,30,4
RSPO1,WT1pKTS,1.7475899161785329,0.8235294117647058,1.0,0.8235294117647058,1.2775428735892227,1.1498584924928865,1.361502134111967,30,30,30,3
WT1pKTS,SRY,1.5657594214045305,0.8235294117647058,1.0,0.8235294117647058,1.0228219008862716,0.8982232647143331,1.172047060541965,30,30,30,4
