Gene1	Gene2	corVal	pValue
DMRT1	DMRT1	1	0
FGF9	FGF9	1	0
RSPO1	RSPO1	1	0
DHH	DHH	1	0
CTNNB1	CTNNB1	1	0
PGD2	PGD2	1	0
WT1mKTS	WT1mKTS	1	0
SRY	SRY	1	0
DKK1	DKK1	1	0
WNT4	WNT4	1	0
CBX2	CBX2	1	0
AMH	AMH	1	0
NR0B1	NR0B1	1	0
NR5A1	NR5A1	1	0
WT1pKTS	WT1pKTS	1	0
FOXL2	FOXL2	1	0
UGR	UGR	1	0
SOX9	SOX9	1	0
GATA4	GATA4	1	0
WT1pKTS	NR5A1	0.370576423627525	1.04301855332036e-52
NR5A1	WT1pKTS	0.370576423627525	1.04301855332042e-52
DKK1	DMRT1	0.285587753578735	4.31660674887482e-31
DMRT1	DKK1	0.285587753578735	4.31660674887513e-31
RSPO1	CTNNB1	0.242520039258884	1.26795788145347e-22
CTNNB1	RSPO1	0.242520039258884	1.26795788145348e-22
NR0B1	WNT4	0.231682641969048	9.81749444359726e-21
WNT4	NR0B1	0.231682641969048	9.81749444359726e-21
SRY	DKK1	0.220158914060213	7.89649445043407e-19
DKK1	SRY	0.220158914060213	7.89649445043424e-19
NR5A1	CBX2	0.195036695435549	4.91442778908069e-15
CBX2	NR5A1	0.195036695435549	4.91442778908069e-15
UGR	CBX2	0.192512631099672	1.1114278341172e-14
CBX2	UGR	0.192512631099672	1.11142783411726e-14
WNT4	CTNNB1	0.190233422956376	2.300187637858e-14
CTNNB1	WNT4	0.190233422956375	2.30018763785814e-14
SRY	DMRT1	0.17768616701522	1.07351295006739e-12
DMRT1	SRY	0.17768616701522	1.07351295006739e-12
WT1mKTS	GATA4	0.160301243940055	1.41398221938434e-10
GATA4	WT1mKTS	0.160301243940055	1.41398221938436e-10
SRY	NR0B1	0.150905900520835	1.60024421692899e-09
NR0B1	SRY	0.150905900520835	1.60024421692902e-09
FGF9	DHH	0.144487392303903	7.7184580377209e-09
DHH	FGF9	0.144487392303903	7.71845803772098e-09
WNT4	RSPO1	0.135854107720176	5.75914314258893e-08
RSPO1	WNT4	0.135854107720176	5.75914314258893e-08
SOX9	DKK1	0.132730782178771	1.15646966724162e-07
DKK1	SOX9	0.132730782178771	1.15646966724162e-07
WT1mKTS	WT1pKTS	0.126322140428631	4.60183887581008e-07
WT1pKTS	WT1mKTS	0.126322140428631	4.60183887581015e-07
AMH	PGD2	0.125951471549381	4.97443509847374e-07
PGD2	AMH	0.125951471549381	4.97443509847374e-07
UGR	WT1pKTS	0.119224525390177	1.96679553730014e-06
WT1pKTS	UGR	0.119224525390177	1.96679553730018e-06
WT1pKTS	SRY	0.112389235936691	7.3843424423409e-06
SRY	WT1pKTS	0.112389235936691	7.38434244234097e-06
CTNNB1	NR0B1	0.101098091606156	5.58877092648549e-05
NR0B1	CTNNB1	0.101098091606156	5.58877092648554e-05
DHH	AMH	0.0971367766500252	0.000108443970185072
AMH	DHH	0.0971367766500251	0.000108443970185074
NR5A1	SOX9	0.0969769498039335	0.000111326602302242
SOX9	NR5A1	0.0969769498039335	0.000111326602302242
PGD2	FGF9	0.0963988447809564	0.000122367704827506
FGF9	PGD2	0.0963988447809563	0.000122367704827508
PGD2	DHH	0.0915899721987278	0.000263389113869319
DHH	PGD2	0.0915899721987277	0.000263389113869322
SOX9	DMRT1	0.0912157044644633	0.000279164873318259
DMRT1	SOX9	0.0912157044644632	0.000279164873318264
SOX9	DHH	0.0888510783021467	0.000401157415018281
DHH	SOX9	0.0888510783021466	0.000401157415018287
DMRT1	WT1pKTS	0.0868315652453111	0.000543058164868449
WT1pKTS	DMRT1	0.086831565245311	0.000543058164868456
FOXL2	UGR	0.081147805453561	0.00123184519556548
UGR	FOXL2	0.081147805453561	0.00123184519556549
AMH	FGF9	0.0769844425122862	0.00217593718358044
FGF9	AMH	0.0769844425122862	0.00217593718358045
GATA4	WT1pKTS	0.0735983415226288	0.00339056626938124
WT1pKTS	GATA4	0.0735983415226288	0.00339056626938124
FOXL2	NR0B1	0.0492120096744103	0.0502729281885594
NR0B1	FOXL2	0.0492120096744102	0.0502729281885597
CBX2	WT1pKTS	0.0458750310572628	0.0680394190138894
WT1pKTS	CBX2	0.0458750310572628	0.0680394190138897
CTNNB1	FOXL2	0.0420920073178019	0.0941048745934231
FOXL2	CTNNB1	0.0420920073178018	0.0941048745934238
PGD2	SOX9	0.0407321762787169	0.105232172111377
SOX9	PGD2	0.0407321762787168	0.105232172111378
FOXL2	RSPO1	0.0382260003848938	0.128448274444032
RSPO1	FOXL2	0.0382260003848934	0.128448274444036
NR5A1	UGR	0.0306601520335581	0.222769654983957
UGR	NR5A1	0.0306601520335579	0.222769654983959
FOXL2	WT1mKTS	0.0292500757370538	0.244788790675078
