Gene1	Gene2	EdgeWeight
DMRT1	DMRT1	1.0
FGF9	FGF9	1.0
GATA4	GATA4	1.0
SOX9	SOX9	1.0
UGR	UGR	1.0
FOXL2	FOXL2	1.0
WT1pKTS	WT1pKTS	1.0
NR5A1	NR5A1	1.0
NR0B1	NR0B1	1.0
AMH	AMH	1.0
CBX2	CBX2	1.0
WNT4	WNT4	1.0
DKK1	DKK1	1.0
SRY	SRY	1.0
WT1mKTS	WT1mKTS	1.0
PGD2	PGD2	1.0
CTNNB1	CTNNB1	1.0
DHH	DHH	1.0
RSPO1	RSPO1	1.0
NR5A1	WT1pKTS	0.360031098539683
WT1pKTS	NR5A1	0.360031098539683
WT1pKTS	FOXL2	-0.32663165671034
FOXL2	WT1pKTS	-0.326631656710339
NR5A1	RSPO1	-0.312102551726273
RSPO1	NR5A1	-0.312102551726273
DMRT1	DKK1	0.282590119183729
DKK1	DMRT1	0.282590119183729
RSPO1	CTNNB1	0.256067297569774
CTNNB1	RSPO1	0.256067297569774
WT1mKTS	SRY	-0.240032057841065
SRY	WT1mKTS	-0.240032057841065
DMRT1	NR5A1	-0.235260841090159
NR5A1	DMRT1	-0.235260841090159
WNT4	NR0B1	0.219326768920251
NR0B1	WNT4	0.219326768920251
CBX2	UGR	0.213492167051565
UGR	CBX2	0.213492167051565
DMRT1	SRY	0.198835136870782
SRY	DMRT1	0.198835136870782
CTNNB1	WNT4	0.196262222873642
WNT4	CTNNB1	0.196262222873642
SRY	DKK1	0.194920000462549
DKK1	SRY	0.194920000462549
DKK1	NR5A1	-0.182841462404425
NR5A1	DKK1	-0.182841462404425
SRY	FOXL2	-0.178865641388588
FOXL2	SRY	-0.178865641388588
NR5A1	CBX2	0.175718711045538
CBX2	NR5A1	0.175718711045538
NR5A1	FOXL2	-0.160312576748443
FOXL2	NR5A1	-0.160312576748442
RSPO1	SRY	-0.159792777772661
SRY	RSPO1	-0.159792777772661
DMRT1	WNT4	-0.155420002054629
WNT4	DMRT1	-0.155420002054629
SRY	GATA4	-0.155147178168504
GATA4	SRY	-0.155147178168504
SRY	NR0B1	0.15487600485974
NR0B1	SRY	0.15487600485974
SRY	UGR	-0.152293365771921
UGR	SRY	-0.152293365771921
WNT4	DKK1	-0.151470964901408
DKK1	WNT4	-0.151470964901408
NR5A1	CTNNB1	-0.148883362778034
CTNNB1	NR5A1	-0.148883362778034
NR5A1	NR0B1	-0.148768852177933
NR0B1	NR5A1	-0.148768852177933
WT1pKTS	FGF9	-0.148446392043426
FGF9	WT1pKTS	-0.148446392043426
WNT4	FGF9	-0.144494502238744
FGF9	WNT4	-0.144494502238744
AMH	GATA4	-0.143339117455938
GATA4	AMH	-0.143339117455938
WT1mKTS	WT1pKTS	0.143116822261475
WT1pKTS	WT1mKTS	0.143116822261475
PGD2	WT1mKTS	-0.142424979899929
WT1mKTS	PGD2	-0.142424979899929
CTNNB1	DMRT1	-0.13638678274409
DMRT1	CTNNB1	-0.136386782744089
WT1mKTS	GATA4	0.13618606936604
GATA4	WT1mKTS	0.13618606936604
NR0B1	AMH	-0.134198490417856
AMH	NR0B1	-0.134198490417856
WT1pKTS	CTNNB1	-0.134120493899024
CTNNB1	WT1pKTS	-0.134120493899023
WT1pKTS	SRY	0.134013085185495
SRY	WT1pKTS	0.134013085185495
GATA4	DMRT1	-0.130154165947086
DMRT1	GATA4	-0.130154165947086
UGR	NR0B1	-0.127030723357159
NR0B1	UGR	-0.127030723357159
FGF9	DHH	0.124706814133758
DHH	FGF9	0.124706814133757
DHH	GATA4	-0.121515986876686
GATA4	DHH	-0.121515986876686
DHH	AMH	0.12144229104128
AMH	DHH	0.12144229104128
DKK1	CBX2	-0.120234711234143
CBX2	DKK1	-0.120234711234143
PGD2	RSPO1	-0.1190681413577
RSPO1	PGD2	-0.1190681413577
WT1pKTS	SOX9	-0.118339829159378
SOX9	WT1pKTS	-0.118339829159378
DKK1	GATA4	-0.118197164883706
GATA4	DKK1	-0.118197164883706
RSPO1	WNT4	0.117674911660372
WNT4	RSPO1	0.117674911660371
DKK1	SOX9	0.115487885742637
SOX9	DKK1	0.115487885742636
DHH	PGD2	0.115312401871107
PGD2	DHH	0.115312401871107
AMH	RSPO1	-0.113512316917882
RSPO1	AMH	-0.113512316917882
CBX2	SOX9	-0.113098003087649
SOX9	CBX2	-0.113098003087649
RSPO1	FGF9	-0.113097036539755
FGF9	RSPO1	-0.113097036539755
WNT4	SOX9	-0.111608157914838
SOX9	WNT4	-0.111608157914838
DKK1	FOXL2	-0.110915299725354
FOXL2	DKK1	-0.110915299725354
WT1pKTS	UGR	0.10989807471931
UGR	WT1pKTS	0.10989807471931
SOX9	GATA4	-0.109679351658958
GATA4	SOX9	-0.109679351658958
