Gene1,Gene2,EdgeWeight,Confidence,Stability,MeanPercentile,MeanZ,ZCILower,ZCIUpper,SelectedRuns,ObservedRuns,RunCount,BestRank
AMH,AMH,1.0,1.0,1.0,1.0,4.1118095927025955,4.086333425191675,4.139264450059764,30,30,30,1
CBX2,CBX2,1.0,1.0,1.0,1.0,4.059049244603022,4.036324420506088,4.074980853761237,30,30,30,1
CTNNB1,CTNNB1,1.0,1.0,1.0,1.0,4.000165115650653,3.9779573979273746,4.021189963481887,30,30,30,1
DHH,DHH,1.0,1.0,1.0,1.0,4.117515510070916,4.103083520754916,4.133196426565046,30,30,30,1
DKK1,DKK1,1.0,1.0,1.0,1.0,3.9517997528381255,3.917836261297454,3.9832920313913105,30,30,30,1
DMRT1,DMRT1,1.0,1.0,1.0,1.0,3.915096026015175,3.8949769718833664,3.9381648639481637,30,30,30,1
FGF9,FGF9,1.0,1.0,1.0,1.0,4.102879894154933,4.087298729840269,4.120807390011288,30,30,30,1
FOXL2,FOXL2,1.0,1.0,1.0,1.0,3.9254218635618727,3.9018960171432546,3.9486879363018446,30,30,30,1
GATA4,GATA4,1.0,1.0,1.0,1.0,4.089233454669662,4.074786086963381,4.103726509095525,30,30,30,1
NR0B1,NR0B1,1.0,1.0,1.0,1.0,4.035011538220502,4.012615215940393,4.051749000378112,30,30,30,1
NR5A1,NR5A1,1.0,1.0,1.0,1.0,3.7179645501082317,3.685643762924075,3.7551609934271912,30,30,30,1
PGD2,PGD2,1.0,1.0,1.0,1.0,4.138028426171626,4.121145586573367,4.161553854902944,30,30,30,1
RSPO1,RSPO1,1.0,1.0,1.0,1.0,3.9380540146890706,3.9122306959950643,3.9694954961080975,30,30,30,1
SOX9,SOX9,1.0,1.0,1.0,1.0,4.126034563133531,4.104025596419293,4.14390679192611,30,30,30,1
SRY,SRY,1.0,1.0,1.0,1.0,3.972588568192366,3.950685070653293,3.9934517917262546,30,30,30,1
UGR,UGR,1.0,1.0,1.0,1.0,4.078958180200522,4.0615453779043325,4.097416833780729,30,30,30,1
WNT4,WNT4,1.0,1.0,1.0,1.0,4.016443867201597,3.9973833261970686,4.044047528585087,30,30,30,1
WT1mKTS,WT1mKTS,1.0,1.0,1.0,1.0,4.063095800827318,4.040830349483257,4.088738185088447,30,30,30,1
WT1pKTS,WT1pKTS,1.0,1.0,1.0,1.0,3.8142277825351085,3.7925432198513205,3.8399161295584516,30,30,30,1
CBX2,UGR,0.2009927901635553,0.9444444444444444,1.0,0.9444444444444444,0.4272625479185137,0.33558479481331493,0.5282536208282027,30,30,30,2
DKK1,DMRT1,0.27469713252307787,0.9444444444444444,1.0,0.9444444444444444,0.658394892167285,0.5620718987857724,0.7495879865712368,30,30,30,2
DMRT1,DKK1,0.27469713252307776,0.9444444444444444,1.0,0.9444444444444444,0.6598918463642126,0.5512723767664741,0.7713022227512512,30,30,30,2
NR5A1,RSPO1,-0.31409485757875977,0.9444444444444444,1.0,0.9444444444444444,0.8049000276391134,0.7343393904803013,0.8652146079624297,30,30,30,2
RSPO1,CTNNB1,0.23256369969157492,0.9444444444444444,1.0,0.9444444444444444,0.5232508961153294,0.43961844015104073,0.6119774084386272,30,30,30,2
SRY,WT1mKTS,-0.22363256953767283,0.9444444444444444,1.0,0.9444444444444444,0.4950298520110103,0.3753967475132662,0.5824153428656,30,30,30,2
WNT4,NR0B1,0.21763281776166393,0.9444444444444444,1.0,0.9444444444444444,0.4346385212972551,0.35862211640769537,0.5133766872222352,30,30,30,2
WT1pKTS,FOXL2,-0.33151429616448547,0.9444444444444444,1.0,0.9444444444444444,0.9948377200951626,0.9120235714264041,1.059913082015906,30,30,30,2
WT1pKTS,NR5A1,0.35775763016150414,0.9444444444444444,1.0,0.9444444444444444,0.8976973993920264,0.8176205064573918,0.9683721844392607,30,30,30,2
NR5A1,WT1pKTS,0.3577576301615041,0.9425925925925926,1.0,0.9425925925925926,0.9406268953244704,0.8617050087693631,1.0023311552808485,30,30,30,2
NR0B1,WNT4,0.2176328177616639,0.9407407407407408,1.0,0.9407407407407408,0.42325567967302,0.33507554716997984,0.5023758656500055,30,30,30,2
UGR,CBX2,0.20099279016355528,0.9314814814814815,1.0,0.9314814814814815,0.4279370549405383,0.3396266316944312,0.5205522423100376,30,30,30,2
WT1pKTS,SOX9,-0.13588603320038295,0.9259259259259259,1.0,0.9259259259259259,0.13598612131734134,0.05564206492023027,0.24028157437049924,30,30,30,2
WT1mKTS,SRY,-0.22363256953767283,0.9222222222222222,1.0,0.9222222222222222,0.3419854598610782,0.2494952748408293,0.4300226814672977,30,30,30,2
SRY,GATA4,-0.15179044302117192,0.9185185185185184,1.0,0.9185185185185184,0.16261430135310576,0.0498358718033225,0.2552061451154924,30,30,30,2
NR0B1,AMH,-0.13940508293758747,0.9092592592592593,1.0,0.9092592592592593,0.12489519030134147,0.00821901394905389,0.23711511306387234,30,30,30,2
DKK1,SRY,0.2151766500717911,0.9074074074074073,1.0,0.9074074074074073,0.3023291814465708,0.19253996931294629,0.40258074098300123,30,30,30,2
NR5A1,CBX2,0.18681745381930706,0.9018518518518518,1.0,0.9018518518518518,0.3634371915033882,0.27122329239246146,0.45160479520529595,30,30,30,2
CTNNB1,WNT4,0.1899414512004447,0.8907407407407407,1.0,0.8907407407407407,0.29614750936590006,0.21637708232243236,0.3982058818364939,30,30,30,2
FOXL2,WT1pKTS,-0.3315142961644855,0.8907407407407407,1.0,0.8907407407407407,0.823258259297748,0.7522504692328661,0.8862012300576827,30,30,30,2
CTNNB1,RSPO1,0.23256369969157506,0.8888888888888888,1.0,0.8888888888888888,0.4323900097967437,0.33354870996879415,0.5197147428659752,30,30,30,3
NR5A1,DMRT1,-0.2261234837430953,0.8888888888888888,1.0,0.8888888888888888,0.4404618170054,0.35684266856400026,0.5086309926059561,30,30,30,3
RSPO1,NR5A1,-0.3140948575787598,0.8888888888888888,1.0,0.8888888888888888,0.7060102267852367,0.6472264814976321,0.7619642409710874,30,30,30,3
SRY,DKK1,0.21517665007179115,0.8870370370370371,1.0,0.8870370370370371,0.3899579994980579,0.2960727987780489,0.4776913912957633,30,30,30,3
SRY,FOXL2,-0.182050167436633,0.8833333333333333,1.0,0.8833333333333333,0.33968183582542016,0.2662846875634514,0.43075182487283115,30,30,30,3
WNT4,CTNNB1,0.18994145120044487,0.8833333333333333,1.0,0.8833333333333333,0.3301793792329169,0.2407279925493818,0.4299936969315611,30,30,30,3
SRY,UGR,-0.14580797901127365,0.8796296296296297,1.0,0.8796296296296297,0.17515243046328768,0.07136287729922518,0.23838090390309527,30,30,30,3
