TF	target	importance
FOXL2	WT1pKTS	136.9513694785745
UGR	CBX2	127.03082527136468
WT1pKTS	NR5A1	117.94060065967862
RSPO1	NR5A1	113.68924393398058
WT1pKTS	FOXL2	107.40080789943035
NR5A1	CBX2	102.47781770813188
DKK1	DMRT1	101.51669737394955
CTNNB1	NR5A1	99.49789652814884
WNT4	RSPO1	99.15631925677094
RSPO1	CTNNB1	96.62848811812572
SRY	DKK1	90.59038440303271
UGR	WT1mKTS	89.02927896360656
NR5A1	WT1pKTS	84.94732138488058
CTNNB1	WT1pKTS	84.6095214784907
DMRT1	DKK1	84.3338568934623
WNT4	CTNNB1	84.04778145315262
SOX9	WNT4	82.46785776809132
DMRT1	SRY	76.37907257607337
FOXL2	NR5A1	76.12432664831854
CTNNB1	RSPO1	76.11743448149645
NR0B1	WNT4	74.70922393359668
SRY	DMRT1	74.51545146016669
CBX2	UGR	74.32957177983482
WNT4	NR0B1	72.96581463158618
RSPO1	WNT4	72.63565379919947
FOXL2	CTNNB1	72.62922632617187
GATA4	WT1mKTS	71.34103314753555
PGD2	WNT4	70.9898839586284
WT1mKTS	GATA4	69.5319960774136
UGR	NR0B1	68.24679302662442
RSPO1	WT1pKTS	65.97267062722266
DHH	FGF9	65.5313149402933
FGF9	AMH	62.776685107137304
NR5A1	UGR	62.4836847739574
NR0B1	NR5A1	61.25828323031229
DKK1	SRY	61.09160146252817
UGR	WNT4	60.837441113204264
NR0B1	CTNNB1	60.557608496232376
AMH	WNT4	60.21984977848685
NR5A1	FOXL2	59.61388069717043
FGF9	NR0B1	59.18172314431353
CTNNB1	WNT4	58.021758559715956
NR0B1	RSPO1	57.749360945067394
SOX9	DMRT1	57.65247275477968
FGF9	DHH	57.230193078770135
NR5A1	RSPO1	57.109021900440645
SOX9	DKK1	56.707550021549984
FGF9	WNT4	56.42367535074836
PGD2	NR0B1	55.65124805754857
DHH	PGD2	54.917139890646546
CBX2	NR5A1	54.219364350816434
FGF9	PGD2	53.96441949813743
CTNNB1	CBX2	53.461637715865834
DMRT1	WNT4	52.95274393492933
UGR	GATA4	52.92984608182441
CTNNB1	NR0B1	52.647514425087806
RSPO1	CBX2	52.38803041921466
PGD2	AMH	51.99970445796741
DHH	SOX9	51.76148811077175
WT1pKTS	SRY	51.62855609726148
SOX9	AMH	50.84710166633914
FOXL2	SRY	50.78391259544351
GATA4	DKK1	49.91687796364937
SOX9	DHH	49.56836107302482
AMH	GATA4	49.549017613533174
CTNNB1	DKK1	49.54486051694409
WT1pKTS	CBX2	49.31775662019878
DKK1	WNT4	49.1191151329321
DHH	NR0B1	48.41818272976385
DHH	WNT4	48.18010787200883
RSPO1	FOXL2	48.12101937875012
RSPO1	SRY	48.112847494470955
CTNNB1	FOXL2	47.981141626059745
WT1pKTS	GATA4	47.90707060506399
CTNNB1	SRY	47.847455007256976
DMRT1	SOX9	46.56455872451705
DKK1	GATA4	46.54686491210743
PGD2	FGF9	46.02647776809797
FOXL2	RSPO1	45.88839108928047
WNT4	NR5A1	45.59115364297604
NR5A1	WNT4	45.33267285116784
NR0B1	UGR	45.006651592963635
GATA4	AMH	44.95453085681076
SRY	FOXL2	44.36911348018025
RSPO1	DKK1	44.19466824233349
WT1pKTS	DKK1	43.91907088658848
NR5A1	SRY	43.83230116953694
WNT4	UGR	43.71926512957248
DMRT1	CBX2	42.50605052307591
GATA4	PGD2	42.37432144049008
NR5A1	CTNNB1	42.303842712515696
DHH	GATA4	42.18325212240553
WT1pKTS	CTNNB1	41.74215624516472
DHH	WT1mKTS	41.68415997530953
DKK1	SOX9	41.5863092738673
WT1mKTS	SOX9	41.159619326912825
SOX9	GATA4	41.122408524618
RSPO1	NR0B1	40.74935784004679
WT1pKTS	RSPO1	40.7460836954641
CBX2	CTNNB1	40.35572726144201
AMH	NR0B1	40.248825167101906
PGD2	DHH	39.43180301809064
PGD2	GATA4	39.03632780056579
SRY	NR5A1	38.87658183355418
FGF9	GATA4	38.724041121441594
CBX2	RSPO1	38.39051022120034
SRY	CBX2	37.8843028071329
FOXL2	WNT4	37.76889695702739
AMH	PGD2	37.57321937671779
GATA4	SOX9	37.55067468844263
RSPO1	UGR	37.493915113142556
WT1mKTS	WNT4	37.0065810813057
UGR	NR5A1	37.00048453851853
AMH	FGF9	36.900036643985196
NR5A1	GATA4	36.86840349281721
CBX2	NR0B1	36.668286880090825
NR0B1	AMH	36.570685772420575
WNT4	DMRT1	36.522000861908836
DMRT1	CTNNB1	36.31930367605351
WNT4	FOXL2	36.11027019894443
DKK1	CBX2	35.9274279833879
GATA4	NR0B1	35.91331305962057
WT1mKTS	NR0B1	35.82335917859973
DKK1	CTNNB1	35.80401597529875
FGF9	DKK1	35.7961719046967
DMRT1	FOXL2	35.69468109217469
FGF9	WT1mKTS	35.58996435272511
UGR	SRY	35.30468639509163
GATA4	DMRT1	35.2451228910193
DHH	AMH	34.60270075130531
WNT4	SRY	33.553547746655696
WT1mKTS	DMRT1	33.25723508338343
FOXL2	DKK1	33.02620285496397
NR5A1	NR0B1	32.87625616105775
DKK1	WT1mKTS	32.746874131799444
WNT4	CBX2	32.531857632450475
SRY	WT1mKTS	32.44098326819026
SOX9	WT1mKTS	32.370867349819385
AMH	SOX9	31.66816355481283
RSPO1	WT1mKTS	31.6452184522197
PGD2	WT1mKTS	31.579748915242824
NR0B1	CBX2	31.515415597781775
NR5A1	DKK1	31.503086712782487
CBX2	DKK1	31.39373176931122
CTNNB1	UGR	31.343569539202743
SRY	GATA4	31.17232847108625
SRY	WT1pKTS	31.109414371618634
NR5A1	WT1mKTS	30.955433062087884
SOX9	FGF9	30.78890200925629
NR0B1	PGD2	30.568156958864453
UGR	RSPO1	30.351455044118712
WNT4	SOX9	30.30994158335845
WNT4	WT1mKTS	30.285095335301616
DMRT1	WT1mKTS	30.253747457989338
WT1mKTS	SRY	30.232214046895702
SRY	SOX9	30.188136953740205
DKK1	PGD2	29.875065645382914
AMH	DKK1	29.71189972041235
DMRT1	GATA4	29.59314429699416
NR0B1	DHH	29.48291201564225
WNT4	PGD2	29.34802846418666
NR0B1	FGF9	29.151308014016504
DHH	DKK1	28.721438048263924
