Gene1	Gene2	corVal	pValue
DMRT1	DMRT1	1	0
FGF9	FGF9	1	0
RSPO1	RSPO1	1	0
DHH	DHH	1	0
CTNNB1	CTNNB1	1	0
PGD2	PGD2	1	0
WT1mKTS	WT1mKTS	1	0
SRY	SRY	1	0
DKK1	DKK1	1	0
WNT4	WNT4	1	0
CBX2	CBX2	1	0
AMH	AMH	1	0
NR0B1	NR0B1	1	0
NR5A1	NR5A1	1	0
WT1pKTS	WT1pKTS	1	0
FOXL2	FOXL2	1	0
UGR	UGR	1	0
SOX9	SOX9	1	0
GATA4	GATA4	1	0
WT1pKTS	NR5A1	0.359169879031797	1.91944947513792e-61
NR5A1	WT1pKTS	0.359169879031797	1.91944947513836e-61
DMRT1	DKK1	0.267867522450451	6.21556393704371e-34
DKK1	DMRT1	0.267867522450451	6.21556393704389e-34
RSPO1	CTNNB1	0.229452261839862	4.20009412886406e-25
CTNNB1	RSPO1	0.229452261839861	4.20009412886448e-25
NR0B1	WNT4	0.218249293594106	8.24185077666517e-23
WNT4	NR0B1	0.218249293594106	8.24185077666541e-23
DKK1	SRY	0.213885227834062	5.96468769509409e-22
SRY	DKK1	0.213885227834062	5.96468769509439e-22
UGR	CBX2	0.200173059868078	2.26758354242956e-19
CBX2	UGR	0.200173059868078	2.26758354242961e-19
WNT4	CTNNB1	0.191255270092324	8.63544855698267e-18
CTNNB1	WNT4	0.191255270092324	8.63544855698292e-18
NR5A1	CBX2	0.184946319727905	1.02070941652327e-16
CBX2	NR5A1	0.184946319727905	1.02070941652335e-16
SRY	DMRT1	0.177817948265701	1.49872625987042e-15
DMRT1	SRY	0.177817948265701	1.49872625987047e-15
SRY	NR0B1	0.145554331414415	7.40155335259336e-11
NR0B1	SRY	0.145554331414415	7.40155335259347e-11
GATA4	WT1mKTS	0.130676118740157	5.2039906614155e-09
WT1mKTS	GATA4	0.130676118740157	5.20399066141554e-09
WNT4	RSPO1	0.129921351596011	6.37958169657505e-09
RSPO1	WNT4	0.129921351596011	6.37958169657534e-09
FGF9	DHH	0.124330589557814	2.78208312789027e-08
DHH	FGF9	0.124330589557814	2.78208312789036e-08
WT1pKTS	WT1mKTS	0.124070479062883	2.97479724603307e-08
WT1mKTS	WT1pKTS	0.124070479062883	2.97479724603307e-08
DHH	AMH	0.119937148844211	8.46680513135269e-08
AMH	DHH	0.119937148844211	8.46680513135278e-08
WT1pKTS	SRY	0.115108091849516	2.75139884848039e-07
SRY	WT1pKTS	0.115108091849516	2.75139884848052e-07
PGD2	AMH	0.112840686393444	4.70851857631929e-07
AMH	PGD2	0.112840686393444	4.70851857631933e-07
DKK1	SOX9	0.112570864191666	5.015960202695e-07
SOX9	DKK1	0.112570864191666	5.01596020269516e-07
UGR	WT1pKTS	0.109238912896254	1.08238468933565e-06
WT1pKTS	UGR	0.109238912896254	1.08238468933566e-06
DHH	PGD2	0.101649718897866	5.74808202771388e-06
PGD2	DHH	0.101649718897866	5.74808202771423e-06
DMRT1	SOX9	0.0962249158368276	1.76877846905931e-05
SOX9	DMRT1	0.0962249158368273	1.76877846905941e-05
WT1pKTS	GATA4	0.0951472382946319	2.19618876498545e-05
GATA4	WT1pKTS	0.0951472382946318	2.19618876498548e-05
NR0B1	CTNNB1	0.0819660669682345	0.000258317422628597
CTNNB1	NR0B1	0.0819660669682343	0.000258317422628606
FGF9	PGD2	0.0807011603380428	0.0003215415201429
PGD2	FGF9	0.0807011603380428	0.000321541520142903
NR5A1	SOX9	0.077212536925282	0.000578898292044267
SOX9	NR5A1	0.0772125369252819	0.000578898292044276
AMH	FGF9	0.0733656985579469	0.00107781076416721
FGF9	AMH	0.0733656985579469	0.00107781076416722
DMRT1	WT1pKTS	0.0730902143632534	0.00112565953736021
WT1pKTS	DMRT1	0.0730902143632532	0.00112565953736024
FOXL2	CTNNB1	0.0684999969494902	0.00227301196555016
CTNNB1	FOXL2	0.0684999969494901	0.00227301196555018
DHH	SOX9	0.0665871228150985	0.00301105745331225
SOX9	DHH	0.0665871228150984	0.00301105745331226
CBX2	WT1pKTS	0.061564330982717	0.00609943924372814
WT1pKTS	CBX2	0.061564330982717	0.00609943924372816
UGR	FOXL2	0.0594318331240391	0.00811556583567819
FOXL2	UGR	0.0594318331240391	0.00811556583567819
PGD2	SOX9	0.0590054703636322	0.00858382205460547
SOX9	PGD2	0.0590054703636321	0.00858382205460548
SOX9	FGF9	0.0437094983817886	0.0516396577280739
FGF9	SOX9	0.0437094983817886	0.0516396577280739
WT1mKTS	FOXL2	0.0433408610148842	0.0536444140458643
FOXL2	WT1mKTS	0.0433408610148841	0.0536444140458646
FOXL2	RSPO1	0.0407727002454537	0.0694848016567464
RSPO1	FOXL2	0.0407727002454537	0.0694848016567464
