Gene1	Gene2	EdgeWeight
DKK1	DMRT1	0.339588988777108
WT1pKTS	FOXL2	0.330377130868058
DMRT1	DKK1	0.3213364804283237
FOXL2	WT1pKTS	0.2974646111515843
CTNNB1	RSPO1	0.2667249194657718
UGR	CBX2	0.2665756980616583
FGF9	DHH	0.256694731813917
CBX2	UGR	0.247989859507685
PGD2	FGF9	0.2421137603583806
FGF9	PGD2	0.2400944706734606
RSPO1	WNT4	0.2366134211534955
DHH	PGD2	0.2363124967843071
RSPO1	CTNNB1	0.2357133328028473
DHH	AMH	0.2339515553507898
DMRT1	SRY	0.2290223749501865
DKK1	SRY	0.228404074404825
DHH	FGF9	0.2228240320773486
RSPO1	NR5A1	0.2214274489285362
PGD2	AMH	0.2210247064751916
PGD2	DHH	0.2178503906698423
SRY	DKK1	0.1946525809798285
AMH	DHH	0.1945306223749602
FGF9	SOX9	0.1941461444630383
SRY	DMRT1	0.1939861063709061
FOXL2	CTNNB1	0.1919513435983891
AMH	FGF9	0.1878953949984072
AMH	PGD2	0.1857068848713674
WT1mKTS	GATA4	0.1832133675604308
CTNNB1	FOXL2	0.1802345562668856
DHH	SOX9	0.1736755530806414
GATA4	WT1mKTS	0.1707701651243658
PGD2	SOX9	0.1683825858738137
NR5A1	RSPO1	0.167214285764797
WNT4	NR0B1	0.1657607968633731
CTNNB1	WNT4	0.1637280910088115
FGF9	AMH	0.1563968295179901
RSPO1	NR0B1	0.1536485958913218
WNT4	RSPO1	0.151528669594536
NR0B1	WNT4	0.1501261653410787
SRY	UGR	0.1409966713432535
SOX9	DMRT1	0.1332977838216332
CTNNB1	WT1pKTS	0.1330512460885466
FOXL2	RSPO1	0.1275502222341295
SOX9	DKK1	0.12701018607151
SOX9	AMH	0.1252894903021433
CTNNB1	NR5A1	0.1246891604455741
NR5A1	FOXL2	0.1242534907861052
SRY	WT1pKTS	0.1214267272113091
FOXL2	NR5A1	0.1209876812830337
NR5A1	WT1pKTS	0.1203368917604923
SOX9	FGF9	0.1176642512369791
RSPO1	FOXL2	0.1131938051378096
AMH	SOX9	0.1115359866004491
SOX9	SRY	0.109111026977396
SOX9	PGD2	0.1086826712701583
WT1pKTS	CTNNB1	0.1059014204999388
WNT4	CTNNB1	0.101905833176978
SOX9	DHH	0.101730704044882
WT1pKTS	WT1mKTS	0.1010819245086004
WT1pKTS	NR5A1	0.0991542247609981
CTNNB1	NR0B1	0.0976745265022818
NR0B1	UGR	0.0962428221239896
UGR	WT1mKTS	0.0951952173624096
NR5A1	CTNNB1	0.092584590641941
DKK1	SOX9	0.0924911346090338
UGR	GATA4	0.0913970354829815
DKK1	CBX2	0.0901495487920493
NR5A1	CBX2	0.0880020696842952
DMRT1	CBX2	0.0812815125354941
WT1pKTS	SRY	0.0807874316798276
