TF	target	importance
DKK1	DMRT1	0.339588988777108
WT1pKTS	FOXL2	0.33037713086805803
DMRT1	DKK1	0.32133648042832375
FOXL2	WT1pKTS	0.29746461115158435
CTNNB1	RSPO1	0.2667249194657718
UGR	CBX2	0.2665756980616583
FGF9	DHH	0.25669473181391705
CBX2	UGR	0.24798985950768504
PGD2	FGF9	0.24211376035838061
FGF9	PGD2	0.24009447067346068
RSPO1	WNT4	0.2366134211534955
DHH	PGD2	0.23631249678430716
RSPO1	CTNNB1	0.23571333280284734
DHH	AMH	0.2339515553507898
DMRT1	SRY	0.2290223749501865
DKK1	SRY	0.22840407440482507
DHH	FGF9	0.22282403207734866
RSPO1	NR5A1	0.2214274489285362
PGD2	AMH	0.22102470647519165
PGD2	DHH	0.21785039066984238
SRY	DKK1	0.19465258097982857
AMH	DHH	0.19453062237496027
FGF9	SOX9	0.19414614446303838
SRY	DMRT1	0.1939861063709061
FOXL2	CTNNB1	0.19195134359838914
AMH	FGF9	0.18789539499840727
AMH	PGD2	0.18570688487136744
WT1mKTS	GATA4	0.1832133675604308
CTNNB1	FOXL2	0.18023455626688561
DHH	SOX9	0.17367555308064148
GATA4	WT1mKTS	0.17077016512436588
PGD2	SOX9	0.16838258587381374
NR5A1	RSPO1	0.167214285764797
WNT4	NR0B1	0.1657607968633731
CTNNB1	WNT4	0.16372809100881153
FGF9	AMH	0.1563968295179901
RSPO1	NR0B1	0.15364859589132188
WNT4	RSPO1	0.15152866959453606
NR0B1	WNT4	0.15012616534107875
SRY	UGR	0.1409966713432535
SOX9	DMRT1	0.1332977838216332
CTNNB1	WT1pKTS	0.1330512460885466
FOXL2	RSPO1	0.12755022223412954
SOX9	DKK1	0.12701018607151007
SOX9	AMH	0.12528949030214334
CTNNB1	NR5A1	0.12468916044557411
NR5A1	FOXL2	0.12425349078610522
SRY	WT1pKTS	0.12142672721130914
FOXL2	NR5A1	0.12098768128303379
NR5A1	WT1pKTS	0.12033689176049238
SOX9	FGF9	0.11766425123697914
RSPO1	FOXL2	0.11319380513780967
AMH	SOX9	0.11153598660044917
SOX9	SRY	0.10911102697739605
SOX9	PGD2	0.10868267127015832
WT1pKTS	CTNNB1	0.10590142049993888
WNT4	CTNNB1	0.10190583317697803
SOX9	DHH	0.10173070404488202
WT1pKTS	WT1mKTS	0.10108192450860043
WT1pKTS	NR5A1	0.09915422476099818
CTNNB1	NR0B1	0.09767452650228187
NR0B1	UGR	0.09624282212398963
UGR	WT1mKTS	0.09519521736240961
NR5A1	CTNNB1	0.09258459064194104
DKK1	SOX9	0.09249113460903385
UGR	GATA4	0.09139703548298155
DKK1	CBX2	0.0901495487920493
NR5A1	CBX2	0.08800206968429522
DMRT1	CBX2	0.08128151253549415
WT1pKTS	SRY	0.08078743167982766
WT1pKTS	GATA4	0.08021746684480724
UGR	NR0B1	0.07873820180142434
NR5A1	GATA4	0.07706929466021592
AMH	NR0B1	0.07686254972078606
NR5A1	WT1mKTS	0.07496681643678257
RSPO1	CBX2	0.07425592451308147
CBX2	WT1mKTS	0.07282886035473773
NR0B1	GATA4	0.07213821635696466
RSPO1	WT1pKTS	0.07194688810173092
NR0B1	AMH	0.06935098592515075
WNT4	UGR	0.06821118461200075
NR0B1	RSPO1	0.06815551052018926
DMRT1	SOX9	0.0679363570020004
NR0B1	WT1mKTS	0.06613902046496274
SOX9	WNT4	0.06555593829832117
SRY	FOXL2	0.06529461832306631
FOXL2	WNT4	0.06449632702791978
PGD2	DKK1	0.0642003397260003
NR5A1	NR0B1	0.06403643957772215
CTNNB1	CBX2	0.0637761325845036
CBX2	GATA4	0.06024841937411156
DHH	DKK1	0.05959073189457399
FGF9	DKK1	0.05948822233905993
PGD2	DMRT1	0.05889801049988906
FGF9	DMRT1	0.0587347656080092
DKK1	AMH	0.057836649461725564
DKK1	PGD2	0.05698619974097514
SRY	CTNNB1	0.0564719514483784
DKK1	FGF9	0.05566578083534839
RSPO1	UGR	0.055511008895684576
SRY	NR0B1	0.055185359851882554
DMRT1	UGR	0.05414292302128468
NR0B1	CTNNB1	0.05374587334764977
DKK1	UGR	0.05188806006890499
SOX9	NR5A1	0.05167203009338203
NR5A1	WNT4	0.05121916758726138
SRY	GATA4	0.05074241864820719
WNT4	FOXL2	0.050442468050169206
DMRT1	AMH	0.05026854392070295
PGD2	NR0B1	0.050153968334914895
WNT4	WT1mKTS	0.049861697141111105
NR0B1	NR5A1	0.049839306988334726
DKK1	DHH	0.049576515182279596
WNT4	GATA4	0.04925861121395984
SOX9	CBX2	0.04833900083753996
WT1pKTS	RSPO1	0.04783320425054676
DMRT1	FGF9	0.04747928144224848
SRY	SOX9	0.046901238935721325
DMRT1	PGD2	0.04584974201965926
FGF9	SRY	0.045777556005983905
WT1pKTS	CBX2	0.04577012177309317
CTNNB1	UGR	0.045146585395505597
DHH	NR0B1	0.04511600231670153
CBX2	NR5A1	0.045016737798200875
DMRT1	DHH	0.0444766757683864
DHH	DMRT1	0.044368714043776
SRY	NR5A1	0.04425909345735063
SRY	WT1mKTS	0.04319387039615822
FGF9	NR0B1	0.04309099409243621
DKK1	CTNNB1	0.04305152125063534
NR5A1	SOX9	0.04241494085966752
NR0B1	PGD2	0.04223511676512418
DKK1	WNT4	0.04197915045289521
DMRT1	WT1pKTS	0.041067131725985945
DMRT1	WT1mKTS	0.04105296194541703
UGR	WNT4	0.04100646652847443
WNT4	NR5A1	0.040583502189493886
NR0B1	DHH	0.04041882950440363
CTNNB1	GATA4	0.040142136380142156
RSPO1	GATA4	0.03935304491434981
DMRT1	CTNNB1	0.03888791112984716
SRY	CBX2	0.03881385648506525
CTNNB1	SRY	0.03878047122349395
NR0B1	FGF9	0.03874256935489514
GATA4	UGR	0.03758324735326569
DKK1	GATA4	0.03749815572068548
DMRT1	GATA4	0.03695992157724721
DHH	SRY	0.03657818145217622
RSPO1	WT1mKTS	0.036522754774498616
DKK1	WT1pKTS	0.0364749605627875
DMRT1	WNT4	0.0362711428825308
DKK1	WT1mKTS	0.03612615141207749
CTNNB1	WT1mKTS	0.03580905948292863
WT1mKTS	WT1pKTS	0.03545289385633584
WNT4	SOX9	0.03533469372135241
AMH	DKK1	0.034946983289828766
WT1mKTS	UGR	0.03476581090271822
WT1mKTS	CBX2	0.0344479201933014
AMH	DMRT1	0.033735097619984916
SOX9	UGR	0.033601573858143
SOX9	GATA4	0.03264948104048444
UGR	SRY	0.03251876200294085
PGD2	SRY	0.03231834641362516
FOXL2	WT1mKTS	0.03212859836328967
SOX9	WT1mKTS	0.03164248601698416
DKK1	NR5A1	0.03106070639848627
PGD2	GATA4	0.030277320251973213
CBX2	NR0B1	0.03009687270188167
FOXL2	GATA4	0.030074238564103527
DHH	GATA4	0.029958784705204387
FGF9	GATA4	0.02955979489337168
DHH	WT1mKTS	0.029255682655890344
AMH	GATA4	0.029242291810759366
