TF	target	importance
DKK1	DMRT1	0.32338922777031553
FOXL2	WT1pKTS	0.31595163269543136
DMRT1	DKK1	0.29492362654379833
WT1pKTS	FOXL2	0.268711716068374
RSPO1	CTNNB1	0.2584599614204738
CTNNB1	RSPO1	0.24813994313012366
CBX2	UGR	0.24657275609530246
UGR	CBX2	0.22422468908336166
PGD2	FGF9	0.2047905430442603
DHH	PGD2	0.2045891120219066
PGD2	DHH	0.20457211919596874
FOXL2	NR5A1	0.19826796135841668
PGD2	AMH	0.18902975267324593
NR5A1	RSPO1	0.18169228643131896
WNT4	NR0B1	0.18112811016694547
CTNNB1	FOXL2	0.18028985715212106
FGF9	PGD2	0.18021984735077046
NR5A1	CBX2	0.177355564725611
DHH	FGF9	0.17718915548369188
RSPO1	NR5A1	0.1759832038362297
DHH	AMH	0.17497827392324367
SRY	DKK1	0.17238738573991477
UGR	GATA4	0.17129787857597276
GATA4	WT1mKTS	0.1693021311451637
NR0B1	WNT4	0.1689779176216972
FGF9	DHH	0.16772629265581684
UGR	WT1mKTS	0.16096382510051985
DKK1	SRY	0.15983394114057406
WT1pKTS	NR5A1	0.15649211096724489
WT1mKTS	GATA4	0.15589551835486096
WNT4	CTNNB1	0.15556861028223196
DMRT1	SRY	0.1552594193736932
DKK1	SOX9	0.15445432101612183
SRY	DMRT1	0.15306985890980151
RSPO1	WNT4	0.14729758625090159
CTNNB1	WT1pKTS	0.14609214343047106
WNT4	RSPO1	0.1454761436980656
FGF9	AMH	0.14461224085818308
SOX9	WNT4	0.14421402750172357
AMH	PGD2	0.14324439969388347
DMRT1	SOX9	0.14070566439610413
RSPO1	FOXL2	0.13801579063960306
AMH	DHH	0.13766560247147164
NR5A1	WT1pKTS	0.13305879512690588
AMH	FGF9	0.1283982622468095
NR5A1	FOXL2	0.12202775787188107
FOXL2	SRY	0.11376715444374545
PGD2	SOX9	0.11287750926189123
RSPO1	WT1pKTS	0.11134643877119896
CTNNB1	NR5A1	0.1103188496342046
NR5A1	UGR	0.10997812512927775
SOX9	DKK1	0.10966697443714078
DHH	SOX9	0.10507606870695803
SOX9	DMRT1	0.10493093038338222
FOXL2	CTNNB1	0.10336445154316798
NR5A1	CTNNB1	0.10331395594821952
AMH	NR0B1	0.0989801334690757
DHH	GATA4	0.09847953497948476
UGR	NR0B1	0.09847252686146885
SOX9	DHH	0.09339488317953634
SOX9	FGF9	0.09169552296625787
PGD2	GATA4	0.09096787848701944
SOX9	PGD2	0.0902460704469797
PGD2	WT1mKTS	0.08952131926971969
DHH	WT1mKTS	0.08738891673686139
CTNNB1	WNT4	0.0864805518364516
FGF9	SOX9	0.08644570052226631
CTNNB1	SRY	0.0859950193886763
NR0B1	RSPO1	0.08552151510383349
RSPO1	NR0B1	0.08549248955064712
SOX9	AMH	0.08449669864616875
PGD2	NR0B1	0.0819657868285765
WT1pKTS	CBX2	0.07634617369597456
SRY	FOXL2	0.07558437708674115
FGF9	GATA4	0.07553266860716203
AMH	WT1mKTS	0.07439186296461556
NR0B1	UGR	0.07331543375314264
FGF9	WT1mKTS	0.07208431767101547
DHH	NR0B1	0.07193650979115215
FGF9	NR0B1	0.07183484285350865
WT1pKTS	SRY	0.07036907544501941
