Gene1	Gene2	EdgeWeight
FOXL2	WT1pKTS	0.3326784200879775
DKK1	DMRT1	0.3050417087017715
DMRT1	DKK1	0.3027903439464532
RSPO1	CTNNB1	0.2652863708238361
WT1pKTS	FOXL2	0.2551207567310194
CBX2	UGR	0.2480283827549962
UGR	CBX2	0.2381614603449857
CTNNB1	RSPO1	0.2326059478480206
DHH	PGD2	0.2098337481173585
PGD2	DHH	0.2029415460304549
PGD2	FGF9	0.2007182748148861
PGD2	AMH	0.2003722459722732
CTNNB1	FOXL2	0.1939252090069513
RSPO1	NR5A1	0.1888060685585718
FGF9	PGD2	0.1865119718078902
WNT4	NR0B1	0.1859714728173069
NR0B1	WNT4	0.1839460861562531
NR5A1	RSPO1	0.1808033736124306
FOXL2	NR5A1	0.1777489195070618
DHH	AMH	0.1745550101468383
NR5A1	CBX2	0.1687640503656089
DHH	FGF9	0.1687146741487519
SRY	DKK1	0.1661113286997946
FGF9	DHH	0.1625244629099556
FGF9	AMH	0.1624411323009854
DKK1	SOX9	0.1618007461830118
GATA4	WT1mKTS	0.1585550875798631
DKK1	SRY	0.1568175462070569
UGR	WT1mKTS	0.1567187850878003
SRY	DMRT1	0.1548319201930758
WT1mKTS	GATA4	0.1545170804478438
WNT4	CTNNB1	0.1540147739384033
UGR	GATA4	0.1526217535341006
SOX9	WNT4	0.1495391345749468
AMH	FGF9	0.1469453955275924
WT1pKTS	NR5A1	0.1467733869389162
DMRT1	SRY	0.1453919362020242
CTNNB1	WT1pKTS	0.1441330421624374
DMRT1	SOX9	0.1437310300696547
AMH	DHH	0.1415694135625083
RSPO1	FOXL2	0.1406791396785557
WNT4	RSPO1	0.1383068179983956
RSPO1	WNT4	0.1330839938893683
AMH	PGD2	0.1330726217224043
CTNNB1	NR5A1	0.1324952371104895
NR5A1	WT1pKTS	0.1248647695872831
FOXL2	CTNNB1	0.1204504050546177
SOX9	DKK1	0.1186007037015113
NR5A1	FOXL2	0.115484602540135
NR5A1	UGR	0.1112217150109577
SOX9	PGD2	0.1110336568212487
AMH	NR0B1	0.1107330220311755
SOX9	DMRT1	0.1101763269179368
PGD2	SOX9	0.1091989722078963
FOXL2	SRY	0.1088164992868551
RSPO1	WT1pKTS	0.107778099739233
PGD2	WT1mKTS	0.1051708667418671
SOX9	DHH	0.1019376169838596
UGR	NR0B1	0.1004661280538855
CTNNB1	SRY	0.0993846753495139
PGD2	GATA4	0.098532657146598
SOX9	FGF9	0.0963601634839198
NR5A1	CTNNB1	0.095812719423993
DHH	SOX9	0.0956210926166768
DHH	GATA4	0.0941838493502027
DHH	WT1mKTS	0.0922141694849918
CTNNB1	WNT4	0.0908189235422502
NR0B1	RSPO1	0.0846149955829466
FGF9	GATA4	0.0808651803224073
FGF9	WT1mKTS	0.0806987710851395
SOX9	AMH	0.0804973147662861
PGD2	NR0B1	0.0802081614756134
FGF9	NR0B1	0.0794682291746867
RSPO1	CBX2	0.0781296728006359
SRY	FOXL2	0.0747636769236327
