Gene1	Gene2	EdgeWeight
RSPO1	UGR	360
CTNNB1	UGR	359
NR5A1	NR0B1	358
PGD2	NR0B1	357
CBX2	UGR	356
AMH	NR0B1	355
FGF9	NR0B1	354
NR5A1	UGR	353
UGR	RSPO1	352
AMH	WNT4	351
NR0B1	SRY	350
CBX2	SOX9	349
PGD2	RSPO1	348
DHH	WNT4	347
WT1pKTS	CTNNB1	346
RSPO1	CTNNB1	345
GATA4	RSPO1	344
UGR	SRY	343
DMRT1	CTNNB1	342
WNT4	RSPO1	341
RSPO1	SRY	340
FOXL2	WNT4	339
WT1mKTS	RSPO1	338
DMRT1	UGR	337
UGR	DMRT1	336
CTNNB1	RSPO1	335
DKK1	CTNNB1	334
UGR	FOXL2	333
SRY	FOXL2	332
WNT4	NR5A1	331
NR5A1	RSPO1	330
DKK1	UGR	329
SRY	CTNNB1	328
GATA4	FOXL2	327
DHH	NR0B1	326
SOX9	AMH	325
SOX9	WNT4	324
DMRT1	DKK1	323
WT1pKTS	FOXL2	322
NR0B1	WNT4	321
RSPO1	NR5A1	320
WNT4	SRY	319
PGD2	WNT4	318
WT1mKTS	FOXL2	317
WT1pKTS	RSPO1	316
NR0B1	AMH	315
GATA4	CTNNB1	314
DHH	PGD2	313
CBX2	CBX2	312
SRY	UGR	311
DHH	RSPO1	310
PGD2	DHH	309
DHH	SOX9	308
SRY	DKK1	307
UGR	DKK1	306
PGD2	UGR	305
WNT4	WNT4	304
SOX9	RSPO1	303
CTNNB1	WNT4	302
DHH	DHH	301
SRY	DMRT1	300
FGF9	WNT4	299
GATA4	DMRT1	298
DHH	CTNNB1	297
AMH	RSPO1	296
NR5A1	AMH	295
UGR	WNT4	294
FGF9	RSPO1	293
FOXL2	FOXL2	292
NR0B1	PGD2	291
AMH	DMRT1	290
DMRT1	WNT4	289
AMH	UGR	288
AMH	PGD2	287
RSPO1	DKK1	286
FOXL2	NR5A1	285
WT1pKTS	FGF9	284
DKK1	RSPO1	283
NR0B1	RSPO1	282
SOX9	PGD2	281
RSPO1	AMH	280
GATA4	AMH	279
WT1mKTS	PGD2	278
NR5A1	WNT4	277
CTNNB1	AMH	276
CTNNB1	DKK1	275
CBX2	DMRT1	274
SRY	SRY	273
CTNNB1	NR5A1	272
FGF9	SOX9	271
WT1pKTS	UGR	270
CTNNB1	DMRT1	269
CTNNB1	SRY	268
GATA4	DKK1	267
DKK1	SRY	266
UGR	NR5A1	265
FOXL2	FGF9	264
FGF9	PGD2	263
WNT4	NR0B1	262
WNT4	DKK1	261
WT1pKTS	NR5A1	260
RSPO1	DMRT1	259
CBX2	FOXL2	258
FOXL2	RSPO1	257
NR0B1	UGR	256
WT1pKTS	AMH	255
DMRT1	FOXL2	254
FOXL2	SRY	253
WNT4	UGR	252
FGF9	SRY	251
NR0B1	CBX2	250
CBX2	SRY	249
SRY	NR5A1	248
DMRT1	AMH	247
FOXL2	PGD2	246
DMRT1	RSPO1	245
NR0B1	GATA4	244
SRY	RSPO1	243
WT1mKTS	DMRT1	242
PGD2	DKK1	241
DHH	AMH	240
NR5A1	CBX2	239
WT1mKTS	DHH	238
DKK1	AMH	237
NR5A1	DKK1	236
FGF9	AMH	235
FOXL2	NR0B1	234
PGD2	SRY	233
WT1pKTS	WNT4	232
CTNNB1	DHH	231
DKK1	WNT4	230
RSPO1	WNT4	229
SRY	CBX2	228
WT1mKTS	FGF9	227
NR5A1	FOXL2	226
NR5A1	DMRT1	225
SOX9	NR0B1	224
DKK1	FGF9	223
CBX2	DHH	222
GATA4	SOX9	221
FGF9	CTNNB1	220
PGD2	CTNNB1	219
FGF9	DMRT1	218
AMH	CTNNB1	217
WT1mKTS	CTNNB1	216
FGF9	DKK1	215
AMH	SRY	214
GATA4	UGR	213
AMH	AMH	212
WT1mKTS	UGR	211
FOXL2	AMH	210
WT1mKTS	NR0B1	209
FOXL2	CTNNB1	208
FGF9	FGF9	207
SOX9	CBX2	206
SOX9	DKK1	205
AMH	SOX9	204
SOX9	DMRT1	203
DMRT1	NR0B1	202
WT1mKTS	WNT4	201
WT1mKTS	NR5A1	200
GATA4	DHH	199
SRY	FGF9	198
DKK1	FOXL2	197
SOX9	FOXL2	196
NR5A1	SOX9	195
SRY	SOX9	194
WNT4	PGD2	193
CTNNB1	NR0B1	192
WT1pKTS	DKK1	191
SRY	NR0B1	190
PGD2	NR5A1	189
SRY	WNT4	188
PGD2	FGF9	187
DMRT1	FGF9	186
UGR	FGF9	185
SOX9	NR5A1	184
FOXL2	CBX2	183
UGR	NR0B1	182
DHH	UGR	181
NR5A1	NR5A1	180
SOX9	CTNNB1	179
CTNNB1	PGD2	178
SOX9	SRY	177
GATA4	WT1pKTS	176
WNT4	SOX9	175
NR5A1	DHH	174
GATA4	WNT4	173
WNT4	FGF9	172
DMRT1	CBX2	171
DKK1	PGD2	170
DMRT1	SRY	169
GATA4	FGF9	168
DHH	FGF9	167
FGF9	FOXL2	166
DMRT1	DMRT1	165
CBX2	PGD2	164
WNT4	CTNNB1	163
DHH	DKK1	162
NR0B1	DKK1	161
NR0B1	SOX9	160
CBX2	GATA4	159
DKK1	SOX9	158
WT1mKTS	DKK1	157
SOX9	SOX9	156
NR0B1	FGF9	155
FOXL2	UGR	154
WNT4	CBX2	153
CBX2	NR0B1	152
WNT4	AMH	151
FOXL2	SOX9	150
FOXL2	DHH	149
DMRT1	PGD2	148
CBX2	WNT4	147
PGD2	AMH	146
DKK1	DHH	145
PGD2	SOX9	144
FGF9	CBX2	143
FGF9	UGR	142
CTNNB1	SOX9	141
WT1mKTS	AMH	140
DKK1	CBX2	139
NR0B1	NR0B1	138
AMH	FGF9	137
CBX2	RSPO1	136
WT1pKTS	DHH	135
NR0B1	CTNNB1	134
UGR	CBX2	133
CBX2	DKK1	132
DKK1	DKK1	131
DKK1	DMRT1	130
RSPO1	RSPO1	129
FOXL2	DMRT1	128
FOXL2	DKK1	127
DHH	SRY	126
NR5A1	CTNNB1	125
DHH	CBX2	124
WT1pKTS	GATA4	123
WNT4	DHH	122
SOX9	UGR	121
CTNNB1	CTNNB1	120
PGD2	PGD2	119
DKK1	NR0B1	118
UGR	UGR	117
DHH	DMRT1	116
PGD2	FOXL2	115
GATA4	WT1mKTS	114
CBX2	CTNNB1	113
DMRT1	SOX9	112
WNT4	DMRT1	111
AMH	NR5A1	110
AMH	DHH	109
WT1mKTS	SOX9	108
WT1mKTS	WT1pKTS	107
RSPO1	FOXL2	106
WT1mKTS	GATA4	105
WT1pKTS	PGD2	104
CBX2	FGF9	103
DMRT1	WT1pKTS	102
AMH	CBX2	101
DKK1	NR5A1	100
GATA4	PGD2	99
WT1pKTS	CBX2	98
WNT4	FOXL2	97
SOX9	GATA4	96
SOX9	DHH	95
DKK1	WT1mKTS	94
WT1pKTS	NR0B1	93
DKK1	WT1pKTS	92
RSPO1	CBX2	91
RSPO1	PGD2	90
WT1pKTS	SOX9	89
NR0B1	WT1mKTS	88
PGD2	CBX2	87
PGD2	DMRT1	86
WT1pKTS	DMRT1	85
AMH	FOXL2	84
DMRT1	DHH	83
SOX9	FGF9	82
RSPO1	NR0B1	81
NR0B1	FOXL2	80
CBX2	NR5A1	79
WT1pKTS	WT1mKTS	78
UGR	AMH	77
GATA4	NR5A1	76
WT1mKTS	CBX2	75
RSPO1	WT1mKTS	74
AMH	DKK1	73
CTNNB1	CBX2	72
NR0B1	DMRT1	71
UGR	WT1mKTS	70
UGR	DHH	69
FGF9	DHH	68
SOX9	WT1pKTS	67
SRY	DHH	66
UGR	CTNNB1	65
RSPO1	FGF9	64
DHH	NR5A1	63
UGR	PGD2	62
RSPO1	SOX9	61
NR5A1	PGD2	60
WT1mKTS	WT1mKTS	59
CTNNB1	FGF9	58
DHH	FOXL2	57
CBX2	AMH	56
DKK1	GATA4	55
DMRT1	NR5A1	54
GATA4	SRY	53
GATA4	NR0B1	52
FGF9	NR5A1	51
SRY	PGD2	50
UGR	SOX9	49
NR0B1	WT1pKTS	48
CBX2	WT1pKTS	47
NR0B1	DHH	46
NR5A1	SRY	45
WT1pKTS	SRY	44
NR5A1	GATA4	43
SRY	AMH	42
RSPO1	DHH	41
GATA4	CBX2	40
WT1pKTS	WT1pKTS	39
UGR	WT1pKTS	38
WT1mKTS	SRY	37
CBX2	WT1mKTS	36
RSPO1	WT1pKTS	35
SOX9	WT1mKTS	34
AMH	WT1pKTS	33
WNT4	WT1pKTS	32
CTNNB1	FOXL2	31
FGF9	WT1pKTS	30
FGF9	WT1mKTS	29
SRY	WT1pKTS	28
FOXL2	WT1pKTS	27
GATA4	GATA4	26
FOXL2	GATA4	25
NR5A1	FGF9	24
DHH	GATA4	23
FGF9	GATA4	22
NR5A1	WT1mKTS	21
WNT4	GATA4	20
CTNNB1	WT1pKTS	19
WNT4	WT1mKTS	18
DMRT1	GATA4	17
FOXL2	WT1mKTS	16
PGD2	GATA4	15
AMH	GATA4	14
RSPO1	GATA4	13
AMH	WT1mKTS	12
CTNNB1	WT1mKTS	11
SRY	WT1mKTS	10
NR0B1	NR5A1	9
DHH	WT1pKTS	8
PGD2	WT1pKTS	7
DMRT1	WT1mKTS	6
UGR	GATA4	5
NR5A1	WT1pKTS	4
CTNNB1	GATA4	3
DHH	WT1mKTS	2
SRY	GATA4	1
PGD2	WT1mKTS	0
